% Handlabelling data is arranged in 3 columns: handlabeller1 and handlabeller2 indicate the first two experts, handlabeller_final column contains the final, tie-breaking labels.
% Labels in these columns are to be interpreted as follows:
%   - 0 is UNKNOWN
%   - 1 is FIX (fixation)
%   - 2 is SACCADE
%   - 3 is SP (smooth pursuit)
%   - 4 is NOISE
% 
%@METADATA width_px 1280.0
%@METADATA height_px 720.0
%@METADATA width_mm 400.0
%@METADATA height_mm 225.0
%@METADATA distance_mm 450.0
@RELATION gaze_labels

@ATTRIBUTE time INTEGER
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE confidence NUMERIC
@ATTRIBUTE handlabeller1 INTEGER
@ATTRIBUTE handlabeller2 INTEGER
@ATTRIBUTE handlabeller_final INTEGER

@DATA
2000,638.3,195.4,1.0,1,1,1
6000,638.5,195.3,1.0,1,1,1
10000,638.8,195.2,1.0,1,1,1
14000,638.8,196.0,1.0,1,1,1
18000,638.8,196.0,1.0,1,1,1
22000,638.8,196.0,1.0,1,1,1
26000,638.8,195.6,1.0,1,1,1
30000,638.6,195.2,1.0,1,1,1
34000,638.6,196.2,1.0,1,1,1
38000,638.6,197.2,1.0,1,1,1
39000,643.9,198.0,1.0,1,1,1
40000,654.8,199.9,1.0,1,1,1
44000,654.0,199.8,1.0,1,1,1
48000,653.3,199.6,1.0,1,1,1
52000,652.8,199.4,1.0,1,1,1
67000,652.3,199.7,1.0,1,1,1
71000,651.7,199.9,1.0,1,1,1
75000,651.5,200.0,1.0,1,1,1
79000,651.8,200.1,1.0,1,1,1
83000,652.1,200.3,1.0,1,1,1
87000,652.5,199.8,1.0,1,1,1
102000,652.9,199.3,1.0,1,1,1
106000,653.2,199.3,1.0,1,1,1
110000,653.4,200.0,1.0,1,1,1
114000,653.4,200.0,1.0,1,1,1
118000,653.4,200.0,1.0,1,1,1
122000,653.7,199.9,1.0,1,1,1
126000,654.0,200.4,1.0,1,1,1
134000,654.5,201.0,1.0,1,1,1
138000,654.3,201.0,1.0,1,1,1
142000,654.1,200.9,1.0,1,1,1
146000,653.8,200.8,1.0,1,1,1
