% Handlabelling data is arranged in 3 columns: handlabeller1 and handlabeller2 indicate the first two experts, handlabeller_final column contains the final, tie-breaking labels.
% Labels in these columns are to be interpreted as follows:
%   - 0 is UNKNOWN
%   - 1 is FIX (fixation)
%   - 2 is SACCADE
%   - 3 is SP (smooth pursuit)
%   - 4 is NOISE
% 
%@METADATA width_px 1280.0
%@METADATA height_px 720.0
%@METADATA width_mm 400.0
%@METADATA height_mm 225.0
%@METADATA distance_mm 450.0
@RELATION gaze_labels

@ATTRIBUTE time INTEGER
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE confidence NUMERIC
@ATTRIBUTE handlabeller1 INTEGER
@ATTRIBUTE handlabeller2 INTEGER
@ATTRIBUTE handlabeller_final INTEGER

@DATA
2000,405.0,378.0,1.0,1,1,1
6000,404.6,378.4,1.0,1,1,1
10000,404.3,378.5,1.0,1,1,1
14000,404.7,378.6,1.0,1,1,1
18000,405.1,379.0,1.0,1,1,1
22000,405.4,379.3,1.0,1,1,1
26000,405.4,381.1,1.0,1,1,1
30000,405.3,382.8,1.0,1,1,2
34000,394.3,386.9,1.0,2,2,2
35000,376.9,386.9,1.0,2,2,2
39000,354.7,387.3,1.0,2,2,2
43000,335.2,387.5,1.0,2,2,2
47000,331.6,388.1,1.0,2,2,2
51000,331.6,387.8,1.0,2,2,2
55000,331.6,387.7,1.0,1,1,1
69000,331.6,387.7,1.0,1,1,1
73000,331.6,387.8,1.0,1,1,1
77000,331.7,388.0,1.0,1,1,1
81000,331.8,388.7,1.0,1,1,1
85000,332.3,389.5,1.0,1,1,1
89000,332.3,390.3,1.0,1,1,1
103000,332.3,390.6,1.0,1,1,1
107000,332.2,390.8,1.0,1,1,1
111000,332.1,390.9,1.0,1,1,1
115000,331.6,390.8,1.0,1,1,1
119000,332.0,390.7,1.0,1,1,1
123000,332.0,390.3,1.0,1,1,1
127000,332.1,390.5,1.0,1,1,1
134000,332.2,390.6,1.0,1,1,1
138000,331.9,391.3,1.0,1,1,1
142000,331.9,391.5,1.0,1,1,1
146000,331.8,391.3,1.0,1,1,1
150000,331.8,391.2,1.0,1,1,1
154000,331.7,391.7,1.0,1,1,1
158000,331.7,390.9,1.0,1,1,1
169000,331.5,390.6,1.0,1,1,1
173000,331.4,390.4,1.0,1,1,1
177000,331.4,389.3,1.0,1,1,1
181000,331.0,388.9,1.0,1,1,1
185000,330.6,388.4,1.0,1,1,1
189000,330.6,388.1,1.0,1,1,1
200000,330.4,387.8,1.0,1,1,1
204000,330.2,387.5,1.0,1,1,1
208000,330.2,388.3,1.0,1,1,1
212000,330.2,389.1,1.0,1,1,1
216000,330.3,389.8,1.0,1,1,1
220000,330.5,390.0,1.0,1,1,1
224000,330.7,390.1,1.0,1,1,1
228000,330.6,390.5,1.0,1,1,1
232000,330.8,390.5,1.0,1,1,1
236000,331.0,390.7,1.0,1,1,1
237000,331.0,390.7,1.0,1,1,1
238000,331.0,390.6,1.0,1,1,1
242000,331.7,390.6,1.0,1,1,1
246000,331.8,390.7,1.0,1,1,1
250000,331.9,390.4,1.0,1,1,1
254000,331.7,390.2,1.0,1,1,1
269000,331.7,390.0,1.0,1,1,1
273000,331.7,390.2,1.0,1,1,1
277000,331.8,390.3,1.0,1,1,1
281000,331.7,390.5,1.0,1,1,1
285000,331.9,390.8,1.0,1,1,1
289000,332.0,390.9,1.0,1,1,1
303000,332.4,390.9,1.0,1,1,1
307000,332.5,390.9,1.0,1,1,1
311000,332.5,390.9,1.0,1,1,1
315000,332.6,391.1,1.0,1,1,1
319000,332.6,391.2,1.0,1,1,1
323000,332.9,391.5,1.0,1,1,1
327000,333.3,391.6,1.0,1,1,1
334000,334.0,391.6,1.0,1,1,1
338000,334.2,392.6,1.0,1,1,1
342000,334.5,393.0,1.0,1,1,1
346000,334.7,393.1,1.0,1,1,1
350000,334.8,393.3,1.0,1,1,1
354000,334.8,393.2,1.0,1,1,1
358000,335.1,393.1,1.0,1,1,1
370000,335.1,392.8,1.0,1,1,1
374000,335.8,392.6,1.0,1,1,1
378000,336.5,392.2,1.0,1,4,1
382000,338.0,392.7,1.0,1,4,2
386000,345.7,393.2,1.0,2,4,2
390000,367.0,394.2,1.0,2,4,2
401000,400.8,408.8,1.0,2,4,2
405000,444.3,415.3,1.0,2,4,2
409000,482.6,432.3,1.0,2,4,2
413000,527.3,453.1,1.0,2,4,2
417000,563.4,477.5,1.0,2,4,2
421000,595.1,495.3,1.0,2,4,2
425000,636.8,518.4,1.0,2,4,2
429000,663.6,530.9,1.0,2,4,2
433000,687.3,541.9,1.0,2,4,2
434000,697.3,558.0,1.0,2,4,2
438000,716.7,564.5,1.0,2,4,2
442000,724.6,571.5,1.0,2,4,2
446000,727.5,572.1,1.0,2,4,1
450000,726.9,571.5,1.0,2,4,1
454000,726.2,571.3,1.0,1,4,1
469000,727.6,571.0,1.0,1,4,1
473000,728.9,571.1,1.0,1,4,1
477000,731.6,571.1,1.0,1,4,1
481000,733.7,571.4,1.0,1,4,1
485000,736.9,571.6,1.0,1,4,1
489000,737.6,574.4,1.0,1,4,1
502000,738.2,575.4,1.0,1,4,1
506000,738.3,575.9,1.0,1,4,1
510000,738.4,576.3,1.0,1,4,1
514000,740.7,576.6,1.0,1,4,1
518000,743.9,575.6,1.0,1,4,1
522000,746.7,574.6,1.0,1,4,1
526000,749.5,574.0,1.0,1,4,1
534000,755.6,573.1,1.0,1,4,1
538000,755.2,571.3,1.0,4,4,4
542000,754.7,568.1,1.0,4,4,4
546000,743.1,545.4,1.0,4,4,4
550000,724.1,522.0,1.0,4,4,4
554000,714.4,510.4,1.0,4,4,4
558000,709.6,504.7,1.0,4,4,4
570000,704.7,499.0,1.0,4,4,4
574000,705.1,507.6,1.0,4,4,4
578000,713.3,554.8,1.0,4,4,4
582000,729.7,614.2,1.0,4,4,4
586000,745.5,642.7,1.0,4,4,4
590000,749.4,649.8,1.0,4,4,4
602000,753.4,657.0,1.0,4,4,4
606000,757.4,664.1,1.0,4,4,4
610000,761.5,671.3,1.0,4,4,4
614000,761.5,671.3,1.0,4,4,4
618000,0.0,0.0,0.0,4,4,4
622000,0.0,0.0,0.0,4,4,4
626000,0.0,0.0,0.0,4,4,4
630000,0.0,0.0,0.0,4,4,4
634000,0.0,0.0,0.0,4,4,4
635000,0.0,0.0,0.0,4,4,4
638000,0.0,0.0,0.0,4,4,4
642000,0.0,0.0,0.0,4,4,4
646000,0.0,0.0,0.0,4,4,4
650000,0.0,0.0,0.0,4,4,4
654000,0.0,0.0,0.0,4,4,4
669000,0.0,0.0,0.0,4,4,4
673000,0.0,0.0,0.0,4,4,4
677000,0.0,0.0,0.0,4,4,4
681000,0.0,0.0,0.0,4,4,4
685000,0.0,0.0,0.0,4,4,4
689000,0.0,0.0,0.0,4,4,4
693000,0.0,0.0,0.0,4,4,4
702000,0.0,0.0,0.0,4,4,4
706000,0.0,0.0,0.0,4,4,4
710000,0.0,0.0,0.0,4,4,4
714000,0.0,0.0,0.0,4,4,4
718000,0.0,0.0,0.0,4,4,4
722000,0.0,0.0,0.0,4,4,4
726000,0.0,0.0,0.0,4,4,4
730000,845.7,641.2,1.0,4,4,4
735000,845.7,641.1,1.0,4,4,4
739000,845.5,635.0,1.0,4,4,4
743000,845.3,628.8,1.0,4,4,4
747000,844.5,616.5,1.0,4,4,4
751000,843.1,591.8,1.0,4,4,4
755000,841.9,569.3,1.0,4,4,4
759000,840.3,546.4,1.0,4,4,4
763000,839.2,525.3,1.0,4,4,4
767000,838.6,505.2,1.0,4,4,4
770000,838.1,489.0,1.0,4,4,4
774000,843.0,476.0,1.0,4,4,4
778000,844.0,463.1,1.0,4,4,4
782000,844.0,453.1,1.0,4,4,4
786000,844.1,448.6,1.0,4,4,4
790000,848.2,443.6,1.0,4,4,4
794000,852.4,442.3,1.0,4,4,4
798000,852.8,443.8,1.0,4,4,4
802000,853.9,445.2,1.0,4,4,4
806000,856.0,445.5,1.0,4,4,4
810000,857.5,446.7,1.0,4,4,4
814000,860.2,447.3,1.0,4,4,4
818000,860.5,448.1,1.0,4,4,4
822000,862.0,449.0,1.0,4,4,4
826000,863.2,450.6,1.0,4,4,4
830000,864.7,452.6,1.0,4,4,4
834000,865.0,452.7,1.0,4,4,4
838000,865.5,453.9,1.0,4,4,4
842000,865.9,454.4,1.0,4,4,4
846000,866.7,455.6,1.0,4,4,4
850000,868.0,456.2,1.0,4,4,4
854000,868.8,456.8,1.0,4,4,4
858000,868.7,457.5,1.0,4,4,4
862000,869.1,458.3,1.0,4,4,4
866000,901.0,491.5,1.0,4,4,4
870000,902.6,494.4,1.0,4,4,4
874000,905.7,500.2,1.0,4,4,4
878000,908.0,509.3,1.0,4,4,4
882000,912.7,515.9,1.0,4,4,4
886000,916.4,520.3,1.0,4,4,4
890000,918.1,525.3,1.0,4,4,4
894000,920.8,529.2,1.0,4,4,4
898000,922.9,531.5,1.0,4,4,4
902000,926.0,533.9,1.0,4,4,4
906000,929.8,536.5,1.0,4,4,4
910000,929.9,536.9,1.0,4,4,4
914000,932.9,537.2,1.0,4,4,4
918000,935.9,537.4,1.0,4,4,4
922000,937.8,538.0,1.0,4,4,4
926000,941.8,537.8,1.0,4,4,4
930000,943.8,535.7,1.0,4,4,4
934000,950.2,533.0,1.0,4,4,4
938000,968.8,524.3,1.0,4,4,4
942000,986.4,510.0,1.0,4,4,4
946000,1012.2,482.8,1.0,4,4,4
950000,1019.5,466.9,1.0,4,4,4
954000,1022.3,460.9,1.0,4,4,4
958000,1037.9,452.8,1.0,4,4,4
962000,1056.7,433.1,1.0,4,4,4
966000,1067.2,425.3,1.0,4,4,4
970000,1067.6,425.1,1.0,4,4,4
974000,1066.9,425.8,1.0,4,4,4
978000,1066.2,426.5,1.0,4,4,4
982000,1055.6,435.0,1.0,4,4,4
986000,1053.5,436.8,1.0,4,4,4
990000,1051.4,439.0,1.0,4,1,4
994000,1050.9,439.0,1.0,4,1,4
998000,1050.4,439.0,1.0,4,1,4
1002000,1048.9,437.8,1.0,4,1,4
1006000,1048.2,437.8,1.0,4,1,1
1010000,1046.1,438.1,1.0,4,1,1
1014000,1045.4,438.2,1.0,4,1,1
1018000,1044.3,437.9,1.0,1,1,1
1022000,1043.2,438.4,1.0,1,1,1
1026000,1042.8,438.7,1.0,1,1,1
1030000,1042.7,439.3,1.0,1,1,1
1034000,1042.6,439.0,1.0,1,1,1
1038000,1042.6,439.1,1.0,1,1,1
1042000,1042.7,439.3,1.0,1,1,1
1046000,1042.0,439.7,1.0,1,1,1
1050000,1041.4,440.1,1.0,1,1,1
1054000,1041.4,440.2,1.0,1,1,1
1058000,1041.4,440.2,1.0,1,1,1
1062000,1041.2,440.8,1.0,1,1,1
1066000,1041.1,440.8,1.0,1,1,1
1070000,1041.1,440.9,1.0,1,1,1
1074000,1041.1,441.9,1.0,1,1,1
1078000,1041.2,442.3,1.0,1,1,1
1082000,1041.1,442.4,1.0,1,1,1
1086000,1041.1,442.3,1.0,1,1,1
1090000,1041.0,442.3,1.0,1,1,1
1094000,1040.9,442.5,1.0,1,1,1
1098000,1040.9,442.4,1.0,1,1,1
1102000,1040.9,442.5,1.0,1,1,1
1106000,1040.9,442.6,1.0,1,1,1
1110000,1040.8,442.6,1.0,1,1,1
1114000,1039.7,442.8,1.0,1,1,1
1118000,1038.7,441.0,1.0,2,2,2
1122000,1010.5,438.4,1.0,2,2,2
1126000,959.6,423.3,1.0,2,2,2
1130000,913.9,401.1,1.0,2,2,2
1134000,866.4,374.0,1.0,2,2,2
1138000,820.5,369.6,1.0,2,2,2
1142000,792.8,363.2,1.0,2,2,2
1146000,775.7,359.0,1.0,2,2,2
1150000,753.6,358.0,1.0,2,2,2
1154000,757.7,355.8,1.0,2,2,2
1158000,761.8,355.6,1.0,2,2,2
1162000,771.3,354.8,1.0,2,2,2
1166000,775.8,364.1,1.0,2,2,2
1170000,775.5,365.6,1.0,2,2,2
1174000,775.2,365.6,1.0,1,1,1
1178000,774.3,365.7,1.0,1,1,1
1182000,774.0,365.7,1.0,1,1,1
1186000,774.0,365.7,1.0,1,1,1
1190000,773.9,365.5,1.0,1,1,1
1194000,773.7,365.4,1.0,1,1,1
1198000,773.7,365.4,1.0,1,1,1
1202000,773.7,365.5,1.0,1,1,1
1206000,773.7,365.1,1.0,1,1,1
1210000,774.1,365.0,1.0,1,1,1
1214000,774.5,364.9,1.0,1,1,1
1218000,775.3,364.6,1.0,1,1,1
1222000,775.5,364.3,1.0,1,1,1
1226000,775.6,363.9,1.0,1,1,1
1230000,775.4,363.9,1.0,1,1,1
1234000,775.2,363.8,1.0,1,1,1
1238000,774.9,363.8,1.0,1,1,1
1242000,774.7,364.2,1.0,1,1,1
1246000,774.6,364.0,1.0,1,1,1
1250000,774.6,363.8,1.0,1,1,1
1254000,774.2,363.2,1.0,1,1,1
1258000,774.0,363.5,1.0,1,1,1
1262000,773.9,363.3,1.0,1,1,1
1266000,774.1,363.3,1.0,1,1,1
1270000,774.3,363.3,1.0,1,1,1
1274000,774.8,363.1,1.0,1,1,1
1278000,775.4,363.0,1.0,1,1,1
1282000,775.3,362.9,1.0,1,1,1
1286000,775.6,362.2,1.0,1,1,1
1290000,775.7,361.8,1.0,1,1,1
1294000,775.8,361.5,1.0,1,1,1
1298000,775.5,361.3,1.0,1,1,1
1302000,775.9,361.0,1.0,1,1,1
1306000,776.2,360.5,1.0,1,1,1
1310000,776.6,360.3,1.0,1,1,1
1314000,777.1,360.4,1.0,1,1,1
1318000,777.2,360.6,1.0,1,1,1
1322000,777.2,360.4,1.0,1,1,1
1326000,777.2,360.6,1.0,1,1,1
1330000,777.1,360.8,1.0,1,1,1
1334000,776.7,360.7,1.0,1,1,1
1338000,776.4,361.1,1.0,1,1,1
1342000,776.5,361.5,1.0,1,1,1
1346000,776.4,362.5,1.0,1,1,1
1350000,776.8,362.6,1.0,1,1,1
1354000,777.2,362.6,1.0,1,1,1
1358000,777.2,362.6,1.0,1,1,1
1362000,777.7,362.5,1.0,1,1,1
1366000,778.3,362.4,1.0,1,1,1
1371000,778.4,362.3,1.0,1,1,1
1375000,778.5,362.2,1.0,1,1,1
1379000,778.7,362.2,1.0,1,1,1
1383000,778.7,362.2,1.0,1,1,1
1387000,778.8,362.2,1.0,1,1,1
1391000,779.0,362.2,1.0,1,1,1
1395000,778.5,363.4,1.0,1,1,1
1399000,778.0,363.8,1.0,1,1,1
1402000,777.4,363.7,1.0,1,1,1
1406000,776.8,363.5,1.0,1,1,1
1410000,775.6,363.6,1.0,1,1,1
1414000,775.4,363.6,1.0,1,1,1
1418000,774.9,363.4,1.0,1,1,1
1422000,773.8,363.7,1.0,1,1,1
1426000,773.0,364.0,1.0,1,1,1
1430000,775.1,364.3,1.0,2,2,2
1434000,777.3,366.7,1.0,2,2,2
1438000,781.8,380.3,1.0,2,2,2
1442000,806.9,392.8,1.0,2,2,2
1446000,839.7,425.9,1.0,2,2,2
1450000,861.3,464.7,1.0,2,2,2
1454000,872.9,506.5,1.0,2,2,2
1458000,886.0,537.3,1.0,2,2,2
1462000,892.4,563.0,1.0,2,2,2
1466000,896.4,574.6,1.0,2,2,2
1471000,905.2,577.6,1.0,2,2,2
1475000,906.6,578.3,1.0,2,2,2
1479000,906.9,577.3,1.0,1,1,1
1483000,906.7,576.4,1.0,1,1,1
1487000,907.8,576.5,1.0,1,1,1
1491000,908.8,576.6,1.0,1,1,1
1495000,909.9,578.0,1.0,1,1,1
1499000,910.2,581.2,1.0,1,1,1
1502000,910.3,581.4,1.0,1,1,1
1506000,910.8,581.5,1.0,1,1,1
1510000,911.4,583.0,1.0,1,1,1
1514000,911.8,582.9,1.0,1,1,1
1518000,912.2,582.9,1.0,1,1,1
1522000,912.8,583.1,1.0,1,1,1
1526000,913.0,584.0,1.0,1,1,1
1530000,913.0,584.3,1.0,1,1,1
1534000,913.0,584.2,1.0,1,1,1
1538000,913.0,584.4,1.0,1,1,1
1542000,913.0,584.6,1.0,1,1,1
1546000,912.9,584.7,1.0,1,1,1
1550000,912.9,584.8,1.0,1,1,1
1554000,912.8,585.2,1.0,1,1,1
1558000,912.9,585.6,1.0,1,1,1
1562000,912.6,585.8,1.0,1,1,1
1566000,912.5,585.9,1.0,1,1,1
1570000,912.5,586.5,1.0,1,1,1
1574000,912.3,586.6,1.0,1,1,1
1578000,912.2,586.6,1.0,1,1,1
1582000,912.0,586.7,1.0,1,1,1
1586000,912.1,586.8,1.0,1,1,1
1590000,912.1,587.1,1.0,1,1,1
1594000,912.2,586.7,1.0,1,1,1
1598000,912.1,587.0,1.0,1,1,1
1602000,912.0,587.2,1.0,1,1,1
1606000,911.9,587.1,1.0,1,1,1
1610000,911.8,587.0,1.0,1,1,1
1614000,911.6,586.7,1.0,1,1,1
1618000,911.8,586.6,1.0,1,1,1
1622000,912.0,586.6,1.0,1,1,1
1626000,912.4,586.7,1.0,1,1,1
1630000,912.6,586.9,1.0,1,1,1
1634000,912.5,586.7,1.0,1,1,1
1638000,912.6,586.8,1.0,1,1,1
1642000,912.5,586.5,1.0,1,1,1
1646000,912.5,586.1,1.0,1,1,1
1650000,912.3,586.2,1.0,1,1,1
1654000,912.3,586.0,1.0,1,1,1
1658000,912.3,586.2,1.0,1,1,1
1662000,911.9,586.2,1.0,1,1,1
1666000,911.5,586.1,1.0,1,1,1
1670000,911.3,585.9,1.0,1,1,1
1674000,911.1,585.9,1.0,1,1,1
1678000,910.9,585.8,1.0,1,1,1
1682000,910.6,585.8,1.0,1,1,1
1686000,910.5,585.3,1.0,1,1,1
1690000,910.6,584.8,1.0,1,1,1
1694000,910.2,584.9,1.0,1,1,1
1698000,910.4,584.9,1.0,1,1,1
1702000,910.6,584.9,1.0,1,1,1
1706000,910.6,585.4,1.0,1,1,1
1710000,910.6,585.8,1.0,1,1,1
1714000,910.1,585.4,1.0,1,1,1
1718000,909.8,585.0,1.0,1,1,2
1722000,904.8,584.4,1.0,2,2,2
1726000,892.5,583.4,1.0,2,2,2
1730000,874.7,584.4,1.0,2,2,2
1734000,868.6,584.7,1.0,2,2,2
1738000,869.7,584.6,1.0,2,2,2
