% Handlabelling data is arranged in 3 columns: handlabeller1 and handlabeller2 indicate the first two experts, handlabeller_final column contains the final, tie-breaking labels.
% Labels in these columns are to be interpreted as follows:
%   - 0 is UNKNOWN
%   - 1 is FIX (fixation)
%   - 2 is SACCADE
%   - 3 is SP (smooth pursuit)
%   - 4 is NOISE
% 
%@METADATA width_px 1280.0
%@METADATA height_px 720.0
%@METADATA width_mm 400.0
%@METADATA height_mm 225.0
%@METADATA distance_mm 450.0
@RELATION gaze_labels

@ATTRIBUTE time INTEGER
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE confidence NUMERIC
@ATTRIBUTE handlabeller1 INTEGER
@ATTRIBUTE handlabeller2 INTEGER
@ATTRIBUTE handlabeller_final INTEGER

@DATA
4000,410.7,229.5,1.0,0,0,1
8000,410.3,230.2,1.0,1,1,1
12000,410.1,230.9,1.0,1,1,1
16000,410.3,231.1,1.0,1,1,1
20000,410.3,231.3,1.0,1,1,1
24000,410.2,231.7,1.0,1,1,1
28000,410.9,232.0,1.0,1,1,1
32000,410.5,232.1,1.0,1,1,1
36000,410.1,231.9,1.0,1,1,1
37000,410.2,232.5,1.0,1,1,1
41000,410.3,232.8,1.0,1,1,1
45000,410.2,232.9,1.0,1,1,1
49000,410.0,233.0,1.0,1,1,1
53000,410.2,232.0,1.0,1,1,1
66000,410.4,230.9,1.0,1,1,1
70000,410.2,230.5,1.0,1,1,1
74000,410.1,230.4,1.0,1,1,1
78000,410.0,230.8,1.0,1,1,1
82000,410.1,231.2,1.0,1,1,1
86000,410.1,231.4,1.0,1,1,1
90000,410.1,231.6,1.0,1,1,1
104000,410.6,231.7,1.0,1,1,1
108000,410.2,231.9,1.0,1,1,1
112000,410.1,232.2,1.0,1,1,1
116000,410.0,231.5,1.0,1,1,1
120000,409.2,231.4,1.0,1,1,1
124000,409.1,231.6,1.0,1,1,1
128000,409.0,231.8,1.0,1,1,1
132000,409.0,232.0,1.0,1,1,1
136000,408.9,232.1,1.0,1,1,1
140000,409.3,232.9,1.0,1,1,1
144000,409.0,233.1,1.0,1,1,1
148000,408.9,233.0,1.0,1,1,1
152000,408.8,233.9,1.0,1,1,1
156000,408.5,233.2,1.0,1,1,1
169000,408.5,232.5,1.0,1,1,1
173000,409.0,233.0,1.0,1,1,1
177000,408.5,232.6,1.0,1,1,1
181000,408.9,232.8,1.0,1,1,1
185000,409.3,232.9,1.0,1,1,1
189000,410.6,233.4,1.0,1,1,1
201000,410.0,233.5,1.0,1,1,1
205000,409.4,233.8,1.0,1,1,1
209000,409.3,233.7,1.0,1,1,1
213000,409.3,233.7,1.0,1,1,1
217000,409.1,233.7,1.0,1,1,1
221000,409.0,233.3,1.0,1,1,1
