% Handlabelling data is arranged in 3 columns: handlabeller1 and handlabeller2 indicate the first two experts, handlabeller_final column contains the final, tie-breaking labels.
% Labels in these columns are to be interpreted as follows:
%   - 0 is UNKNOWN
%   - 1 is FIX (fixation)
%   - 2 is SACCADE
%   - 3 is SP (smooth pursuit)
%   - 4 is NOISE
% 
%@METADATA width_px 1280.0
%@METADATA height_px 720.0
%@METADATA width_mm 400.0
%@METADATA height_mm 225.0
%@METADATA distance_mm 450.0
@RELATION gaze_labels

@ATTRIBUTE time INTEGER
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE confidence NUMERIC
@ATTRIBUTE handlabeller1 INTEGER
@ATTRIBUTE handlabeller2 INTEGER
@ATTRIBUTE handlabeller_final INTEGER

@DATA
2000,156.4,316.0,1.0,1,0,1
6000,148.7,317.7,1.0,1,0,1
10000,143.1,321.8,1.0,1,1,1
14000,141.2,325.3,1.0,1,1,1
18000,140.8,327.4,1.0,1,1,1
22000,140.6,328.3,1.0,1,1,1
26000,140.6,328.4,1.0,1,1,1
30000,140.5,328.3,1.0,1,1,1
34000,139.8,328.2,1.0,1,1,1
38000,139.4,328.6,1.0,1,1,1
39000,139.2,329.0,1.0,1,1,1
40000,139.0,329.2,1.0,1,1,1
44000,138.8,329.3,1.0,1,1,1
48000,138.6,331.0,1.0,1,1,1
52000,138.6,331.0,1.0,1,1,1
56000,138.4,330.9,1.0,1,1,1
68000,138.9,331.8,1.0,1,1,1
72000,139.3,332.7,1.0,1,1,1
76000,139.6,333.1,1.0,1,1,1
80000,139.6,333.2,1.0,1,1,1
84000,139.5,333.3,1.0,1,1,1
88000,139.0,333.3,1.0,1,1,1
101000,138.4,333.3,1.0,1,1,1
105000,138.4,333.4,1.0,1,1,1
109000,138.5,333.2,1.0,1,1,1
113000,138.2,333.9,1.0,1,1,1
117000,138.0,334.7,1.0,1,1,1
121000,137.9,334.8,1.0,1,1,1
125000,138.0,334.9,1.0,1,1,1
129000,137.9,336.5,1.0,1,1,1
135000,137.8,336.6,1.0,1,1,1
139000,137.7,336.6,1.0,1,1,1
143000,137.6,337.2,1.0,1,1,1
147000,137.5,337.7,1.0,1,1,1
151000,137.4,337.7,1.0,1,1,1
155000,137.3,337.8,1.0,1,1,1
159000,137.5,338.4,1.0,1,1,1
169000,137.7,339.0,1.0,1,1,1
173000,140.5,341.4,1.0,2,2,2
177000,163.4,347.7,1.0,2,2,2
181000,208.4,372.9,1.0,2,2,2
185000,259.1,386.5,1.0,2,2,2
189000,313.7,395.9,1.0,2,2,2
201000,366.8,405.7,1.0,2,2,2
205000,416.0,414.1,1.0,2,2,2
209000,471.2,427.3,1.0,2,2,2
213000,514.5,428.8,1.0,2,2,2
217000,548.0,439.1,1.0,2,2,2
221000,584.2,451.3,1.0,2,2,2
225000,616.7,457.4,1.0,2,2,2
229000,645.5,463.3,1.0,2,2,2
233000,673.1,464.4,1.0,2,2,2
237000,687.9,465.1,1.0,2,2,2
238000,702.7,465.8,1.0,2,2,2
239000,702.8,466.0,1.0,2,2,2
243000,704.1,466.2,1.0,2,2,2
247000,706.1,466.7,1.0,1,1,1
251000,706.9,467.3,1.0,1,1,1
255000,706.9,467.7,1.0,1,1,1
268000,706.9,467.9,1.0,1,1,1
272000,706.6,468.0,1.0,1,1,1
276000,705.9,467.6,1.0,1,1,1
280000,704.6,467.3,1.0,1,1,1
284000,704.2,466.8,1.0,1,1,1
288000,703.7,466.6,1.0,1,1,1
301000,703.5,466.4,1.0,1,1,1
305000,703.4,465.1,1.0,1,1,1
309000,703.5,465.1,1.0,1,1,1
313000,703.3,465.0,1.0,1,1,1
317000,703.2,465.0,1.0,1,1,1
321000,703.3,464.9,1.0,1,1,1
325000,684.4,473.6,1.0,1,1,1
329000,683.8,474.4,1.0,1,1,1
336000,683.7,474.3,1.0,1,1,1
340000,683.6,474.8,1.0,1,1,1
344000,683.5,475.3,1.0,1,1,1
