% Handlabelling data is arranged in 3 columns: handlabeller1 and handlabeller2 indicate the first two experts, handlabeller_final column contains the final, tie-breaking labels.
% Labels in these columns are to be interpreted as follows:
%   - 0 is UNKNOWN
%   - 1 is FIX (fixation)
%   - 2 is SACCADE
%   - 3 is SP (smooth pursuit)
%   - 4 is NOISE
% 
%@METADATA width_px 1280.0
%@METADATA height_px 720.0
%@METADATA width_mm 400.0
%@METADATA height_mm 225.0
%@METADATA distance_mm 450.0
@RELATION gaze_labels

@ATTRIBUTE time INTEGER
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE confidence NUMERIC
@ATTRIBUTE handlabeller1 INTEGER
@ATTRIBUTE handlabeller2 INTEGER
@ATTRIBUTE handlabeller_final INTEGER

@DATA
3000,335.8,259.7,1.0,1,1,1
7000,335.8,259.8,1.0,1,1,1
11000,336.5,260.3,1.0,1,1,1
15000,337.1,260.8,1.0,1,1,1
19000,336.5,260.9,1.0,1,1,1
23000,335.9,260.5,1.0,1,1,1
27000,330.4,259.7,1.0,1,1,1
31000,326.3,259.1,1.0,1,1,1
35000,325.5,259.0,1.0,1,1,1
36000,325.4,259.5,1.0,1,1,1
38000,325.4,260.0,1.0,1,1,1
42000,325.0,259.3,1.0,1,1,1
46000,324.7,259.0,1.0,1,1,1
50000,324.1,258.7,1.0,1,1,1
54000,323.5,258.6,1.0,1,1,1
67000,323.2,258.5,1.0,1,1,1
71000,323.3,258.3,1.0,1,1,1
75000,322.9,258.0,1.0,1,1,1
79000,322.5,257.5,1.0,1,1,1
83000,321.5,257.3,1.0,1,1,1
87000,320.9,256.8,1.0,1,1,1
101000,320.3,256.5,1.0,1,1,1
105000,318.9,254.9,1.0,1,1,1
109000,316.4,253.1,1.0,1,1,1
113000,315.3,253.8,1.0,1,1,1
117000,315.4,253.6,1.0,1,1,1
121000,315.5,254.1,1.0,1,1,1
125000,316.3,254.0,1.0,1,1,1
129000,315.5,254.4,1.0,1,1,1
134000,314.8,254.3,1.0,1,1,1
138000,315.1,254.4,1.0,1,1,1
142000,315.5,254.7,1.0,1,1,1
146000,315.6,254.5,1.0,1,1,1
150000,315.7,254.8,1.0,1,1,1
154000,316.6,254.9,1.0,1,1,1
158000,316.6,254.9,1.0,1,1,1
169000,316.4,255.1,1.0,1,1,1
173000,316.3,255.3,1.0,1,1,1
177000,316.3,255.3,1.0,1,1,1
181000,315.8,255.4,1.0,1,1,1
