% Handlabelling data is arranged in 3 columns: handlabeller1 and handlabeller2 indicate the first two experts, handlabeller_final column contains the final, tie-breaking labels.
% Labels in these columns are to be interpreted as follows:
%   - 0 is UNKNOWN
%   - 1 is FIX (fixation)
%   - 2 is SACCADE
%   - 3 is SP (smooth pursuit)
%   - 4 is NOISE
% 
%@METADATA width_px 1280.0
%@METADATA height_px 720.0
%@METADATA width_mm 400.0
%@METADATA height_mm 225.0
%@METADATA distance_mm 450.0
@RELATION gaze_labels

@ATTRIBUTE time INTEGER
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE confidence NUMERIC
@ATTRIBUTE handlabeller1 INTEGER
@ATTRIBUTE handlabeller2 INTEGER
@ATTRIBUTE handlabeller_final INTEGER

@DATA
3000,264.0,115.5,1.0,1,0,1
7000,264.9,116.3,1.0,1,1,1
11000,265.2,117.4,1.0,1,1,1
15000,265.6,118.5,1.0,1,1,1
19000,265.9,119.2,1.0,1,1,1
23000,265.7,118.7,1.0,1,1,1
27000,265.4,118.3,1.0,1,1,1
31000,265.1,118.9,1.0,1,1,1
35000,265.3,119.6,1.0,1,1,1
39000,265.4,119.7,1.0,1,1,1
40000,264.9,119.9,1.0,1,1,1
41000,265.2,122.1,1.0,1,1,1
44000,266.1,122.3,1.0,1,1,1
48000,266.9,122.4,1.0,1,1,1
52000,267.0,122.4,1.0,1,1,1
67000,267.2,122.7,1.0,1,1,1
71000,267.5,122.6,1.0,1,1,1
75000,267.9,123.2,1.0,1,1,1
79000,268.0,123.8,1.0,1,1,1
83000,268.3,124.9,1.0,1,1,1
87000,267.8,124.3,1.0,1,1,1
102000,267.2,123.6,1.0,1,1,1
106000,266.8,123.5,1.0,1,1,1
110000,266.8,123.3,1.0,1,1,1
114000,266.6,122.8,1.0,1,1,1
118000,266.7,122.5,1.0,1,1,1
122000,266.6,122.4,1.0,1,1,1
126000,266.7,122.4,1.0,1,1,1
135000,266.6,122.3,1.0,1,1,1
139000,266.6,122.3,1.0,1,1,1
143000,266.5,122.0,1.0,1,1,1
147000,266.4,121.8,1.0,1,1,1
151000,266.2,121.2,1.0,1,1,1
155000,266.6,121.4,1.0,1,1,1
167000,266.7,121.6,1.0,1,1,1
171000,266.9,121.9,1.0,1,1,1
175000,267.3,122.3,1.0,1,1,1
179000,267.8,122.6,1.0,1,1,1
183000,268.2,122.9,1.0,1,1,1
187000,268.6,123.2,1.0,1,1,1
191000,268.9,123.2,1.0,1,1,1
203000,269.3,123.3,1.0,1,1,1
207000,269.7,123.5,1.0,1,1,1
211000,270.7,123.6,1.0,1,1,1
215000,270.9,123.7,1.0,1,1,1
219000,271.2,123.7,1.0,1,1,1
223000,270.7,123.3,1.0,1,1,1
227000,270.6,123.2,1.0,1,1,1
231000,270.5,123.3,1.0,1,1,1
235000,269.7,123.0,1.0,1,1,1
236000,270.2,123.7,1.0,1,1,1
237000,270.7,124.5,1.0,1,1,1
241000,271.4,126.2,1.0,2,2,2
245000,272.3,128.5,1.0,2,2,2
249000,276.8,131.6,1.0,2,2,2
253000,283.5,141.1,1.0,2,2,2
268000,303.6,155.1,1.0,2,2,2
272000,326.2,174.0,1.0,2,2,2
276000,355.3,198.5,1.0,2,2,2
280000,375.0,227.0,1.0,2,2,2
284000,393.3,257.4,1.0,2,2,2
288000,416.6,277.6,1.0,2,2,2
303000,436.6,293.3,1.0,2,2,2
307000,444.7,304.3,1.0,2,2,2
311000,445.7,304.3,1.0,2,2,2
315000,446.8,304.3,1.0,0,2,1
319000,448.8,305.7,1.0,1,2,1
323000,452.6,307.0,1.0,1,2,1
327000,453.1,309.6,1.0,1,1,1
335000,453.5,312.2,1.0,1,1,1
339000,453.6,313.4,1.0,1,1,1
343000,453.6,313.8,1.0,1,1,1
347000,453.3,314.2,1.0,1,1,1
351000,452.8,314.3,1.0,1,1,1
355000,452.5,314.2,1.0,1,1,1
368000,452.6,314.1,1.0,1,1,1
372000,452.5,314.1,1.0,1,1,1
376000,452.4,314.1,1.0,1,1,1
380000,452.6,314.3,1.0,1,1,1
384000,452.9,314.6,1.0,1,1,1
388000,452.9,314.7,1.0,1,1,1
392000,453.2,315.1,1.0,1,1,1
403000,453.4,315.2,1.0,1,1,1
407000,453.9,315.3,1.0,1,1,1
411000,454.1,315.7,1.0,1,1,1
415000,454.4,315.1,1.0,1,1,1
419000,454.5,315.1,1.0,1,1,1
423000,454.8,315.3,1.0,1,1,1
427000,455.0,315.3,1.0,1,1,1
431000,455.2,315.3,1.0,1,1,1
435000,455.6,315.4,1.0,1,1,1
436000,456.8,315.5,1.0,4,1,1
437000,457.4,315.7,1.0,4,1,1
441000,459.4,314.7,1.0,4,1,1
445000,459.1,313.9,1.0,4,1,4
449000,458.6,311.8,1.0,4,1,4
453000,458.3,309.3,1.0,4,1,4
470000,455.8,306.3,1.0,4,1,4
474000,465.8,304.0,1.0,4,1,4
478000,476.5,306.3,1.0,4,1,4
482000,480.6,308.9,1.0,4,1,4
486000,483.0,312.5,1.0,4,1,4
502000,484.1,314.3,1.0,4,1,4
506000,485.2,316.1,1.0,4,1,4
510000,484.9,354.0,1.0,4,4,4
514000,484.8,363.4,1.0,4,4,4
518000,484.6,372.8,1.0,4,4,4
522000,484.5,382.2,1.0,4,4,4
526000,484.2,391.6,1.0,4,4,4
536000,475.5,348.2,1.0,4,4,4
540000,465.7,304.5,1.0,4,4,4
544000,462.9,297.2,1.0,4,4,4
548000,460.1,290.0,1.0,4,4,4
552000,454.2,275.5,1.0,4,4,4
567000,442.1,246.3,1.0,4,4,4
571000,430.9,216.3,1.0,4,4,4
575000,415.0,190.4,1.0,4,4,4
579000,405.4,174.1,1.0,4,4,4
583000,394.0,172.1,1.0,4,4,4
587000,378.3,170.2,1.0,4,4,4
591000,363.9,166.3,1.0,4,4,4
595000,303.9,263.5,1.0,4,4,4
600000,298.9,273.0,1.0,4,4,4
604000,289.1,292.0,1.0,4,4,4
608000,257.9,291.4,1.0,4,4,4
612000,220.3,291.1,1.0,4,4,4
616000,183.8,290.9,1.0,4,4,4
620000,149.0,290.6,1.0,4,4,4
624000,125.4,291.3,1.0,4,4,4
628000,119.8,291.5,1.0,4,4,4
633000,117.6,291.7,1.0,4,4,4
637000,121.8,294.6,1.0,4,4,4
641000,125.4,295.9,1.0,4,4,4
645000,145.4,296.8,1.0,4,4,4
649000,166.2,295.7,1.0,4,4,4
653000,173.9,294.3,1.0,4,4,4
657000,176.9,293.7,1.0,4,4,4
661000,176.1,293.6,1.0,4,4,4
665000,175.4,293.7,1.0,0,4,4
668000,170.4,293.8,1.0,0,4,4
