% Handlabelling data is arranged in 3 columns: handlabeller1 and handlabeller2 indicate the first two experts, handlabeller_final column contains the final, tie-breaking labels.
% Labels in these columns are to be interpreted as follows:
%   - 0 is UNKNOWN
%   - 1 is FIX (fixation)
%   - 2 is SACCADE
%   - 3 is SP (smooth pursuit)
%   - 4 is NOISE
% 
%@METADATA width_px 1280.0
%@METADATA height_px 720.0
%@METADATA width_mm 400.0
%@METADATA height_mm 225.0
%@METADATA distance_mm 450.0
@RELATION gaze_labels

@ATTRIBUTE time INTEGER
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE confidence NUMERIC
@ATTRIBUTE handlabeller1 INTEGER
@ATTRIBUTE handlabeller2 INTEGER
@ATTRIBUTE handlabeller_final INTEGER

@DATA
1000,518.0,319.1,1.0,1,0,1
5000,518.1,318.9,1.0,1,1,1
9000,518.2,318.8,1.0,1,1,1
13000,518.8,318.7,1.0,1,1,1
17000,518.9,319.1,1.0,1,1,1
21000,518.6,319.6,1.0,1,1,1
25000,518.3,319.5,1.0,1,1,1
29000,518.6,319.8,1.0,1,1,1
33000,518.9,319.4,1.0,1,1,1
37000,519.2,319.0,1.0,1,1,1
38000,519.5,318.6,1.0,1,1,1
39000,519.7,318.4,1.0,1,1,1
42000,519.8,318.2,1.0,1,1,1
46000,519.8,318.9,1.0,1,1,1
50000,519.8,319.1,1.0,1,1,1
66000,519.8,319.1,1.0,1,1,1
70000,519.7,318.8,1.0,1,1,1
74000,520.3,318.7,1.0,1,1,1
78000,519.8,318.6,1.0,1,1,1
82000,520.0,319.0,1.0,1,1,1
86000,520.3,319.4,1.0,1,1,1
101000,519.9,319.8,1.0,1,1,1
105000,519.8,319.7,1.0,1,1,1
109000,519.8,320.2,1.0,1,1,1
113000,519.8,320.7,1.0,1,1,1
117000,519.7,320.7,1.0,1,1,1
121000,519.7,320.4,1.0,1,1,1
125000,519.9,321.5,1.0,1,1,1
129000,519.9,322.6,1.0,1,1,1
135000,520.4,322.2,1.0,1,1,1
139000,520.8,322.4,1.0,1,1,1
143000,520.7,322.5,1.0,1,1,1
147000,520.5,322.2,1.0,1,1,1
151000,521.2,322.5,1.0,1,1,1
155000,521.9,322.5,1.0,1,1,1
169000,523.5,322.5,1.0,1,1,1
173000,524.0,322.4,1.0,1,1,1
177000,523.7,321.7,1.0,1,1,1
181000,523.7,321.7,1.0,1,1,1
185000,523.0,321.6,1.0,1,1,1
189000,522.2,320.0,1.0,1,1,1
202000,522.4,319.8,1.0,1,1,1
206000,522.5,320.1,1.0,1,1,1
210000,522.5,320.3,1.0,1,1,1
214000,522.5,320.3,1.0,1,1,1
218000,522.6,320.4,1.0,1,1,1
222000,522.2,321.7,1.0,1,1,1
226000,521.7,321.4,1.0,1,1,1
230000,522.0,321.1,1.0,1,1,1
234000,521.9,322.4,1.0,1,1,1
238000,521.6,322.6,1.0,1,1,1
239000,521.1,322.1,1.0,1,1,1
240000,521.5,323.3,1.0,1,1,1
244000,521.0,324.4,1.0,1,1,1
248000,521.4,323.4,1.0,1,1,1
252000,521.5,322.4,1.0,1,1,1
267000,521.7,322.1,1.0,1,1,1
271000,521.6,321.9,1.0,1,1,1
275000,521.9,321.8,1.0,1,1,1
279000,522.2,320.5,1.0,1,1,1
283000,522.0,319.9,1.0,1,1,1
287000,521.9,319.3,1.0,1,1,1
302000,521.8,319.7,1.0,1,1,1
306000,521.7,319.1,1.0,1,1,1
310000,521.0,319.3,1.0,1,1,1
314000,520.9,319.4,1.0,1,1,1
318000,520.9,318.9,1.0,1,1,1
322000,520.6,318.3,1.0,1,1,1
326000,520.4,318.2,1.0,1,1,1
335000,519.8,318.1,1.0,1,1,1
339000,519.2,318.5,1.0,1,1,1
343000,518.9,319.0,1.0,1,1,1
347000,518.7,318.4,1.0,1,1,1
351000,518.5,317.9,1.0,1,1,1
355000,514.5,315.8,1.0,2,2,2
368000,510.2,311.3,1.0,2,2,2
372000,501.9,287.1,1.0,2,2,2
376000,492.9,268.5,1.0,2,2,2
380000,490.3,253.5,1.0,2,2,2
384000,488.8,234.5,1.0,2,2,2
388000,488.6,229.0,1.0,2,2,2
392000,488.2,224.2,1.0,2,2,2
403000,487.6,223.4,1.0,2,2,2
407000,487.2,223.6,1.0,1,1,1
411000,486.1,223.7,1.0,1,1,1
415000,485.1,223.7,1.0,1,1,1
419000,485.7,223.7,1.0,1,1,1
423000,485.5,223.7,1.0,1,1,1
427000,485.4,223.5,1.0,1,1,1
431000,484.3,222.2,1.0,1,1,1
435000,484.1,222.1,1.0,1,1,1
436000,484.3,223.4,1.0,1,1,1
437000,484.4,223.1,1.0,1,1,1
441000,485.8,223.0,1.0,1,1,1
445000,485.1,223.0,1.0,1,1,1
449000,484.4,222.9,1.0,1,1,1
453000,484.3,222.8,1.0,1,1,1
470000,484.5,222.9,1.0,1,1,1
474000,484.4,222.5,1.0,1,1,1
478000,484.4,222.1,1.0,1,1,1
482000,484.4,221.7,1.0,1,1,1
486000,484.3,221.4,1.0,1,1,1
502000,484.7,221.8,1.0,1,1,1
506000,485.1,222.3,1.0,1,1,1
510000,484.8,223.3,1.0,1,1,1
514000,484.9,223.1,1.0,1,1,1
518000,484.9,222.9,1.0,1,1,1
522000,485.4,222.5,1.0,1,1,1
526000,485.4,222.5,1.0,1,1,1
536000,485.2,222.6,1.0,1,1,1
540000,485.0,222.7,1.0,1,1,1
544000,485.3,222.9,1.0,1,2,1
548000,485.7,222.4,1.0,2,2,2
