Index	Time	X_coord	Y_coord	Confidence
1	2000	617.2	288.0	1
2	6000	617.3	287.1	1
3	10000	617.3	287.0	1
4	14000	617.3	286.9	1
5	18000	617.3	286.8	1
6	22000	617.4	286.8	1
7	26000	617.4	286.7	1
8	30000	617.4	286.3	1
9	34000	609.2	286.7	1
10	38000	590.9	287.1	1
11	39000	569.4	284.5	1
12	40000	545.8	286.0	1
13	43000	531.6	287.2	1
14	47000	524.7	287.8	1
15	51000	524.1	288.1	1
16	66000	523.9	288.3	1
17	70000	523.7	288.3	1
18	74000	523.3	288.4	1
19	78000	520.9	288.6	1
20	82000	520.7	288.6	1
21	86000	519.6	288.8	1
22	102000	519.6	288.7	1
23	106000	519.7	288.6	1
24	110000	519.9	288.5	1
25	114000	519.8	288.5	1
26	118000	520.1	288.5	1
27	122000	520.4	289.1	1
28	126000	521.0	289.7	1
29	135000	521.4	290.3	1
30	139000	521.6	290.4	1
31	143000	521.7	290.4	1
32	147000	521.8	290.5	1
33	151000	521.9	291.2	1
34	155000	522.1	291.4	1
35	166000	522.2	291.4	1
36	170000	522.3	291.4	1
37	174000	522.4	291.6	1
38	178000	522.7	291.8	1
39	182000	523.0	291.9	1
40	186000	523.4	292.0	1
41	190000	523.6	292.4	1
42	203000	523.7	292.4	1
43	207000	523.9	292.5	1
44	211000	524.2	292.7	1
45	215000	524.3	292.7	1
46	219000	524.1	292.7	1
47	223000	524.1	292.5	1
48	227000	523.9	292.5	1
49	231000	523.8	290.3	1
50	235000	523.7	290.3	1
51	236000	523.3	290.1	1
52	237000	523.2	290.1	1
53	241000	523.2	290.1	1
54	245000	523.2	290.4	1
55	249000	523.2	290.6	1
56	253000	523.2	290.9	1
57	269000	523.4	292.3	1
58	273000	523.6	292.7	1
59	277000	523.9	292.9	1
60	281000	524.2	292.7	1
61	285000	524.6	292.4	1
62	289000	524.9	292.3	1
63	303000	524.9	292.4	1
64	307000	525.0	292.6	1
65	311000	525.0	292.8	1
66	315000	525.3	293.4	1
67	319000	524.9	293.7	1
68	323000	524.6	293.9	1
69	327000	524.6	293.8	1
70	336000	524.6	293.8	1
71	340000	524.7	294.0	1
72	344000	525.1	294.2	1
73	348000	525.4	293.9	1
74	352000	525.4	294.2	1
75	356000	525.4	293.8	1
76	369000	525.4	293.5	1
77	373000	525.4	293.6	1
78	377000	525.5	293.8	1
79	381000	526.9	293.8	1
80	385000	525.6	294.1	1
81	389000	524.2	292.9	1
82	393000	521.4	291.9	1
83	404000	507.2	290.0	1
84	408000	490.0	279.8	1
85	412000	478.4	277.7	1
86	416000	466.3	274.8	1
87	420000	461.6	274.3	1
88	424000	459.5	273.0	1
89	428000	458.4	272.4	1
90	432000	457.3	272.3	1
91	436000	456.3	272.1	1
92	437000	455.6	272.2	1
93	438000	454.6	272.4	1
94	442000	454.6	272.6	1
95	446000	454.5	272.8	1
96	450000	454.5	272.8	1
97	467000	454.3	272.7	1
98	471000	454.6	272.3	1
99	475000	454.9	270.1	1
100	479000	455.2	269.4	1
101	483000	455.6	268.8	1
102	487000	456.0	268.6	1
103	503000	456.5	268.4	1
104	507000	456.7	267.9	1
105	511000	456.8	267.7	1
106	515000	456.4	267.5	1
107	519000	456.0	267.5	1
108	523000	455.8	267.5	1
109	533000	455.8	267.5	1
110	537000	455.8	267.6	1
111	541000	455.2	267.3	1
112	545000	455.4	267.1	1
113	549000	455.5	267.0	1
114	553000	455.7	267.0	1
115	568000	455.5	267.1	1
116	572000	455.2	267.0	1
117	576000	455.0	267.2	1
118	580000	454.8	267.0	1
119	584000	454.7	267.1	1
120	588000	454.7	267.3	1
121	592000	454.6	267.7	1
122	596000	454.7	267.7	1
123	600000	454.7	267.8	1
124	603000	454.9	267.6	1
125	607000	455.5	267.6	1
126	611000	456.1	267.6	1
127	615000	456.3	267.5	1
128	619000	456.5	267.5	1
129	623000	457.3	267.3	1
130	627000	457.4	267.1	1
131	631000	457.4	266.9	1
132	634000	457.3	267.1	1
133	638000	456.6	267.2	1
134	642000	456.8	267.1	1
135	646000	456.5	267.3	1
136	650000	456.1	267.2	1
137	654000	456.4	267.4	1
138	658000	456.5	267.7	1
139	662000	456.5	267.7	1
140	667000	456.5	267.6	1
141	671000	456.5	267.7	1
142	675000	456.7	267.8	1
143	679000	456.8	267.7	1
144	683000	457.1	267.6	1
145	687000	457.3	267.6	1
146	691000	457.3	267.5	1
147	695000	457.4	267.4	1
148	699000	457.6	267.5	1
149	703000	457.8	267.5	1
150	707000	458.2	267.5	1
