Index	Time	X_coord	Y_coord	Confidence
1	1000	29.9	350.7	1
2	4000	28.8	351.6	1
3	8000	28.5	352.3	1
4	12000	28.2	353.0	1
5	16000	27.8	353.1	1
6	20000	27.4	353.2	1
7	24000	27.2	353.2	1
8	28000	27.2	353.1	1
9	32000	27.0	353.5	1
10	36000	27.4	353.7	1
11	37000	27.5	353.9	1
12	38000	27.5	354.1	1
13	41000	27.5	354.1	1
14	45000	27.6	354.2	1
15	49000	27.6	354.3	1
16	53000	27.5	354.5	1
17	68000	27.4	354.9	1
18	72000	26.5	358.5	1
19	76000	24.6	361.2	1
20	80000	19.9	363.0	1
21	84000	20.4	363.6	1
22	88000	20.7	363.6	1
23	102000	20.7	363.6	1
24	106000	20.8	363.4	1
25	110000	20.6	363.2	1
26	114000	20.3	363.4	1
27	118000	19.5	363.5	1
28	122000	19.7	363.5	1
29	126000	19.3	363.5	1
30	134000	19.3	363.6	1
31	138000	19.3	363.7	1
32	142000	19.7	364.2	1
33	146000	19.7	364.4	1
34	150000	19.5	364.5	1
35	154000	19.3	364.3	1
36	158000	19.4	364.1	1
37	169000	19.4	364.1	1
38	173000	19.9	363.4	1
39	177000	25.8	363.3	1
40	181000	41.9	363.2	1
41	185000	75.9	360.7	1
42	189000	126.3	355.8	1
43	202000	173.5	350.1	1
44	206000	219.4	343.9	1
45	210000	270.6	343.7	1
46	214000	315.1	343.0	1
47	218000	354.4	335.2	1
48	222000	382.6	324.5	1
49	226000	388.2	323.7	1
50	230000	390.5	322.9	1
51	234000	392.8	319.7	1
52	238000	399.6	319.7	1
53	239000	411.9	319.8	1
54	240000	418.4	319.8	1
55	243000	420.8	319.9	1
56	247000	423.3	321.0	1
57	251000	423.4	322.2	1
58	255000	423.1	323.2	1
59	269000	422.8	323.8	1
60	273000	422.3	324.6	1
61	277000	421.7	324.8	1
62	281000	420.4	325.0	1
63	285000	419.7	325.1	1
64	289000	419.8	325.1	1
65	303000	419.7	325.4	1
66	307000	419.7	325.6	1
67	311000	419.6	326.0	1
68	315000	419.5	326.4	1
69	319000	420.0	327.0	1
70	323000	420.6	327.5	1
71	327000	420.6	328.0	1
72	336000	420.7	328.5	1
73	340000	420.9	328.5	1
74	344000	420.7	328.5	1
75	348000	420.9	328.9	1
76	352000	421.1	329.3	1
77	356000	421.3	330.1	1
78	367000	421.5	331.0	1
79	371000	421.6	330.9	1
80	375000	421.5	331.2	1
81	379000	421.9	331.0	1
82	383000	422.0	331.3	1
83	387000	422.1	331.6	1
84	391000	421.9	332.3	1
85	402000	422.2	332.2	1
86	406000	422.6	332.6	1
87	410000	422.6	332.4	1
88	414000	422.5	332.5	1
89	418000	422.5	332.5	1
90	422000	423.0	332.0	1
91	426000	423.2	331.9	1
92	430000	423.3	331.8	1
93	434000	423.4	332.0	1
94	438000	423.1	332.0	1
95	439000	422.8	332.2	1
96	440000	422.8	331.9	1
97	443000	422.8	331.9	1
98	447000	423.0	331.9	1
99	451000	423.2	331.9	1
100	469000	423.1	332.1	1
101	473000	423.1	332.3	1
102	477000	423.0	332.3	1
103	481000	423.8	332.3	1
104	485000	424.6	331.7	1
105	501000	425.8	327.7	1
106	505000	439.8	318.7	1
107	509000	471.3	310.3	1
108	513000	508.2	293.4	1
109	517000	533.3	285.3	1
110	521000	542.7	283.0	1
111	525000	542.1	280.9	1
112	535000	541.3	274.2	1
113	539000	539.1	273.7	1
114	543000	538.5	270.0	1
115	547000	538.1	268.2	1
116	551000	537.8	266.3	1
117	555000	539.5	266.2	1
118	569000	540.5	266.0	1
119	573000	540.7	265.8	1
120	577000	540.7	264.2	1
121	581000	540.7	264.2	1
122	585000	539.9	264.3	1
123	589000	539.1	264.4	1
124	593000	538.7	264.5	1
125	604000	538.8	264.6	1
126	608000	538.8	264.7	1
127	612000	538.7	264.6	1
128	616000	538.7	264.6	1
129	620000	538.8	264.5	1
130	624000	538.9	264.0	1
131	628000	539.1	263.4	1
132	632000	539.1	262.8	1
133	633000	539.2	262.7	1
134	637000	539.2	262.1	1
135	641000	539.2	261.7	1
136	645000	539.3	261.6	1
137	649000	539.4	261.6	1
138	653000	539.6	261.6	1
139	657000	539.8	261.3	1
140	661000	539.8	261.2	1
141	669000	539.8	261.1	1
142	673000	540.0	261.2	1
143	677000	540.0	261.4	1
144	681000	539.9	261.2	1
145	685000	539.9	261.3	1
146	689000	539.8	261.3	1
147	693000	539.8	261.5	1
148	697000	539.7	261.5	1
149	700000	539.6	261.6	1
150	704000	539.3	261.3	1
151	708000	538.9	261.1	1
152	712000	538.7	260.6	1
153	716000	538.9	260.5	1
154	720000	538.9	260.6	1
155	724000	538.8	260.6	1
156	728000	538.5	260.4	1
157	732000	538.5	260.3	1
158	737000	538.4	260.0	1
159	741000	538.3	259.6	1
160	745000	538.1	259.6	1
161	749000	533.6	258.9	1
162	753000	520.8	254.0	1
163	757000	493.3	224.7	1
164	761000	494.0	225.0	1
165	765000	495.2	225.2	1
166	768000	499.2	225.4	1
167	772000	503.3	228.1	1
168	776000	504.0	231.3	1
169	780000	503.2	232.6	1
170	784000	502.4	232.4	1
171	788000	501.6	232.3	1
172	792000	500.9	231.6	1
173	796000	499.4	231.2	1
174	800000	499.0	227.8	1
175	804000	499.2	226.1	1
176	808000	499.0	225.4	1
177	812000	499.4	225.1	1
178	816000	499.8	225.0	1
179	820000	500.2	225.6	1
180	824000	500.6	226.3	1
