% Handlabelling data is arranged in 3 columns: handlabeller1 and handlabeller2 indicate the first two experts, handlabeller_final column contains the final, tie-breaking labels.
% Labels in these columns are to be interpreted as follows:
%   - 0 is UNKNOWN
%   - 1 is FIX (fixation)
%   - 2 is SACCADE
%   - 3 is SP (smooth pursuit)
%   - 4 is NOISE
% 
%@METADATA width_px 1280.0
%@METADATA height_px 720.0
%@METADATA width_mm 400.0
%@METADATA height_mm 225.0
%@METADATA distance_mm 450.0
@RELATION gaze_labels

@ATTRIBUTE time INTEGER
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE confidence NUMERIC
@ATTRIBUTE handlabeller1 INTEGER
@ATTRIBUTE handlabeller2 INTEGER
@ATTRIBUTE handlabeller_final INTEGER

@DATA
3000,312.1,244.6,1.0,1,0,1
7000,311.8,244.6,1.0,1,1,1
11000,311.7,243.7,1.0,1,1,1
15000,312.2,244.6,1.0,1,1,1
19000,312.6,244.8,1.0,1,1,1
23000,313.0,245.0,1.0,1,1,1
27000,313.4,245.2,1.0,1,1,1
31000,313.5,245.4,1.0,1,1,1
35000,313.5,246.1,1.0,1,1,1
39000,313.4,246.4,1.0,1,1,1
40000,312.3,246.8,1.0,1,1,1
41000,311.6,247.2,1.0,1,1,1
42000,311.8,247.1,1.0,1,1,1
45000,312.0,247.4,1.0,1,1,1
49000,312.2,247.7,1.0,1,1,1
53000,312.3,247.7,1.0,1,1,1
57000,312.4,248.2,1.0,1,1,1
70000,312.6,248.6,1.0,1,1,1
74000,312.1,247.6,1.0,1,1,1
78000,312.5,247.7,1.0,1,1,1
82000,312.5,247.8,1.0,1,1,1
86000,312.5,248.4,1.0,1,1,1
100000,313.1,248.9,1.0,1,1,1
104000,312.9,249.4,1.0,1,1,1
108000,312.7,249.0,1.0,1,1,1
112000,312.7,248.6,1.0,1,1,1
116000,312.7,248.1,1.0,1,1,1
120000,312.7,247.5,1.0,1,1,1
124000,313.5,247.7,1.0,1,1,1
128000,313.4,247.9,1.0,1,1,1
134000,313.6,248.0,1.0,1,1,1
138000,313.9,248.0,1.0,1,1,1
142000,314.4,247.8,1.0,1,1,1
146000,314.8,247.6,1.0,1,1,1
150000,321.1,247.0,1.0,2,2,2
154000,334.8,246.0,1.0,2,2,2
158000,363.9,229.3,1.0,2,2,2
168000,406.1,214.1,1.0,2,2,2
172000,454.7,214.5,1.0,2,2,2
176000,504.4,214.1,1.0,2,2,2
180000,546.2,215.7,1.0,2,2,2
184000,590.8,217.6,1.0,2,2,2
188000,628.4,243.0,1.0,2,2,2
192000,662.7,251.6,1.0,2,2,2
203000,676.8,252.8,1.0,2,2,2
207000,676.4,255.5,1.0,2,2,2
211000,676.9,256.3,1.0,2,2,2
215000,677.4,255.8,1.0,1,1,1
219000,678.9,255.7,1.0,1,1,1
223000,681.1,255.6,1.0,1,1,1
227000,681.0,256.3,1.0,1,1,1
231000,680.9,256.9,1.0,1,1,1
235000,680.2,257.6,1.0,1,1,1
239000,679.9,258.4,1.0,1,1,1
240000,679.7,260.9,1.0,1,1,1
241000,679.5,261.5,1.0,1,1,1
242000,678.7,262.2,1.0,1,1,1
246000,677.9,262.3,1.0,1,1,1
250000,678.3,262.3,1.0,1,1,1
254000,678.4,262.4,1.0,1,1,1
267000,678.4,264.0,1.0,1,1,1
271000,678.4,264.0,1.0,1,1,1
275000,678.3,264.7,1.0,1,1,1
279000,678.3,265.4,1.0,1,1,1
283000,678.3,265.5,1.0,1,1,1
287000,677.8,265.5,1.0,1,1,1
291000,677.9,266.0,1.0,1,1,1
303000,677.3,266.3,1.0,1,1,1
307000,677.2,266.6,1.0,1,1,1
311000,677.3,266.6,1.0,1,1,1
315000,677.4,266.6,1.0,1,1,1
319000,678.0,266.6,1.0,1,1,1
323000,678.1,266.7,1.0,1,1,1
327000,678.3,267.0,1.0,1,1,1
334000,678.3,267.3,1.0,1,1,1
338000,678.2,267.0,1.0,1,1,1
342000,678.2,267.0,1.0,1,1,1
346000,678.5,266.9,1.0,1,1,1
350000,678.4,267.0,1.0,1,1,1
354000,678.5,267.1,1.0,1,1,1
358000,678.5,267.5,1.0,1,1,1
368000,678.5,268.3,1.0,1,1,1
372000,678.4,269.3,1.0,1,1,1
376000,678.3,269.6,1.0,1,1,1
380000,678.9,270.0,1.0,1,1,1
384000,679.5,270.0,1.0,1,1,1
388000,680.1,269.9,1.0,1,1,1
392000,680.1,270.8,1.0,1,1,1
402000,679.6,270.7,1.0,1,1,1
406000,679.0,270.5,1.0,1,1,1
410000,678.8,269.4,1.0,1,1,1
414000,678.5,268.2,1.0,1,1,1
418000,676.9,267.2,1.0,1,1,1
422000,676.8,266.9,1.0,1,1,1
426000,676.7,266.7,1.0,1,1,1
430000,677.1,266.5,1.0,1,1,1
434000,677.0,266.8,1.0,1,1,1
438000,677.0,267.1,1.0,1,1,1
442000,677.0,268.4,1.0,1,1,1
443000,676.8,268.5,1.0,1,1,1
444000,676.6,268.4,1.0,1,1,1
445000,675.8,269.5,1.0,1,1,1
448000,675.6,270.6,1.0,1,1,1
452000,676.2,270.9,1.0,1,1,1
467000,676.1,271.0,1.0,1,1,1
471000,676.0,271.2,1.0,1,1,1
475000,676.2,271.3,1.0,1,1,1
479000,676.0,271.3,1.0,1,1,1
483000,676.1,271.3,1.0,1,1,1
487000,675.9,271.4,1.0,1,1,1
501000,675.8,272.0,1.0,1,1,1
505000,675.6,270.1,1.0,2,2,2
509000,666.3,269.1,1.0,2,2,2
513000,646.7,266.3,1.0,2,2,2
517000,612.5,255.1,1.0,2,2,2
521000,572.2,241.3,1.0,2,2,2
525000,540.4,230.2,1.0,2,2,2
533000,517.0,219.2,1.0,2,2,2
537000,501.1,215.5,1.0,2,2,2
541000,501.5,216.3,1.0,2,2,2
545000,501.3,217.2,1.0,1,0,1
549000,501.1,217.9,1.0,1,0,1
553000,500.3,218.7,1.0,1,0,1
557000,498.4,224.4,1.0,1,1,1
570000,498.8,225.6,1.0,1,1,1
574000,498.8,226.8,1.0,1,1,1
578000,498.8,227.1,1.0,1,1,1
582000,498.7,228.2,1.0,1,1,1
586000,498.7,228.3,1.0,1,1,1
590000,498.4,228.5,1.0,1,1,1
601000,498.1,229.0,1.0,1,1,1
605000,498.0,229.6,1.0,1,1,1
609000,497.9,231.4,1.0,1,1,1
613000,497.4,231.4,1.0,1,1,1
617000,497.2,232.6,1.0,1,1,1
621000,496.4,233.9,1.0,1,1,1
625000,496.4,233.4,1.0,1,1,1
629000,496.3,233.3,1.0,1,1,1
633000,495.3,233.3,1.0,1,1,1
637000,495.2,232.4,1.0,1,1,1
641000,495.5,232.0,1.0,1,1,1
642000,495.9,231.5,1.0,1,1,1
643000,496.3,230.9,1.0,1,1,1
644000,496.7,231.1,1.0,1,1,1
648000,497.5,230.9,1.0,1,1,1
652000,497.5,230.9,1.0,1,1,1
667000,497.6,230.4,1.0,1,1,1
671000,497.0,230.5,1.0,1,1,1
675000,497.2,230.5,1.0,1,1,1
679000,497.4,231.1,1.0,1,1,1
683000,497.6,230.1,1.0,1,1,1
687000,496.1,229.7,1.0,1,1,1
701000,496.2,229.1,1.0,1,1,1
705000,496.2,229.4,1.0,1,1,1
709000,495.7,228.6,1.0,1,1,1
713000,495.3,228.7,1.0,1,1,1
717000,494.9,228.6,1.0,1,1,1
721000,494.4,228.4,1.0,1,1,1
725000,494.7,229.4,1.0,1,1,1
729000,494.1,229.6,1.0,1,1,1
737000,494.1,229.5,1.0,1,1,1
741000,494.1,230.5,1.0,1,1,1
745000,494.2,231.6,1.0,1,1,1
749000,494.3,231.8,1.0,1,1,1
753000,494.4,231.8,1.0,1,1,1
757000,494.5,231.9,1.0,1,1,1
769000,494.7,232.1,1.0,1,1,1
773000,494.9,232.2,1.0,1,1,1
777000,495.2,232.8,1.0,1,1,1
781000,495.8,234.2,1.0,1,1,1
785000,496.4,235.6,1.0,1,1,1
789000,496.6,236.6,1.0,1,1,1
801000,496.9,237.6,1.0,1,1,1
805000,497.0,238.3,1.0,1,1,1
809000,496.7,238.6,1.0,1,1,1
813000,496.8,238.9,1.0,1,1,1
817000,496.3,240.7,1.0,1,1,1
821000,496.5,240.9,1.0,1,1,1
825000,496.4,241.0,1.0,1,1,1
829000,496.2,242.0,1.0,1,1,1
833000,495.7,242.4,1.0,1,1,1
837000,495.5,242.8,1.0,1,1,1
841000,495.7,243.0,1.0,1,1,1
842000,495.8,243.3,1.0,1,1,1
843000,495.3,243.5,1.0,1,1,1
844000,495.4,243.8,1.0,1,1,1
848000,495.0,243.8,1.0,1,1,1
852000,495.0,243.7,1.0,1,1,1
856000,494.8,244.9,1.0,1,1,1
870000,494.8,245.5,1.0,1,1,1
874000,494.8,245.8,1.0,1,1,1
878000,494.3,246.3,1.0,1,1,1
882000,494.8,246.7,1.0,1,1,1
886000,494.7,246.7,1.0,1,1,1
890000,494.8,246.7,1.0,1,1,1
902000,494.9,247.8,1.0,1,1,1
906000,494.9,248.6,1.0,1,1,1
910000,494.9,248.9,1.0,1,1,1
914000,494.8,248.6,1.0,1,1,1
918000,493.8,248.8,1.0,1,1,1
922000,493.6,246.8,1.0,2,2,2
926000,493.5,244.9,1.0,2,2,2
930000,490.4,240.9,1.0,2,2,2
935000,473.8,217.6,1.0,2,2,2
939000,460.4,182.7,1.0,2,2,2
943000,441.2,144.0,1.0,2,2,2
947000,422.2,96.5,1.0,2,2,2
951000,413.1,73.1,1.0,2,2,2
955000,414.3,40.3,1.0,2,2,2
959000,415.1,30.6,1.0,2,2,2
963000,419.6,-1.5,1.0,2,2,2
967000,424.7,-12.8,1.0,2,2,2
970000,432.8,-12.0,1.0,2,2,2
974000,432.3,-10.9,1.0,2,2,2
978000,431.7,-6.7,1.0,2,2,2
982000,431.0,-2.8,1.0,2,2,2
986000,430.8,-1.1,1.0,2,2,2
990000,431.0,-1.3,1.0,2,2,2
994000,431.2,-1.5,1.0,2,2,2
998000,431.2,-0.4,1.0,2,2,2
1001000,431.1,-0.1,1.0,2,2,2
1005000,431.5,0.2,1.0,1,1,1
1009000,431.8,1.1,1.0,1,1,1
1013000,432.5,1.9,1.0,1,1,1
1017000,433.0,2.7,1.0,1,1,1
1021000,432.8,3.5,1.0,1,1,1
1025000,432.6,3.9,1.0,1,1,1
1029000,432.0,4.3,1.0,1,1,1
1034000,432.3,5.0,1.0,1,1,1
1038000,432.3,5.4,1.0,1,1,1
