Index	Time	X_coord	Y_coord	Confidence
1	2000	593.6	262.2	1
2	6000	593.6	262.1	1
3	10000	593.7	262.1	1
4	14000	594.6	262.0	1
5	18000	596.3	262.1	1
6	22000	600.5	261.3	1
7	26000	614.2	261.2	1
8	30000	626.3	259.8	1
9	34000	627.5	257.7	1
10	38000	628.7	257.6	1
11	39000	630.2	257.6	1
12	40000	631.7	257.8	1
13	41000	633.6	257.9	1
14	45000	634.5	258.0	1
15	49000	634.7	258.1	1
16	53000	634.9	258.1	1
17	57000	634.9	258.2	1
18	61000	635.0	258.0	1
19	69000	635.2	258.3	1
20	73000	635.5	258.6	1
21	77000	635.8	258.8	1
22	81000	635.8	258.9	1
23	85000	635.8	258.9	1
24	89000	635.8	259.5	1
25	93000	635.5	259.7	1
26	102000	635.8	259.8	1
27	106000	636.1	260.3	1
28	110000	636.3	259.8	1
29	114000	636.4	259.7	1
30	118000	636.4	259.8	1
31	122000	636.2	259.8	1
32	126000	636.1	259.8	1
33	130000	635.6	259.7	1
34	135000	635.4	259.9	1
35	139000	635.2	259.8	1
36	143000	635.2	259.9	1
37	147000	635.3	260.1	1
38	151000	635.1	260.2	1
39	155000	635.3	260.2	1
40	159000	635.4	260.3	1
41	163000	635.5	260.1	1
42	169000	635.4	260.0	1
43	173000	635.7	260.3	1
44	177000	635.7	260.7	1
45	181000	635.6	260.9	1
46	185000	635.2	260.8	1
47	189000	635.1	261.0	1
48	193000	635.1	261.3	1
49	203000	635.0	261.5	1
50	207000	635.1	261.6	1
51	211000	634.9	261.6	1
52	215000	635.0	261.5	1
53	219000	634.6	261.7	1
54	223000	634.2	261.9	1
55	227000	634.1	262.3	1
56	231000	634.1	262.1	1
57	235000	633.9	262.5	1
58	239000	634.0	262.8	1
59	243000	633.9	263.0	1
60	247000	634.3	263.2	1
61	251000	634.2	263.6	1
62	255000	634.1	264.0	1
63	259000	634.2	264.3	1
64	263000	634.3	264.5	1
65	267000	635.1	264.9	1
66	271000	634.8	265.2	1
67	275000	635.0	265.1	1
68	279000	634.6	265.0	1
69	283000	634.3	265.0	1
70	284000	634.1	265.0	1
71	285000	634.0	265.1	1
72	286000	633.9	264.6	1
73	287000	633.9	264.8	1
