Index	Time	X_coord	Y_coord	Confidence
1	3000	586.4	233.5	1
2	7000	587.1	234.0	1
3	11000	587.1	233.7	1
4	15000	587.1	234.4	1
5	19000	587.4	235.2	1
6	23000	587.5	235.5	1
7	27000	587.4	235.1	1
8	31000	587.3	235.8	1
9	35000	585.6	234.5	1
10	39000	587.0	234.8	1
11	40000	587.2	234.5	1
12	41000	587.5	235.0	1
13	42000	588.5	234.5	1
14	46000	588.9	235.0	1
15	50000	588.6	234.3	1
16	54000	588.4	234.6	1
17	68000	588.4	235.0	1
18	72000	588.5	236.3	1
19	76000	587.6	236.5	1
20	80000	588.6	236.1	1
21	84000	587.9	236.0	1
22	88000	587.1	235.8	1
23	103000	587.4	235.3	1
24	107000	586.7	234.7	1
25	111000	587.5	235.0	1
26	115000	588.2	234.9	1
27	119000	589.1	234.8	1
28	123000	589.6	235.6	1
29	127000	587.0	235.0	1
30	134000	587.0	235.4	1
31	138000	588.2	234.8	1
32	142000	589.6	235.8	1
33	146000	589.6	236.0	1
34	150000	589.2	236.0	1
35	154000	589.3	236.9	1
36	158000	589.5	237.7	1
37	169000	590.2	238.3	1
38	173000	590.3	238.2	1
39	177000	590.3	238.0	1
40	181000	589.7	236.5	1
41	185000	589.1	234.9	1
42	189000	589.3	234.9	1
43	202000	589.2	234.8	1
44	206000	589.2	234.6	1
45	210000	588.9	234.8	1
46	214000	587.9	234.0	1
47	218000	588.4	234.8	1
48	222000	588.8	234.8	1
49	226000	589.9	235.0	1
50	230000	591.3	235.0	1
51	234000	590.1	235.9	1
52	238000	589.9	235.4	1
53	242000	589.7	235.1	1
54	243000	588.9	234.9	1
55	244000	589.4	235.2	1
56	245000	589.9	235.0	1
57	246000	591.6	234.9	1
58	250000	591.6	235.2	1
59	254000	591.7	235.5	1
60	258000	590.9	236.9	1
61	269000	590.1	236.5	1
62	273000	590.0	236.2	1
63	277000	590.3	236.4	1
64	281000	589.3	234.9	1
65	285000	590.6	234.7	1
66	289000	590.3	234.4	1
67	301000	590.0	234.0	1
68	305000	590.8	235.4	1
69	309000	591.4	234.9	1
70	313000	591.7	235.4	1
71	317000	591.1	235.8	1
72	321000	590.4	235.1	1
73	325000	591.4	234.6	1
74	329000	591.5	234.3	1
75	336000	591.2	234.0	1
76	340000	590.8	233.9	1
77	344000	591.5	234.0	1
78	348000	591.7	234.2	1
79	352000	591.8	234.3	1
80	356000	592.1	239.0	1
81	367000	592.6	238.1	1
82	371000	593.1	238.0	1
83	375000	594.0	238.0	1
84	379000	592.8	237.8	1
85	383000	594.1	237.8	1
86	387000	595.4	236.6	1
87	391000	599.5	236.7	1
88	395000	602.9	237.2	1
89	403000	618.0	239.0	1
90	407000	641.4	242.6	1
91	411000	658.2	245.6	1
92	415000	670.1	252.1	1
93	419000	669.4	252.3	1
94	423000	668.6	251.8	1
95	427000	668.5	252.1	1
96	431000	669.8	252.0	1
97	435000	671.1	252.9	1
98	439000	671.1	252.7	1
99	440000	671.2	252.5	1
100	441000	671.5	251.3	1
101	444000	671.8	250.8	1
102	448000	672.5	250.3	1
103	452000	672.4	249.8	1
104	467000	672.3	249.3	1
105	471000	673.1	249.7	1
106	475000	672.8	249.5	1
107	479000	672.8	251.3	1
108	483000	672.7	251.6	1
109	487000	673.0	251.5	1
110	501000	673.2	252.2	1
111	505000	673.3	252.9	1
112	509000	673.3	252.6	1
113	513000	673.2	252.5	1
114	517000	673.8	252.5	1
115	521000	674.4	252.5	1
116	525000	675.0	251.7	1
