Index	Time	X_coord	Y_coord	Confidence
1	3000	651.3	360.8	1
2	7000	651.5	360.9	1
3	11000	652.0	360.9	1
4	15000	652.0	360.8	1
5	19000	652.5	361.2	1
6	23000	652.4	361.1	1
7	27000	652.5	361.1	1
8	31000	652.1	360.8	1
9	35000	652.1	360.5	1
10	36000	652.0	360.4	1
11	38000	652.1	360.3	1
12	42000	652.0	360.8	1
13	46000	651.7	360.6	1
14	50000	651.3	360.5	1
15	66000	650.8	360.5	1
16	70000	648.7	360.5	1
17	74000	648.3	360.5	1
18	78000	647.3	361.0	1
19	82000	647.0	361.5	1
20	86000	646.7	362.4	1
21	90000	646.8	362.6	1
22	94000	646.8	362.5	1
23	101000	646.5	362.4	1
24	105000	646.7	362.0	1
25	109000	646.9	361.3	1
26	113000	647.6	361.1	1
27	117000	648.6	361.0	1
28	121000	648.6	360.6	1
29	125000	648.5	360.3	1
30	129000	648.4	360.6	1
31	133000	648.2	360.9	1
32	137000	648.1	361.4	1
33	141000	648.1	362.1	1
34	145000	648.4	362.2	1
35	149000	647.7	362.8	1
36	153000	647.5	362.2	1
37	157000	647.8	362.3	1
38	161000	647.8	361.3	1
39	167000	647.8	360.8	1
40	171000	647.8	360.7	1
41	175000	647.1	360.6	1
42	179000	647.4	361.2	1
43	183000	647.6	361.4	1
44	187000	647.6	361.4	1
45	200000	647.8	361.4	1
46	204000	647.9	361.4	1
47	208000	648.1	361.2	1
48	212000	648.2	360.5	1
49	216000	648.3	360.3	1
50	220000	648.1	360.2	1
51	224000	648.4	360.4	1
52	228000	648.6	360.6	1
53	232000	648.6	360.6	1
54	236000	648.6	360.9	1
55	240000	648.8	361.3	1
56	241000	648.7	362.0	1
57	242000	648.6	362.0	1
58	243000	648.8	362.0	1
59	247000	648.2	361.2	1
60	251000	648.2	360.8	1
61	255000	648.2	360.4	1
62	268000	647.8	359.8	1
63	272000	647.5	359.1	1
64	276000	647.5	359.0	1
65	280000	648.6	358.9	1
66	284000	648.5	357.2	1
67	288000	648.3	357.5	1
68	301000	648.5	357.7	1
69	305000	648.1	357.3	1
70	309000	647.6	357.0	1
71	313000	647.5	357.8	1
72	317000	647.8	357.8	1
73	321000	647.8	357.7	1
74	325000	647.7	357.4	1
75	329000	648.2	358.0	1
76	336000	648.1	357.3	1
77	340000	647.9	357.5	1
78	344000	647.5	357.2	1
79	348000	646.9	356.9	1
80	352000	646.4	356.0	1
81	356000	646.4	355.7	1
82	360000	646.0	355.7	1
83	371000	645.7	355.8	1
84	375000	645.5	355.9	1
85	379000	645.9	356.1	1
86	383000	645.7	356.3	1
87	387000	645.6	356.8	1
88	391000	645.0	357.3	1
89	402000	645.0	356.7	1
90	406000	644.5	356.1	1
91	410000	643.9	354.7	1
92	414000	642.8	353.8	1
93	418000	643.6	354.0	1
94	422000	644.4	354.1	1
95	426000	644.6	355.3	1
96	430000	644.8	357.0	1
97	434000	644.6	357.7	1
98	438000	644.6	357.9	1
99	439000	644.8	358.0	1
100	440000	644.8	357.0	1
101	444000	644.4	357.0	1
102	448000	644.1	356.5	1
103	452000	643.9	356.4	1
104	467000	644.0	356.4	1
105	471000	644.2	356.4	1
106	475000	644.7	357.3	1
107	479000	645.3	358.2	1
108	483000	645.7	358.1	1
109	487000	646.0	357.9	1
110	501000	646.3	357.0	1
111	505000	646.2	356.4	1
112	509000	646.4	356.4	1
113	513000	646.7	356.6	1
114	517000	647.1	356.6	1
115	521000	647.3	356.5	1
116	525000	646.8	356.3	1
117	533000	646.2	356.1	1
118	537000	646.5	356.1	1
119	541000	645.8	353.4	1
120	545000	646.8	350.5	1
121	549000	647.3	344.8	1
122	553000	647.5	328.6	1
123	557000	643.9	296.4	1
124	569000	640.4	272.0	1
125	573000	635.7	238.3	1
126	577000	636.9	225.6	1
127	581000	639.4	218.3	1
128	585000	639.9	218.2	1
129	589000	640.0	218.1	1
130	600000	639.1	217.9	1
131	604000	638.9	217.9	1
132	608000	638.6	216.3	1
133	612000	638.4	214.7	1
134	616000	638.3	215.2	1
135	620000	638.6	214.6	1
136	624000	639.0	214.9	1
137	628000	638.7	214.8	1
138	632000	639.0	214.6	1
139	636000	639.4	215.1	1
140	637000	640.4	215.5	1
141	638000	640.9	215.7	1
142	641000	641.3	215.7	1
143	645000	641.1	214.1	1
144	649000	641.4	212.5	1
145	653000	642.0	212.9	1
146	670000	642.6	213.0	1
147	674000	643.1	212.9	1
148	678000	643.9	212.8	1
149	682000	644.1	213.0	1
150	686000	644.1	211.5	1
151	701000	644.3	210.7	1
152	705000	644.3	210.0	1
153	709000	644.4	209.8	1
154	713000	644.0	209.7	1
155	717000	643.6	209.2	1
156	721000	643.9	208.6	1
157	725000	644.3	209.9	1
158	734000	644.3	210.1	1
159	738000	644.4	209.7	1
160	742000	644.7	209.9	1
161	746000	644.7	210.2	1
162	750000	644.8	210.4	1
163	754000	644.3	210.6	1
164	758000	643.9	211.7	1
165	770000	643.5	211.7	1
166	774000	643.1	211.7	1
167	778000	643.3	211.7	1
168	782000	643.2	211.5	1
169	786000	643.1	211.4	1
170	790000	643.2	211.5	1
171	803000	643.3	211.6	1
172	807000	643.0	211.6	1
173	811000	643.0	211.7	1
174	815000	643.0	212.5	1
175	819000	642.9	212.8	1
176	823000	642.8	212.7	1
177	827000	641.7	212.7	1
178	831000	641.2	212.5	1
179	835000	641.1	212.3	1
180	836000	640.9	212.2	1
181	838000	640.8	212.1	1
182	842000	640.8	212.1	1
183	846000	640.4	212.2	1
184	850000	640.5	212.5	1
185	854000	640.5	212.6	1
186	869000	639.9	212.4	1
187	873000	639.4	213.5	1
188	877000	639.1	213.5	1
189	881000	639.1	213.6	1
190	885000	639.1	213.7	1
191	889000	639.3	213.2	1
192	903000	639.5	212.6	1
193	907000	640.1	212.2	1
194	911000	639.9	211.9	1
195	915000	639.6	210.5	1
196	919000	639.7	210.6	1
197	923000	639.4	210.6	1
198	927000	639.3	210.6	1
199	937000	639.2	210.7	1
200	941000	638.6	210.9	1
201	945000	638.0	212.0	1
202	949000	638.4	212.3	1
203	953000	638.3	212.7	1
204	957000	638.2	213.0	1
205	969000	638.4	213.2	1
206	973000	638.2	213.1	1
207	977000	638.4	213.1	1
208	981000	638.6	213.2	1
209	985000	639.3	213.2	1
210	989000	639.4	212.7	1
211	993000	639.3	212.4	1
212	1004000	639.5	212.2	1
213	1008000	639.4	210.7	1
214	1012000	639.2	210.3	1
215	1016000	638.9	210.0	1
216	1020000	638.6	209.4	1
217	1024000	638.5	209.5	1
