% Handlabelling data is arranged in 3 columns: handlabeller1 and handlabeller2 indicate the first two experts, handlabeller_final column contains the final, tie-breaking labels.
% Labels in these columns are to be interpreted as follows:
%   - 0 is UNKNOWN
%   - 1 is FIX (fixation)
%   - 2 is SACCADE
%   - 3 is SP (smooth pursuit)
%   - 4 is NOISE
% 
%@METADATA width_px 1280.0
%@METADATA height_px 720.0
%@METADATA width_mm 400.0
%@METADATA height_mm 225.0
%@METADATA distance_mm 450.0
@RELATION gaze_labels

@ATTRIBUTE time INTEGER
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE confidence NUMERIC
@ATTRIBUTE handlabeller1 INTEGER
@ATTRIBUTE handlabeller2 INTEGER
@ATTRIBUTE handlabeller_final INTEGER

@DATA
1000,585.1,263.5,1.0,0,0,1
4000,585.1,263.6,1.0,1,1,1
8000,585.1,263.7,1.0,1,1,1
12000,585.4,263.7,1.0,1,1,1
16000,585.6,263.9,1.0,1,1,1
20000,585.6,264.0,1.0,1,1,1
24000,585.7,264.0,1.0,1,1,1
28000,585.9,264.1,1.0,1,1,1
32000,586.2,264.4,1.0,1,1,1
36000,586.2,264.4,1.0,1,1,1
40000,586.3,264.5,1.0,1,1,1
41000,586.6,264.8,1.0,1,1,1
42000,586.8,264.9,1.0,1,1,1
44000,586.9,265.1,1.0,1,1,1
48000,587.2,265.4,1.0,1,1,1
52000,587.3,265.4,1.0,1,1,1
56000,587.4,265.3,1.0,1,1,1
60000,588.0,265.2,1.0,1,1,1
69000,587.9,265.4,1.0,1,1,1
73000,587.8,265.5,1.0,1,1,1
77000,587.6,265.5,1.0,1,1,1
81000,587.4,265.3,1.0,1,1,1
85000,587.0,265.2,1.0,1,1,1
89000,586.9,265.2,1.0,1,1,1
101000,586.8,265.1,1.0,1,1,1
105000,586.6,264.6,1.0,1,1,1
109000,586.5,264.4,1.0,1,1,1
113000,586.4,263.7,1.0,1,1,1
117000,586.1,263.0,1.0,1,1,1
121000,586.1,263.0,1.0,1,1,1
125000,585.9,262.7,1.0,1,1,1
129000,585.8,262.5,1.0,1,1,1
134000,585.4,262.6,1.0,1,1,1
138000,585.1,262.7,1.0,1,1,1
142000,584.7,262.9,1.0,1,1,1
146000,584.7,263.1,1.0,1,1,1
150000,584.8,263.4,1.0,1,1,1
154000,584.9,263.4,1.0,1,1,1
158000,585.0,263.4,1.0,1,1,1
166000,585.1,263.5,1.0,1,1,1
170000,585.2,263.9,1.0,1,1,1
174000,585.5,263.9,1.0,1,1,1
178000,585.4,263.8,1.0,1,1,1
182000,585.4,263.8,1.0,1,1,1
186000,585.5,263.9,1.0,1,1,1
190000,585.6,263.9,1.0,1,1,1
194000,585.6,264.1,1.0,1,1,1
203000,585.7,264.3,1.0,1,1,1
207000,585.9,264.3,1.0,1,1,1
211000,585.9,264.2,1.0,1,1,1
215000,586.0,264.2,1.0,1,1,1
219000,586.1,264.1,1.0,1,1,1
223000,586.1,263.8,1.0,1,1,1
227000,586.4,263.6,1.0,1,1,1
231000,586.6,263.4,1.0,1,1,1
235000,586.3,263.4,1.0,1,1,1
239000,586.1,263.6,1.0,1,1,1
243000,585.6,263.9,1.0,1,1,1
244000,585.2,264.3,1.0,1,1,1
245000,584.3,267.0,1.0,2,2,2
246000,584.2,278.4,1.0,2,2,2
247000,586.2,301.3,1.0,2,2,2
251000,586.0,333.2,1.0,2,2,2
255000,580.1,363.9,1.0,2,2,2
267000,570.9,386.4,1.0,2,2,2
271000,561.0,398.1,1.0,2,2,2
275000,560.9,397.4,1.0,2,2,2
279000,560.9,396.7,1.0,1,1,1
283000,561.6,393.9,1.0,1,1,1
287000,564.5,392.1,1.0,1,1,1
301000,565.4,392.2,1.0,1,1,1
305000,565.4,392.4,1.0,1,1,1
309000,565.6,393.7,1.0,1,1,1
313000,565.4,394.3,1.0,1,1,1
317000,565.8,396.3,1.0,1,1,1
321000,566.1,397.2,1.0,1,1,1
325000,566.2,397.1,1.0,1,1,1
329000,566.5,396.9,1.0,1,1,1
333000,566.5,396.5,1.0,1,1,1
337000,567.3,396.4,1.0,1,1,1
341000,567.5,396.3,1.0,1,1,1
345000,567.8,396.2,1.0,1,1,1
349000,568.0,396.1,1.0,1,1,1
353000,568.1,396.0,1.0,1,1,1
357000,568.3,395.9,1.0,1,1,1
361000,568.6,395.7,1.0,1,1,1
370000,568.6,395.5,1.0,1,1,1
374000,568.8,395.3,1.0,1,1,1
378000,568.9,395.2,1.0,1,1,1
382000,569.1,395.1,1.0,1,1,1
386000,569.2,395.0,1.0,1,1,1
390000,569.1,394.1,1.0,1,1,1
394000,569.1,393.7,1.0,1,1,1
403000,569.0,393.2,1.0,1,1,1
407000,568.9,392.7,1.0,1,1,1
411000,568.8,392.8,1.0,1,1,1
415000,568.8,392.8,1.0,1,1,1
419000,568.7,392.8,1.0,1,1,1
423000,568.5,392.8,1.0,1,1,1
427000,568.3,392.7,1.0,1,1,1
431000,568.3,392.7,1.0,1,1,1
435000,568.2,392.6,1.0,1,1,1
439000,568.1,391.9,1.0,1,1,1
443000,568.0,391.9,1.0,1,1,1
447000,567.9,392.0,1.0,1,1,1
451000,567.7,392.2,1.0,1,1,1
455000,567.7,392.5,1.0,1,1,1
459000,567.7,392.3,1.0,1,1,1
463000,567.7,392.5,1.0,1,1,1
467000,567.6,392.5,1.0,1,1,1
471000,567.5,392.5,1.0,1,1,1
475000,567.5,392.5,1.0,1,1,1
479000,567.2,392.5,1.0,1,1,1
483000,567.1,392.6,1.0,1,2,1
484000,566.9,392.3,1.0,1,2,1
485000,566.8,392.2,1.0,1,2,1
486000,566.4,391.9,1.0,1,2,1
487000,566.2,391.9,1.0,2,2,2
488000,567.8,391.4,1.0,2,2,2
489000,569.2,390.1,1.0,2,2,2
490000,572.0,387.7,1.0,2,2,2
491000,581.8,380.7,1.0,2,2,2
492000,593.2,362.7,1.0,2,2,2
493000,605.5,348.3,1.0,2,2,2
494000,613.2,338.2,1.0,2,2,2
495000,615.9,331.9,1.0,2,2,2
496000,618.2,325.4,1.0,2,2,2
497000,620.6,323.3,1.0,2,2,2
498000,619.9,322.6,1.0,2,2,2
499000,619.5,323.3,1.0,2,2,2
500000,618.9,324.1,1.0,2,2,2
502000,618.7,324.6,1.0,2,2,2
506000,619.3,324.7,1.0,1,1,1
510000,619.8,324.3,1.0,1,1,1
514000,619.9,324.0,1.0,1,1,1
518000,619.9,323.7,1.0,1,1,1
519000,619.6,323.7,1.0,1,1,1
520000,619.4,323.6,1.0,1,1,1
521000,619.3,323.5,1.0,1,1,1
522000,619.2,323.8,1.0,1,1,1
523000,619.0,324.1,1.0,1,1,1
524000,618.9,324.1,1.0,1,1,1
525000,618.8,324.2,1.0,1,1,1
526000,618.3,324.7,1.0,1,1,1
527000,618.2,325.0,1.0,1,1,1
528000,618.2,325.1,1.0,1,1,1
529000,618.1,325.2,1.0,1,1,1
