Index	Time	X_coord	Y_coord	Confidence
1	1000	428.1	320.7	1
2	5000	428.1	320.5	1
3	9000	428.1	320.2	1
4	13000	427.8	320.3	1
5	17000	428.2	320.3	1
6	21000	428.2	320.7	1
7	25000	428.3	320.3	1
8	29000	428.4	320.7	1
9	33000	428.1	321.1	1
10	37000	428.3	320.6	1
11	38000	428.6	320.9	1
12	39000	428.4	321.1	1
13	43000	429.1	320.7	1
14	47000	429.5	321.4	1
15	51000	429.8	321.1	1
16	55000	430.0	320.8	1
17	69000	430.1	320.6	1
18	73000	430.4	320.5	1
19	77000	430.6	320.1	1
20	81000	442.0	320.7	1
21	85000	454.5	318.6	1
22	89000	452.6	316.2	1
23	93000	450.8	315.8	1
24	97000	448.9	315.4	1
25	101000	448.4	314.6	1
26	105000	448.5	314.0	1
27	109000	448.6	313.0	1
28	113000	449.9	313.2	1
29	117000	449.7	313.2	1
30	121000	449.5	313.2	1
31	125000	449.5	314.0	1
32	129000	449.3	314.1	1
33	133000	449.3	314.2	1
34	137000	449.4	315.5	1
35	141000	449.3	315.9	1
36	145000	449.5	315.9	1
37	149000	449.7	316.4	1
38	153000	450.1	317.0	1
39	157000	450.5	316.6	1
40	158000	450.5	316.7	1
41	159000	450.7	316.7	1
42	160000	450.7	316.9	1
43	161000	450.7	316.8	1
44	162000	450.9	316.8	1
45	163000	450.9	316.8	1
46	164000	451.1	316.8	1
47	165000	450.6	317.1	1
48	166000	450.1	316.3	1
49	167000	449.8	315.5	1
50	168000	449.6	315.2	1
51	169000	449.4	314.8	1
52	170000	449.9	314.5	1
53	171000	450.3	314.2	1
54	172000	450.6	314.3	1
55	173000	450.5	313.8	1
56	174000	450.6	313.4	1
57	175000	450.6	313.1	1
58	176000	450.6	313.4	1
59	179000	450.7	313.4	1
60	183000	450.7	314.4	1
61	187000	450.9	315.5	1
62	191000	450.6	315.7	1
63	202000	450.2	315.9	1
64	206000	449.9	316.1	1
65	210000	449.7	316.4	1
66	214000	449.6	316.6	1
67	218000	449.8	316.5	1
68	222000	449.7	316.4	1
69	226000	449.5	316.8	1
70	230000	449.4	316.8	1
71	234000	449.4	316.7	1
72	238000	449.4	316.6	1
73	242000	449.2	315.9	1
74	243000	449.0	315.3	1
75	244000	448.7	314.8	1
76	245000	448.6	314.6	1
77	248000	448.6	314.5	1
78	252000	448.8	314.2	1
79	256000	448.7	314.0	1
80	269000	449.3	313.9	1
81	273000	449.5	314.7	1
82	277000	449.7	314.9	1
83	281000	449.9	315.0	1
84	285000	450.2	315.1	1
85	289000	453.4	315.1	1
86	302000	456.5	316.0	1
87	306000	477.6	318.3	1
88	310000	511.9	320.0	1
89	314000	553.9	321.9	1
90	318000	590.6	322.2	1
91	322000	616.0	322.2	1
92	326000	627.4	321.3	1
93	330000	631.7	321.0	1
94	335000	663.5	322.0	1
95	339000	694.4	323.1	1
96	343000	692.4	323.1	1
97	347000	690.2	322.4	1
98	351000	691.6	322.3	1
99	355000	692.9	322.4	1
100	359000	694.1	322.5	1
101	369000	695.3	322.7	1
102	373000	696.9	325.4	1
103	377000	697.7	328.0	1
104	381000	698.0	328.6	1
105	385000	698.3	329.2	1
106	389000	698.0	329.1	1
107	400000	698.6	329.3	1
108	404000	699.1	328.3	1
109	408000	699.7	327.4	1
110	412000	700.5	328.0	1
111	416000	701.1	328.5	1
112	420000	701.3	328.2	1
113	424000	701.0	327.9	1
114	428000	700.7	327.6	1
115	432000	701.8	327.3	1
116	436000	702.5	323.8	1
117	437000	703.4	324.2	1
118	439000	704.2	323.9	1
119	443000	704.1	323.5	1
120	447000	704.5	324.4	1
121	451000	705.0	325.3	1
122	455000	705.0	325.5	1
123	470000	705.0	325.8	1
124	474000	705.3	328.8	1
125	478000	705.1	329.1	1
126	482000	705.3	329.0	1
127	486000	705.7	329.8	1
128	500000	705.4	330.5	1
129	504000	705.7	330.2	1
130	508000	706.0	330.2	1
131	512000	706.0	330.3	1
132	516000	706.0	330.4	1
133	520000	706.3	330.5	1
134	524000	706.3	330.4	1
135	528000	706.5	330.4	1
136	536000	706.8	330.4	1
137	540000	706.4	330.3	1
138	544000	706.2	331.0	1
139	548000	706.3	331.6	1
140	552000	706.3	331.6	1
141	556000	706.4	331.6	1
142	569000	707.0	332.5	1
143	573000	707.4	332.1	1
144	577000	707.7	331.6	1
145	581000	708.0	331.5	1
146	585000	708.2	331.7	1
147	589000	708.4	331.9	1
148	593000	709.3	332.9	1
149	603000	709.5	333.0	1
150	607000	709.4	333.2	1
151	611000	709.4	333.9	1
152	615000	709.7	334.1	1
153	619000	709.4	334.0	1
154	623000	710.0	333.9	1
155	627000	710.7	334.4	1
156	631000	710.5	334.6	1
157	635000	710.4	334.7	1
158	636000	710.3	334.8	1
159	637000	709.9	334.2	1
160	641000	710.4	334.3	1
161	645000	709.9	334.5	1
162	649000	709.4	334.9	1
163	653000	710.4	335.0	1
164	669000	711.3	334.8	1
165	673000	710.7	334.8	1
166	677000	710.1	334.7	1
167	681000	710.1	334.1	1
168	685000	710.0	334.7	1
169	689000	709.9	335.3	1
170	704000	710.1	334.7	1
171	708000	710.4	334.9	1
172	712000	710.3	334.9	1
173	716000	710.1	334.9	1
174	720000	709.7	334.9	1
175	724000	709.7	335.0	1
176	734000	709.6	335.3	1
177	738000	709.1	335.0	1
178	742000	708.9	335.2	1
179	746000	709.7	335.5	1
180	750000	709.8	336.1	1
181	754000	709.9	336.2	1
182	758000	710.3	336.3	1
183	769000	710.3	336.4	1
184	773000	710.3	336.1	1
185	777000	710.7	335.9	1
186	781000	710.3	335.8	1
187	785000	709.9	335.6	1
188	789000	709.8	335.8	1
189	802000	710.2	335.9	1
190	806000	710.6	336.5	1
191	810000	710.8	336.2	1
192	814000	710.9	336.4	1
193	818000	711.0	336.5	1
194	822000	711.3	336.1	1
195	826000	711.7	335.9	1
196	830000	712.3	335.9	1
197	834000	711.6	335.6	1
198	838000	712.0	336.1	1
199	839000	712.4	336.0	1
200	841000	712.6	336.4	1
201	845000	712.1	335.7	1
202	849000	712.5	335.4	1
203	853000	712.9	335.3	1
204	868000	712.9	335.3	1
205	872000	713.0	335.9	1
206	876000	713.2	336.1	1
207	880000	713.4	336.1	1
208	884000	713.6	336.4	1
209	888000	713.7	336.5	1
210	902000	714.8	336.5	1
211	906000	714.7	337.1	1
212	910000	714.5	336.4	1
213	914000	715.0	336.5	1
214	918000	715.5	336.6	1
215	922000	715.9	336.6	1
216	926000	715.5	336.7	1
217	936000	715.5	336.9	1
218	940000	715.5	336.6	1
219	944000	715.5	336.4	1
220	948000	715.6	336.6	1
221	952000	715.8	336.2	1
222	956000	716.9	336.0	1
223	968000	718.0	335.9	1
224	972000	718.2	336.2	1
225	976000	718.2	336.6	1
226	980000	718.2	337.3	1
227	984000	718.1	338.1	1
228	988000	717.7	338.8	1
229	992000	717.7	339.1	1
230	1003000	717.9	339.4	1
231	1007000	717.4	338.9	1
232	1011000	717.4	338.4	1
233	1015000	717.3	338.0	1
234	1019000	716.9	337.7	1
235	1023000	716.6	337.3	1
236	1027000	716.2	337.0	1
237	1031000	716.9	337.7	1
238	1035000	717.4	337.7	1
239	1039000	717.1	338.0	1
240	1040000	717.3	338.4	1
241	1041000	717.4	339.0	1
242	1044000	717.5	339.5	1
243	1048000	717.7	340.0	1
244	1052000	717.8	340.2	1
245	1070000	717.6	340.1	1
246	1074000	717.4	340.1	1
247	1078000	716.6	339.9	1
248	1082000	716.8	339.8	1
249	1086000	716.3	339.4	1
250	1101000	715.8	339.6	1
251	1105000	716.5	339.9	1
252	1109000	716.4	339.3	1
253	1113000	716.4	339.4	1
254	1117000	716.5	339.5	1
255	1121000	716.5	339.2	1
256	1125000	716.5	339.5	1
257	1129000	716.4	339.8	1
258	1137000	716.1	340.7	1
259	1141000	715.7	340.3	1
260	1145000	715.8	340.5	1
261	1149000	715.3	340.8	1
262	1153000	715.5	341.2	1
263	1157000	715.6	340.0	1
264	1169000	715.8	340.6	1
265	1173000	716.0	341.2	1
266	1177000	715.9	341.0	1
267	1181000	716.1	341.2	1
268	1185000	716.4	341.4	1
269	1189000	716.2	341.4	1
270	1193000	716.0	341.3	1
271	1197000	715.8	340.7	1
272	1204000	715.6	341.1	1
273	1208000	714.8	341.4	1
274	1212000	715.0	343.1	1
275	1216000	715.5	347.1	1
276	1220000	716.1	350.4	1
277	1224000	716.6	352.0	1
278	1228000	717.3	353.8	1
279	1232000	730.3	364.4	1
280	1236000	758.8	369.8	1
281	1240000	779.3	374.0	1
282	1244000	798.3	384.8	1
283	1248000	820.2	387.6	1
284	1252000	824.2	388.5	1
285	1256000	828.2	388.8	1
286	1260000	831.1	388.8	1
287	1264000	831.1	388.7	1
288	1267000	830.7	383.9	1
289	1271000	832.6	385.3	1
290	1275000	834.4	386.6	1
291	1279000	834.7	389.5	1
292	1283000	834.8	389.6	1
293	1287000	835.9	389.7	1
294	1291000	837.0	389.9	1
295	1295000	838.9	391.5	1
296	1299000	839.0	391.9	1
297	1303000	839.1	392.3	1
298	1307000	839.4	393.1	1
299	1311000	839.6	393.9	1
300	1315000	840.5	393.8	1
301	1319000	841.3	393.7	1
302	1323000	841.5	393.9	1
303	1327000	841.4	393.4	1
304	1331000	841.5	394.0	1
305	1336000	841.7	394.7	1
306	1340000	842.0	394.5	1
307	1344000	841.7	394.4	1
308	1348000	841.8	394.7	1
309	1352000	841.8	395.0	1
310	1356000	841.3	393.4	1
311	1360000	840.8	391.8	1
312	1364000	840.7	392.6	1
313	1368000	840.7	393.4	1
314	1372000	840.3	393.5	1
315	1376000	839.9	393.0	1
316	1380000	840.0	393.7	1
317	1384000	840.3	393.8	1
318	1388000	840.0	393.8	1
319	1392000	840.1	393.7	1
320	1396000	840.0	392.1	1
321	1400000	839.9	390.6	1
322	1403000	839.9	389.9	1
323	1407000	840.0	389.7	1
324	1411000	840.0	389.4	1
325	1415000	840.0	389.3	1
326	1419000	840.0	389.3	1
327	1423000	840.1	389.3	1
328	1427000	840.2	389.3	1
329	1431000	840.2	389.3	1
330	1435000	840.3	390.0	1
331	1439000	840.3	390.5	1
332	1443000	840.6	393.0	1
333	1447000	841.3	392.4	1
334	1451000	841.5	391.9	1
335	1455000	841.6	390.7	1
336	1459000	841.4	391.0	1
337	1463000	841.1	390.0	1
338	1467000	840.3	389.0	1
339	1472000	839.4	388.1	1
340	1476000	833.9	387.2	1
341	1480000	817.9	386.6	1
342	1484000	791.6	385.9	1
343	1488000	760.9	388.2	1
344	1492000	725.8	390.2	1
345	1496000	697.9	396.3	1
346	1500000	662.9	399.9	1
347	1503000	617.1	403.0	1
348	1507000	592.1	404.2	1
349	1511000	571.3	404.2	1
350	1515000	546.7	402.3	1
351	1519000	549.0	401.8	1
352	1523000	550.1	402.2	1
353	1527000	550.5	402.5	1
354	1531000	545.4	403.9	1
355	1535000	540.4	407.2	1
356	1539000	538.8	407.6	1
357	1543000	538.7	406.9	1
358	1547000	538.7	407.0	1
359	1551000	539.4	407.1	1
360	1555000	540.0	407.1	1
361	1559000	540.2	408.1	1
362	1563000	540.3	408.0	1
363	1567000	540.9	407.9	1
364	1571000	541.5	407.9	1
365	1575000	541.7	407.9	1
366	1579000	541.6	407.1	1
367	1583000	541.6	407.0	1
368	1587000	541.8	407.0	1
369	1591000	541.7	404.3	1
370	1595000	542.0	403.3	1
371	1599000	541.6	402.9	1
372	1603000	541.1	402.5	1
373	1607000	541.1	403.3	1
374	1611000	541.1	403.4	1
375	1615000	540.4	403.5	1
376	1619000	541.2	403.1	1
377	1623000	541.3	402.6	1
378	1627000	541.0	402.2	1
379	1631000	540.8	402.2	1
380	1635000	539.7	402.1	1
381	1639000	539.7	401.7	1
382	1643000	539.8	401.4	1
383	1647000	540.0	401.3	1
384	1651000	540.0	400.6	1
385	1655000	540.0	400.3	1
386	1659000	539.4	400.3	1
387	1663000	539.6	400.5	1
388	1667000	539.8	400.6	1
389	1671000	539.7	400.9	1
390	1675000	539.5	400.7	1
391	1679000	540.0	400.7	1
392	1683000	539.8	400.7	1
393	1687000	539.6	401.3	1
394	1691000	540.4	401.6	1
395	1695000	540.2	401.5	1
396	1699000	540.4	401.4	1
397	1703000	540.7	402.2	1
398	1707000	540.0	401.9	1
399	1711000	539.7	401.6	1
400	1715000	539.4	400.3	1
401	1719000	539.3	400.3	1
402	1723000	539.3	400.3	1
403	1727000	540.1	400.3	1
404	1731000	540.8	400.1	1
405	1736000	540.5	400.0	1
406	1740000	540.8	400.0	1
407	1744000	540.7	400.0	1
408	1748000	541.5	400.2	1
409	1752000	542.3	399.1	1
410	1756000	544.1	398.1	1
411	1760000	555.8	396.3	1
412	1764000	585.3	391.9	1
413	1768000	602.3	392.8	1
414	1771000	602.6	392.9	1
415	1775000	602.4	392.6	1
416	1779000	602.3	392.3	1
417	1783000	600.9	391.8	1
418	1787000	600.8	391.3	1
419	1791000	601.0	390.9	1
420	1795000	601.3	391.0	1
421	1799000	603.7	391.1	1
422	1803000	605.2	391.7	1
423	1807000	605.2	394.4	1
424	1811000	604.9	393.9	1
425	1815000	604.2	393.8	1
426	1819000	603.7	393.7	1
427	1823000	603.7	393.7	1
428	1827000	603.7	393.9	1
429	1831000	604.0	394.1	1
430	1835000	604.3	394.2	1
431	1839000	605.1	394.3	1
432	1843000	605.4	394.9	1
433	1847000	605.7	395.5	1
434	1851000	605.9	394.9	1
435	1855000	606.1	395.4	1
436	1859000	604.9	395.3	1
437	1863000	605.0	396.0	1
438	1867000	604.9	395.9	1
439	1871000	604.7	396.1	1
440	1875000	604.5	396.4	1
441	1879000	604.5	396.4	1
442	1883000	604.6	396.1	1
443	1887000	604.6	395.9	1
444	1891000	604.7	395.8	1
445	1895000	604.7	394.4	1
446	1899000	624.0	393.8	1
447	1903000	647.2	368.5	1
448	1907000	670.4	347.4	1
449	1911000	672.6	324.7	1
450	1915000	675.7	312.5	1
451	1919000	675.3	301.7	1
452	1923000	675.6	297.2	1
453	1927000	676.1	296.3	1
454	1931000	676.9	297.3	1
455	1935000	678.0	298.4	1
456	1939000	678.8	296.5	1
457	1943000	679.2	294.6	1
458	1947000	681.5	295.6	1
459	1951000	681.9	295.8	1
460	1955000	682.3	296.0	1
461	1959000	681.9	295.3	1
462	1963000	681.8	295.6	1
463	1967000	682.0	295.9	1
464	1971000	682.1	297.2	1
465	1975000	682.1	296.2	1
466	1979000	682.1	295.1	1
467	1983000	682.2	294.0	1
468	1987000	682.5	294.6	1
469	1991000	682.6	293.7	1
470	1995000	682.2	292.9	1
471	1999000	682.0	294.5	1
472	2003000	683.1	294.5	1
473	2007000	683.0	294.3	1
474	2011000	682.8	294.0	1
475	2015000	682.3	293.7	1
476	2019000	682.4	292.6	1
477	2023000	681.3	291.5	1
478	2027000	681.2	291.5	1
479	2031000	681.1	292.0	1
480	2035000	680.7	292.5	1
481	2039000	680.4	292.0	1
482	2043000	680.2	292.0	1
483	2047000	680.1	292.0	1
484	2051000	680.7	292.5	1
485	2055000	681.0	294.0	1
486	2059000	681.1	293.4	1
487	2063000	681.8	293.4	1
488	2067000	682.1	293.3	1
