Index	Time	X_coord	Y_coord	Confidence
1	2000	691.9	449.5	1
2	6000	691.7	449.3	1
3	10000	691.8	449.5	1
4	14000	691.7	449.1	1
5	18000	691.6	448.8	1
6	22000	691.3	448.0	1
7	26000	690.9	447.9	1
8	30000	690.2	447.8	1
9	34000	690.1	447.2	1
10	38000	690.0	446.7	1
11	39000	689.7	446.3	1
12	40000	689.8	445.9	1
13	41000	689.9	445.5	1
14	45000	690.0	445.3	1
15	49000	689.9	445.1	1
16	53000	689.8	444.1	1
17	67000	689.1	444.0	1
18	71000	688.5	443.8	1
19	75000	688.5	443.6	1
20	79000	688.5	443.4	1
21	83000	688.8	443.0	1
22	87000	688.7	442.3	1
23	102000	688.6	441.6	1
24	106000	688.8	441.5	1
25	110000	688.6	441.3	1
26	114000	688.6	441.1	1
27	118000	688.6	440.8	1
28	122000	688.7	440.0	1
29	126000	688.7	439.2	1
30	133000	688.7	439.5	1
31	137000	688.7	439.5	1
32	141000	688.6	439.6	1
33	145000	688.1	439.7	1
34	149000	687.9	439.9	1
35	153000	687.9	440.7	1
36	157000	687.9	441.1	1
37	169000	687.9	441.2	1
38	173000	688.4	441.3	1
39	177000	689.2	441.1	1
40	181000	689.8	441.3	1
41	185000	689.8	441.4	1
42	189000	689.8	441.6	1
43	201000	689.7	441.8	1
44	205000	689.7	442.3	1
45	209000	689.8	442.9	1
46	213000	689.8	442.8	1
47	217000	689.8	442.9	1
48	221000	689.6	442.8	1
49	225000	689.7	442.8	1
50	229000	689.7	442.6	1
51	233000	689.4	441.7	1
52	237000	689.5	441.6	1
53	238000	689.7	441.6	1
54	239000	689.8	441.7	1
55	241000	689.9	441.6	1
56	245000	689.8	441.8	1
57	249000	689.7	442.0	1
58	253000	689.7	442.5	1
59	267000	689.8	442.2	1
60	271000	689.7	441.9	1
61	275000	689.5	441.8	1
62	279000	689.5	441.8	1
63	283000	689.5	441.9	1
64	287000	689.7	442.0	1
65	301000	689.9	441.9	1
66	305000	690.5	441.7	1
67	309000	690.4	441.7	1
68	313000	690.6	441.8	1
69	317000	690.7	441.8	1
70	321000	690.7	441.7	1
71	325000	690.6	441.7	1
72	329000	690.5	441.3	1
73	336000	690.3	440.8	1
74	340000	690.3	440.6	1
75	344000	690.3	440.5	1
76	348000	690.3	440.5	1
77	352000	690.2	440.5	1
78	356000	690.1	440.5	1
79	368000	690.1	440.5	1
80	372000	690.1	440.6	1
81	376000	690.1	440.8	1
82	380000	690.1	440.7	1
83	384000	690.1	440.6	1
84	388000	690.0	440.5	1
85	392000	690.1	440.4	1
86	402000	689.9	440.6	1
87	406000	689.6	440.9	1
88	410000	689.4	441.0	1
89	414000	689.4	440.7	1
90	418000	689.2	440.6	1
91	422000	689.1	440.4	1
92	426000	689.3	440.4	1
93	430000	689.4	440.3	1
94	434000	689.9	440.2	1
95	438000	690.0	440.0	1
96	439000	689.8	439.7	1
97	440000	689.9	439.8	1
98	444000	689.8	439.8	1
99	448000	690.0	440.3	1
100	452000	690.2	440.8	1
101	468000	690.4	440.9	1
102	472000	690.4	440.9	1
103	476000	690.5	440.9	1
104	480000	690.4	441.0	1
105	484000	690.2	441.0	1
106	488000	690.2	440.9	1
107	502000	690.2	440.9	1
108	506000	690.4	440.8	1
109	510000	690.5	440.6	1
110	514000	690.4	440.3	1
111	518000	690.3	439.9	1
112	522000	689.7	439.4	1
113	526000	689.6	439.5	1
114	535000	689.4	439.6	1
115	539000	689.3	439.5	1
116	543000	689.4	439.6	1
117	547000	689.5	439.5	1
118	551000	689.6	439.4	1
119	555000	689.7	439.2	1
120	567000	689.6	439.2	1
121	571000	689.9	439.2	1
122	575000	690.1	438.7	1
123	579000	690.2	438.6	1
124	583000	690.3	438.4	1
125	587000	690.4	438.3	1
126	591000	690.6	437.1	1
127	602000	690.6	436.5	1
128	606000	690.5	436.0	1
129	610000	690.4	435.6	1
130	614000	693.6	432.9	0
131	618000	696.3	427.8	0
132	622000	711.5	423.2	0
133	626000	716.4	423.0	0
134	630000	718.8	422.7	0
135	634000	719.3	418.9	0
136	638000	719.4	412.4	0
137	639000	717.2	397.2	0
138	640000	716.0	389.6	0
139	643000	715.4	385.9	0
140	647000	714.8	382.1	0
141	651000	717.7	393.7	0
142	668000	727.4	451.7	0
143	672000	739.2	518.6	0
144	676000	754.5	594.9	0
145	680000	765.6	654.9	0
146	684000	768.4	669.9	0
147	688000	771.2	685.0	0
148	703000	774.0	700.2	0
149	707000	776.7	715.4	0
150	711000	776.7	715.4	0
151	715000	0.0	0.0	0
152	719000	0.0	0.0	0
153	723000	0.0	0.0	0
154	727000	0.0	0.0	0
155	734000	0.0	0.0	0
156	738000	0.0	0.0	0
157	742000	0.0	0.0	0
158	746000	0.0	0.0	0
159	750000	0.0	0.0	0
160	754000	0.0	0.0	0
161	758000	0.0	0.0	0
162	762000	0.0	0.0	0
163	766000	0.0	0.0	0
164	770000	682.8	578.9	0
165	774000	682.8	578.9	0
166	778000	680.7	570.6	0
167	782000	678.6	562.3	0
168	786000	674.4	545.7	0
169	790000	668.1	512.5	0
170	794000	664.0	487.0	0
171	798000	660.2	462.4	0
172	801000	661.1	440.6	0
173	805000	660.2	418.6	0
174	809000	660.5	400.5	0
175	813000	659.9	379.8	0
176	817000	658.8	363.2	0
177	821000	658.0	349.6	0
178	825000	656.6	337.3	0
179	829000	655.6	325.4	0
180	834000	655.6	323.2	0
181	838000	655.6	323.0	0
182	842000	655.5	322.7	0
183	846000	655.4	322.8	0
184	850000	655.6	322.9	0
185	854000	655.8	322.9	0
186	858000	655.2	323.0	0
187	862000	654.6	323.1	0
188	866000	654.4	329.3	0
189	869000	644.6	340.9	0
190	873000	628.0	366.2	0
191	877000	604.4	398.2	0
