% Handlabelling data is arranged in 3 columns: handlabeller1 and handlabeller2 indicate the first two experts, handlabeller_final column contains the final, tie-breaking labels.
% Labels in these columns are to be interpreted as follows:
%   - 0 is UNKNOWN
%   - 1 is FIX (fixation)
%   - 2 is SACCADE
%   - 3 is SP (smooth pursuit)
%   - 4 is NOISE
% 
%@METADATA width_px 1280.0
%@METADATA height_px 720.0
%@METADATA width_mm 400.0
%@METADATA height_mm 225.0
%@METADATA distance_mm 450.0
@RELATION gaze_labels

@ATTRIBUTE time INTEGER
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE confidence NUMERIC
@ATTRIBUTE handlabeller1 INTEGER
@ATTRIBUTE handlabeller2 INTEGER
@ATTRIBUTE handlabeller_final INTEGER

@DATA
2000,672.7,375.8,1.0,1,0,1
6000,673.8,376.1,1.0,1,1,1
10000,678.4,375.9,1.0,1,1,1
14000,678.7,375.6,1.0,1,1,1
18000,678.9,375.6,1.0,1,1,1
22000,678.6,375.0,1.0,1,1,1
26000,678.2,374.4,1.0,1,1,1
30000,677.5,373.1,1.0,1,1,1
34000,675.7,372.2,1.0,1,1,1
38000,674.0,372.4,1.0,1,1,1
39000,673.9,371.8,1.0,1,1,1
40000,673.8,371.6,1.0,1,1,1
42000,672.5,371.4,1.0,1,1,1
46000,671.9,371.7,1.0,1,1,1
50000,671.8,371.7,1.0,1,1,1
54000,671.8,371.7,1.0,1,1,1
68000,671.9,371.8,1.0,1,1,1
72000,671.9,371.9,1.0,1,1,1
76000,671.8,371.6,1.0,1,1,1
80000,671.7,371.3,1.0,1,1,1
84000,671.5,370.8,1.0,1,1,1
88000,671.3,370.9,1.0,1,1,1
102000,670.6,370.9,1.0,1,1,1
106000,670.4,371.5,1.0,1,1,1
110000,670.1,372.0,1.0,1,1,1
114000,670.4,372.3,1.0,1,1,1
118000,670.2,372.5,1.0,1,1,1
122000,669.9,372.3,1.0,1,1,1
126000,669.3,372.1,1.0,1,1,1
130000,668.9,371.1,1.0,1,1,1
136000,668.8,371.0,1.0,1,1,1
140000,669.0,370.8,1.0,1,1,1
144000,669.2,369.9,1.0,1,1,1
148000,668.8,369.7,1.0,1,1,1
152000,668.4,369.8,1.0,1,1,1
156000,668.4,369.7,1.0,1,1,1
160000,668.4,369.7,1.0,1,1,1
169000,668.5,369.9,1.0,1,1,1
173000,668.4,369.6,1.0,1,1,1
177000,668.5,369.7,1.0,1,1,1
181000,668.6,369.8,1.0,1,1,1
185000,668.8,369.9,1.0,1,1,1
189000,668.9,370.0,1.0,1,1,1
201000,668.6,370.0,1.0,1,1,1
205000,668.5,370.0,1.0,1,1,1
209000,668.4,370.3,1.0,1,1,1
213000,668.4,370.3,1.0,1,1,1
217000,668.1,369.2,1.0,1,1,1
221000,667.8,368.1,1.0,1,1,1
225000,667.7,368.7,1.0,1,1,1
229000,667.5,369.3,1.0,1,1,1
233000,666.5,370.5,1.0,1,1,1
237000,666.3,371.0,1.0,1,1,1
238000,666.1,371.4,1.0,1,1,1
240000,666.1,371.9,1.0,1,1,1
244000,666.1,371.5,1.0,1,1,1
248000,666.0,371.6,1.0,1,1,1
252000,665.8,371.7,1.0,1,1,1
256000,665.5,371.9,1.0,1,1,1
268000,665.8,372.0,1.0,1,1,1
272000,666.1,372.0,1.0,1,1,1
276000,666.3,372.0,1.0,1,1,1
280000,666.1,372.0,1.0,1,1,1
284000,665.8,371.4,1.0,1,1,1
288000,665.6,371.1,1.0,1,1,1
301000,665.4,370.9,1.0,1,1,1
305000,664.8,370.4,1.0,1,1,1
309000,664.3,370.0,1.0,1,1,1
313000,664.3,370.1,1.0,1,1,1
317000,664.4,369.7,1.0,1,1,1
321000,664.5,369.3,1.0,1,1,1
325000,664.5,368.4,1.0,1,1,1
329000,664.8,368.5,1.0,1,1,1
335000,664.5,368.5,1.0,1,1,1
339000,664.2,369.0,1.0,1,1,1
343000,663.3,371.9,1.0,2,2,2
347000,655.5,385.0,1.0,2,2,2
351000,644.0,422.2,1.0,2,2,2
355000,622.9,446.1,1.0,2,2,2
359000,605.6,470.8,1.0,2,2,2
369000,586.1,484.0,1.0,2,2,2
373000,569.0,507.8,1.0,2,2,2
377000,559.1,509.8,1.0,2,2,2
381000,554.9,524.1,1.0,2,2,2
385000,550.5,531.0,1.0,2,2,2
389000,550.6,538.3,1.0,2,2,2
393000,550.5,538.8,1.0,2,2,2
402000,544.5,538.7,1.0,1,1,1
406000,543.4,538.7,1.0,1,1,1
410000,543.3,538.9,1.0,1,1,1
414000,540.7,538.7,1.0,1,1,1
418000,539.8,538.7,1.0,1,1,1
422000,539.0,539.5,1.0,1,1,1
426000,539.2,539.3,1.0,1,1,1
430000,539.5,539.5,1.0,1,1,1
434000,540.0,539.6,1.0,1,1,1
435000,539.8,539.6,1.0,1,1,1
437000,539.6,540.0,1.0,1,1,1
441000,539.1,540.1,1.0,1,1,1
445000,539.0,540.1,1.0,1,1,1
