Index	Time	X_coord	Y_coord	Confidence
1	2000	426.8	323.1	1
2	6000	432.3	319.6	1
3	10000	435.9	318.7	1
4	14000	435.4	318.1	1
5	18000	434.9	317.9	1
6	22000	434.5	318.1	1
7	26000	434.2	318.3	1
8	30000	432.7	318.7	1
9	34000	431.2	318.9	1
10	38000	429.7	319.0	1
11	39000	427.2	319.5	1
12	40000	424.9	319.5	1
13	42000	424.7	319.5	1
14	46000	424.4	319.3	1
15	50000	423.1	319.2	1
16	54000	422.6	318.9	1
17	69000	422.1	318.7	1
18	73000	421.6	318.5	1
19	77000	421.1	318.6	1
20	81000	420.9	318.5	1
21	85000	419.0	318.7	1
22	89000	419.0	318.8	1
23	102000	418.8	319.0	1
24	106000	417.9	319.4	1
25	110000	417.9	319.8	1
26	114000	417.9	320.1	1
27	118000	417.9	321.6	1
28	122000	417.9	322.5	1
29	126000	417.9	322.6	1
30	133000	417.9	322.7	1
31	137000	417.9	322.6	1
32	141000	417.9	323.2	1
33	145000	418.2	323.8	1
34	149000	418.1	324.9	1
35	153000	418.2	325.2	1
36	157000	418.0	325.5	1
37	161000	417.9	325.8	1
38	169000	417.8	325.8	1
39	173000	417.7	326.0	1
40	177000	417.6	326.2	1
41	181000	417.6	326.7	1
42	185000	417.7	326.8	1
43	189000	417.8	327.0	1
44	201000	418.1	327.6	1
45	205000	418.3	327.9	1
46	209000	418.6	328.0	1
47	213000	418.9	328.1	1
48	217000	419.2	328.5	1
49	221000	419.4	328.6	1
50	225000	419.6	328.7	1
51	229000	419.9	329.3	1
52	233000	420.3	329.9	1
53	237000	420.6	330.4	1
54	238000	421.0	330.9	1
55	239000	420.9	331.1	1
56	243000	421.0	331.1	1
57	247000	421.2	331.3	1
58	251000	421.4	331.6	1
59	255000	421.6	331.3	1
60	267000	421.7	331.8	1
61	271000	421.8	332.2	1
62	275000	422.0	333.5	1
63	279000	421.9	333.4	1
64	283000	422.0	334.4	1
65	287000	422.0	335.4	1
66	291000	421.6	337.4	1
67	304000	421.7	355.4	1
68	308000	417.4	378.8	1
69	312000	418.7	397.3	1
70	316000	419.1	409.8	1
71	320000	423.2	431.0	1
72	324000	424.9	435.0	1
73	328000	427.7	436.9	1
74	334000	432.9	436.8	1
75	338000	435.5	436.8	1
76	342000	435.5	437.1	1
77	346000	435.9	437.4	1
78	350000	436.5	438.4	1
79	354000	436.8	438.4	1
80	358000	437.0	438.5	1
81	368000	437.1	439.7	1
82	372000	436.9	439.7	1
83	376000	436.9	439.6	1
84	380000	436.6	439.6	1
85	384000	436.5	439.6	1
86	388000	436.4	439.4	1
87	392000	436.3	439.2	1
88	396000	436.3	439.1	1
89	404000	436.2	439.1	1
90	408000	436.2	438.8	1
91	412000	436.2	438.6	1
92	416000	436.2	438.6	1
93	420000	436.3	438.7	1
94	424000	436.5	438.9	1
95	428000	436.8	439.0	1
96	432000	436.6	439.1	1
97	436000	436.7	439.2	1
98	437000	436.7	439.9	1
99	440000	436.6	440.0	1
100	444000	436.8	440.1	1
101	448000	436.5	440.2	1
102	452000	436.3	440.2	1
103	467000	436.6	440.4	1
104	471000	436.6	440.6	1
105	475000	436.6	441.0	1
106	479000	436.8	441.0	1
107	483000	436.7	440.9	1
108	487000	436.7	441.3	1
109	501000	436.5	441.2	1
110	505000	436.7	441.2	1
111	509000	436.6	441.1	1
112	513000	436.6	441.1	1
113	517000	436.6	441.0	1
114	521000	436.7	440.8	1
115	525000	436.7	441.1	1
116	534000	436.8	440.6	1
117	538000	437.3	440.4	1
118	542000	437.6	440.2	1
119	546000	437.9	440.2	1
120	550000	438.0	440.0	1
121	554000	438.2	440.0	1
122	558000	438.2	439.9	1
123	569000	438.2	440.0	1
124	573000	438.3	440.8	1
125	577000	438.3	441.6	1
126	581000	438.4	441.2	1
127	585000	438.5	440.8	1
128	589000	438.8	440.6	1
129	593000	439.2	440.4	1
130	603000	439.3	440.2	1
131	607000	439.3	440.3	1
132	611000	439.2	440.4	1
133	615000	439.2	441.1	1
134	619000	439.3	441.6	1
135	623000	439.3	441.5	1
136	627000	439.2	441.7	1
137	631000	439.3	441.3	1
138	635000	439.4	441.3	1
139	636000	439.8	441.3	1
140	639000	439.9	441.3	1
141	643000	444.9	441.2	1
142	647000	461.8	448.0	1
143	651000	485.5	461.6	1
144	655000	514.3	478.2	1
145	671000	537.6	497.4	1
146	675000	558.8	513.6	1
147	679000	580.1	521.1	1
148	683000	601.6	530.7	1
149	687000	606.5	536.8	1
150	701000	608.2	537.3	1
151	705000	609.0	537.7	1
152	709000	609.8	538.1	1
153	713000	611.1	538.5	1
154	717000	612.4	538.9	1
155	721000	613.2	539.3	1
156	725000	614.0	543.5	1
157	734000	614.5	544.0	1
158	738000	615.2	544.4	1
159	742000	615.9	545.2	1
160	746000	617.3	545.5	1
161	750000	617.4	545.6	1
162	754000	617.5	545.5	1
163	758000	619.2	545.7	1
164	767000	619.3	545.9	1
165	771000	619.4	545.9	1
166	775000	619.7	545.2	1
