Index	Time	X_coord	Y_coord	Confidence
1	1000	387.3	273.5	1
2	4000	388.0	273.4	1
3	8000	387.9	273.3	1
4	12000	387.9	273.2	1
5	16000	387.9	273.2	1
6	20000	388.0	273.0	1
7	24000	388.1	272.9	1
8	28000	388.1	272.8	1
9	32000	388.0	272.9	1
10	36000	387.9	273.1	1
11	37000	387.9	273.2	1
12	38000	387.7	273.3	1
13	41000	387.6	273.5	1
14	45000	387.3	273.4	1
15	49000	387.0	273.6	1
16	53000	386.6	273.6	1
17	67000	386.2	273.6	1
18	71000	385.8	273.5	1
19	75000	385.1	273.1	1
20	79000	384.7	272.4	1
21	83000	384.3	271.8	1
22	87000	383.9	271.6	1
23	91000	383.7	271.4	1
24	104000	383.6	271.4	1
25	108000	383.6	271.6	1
26	112000	383.6	271.9	1
27	116000	383.8	272.2	1
28	120000	384.5	272.2	1
29	124000	384.8	272.2	1
30	128000	385.0	272.3	1
31	135000	385.6	272.4	1
32	139000	385.7	272.4	1
33	143000	386.0	273.4	1
34	147000	386.1	273.7	1
35	151000	386.1	273.8	1
36	155000	386.1	273.8	1
37	159000	386.2	274.1	0
38	169000	386.0	274.0	0
39	173000	402.6	312.7	0
40	177000	402.4	313.8	0
41	181000	402.0	316.0	0
42	185000	401.6	319.5	0
43	189000	401.5	322.0	0
44	200000	401.5	324.8	1
45	204000	400.9	325.1	1
46	208000	401.1	326.6	1
47	212000	401.9	330.6	1
48	216000	401.7	331.9	1
49	220000	401.2	332.2	1
50	224000	400.7	332.4	1
51	228000	399.7	334.8	1
52	232000	399.3	335.0	1
53	236000	398.7	335.1	1
54	237000	398.2	335.5	1
55	240000	397.7	335.6	1
56	244000	397.4	335.7	1
57	248000	397.1	336.0	1
58	252000	397.4	336.2	1
59	256000	397.7	336.1	1
60	260000	397.8	335.9	1
61	270000	397.9	336.5	1
62	274000	398.3	337.1	1
63	278000	398.3	338.4	1
64	282000	398.0	338.4	1
65	286000	397.3	338.5	1
66	300000	396.6	340.0	1
67	304000	396.4	341.5	1
68	308000	396.9	341.9	1
69	312000	396.9	342.3	1
70	316000	396.8	342.4	1
71	320000	396.3	342.5	1
72	324000	396.2	343.3	1
73	328000	396.1	343.8	1
74	332000	397.1	344.3	1
75	337000	398.3	345.5	1
76	341000	400.6	347.0	1
77	345000	417.4	352.1	1
78	349000	462.7	367.2	1
79	353000	522.9	383.3	1
80	357000	577.1	398.6	1
81	361000	613.5	410.3	1
82	371000	639.1	412.7	1
83	375000	643.1	415.0	1
84	379000	642.2	416.8	1
85	383000	642.6	417.2	1
86	387000	643.1	417.6	1
87	391000	646.0	420.9	1
88	400000	651.8	423.5	1
89	404000	654.6	425.4	1
90	408000	656.2	427.5	1
91	412000	656.8	428.5	1
92	416000	657.2	429.0	1
93	420000	657.3	429.5	1
94	424000	657.2	429.6	1
95	428000	656.7	429.1	1
96	432000	656.7	429.3	1
97	436000	656.6	429.3	1
98	437000	656.5	429.4	1
99	440000	656.5	429.4	1
100	444000	656.7	429.6	1
101	448000	656.7	429.4	1
102	452000	656.7	429.5	1
103	467000	656.3	429.4	1
104	471000	656.1	429.6	1
105	475000	655.9	429.2	1
106	479000	655.6	428.8	1
107	483000	655.6	428.8	1
108	487000	655.6	428.8	1
109	500000	654.6	428.7	1
110	504000	654.5	428.4	1
111	508000	654.5	428.6	1
112	512000	654.7	428.1	1
113	516000	655.0	427.5	1
114	520000	654.7	427.3	1
115	524000	654.9	427.5	1
116	533000	654.9	427.0	1
117	537000	655.0	427.0	1
118	541000	655.3	427.0	1
119	545000	655.1	426.3	1
120	549000	655.0	425.7	1
121	553000	655.0	425.7	1
122	557000	655.0	425.7	1
123	568000	655.2	425.7	1
124	572000	655.5	425.6	1
125	576000	655.7	425.9	1
126	580000	655.8	426.2	1
127	584000	656.1	426.9	1
128	588000	657.3	426.9	1
129	592000	658.4	426.6	1
130	602000	660.8	426.0	1
131	606000	676.0	422.0	1
132	610000	703.1	404.7	1
133	614000	711.1	398.5	1
134	618000	712.0	396.3	1
135	622000	706.7	395.6	1
136	626000	701.7	396.5	1
137	630000	702.7	397.1	1
138	634000	703.5	397.2	1
139	635000	705.6	396.7	1
140	638000	705.9	396.7	1
141	642000	705.9	396.8	1
142	646000	705.7	396.9	1
143	650000	705.7	397.6	1
144	654000	705.8	397.8	1
145	669000	705.7	398.1	1
146	673000	704.9	398.5	1
147	677000	704.8	398.7	1
148	681000	704.5	398.8	1
149	685000	704.0	398.9	1
150	689000	703.4	399.5	1
151	703000	702.7	400.0	1
152	707000	702.7	400.8	1
153	711000	702.2	401.2	1
154	715000	700.5	401.8	1
155	719000	700.3	402.3	1
156	723000	699.3	402.5	1
157	727000	698.2	402.7	1
158	737000	698.2	402.7	1
159	741000	698.3	403.5	1
160	745000	698.3	403.9	1
161	749000	698.1	404.4	1
162	753000	697.7	404.8	1
163	757000	697.4	405.0	1
164	767000	697.4	405.2	1
165	771000	697.3	405.3	1
166	775000	697.3	405.4	1
167	779000	697.3	405.6	1
168	783000	696.6	406.0	1
169	787000	696.2	407.0	1
170	791000	695.7	407.1	1
171	795000	695.8	406.9	1
172	799000	695.7	406.8	1
173	802000	695.6	406.8	1
174	806000	695.3	406.9	1
175	810000	694.5	407.1	1
176	814000	694.5	407.9	1
177	818000	694.5	408.7	1
178	822000	694.4	409.4	1
179	826000	694.2	410.1	1
180	830000	694.1	410.9	1
181	835000	693.5	411.2	1
182	839000	693.4	411.4	1
183	843000	693.4	411.6	1
184	847000	692.4	412.1	1
185	851000	692.2	412.3	1
186	855000	692.1	412.5	1
187	859000	692.2	412.9	1
188	863000	692.4	413.3	1
189	867000	691.8	414.0	1
190	870000	691.2	414.7	1
191	874000	691.1	414.5	1
192	878000	691.1	414.7	1
193	882000	690.7	414.9	1
194	886000	690.2	415.6	1
195	890000	690.1	415.8	1
196	894000	690.1	415.9	1
197	898000	690.1	416.1	1
198	902000	688.9	417.8	1
199	906000	688.8	418.0	1
200	910000	688.7	417.9	1
201	914000	688.6	418.0	1
202	918000	688.4	418.1	1
203	922000	688.2	418.3	1
204	926000	687.4	418.7	1
205	930000	687.2	419.5	1
206	934000	687.0	419.7	1
207	938000	686.8	419.9	1
208	942000	686.9	420.1	1
209	946000	685.9	420.4	1
210	950000	685.0	420.8	1
211	954000	685.0	421.3	1
212	958000	685.0	421.5	1
213	962000	684.7	421.6	1
214	966000	684.1	421.9	1
215	970000	683.5	423.4	1
216	974000	683.2	424.7	1
217	978000	683.0	426.9	1
218	982000	680.8	437.0	1
219	986000	677.1	472.7	1
220	990000	675.6	518.3	1
221	994000	684.2	552.6	1
222	998000	687.6	565.8	1
223	1002000	687.5	562.9	1
224	1006000	687.4	559.9	1
225	1010000	685.9	556.6	1
226	1014000	684.8	555.2	1
227	1018000	684.7	559.8	1
228	1022000	684.3	564.4	1
229	1026000	684.8	566.2	1
230	1030000	684.8	566.2	1
231	1034000	684.8	566.1	1
232	1038000	684.8	566.1	1
233	1042000	684.4	566.1	1
234	1046000	684.2	565.9	1
235	1050000	683.7	564.2	1
236	1054000	683.2	564.3	1
237	1058000	682.9	563.9	1
238	1062000	682.5	563.4	1
239	1066000	681.7	563.5	1
240	1070000	680.8	563.7	1
241	1074000	680.2	562.4	1
242	1078000	680.3	561.8	1
243	1082000	680.5	561.6	1
244	1086000	680.8	561.5	1
