% Handlabelling data is arranged in 3 columns: handlabeller1 and handlabeller2 indicate the first two experts, handlabeller_final column contains the final, tie-breaking labels.
% Labels in these columns are to be interpreted as follows:
%   - 0 is UNKNOWN
%   - 1 is FIX (fixation)
%   - 2 is SACCADE
%   - 3 is SP (smooth pursuit)
%   - 4 is NOISE
% 
%@METADATA width_px 1280.0
%@METADATA height_px 720.0
%@METADATA width_mm 400.0
%@METADATA height_mm 225.0
%@METADATA distance_mm 450.0
@RELATION gaze_labels

@ATTRIBUTE time INTEGER
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE confidence NUMERIC
@ATTRIBUTE handlabeller1 INTEGER
@ATTRIBUTE handlabeller2 INTEGER
@ATTRIBUTE handlabeller_final INTEGER

@DATA
1000,315.1,287.9,1.0,1,0,1
5000,315.5,288.0,1.0,1,1,1
9000,315.8,288.1,1.0,1,1,1
13000,316.1,288.5,1.0,1,1,1
17000,316.3,288.9,1.0,1,1,1
21000,316.5,289.8,1.0,1,1,1
25000,316.6,290.6,1.0,1,1,1
29000,316.6,291.3,1.0,1,1,1
33000,316.6,291.4,1.0,1,1,1
37000,316.6,291.6,1.0,1,1,1
38000,316.6,291.6,1.0,1,1,1
39000,316.7,291.6,1.0,1,1,1
41000,316.7,291.6,1.0,1,1,1
45000,316.8,291.8,1.0,1,1,1
49000,317.2,292.0,1.0,1,1,1
53000,317.3,292.6,1.0,1,1,1
66000,317.2,294.2,1.0,1,1,1
70000,317.6,295.8,1.0,1,1,1
74000,317.3,295.5,1.0,1,1,1
78000,317.5,295.5,1.0,1,1,1
82000,317.6,295.6,1.0,1,1,1
86000,317.9,296.0,1.0,1,1,1
100000,318.2,296.3,1.0,1,1,1
104000,318.6,296.6,1.0,1,1,1
108000,319.1,297.2,1.0,1,1,1
112000,319.3,297.8,1.0,1,1,1
116000,319.5,297.9,1.0,1,1,1
120000,319.8,298.0,1.0,1,1,1
124000,319.7,298.5,1.0,1,1,1
128000,319.5,298.3,1.0,1,1,1
132000,319.0,298.1,1.0,1,1,1
136000,317.5,299.0,1.0,1,1,1
140000,317.5,299.9,1.0,1,1,1
144000,317.6,301.9,1.0,1,1,1
148000,317.7,301.9,1.0,1,1,1
152000,318.0,302.0,1.0,1,1,1
156000,318.0,302.7,1.0,1,1,1
166000,318.0,303.5,1.0,1,1,1
170000,317.6,302.4,1.0,1,1,1
174000,317.2,301.9,1.0,1,1,1
178000,316.8,301.6,1.0,1,1,1
182000,316.6,301.5,1.0,1,1,1
186000,316.7,301.4,1.0,1,1,1
190000,316.9,304.1,1.0,2,2,2
201000,329.6,307.4,1.0,2,2,2
205000,352.3,330.3,1.0,2,2,2
209000,395.7,359.7,1.0,2,2,2
213000,430.9,390.7,1.0,2,2,2
217000,464.0,404.6,1.0,2,2,2
221000,488.3,426.7,1.0,2,2,2
225000,488.4,431.6,1.0,2,2,2
229000,487.5,461.1,1.0,2,2,2
233000,486.3,467.1,1.0,2,2,2
237000,485.7,469.2,1.0,2,2,2
238000,485.8,468.2,1.0,2,2,2
240000,486.0,467.2,1.0,1,1,1
244000,487.6,466.8,1.0,1,1,1
248000,489.8,467.4,1.0,1,1,1
252000,491.9,468.0,1.0,1,1,1
256000,491.4,469.6,1.0,1,1,1
267000,490.9,472.5,1.0,1,1,1
271000,490.9,473.5,1.0,1,1,1
275000,490.8,474.5,1.0,1,1,1
279000,490.3,474.9,1.0,1,1,1
283000,490.3,474.9,1.0,1,1,1
287000,490.3,474.7,1.0,1,1,1
291000,490.3,474.5,1.0,1,1,1
304000,489.9,474.5,1.0,1,1,1
308000,490.5,474.7,1.0,1,1,1
312000,491.0,474.9,1.0,1,1,1
316000,491.1,475.4,1.0,1,1,1
320000,491.0,475.9,1.0,1,1,1
324000,491.0,477.2,1.0,1,1,1
328000,490.7,478.5,1.0,1,1,1
334000,490.7,478.6,1.0,1,1,1
338000,490.3,478.6,1.0,1,1,1
342000,489.9,478.6,1.0,1,1,1
346000,490.1,478.7,1.0,1,1,1
350000,490.0,478.7,1.0,1,1,1
354000,490.6,478.8,1.0,1,1,1
358000,490.6,478.8,1.0,1,1,1
368000,490.3,478.9,1.0,1,1,1
372000,490.1,479.4,1.0,1,1,1
376000,490.2,479.3,1.0,1,1,1
380000,490.1,479.6,1.0,1,1,1
384000,490.3,479.6,1.0,1,1,1
388000,490.2,479.6,1.0,1,1,1
392000,490.1,479.5,1.0,1,1,1
401000,489.7,479.4,1.0,1,1,1
405000,489.4,479.6,1.0,1,1,1
409000,489.4,479.5,1.0,1,1,1
413000,489.7,480.0,1.0,1,1,1
417000,490.0,480.5,1.0,1,1,1
421000,490.7,481.6,1.0,1,1,1
425000,491.5,481.9,1.0,1,1,1
429000,491.7,482.3,1.0,1,1,1
433000,492.0,482.4,1.0,1,1,1
437000,492.1,482.5,1.0,1,1,1
438000,492.2,482.8,1.0,1,1,1
440000,492.6,483.0,1.0,1,1,1
444000,492.4,482.8,1.0,1,1,1
448000,492.4,483.3,1.0,1,1,1
452000,492.5,483.9,1.0,1,1,1
456000,492.4,484.3,1.0,1,1,1
471000,492.3,484.1,1.0,1,1,1
475000,492.4,484.1,1.0,1,1,1
479000,492.3,484.1,1.0,1,1,1
483000,492.4,484.3,1.0,1,1,1
487000,492.4,484.4,1.0,1,1,1
500000,492.3,484.5,1.0,1,1,1
504000,492.3,485.0,1.0,1,1,1
508000,492.3,485.2,1.0,1,1,1
512000,492.4,485.5,1.0,1,1,1
516000,492.6,485.7,1.0,1,1,1
520000,493.3,485.9,1.0,1,1,1
524000,494.0,486.6,1.0,1,1,1
528000,494.4,486.8,1.0,1,1,1
537000,495.7,487.0,1.0,1,2,2
541000,499.0,503.0,1.0,2,2,2
545000,508.0,508.6,1.0,2,2,2
549000,528.5,513.3,1.0,2,2,2
553000,545.6,514.1,1.0,2,2,2
557000,548.1,515.0,1.0,2,2,2
568000,550.6,519.3,1.0,2,2,1
572000,552.1,521.5,1.0,1,1,1
576000,553.6,522.0,1.0,1,1,1
