% Handlabelling data is arranged in 3 columns: handlabeller1 and handlabeller2 indicate the first two experts, handlabeller_final column contains the final, tie-breaking labels.
% Labels in these columns are to be interpreted as follows:
%   - 0 is UNKNOWN
%   - 1 is FIX (fixation)
%   - 2 is SACCADE
%   - 3 is SP (smooth pursuit)
%   - 4 is NOISE
% 
%@METADATA width_px 1280.0
%@METADATA height_px 720.0
%@METADATA width_mm 400.0
%@METADATA height_mm 225.0
%@METADATA distance_mm 450.0
@RELATION gaze_labels

@ATTRIBUTE time INTEGER
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE confidence NUMERIC
@ATTRIBUTE handlabeller1 INTEGER
@ATTRIBUTE handlabeller2 INTEGER
@ATTRIBUTE handlabeller_final INTEGER

@DATA
1000,541.7,390.6,1.0,1,0,1
5000,541.4,390.6,1.0,1,1,1
9000,541.5,390.6,1.0,1,1,1
13000,541.2,390.1,1.0,1,1,1
17000,541.2,390.1,1.0,1,1,1
21000,541.0,389.8,1.0,1,1,1
25000,540.9,389.8,1.0,1,1,1
29000,541.0,389.8,1.0,1,1,1
33000,540.6,389.7,1.0,1,1,1
37000,540.5,389.9,1.0,1,1,1
38000,540.5,389.9,1.0,1,1,1
39000,540.5,389.8,1.0,1,1,1
42000,540.4,390.0,1.0,1,1,1
46000,540.0,389.9,1.0,1,1,1
50000,540.0,389.9,1.0,1,1,1
54000,539.5,390.9,1.0,1,1,1
67000,539.6,390.8,1.0,1,1,1
71000,539.9,390.7,1.0,1,1,1
75000,540.0,390.4,1.0,1,1,1
79000,540.2,390.1,1.0,1,1,1
83000,540.9,390.1,1.0,1,1,1
87000,541.0,389.6,1.0,1,1,1
91000,541.1,389.2,1.0,1,1,1
102000,541.4,387.9,1.0,1,1,1
106000,541.7,387.6,1.0,1,1,1
110000,541.9,387.6,1.0,1,1,1
114000,542.2,387.9,1.0,1,1,1
118000,542.2,388.1,1.0,1,1,1
122000,542.6,387.9,1.0,1,1,1
126000,542.5,387.6,1.0,1,1,1
130000,542.5,387.6,1.0,1,1,1
135000,542.4,387.5,1.0,1,1,1
139000,542.4,387.3,1.0,1,1,1
143000,542.3,387.6,1.0,1,1,1
147000,541.3,387.5,1.0,1,1,1
151000,541.0,388.0,1.0,1,1,1
155000,540.7,388.1,1.0,1,1,1
159000,540.4,388.2,1.0,1,1,1
168000,540.5,389.1,1.0,1,1,1
172000,540.4,390.0,1.0,1,1,1
176000,540.3,390.4,1.0,1,1,1
180000,540.3,390.8,1.0,1,1,1
184000,540.3,390.7,1.0,1,1,1
188000,540.9,390.9,1.0,1,1,1
192000,540.7,390.7,1.0,1,1,1
202000,540.8,390.5,1.0,1,1,1
206000,540.3,390.2,1.0,1,1,1
210000,540.3,390.2,1.0,1,1,1
214000,540.4,390.1,1.0,1,1,1
218000,540.2,389.7,1.0,1,1,1
222000,540.2,389.3,1.0,1,1,1
226000,540.2,389.4,1.0,1,1,1
230000,540.3,389.5,1.0,1,1,1
234000,540.1,390.4,1.0,1,1,1
235000,539.9,390.8,1.0,1,1,1
237000,539.8,391.2,1.0,1,1,1
241000,539.7,391.1,1.0,1,1,1
245000,540.0,391.2,1.0,1,1,1
249000,540.1,391.0,1.0,1,1,1
253000,540.1,390.8,1.0,1,1,1
257000,540.2,391.0,1.0,1,1,1
268000,540.2,390.9,1.0,1,1,1
272000,540.3,391.1,1.0,1,1,1
276000,540.2,390.7,1.0,1,1,1
280000,540.3,390.3,1.0,1,1,1
284000,540.2,389.3,1.0,1,1,1
288000,540.1,388.2,1.0,1,1,1
301000,540.4,388.0,1.0,1,1,1
305000,540.6,387.7,1.0,1,1,1
309000,540.5,387.5,1.0,1,1,1
313000,540.5,387.4,1.0,1,1,1
317000,541.0,387.4,1.0,1,1,1
321000,541.5,387.6,1.0,1,1,1
325000,540.7,387.2,1.0,1,1,1
329000,540.5,387.0,1.0,1,1,1
334000,540.3,387.8,1.0,1,1,1
338000,540.1,387.1,1.0,1,1,1
342000,539.9,386.5,1.0,1,1,1
346000,539.2,386.0,1.0,1,1,1
350000,538.6,385.7,1.0,1,1,1
354000,539.0,385.6,1.0,1,1,1
358000,538.9,384.0,1.0,1,1,1
362000,539.1,382.4,1.0,1,1,1
370000,539.2,381.7,1.0,1,1,1
374000,539.2,381.7,1.0,1,1,1
378000,539.8,380.8,1.0,1,1,1
382000,539.7,379.7,1.0,1,1,1
386000,539.5,380.8,1.0,1,1,1
390000,538.6,381.7,1.0,1,1,2
394000,536.9,385.7,1.0,2,2,2
403000,533.0,398.5,1.0,2,2,2
407000,523.3,418.2,1.0,2,2,2
411000,514.2,445.0,1.0,2,2,2
415000,509.2,479.0,1.0,2,2,2
419000,505.6,509.1,1.0,2,2,2
423000,504.6,540.2,1.0,2,2,2
427000,504.0,561.0,1.0,2,2,2
431000,505.5,572.2,1.0,2,2,2
435000,507.3,574.4,1.0,2,2,2
436000,507.6,576.5,1.0,2,2,2
438000,507.8,582.0,1.0,2,2,2
442000,507.7,584.5,1.0,2,2,2
446000,508.4,588.5,1.0,2,2,2
450000,508.6,588.9,1.0,2,2,2
454000,508.8,588.5,1.0,1,1,1
468000,508.4,588.6,1.0,1,1,1
472000,508.4,588.2,1.0,1,1,1
476000,508.0,587.7,1.0,1,1,1
480000,507.6,587.1,1.0,1,1,1
484000,507.2,586.5,1.0,1,1,1
488000,507.1,586.3,1.0,1,1,1
502000,507.2,586.3,1.0,1,1,1
506000,507.3,586.2,1.0,1,1,1
510000,507.5,586.1,1.0,1,1,1
514000,508.2,586.2,1.0,1,1,1
518000,508.5,586.2,1.0,1,1,1
522000,508.9,585.9,1.0,1,1,1
526000,508.8,585.9,1.0,1,1,1
534000,508.7,585.4,1.0,1,1,1
538000,508.5,585.3,1.0,1,1,1
542000,507.7,585.1,1.0,1,1,1
546000,507.9,585.0,1.0,1,1,1
550000,507.7,585.0,1.0,1,1,1
554000,507.6,584.7,1.0,1,1,1
558000,507.6,584.3,1.0,1,1,1
568000,507.6,584.1,1.0,1,1,1
572000,507.5,584.1,1.0,1,1,1
576000,507.5,584.3,1.0,1,1,1
580000,508.3,583.9,1.0,1,1,1
584000,509.1,583.6,1.0,1,1,1
588000,508.6,583.5,1.0,1,1,1
592000,508.1,583.4,1.0,1,1,1
601000,508.1,582.9,1.0,1,1,1
605000,507.5,582.4,1.0,1,1,1
609000,507.6,582.5,1.0,1,1,1
613000,507.8,582.2,1.0,1,1,1
617000,508.7,582.5,1.0,1,1,1
621000,509.2,582.7,1.0,1,1,1
625000,509.1,583.3,1.0,1,1,1
629000,509.0,583.8,1.0,1,1,1
633000,509.0,584.5,1.0,1,1,1
637000,508.5,585.1,1.0,1,1,1
638000,508.4,585.4,1.0,1,1,1
640000,508.2,585.7,1.0,1,1,1
644000,508.2,585.2,1.0,1,1,1
648000,508.4,584.7,1.0,1,1,1
652000,508.4,584.9,1.0,1,1,1
656000,508.4,585.0,1.0,1,1,1
669000,508.5,585.2,1.0,1,1,1
673000,508.4,585.1,1.0,1,1,1
677000,508.6,585.6,1.0,1,1,1
681000,508.7,586.2,1.0,1,1,1
685000,508.8,585.7,1.0,1,1,1
689000,509.0,585.6,1.0,1,1,1
703000,509.5,585.5,1.0,1,1,1
707000,509.5,583.9,1.0,1,1,1
711000,509.5,582.2,1.0,1,1,1
715000,509.9,582.1,1.0,1,1,1
719000,509.7,581.8,1.0,1,1,1
723000,509.8,581.6,1.0,1,1,1
727000,509.8,579.9,1.0,1,1,1
736000,509.9,579.4,1.0,1,1,1
740000,509.4,579.2,1.0,1,1,1
744000,509.4,579.1,1.0,1,1,1
