% Handlabelling data is arranged in 3 columns: handlabeller1 and handlabeller2 indicate the first two experts, handlabeller_final column contains the final, tie-breaking labels.
% Labels in these columns are to be interpreted as follows:
%   - 0 is UNKNOWN
%   - 1 is FIX (fixation)
%   - 2 is SACCADE
%   - 3 is SP (smooth pursuit)
%   - 4 is NOISE
% 
%@METADATA width_px 1280.0
%@METADATA height_px 720.0
%@METADATA width_mm 400.0
%@METADATA height_mm 225.0
%@METADATA distance_mm 450.0
@RELATION gaze_labels

@ATTRIBUTE time INTEGER
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE confidence NUMERIC
@ATTRIBUTE handlabeller1 INTEGER
@ATTRIBUTE handlabeller2 INTEGER
@ATTRIBUTE handlabeller_final INTEGER

@DATA
1000,312.7,334.9,1.0,1,1,1
4000,312.7,335.0,1.0,1,1,1
8000,313.3,335.2,1.0,1,1,1
12000,313.3,335.3,1.0,1,1,1
16000,313.3,335.8,1.0,1,1,1
20000,313.5,336.4,1.0,1,1,1
24000,313.6,336.2,1.0,1,1,1
28000,313.7,336.3,1.0,1,1,1
32000,313.8,336.4,1.0,1,1,1
36000,313.6,336.5,1.0,1,1,1
37000,313.8,336.6,1.0,1,1,1
38000,314.0,336.7,1.0,1,1,1
42000,314.4,336.5,1.0,1,1,1
46000,314.4,336.4,1.0,1,1,1
50000,314.4,336.3,1.0,1,1,1
54000,314.5,336.4,1.0,1,1,1
68000,314.6,336.4,1.0,1,1,1
72000,314.5,336.4,1.0,1,1,1
76000,314.5,336.4,1.0,1,1,1
80000,314.1,336.3,1.0,1,1,1
84000,314.1,336.3,1.0,1,1,1
88000,314.2,336.4,1.0,1,1,1
100000,314.2,336.5,1.0,1,1,1
104000,314.2,336.5,1.0,1,1,1
108000,314.1,336.5,1.0,1,1,1
112000,313.8,336.4,1.0,1,1,1
116000,313.9,336.4,1.0,1,1,1
120000,314.0,336.3,1.0,1,1,1
124000,314.2,336.3,1.0,1,1,1
