Index	Time	X_coord	Y_coord	Confidence
1	1000	465.0	253.6	0
2	4000	465.5	254.1	0
3	8000	468.6	252.8	0
4	12000	469.2	253.4	0
5	16000	470.7	252.8	0
6	20000	471.0	252.5	0
7	24000	471.6	252.0	0
8	28000	473.5	251.2	0
9	32000	478.5	249.7	0
10	36000	479.8	244.3	0
11	37000	478.2	233.9	0
12	38000	477.0	228.8	0
13	41000	476.5	226.2	0
14	45000	476.0	223.6	0
15	49000	472.6	256.5	0
16	53000	455.2	304.9	0
17	67000	448.8	333.3	0
18	71000	447.1	340.4	0
19	75000	445.5	347.6	0
20	79000	443.9	354.7	0
21	83000	442.3	361.9	0
22	87000	442.3	361.9	0
23	91000	0.0	0.0	0
24	104000	447.5	322.1	0
25	108000	447.4	322.1	0
26	112000	448.6	316.5	0
27	116000	449.8	310.8	0
28	120000	452.1	299.6	0
29	124000	456.8	277.1	0
30	128000	458.7	257.2	0
31	136000	460.1	240.0	0
32	140000	461.6	227.7	0
33	144000	459.2	215.1	0
34	148000	460.1	211.3	0
35	152000	460.0	208.9	0
36	156000	459.1	203.9	0
37	160000	459.4	203.7	0
38	169000	460.2	203.5	0
39	173000	460.9	203.8	0
40	177000	460.9	204.3	0
41	181000	461.0	205.2	0
42	185000	461.0	206.5	0
43	189000	461.0	207.0	0
44	201000	461.0	207.9	0
45	205000	460.9	208.5	0
46	209000	460.9	209.6	0
47	213000	461.0	210.1	0
48	217000	472.5	224.3	0
49	221000	471.5	228.6	0
50	225000	469.3	237.0	0
51	229000	465.3	245.1	0
52	233000	463.4	250.5	0
53	237000	461.2	253.3	0
54	238000	459.5	253.8	0
55	239000	458.0	254.4	0
56	243000	456.3	255.2	0
57	247000	456.5	255.3	0
58	251000	456.0	255.6	0
59	255000	458.0	257.5	0
60	268000	459.9	259.3	0
61	272000	466.3	272.8	0
62	276000	482.4	297.3	0
63	280000	502.9	330.1	0
64	284000	514.4	376.2	0
65	288000	520.8	407.9	0
66	301000	524.6	426.9	0
67	305000	528.2	452.9	0
68	309000	533.0	474.8	0
69	313000	532.8	472.0	0
70	317000	533.1	469.1	0
71	321000	534.6	462.2	0
72	325000	534.6	455.7	0
73	329000	535.6	453.9	0
74	334000	536.1	456.8	0
75	338000	537.5	459.5	0
76	342000	540.0	467.9	0
77	346000	540.5	471.0	0
78	350000	540.6	471.8	0
79	354000	541.0	474.1	0
80	358000	541.5	476.4	0
81	368000	543.4	478.4	1
82	372000	544.0	479.0	1
83	376000	544.3	479.1	1
84	380000	544.5	479.3	1
85	384000	544.5	480.6	1
86	388000	544.6	481.8	1
87	392000	544.5	481.5	1
88	401000	544.7	482.0	1
89	405000	544.7	482.1	1
90	409000	545.2	481.9	1
91	413000	545.3	482.6	1
92	417000	545.6	483.2	1
93	421000	545.6	483.2	1
94	425000	546.2	483.0	1
95	429000	546.2	483.1	1
96	433000	546.2	482.8	1
97	437000	547.2	482.5	1
98	438000	547.3	482.5	1
99	440000	547.3	482.5	1
100	444000	547.5	482.8	1
101	448000	547.1	483.2	1
102	452000	547.1	483.1	1
103	468000	547.2	483.0	1
104	472000	547.4	483.0	1
105	476000	548.0	483.1	1
106	480000	548.6	483.2	1
107	484000	548.8	483.3	1
108	488000	549.1	483.3	1
109	502000	550.1	483.6	1
110	506000	550.0	484.1	1
111	510000	549.8	484.6	1
112	514000	549.3	485.1	1
113	518000	549.5	484.7	1
114	522000	549.4	484.4	1
115	526000	549.6	484.9	1
116	534000	549.9	485.3	1
117	538000	550.2	484.9	1
118	542000	552.7	484.2	1
119	546000	553.0	484.3	1
120	550000	552.9	484.4	1
121	554000	553.0	484.4	1
122	558000	552.9	484.4	1
123	570000	552.8	484.1	1
124	574000	552.7	483.9	1
125	578000	553.0	483.7	1
126	582000	553.4	483.6	1
127	586000	553.4	483.7	1
128	590000	553.9	483.7	1
129	594000	553.6	483.5	1
130	603000	553.8	483.2	1
131	607000	553.1	483.6	1
