% Handlabelling data is arranged in 3 columns: handlabeller1 and handlabeller2 indicate the first two experts, handlabeller_final column contains the final, tie-breaking labels.
% Labels in these columns are to be interpreted as follows:
%   - 0 is UNKNOWN
%   - 1 is FIX (fixation)
%   - 2 is SACCADE
%   - 3 is SP (smooth pursuit)
%   - 4 is NOISE
% 
%@METADATA width_px 1280.0
%@METADATA height_px 720.0
%@METADATA width_mm 400.0
%@METADATA height_mm 225.0
%@METADATA distance_mm 450.0
@RELATION gaze_labels

@ATTRIBUTE time INTEGER
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE confidence NUMERIC
@ATTRIBUTE handlabeller1 INTEGER
@ATTRIBUTE handlabeller2 INTEGER
@ATTRIBUTE handlabeller_final INTEGER

@DATA
1000,312.6,237.6,1.0,0,0,1
5000,312.9,239.6,1.0,1,1,1
9000,312.7,239.6,1.0,1,1,1
13000,311.3,239.4,1.0,1,1,1
17000,311.3,240.7,1.0,1,1,1
21000,311.2,242.1,1.0,1,1,1
25000,310.8,243.3,1.0,1,1,1
29000,310.2,243.9,1.0,1,1,1
33000,309.7,244.5,1.0,1,1,1
34000,309.6,245.8,1.0,1,1,1
38000,309.2,245.7,1.0,1,1,1
42000,309.1,246.1,1.0,1,1,1
46000,308.9,246.6,1.0,1,1,1
50000,309.0,246.9,1.0,1,1,1
54000,309.2,247.2,1.0,1,1,1
58000,309.3,247.9,1.0,1,1,1
67000,309.5,248.7,1.0,1,1,1
71000,309.8,248.8,1.0,1,1,1
75000,310.0,248.8,1.0,1,1,1
79000,310.5,248.8,1.0,1,1,1
83000,310.6,249.8,1.0,1,1,1
87000,310.9,249.4,1.0,1,1,1
91000,311.3,248.9,1.0,1,1,1
103000,312.2,248.8,1.0,1,1,1
107000,312.4,248.8,1.0,1,1,1
111000,312.6,248.8,1.0,1,1,1
115000,313.1,248.8,1.0,1,1,1
119000,313.5,248.2,1.0,1,1,1
123000,314.5,248.2,1.0,1,1,1
127000,314.9,248.0,1.0,1,1,1
131000,315.4,247.8,1.0,1,1,1
134000,316.5,247.5,1.0,1,1,1
138000,317.1,246.8,1.0,1,1,1
142000,318.6,246.9,1.0,1,1,1
146000,318.9,246.6,1.0,1,1,1
150000,320.3,246.8,1.0,1,1,1
154000,320.4,246.1,1.0,1,1,1
158000,320.9,245.5,1.0,1,1,1
162000,322.0,245.6,1.0,1,1,1
169000,322.4,245.5,1.0,1,1,1
173000,322.5,245.4,1.0,1,1,1
177000,323.3,245.8,1.0,1,1,1
181000,324.0,246.3,1.0,1,1,1
185000,324.2,246.5,1.0,1,1,1
189000,324.8,246.8,1.0,1,1,1
193000,325.5,247.2,1.0,1,1,1
201000,326.7,247.3,1.0,1,1,1
205000,327.9,247.4,1.0,1,1,1
209000,328.2,247.9,1.0,1,1,1
213000,328.6,248.4,1.0,1,1,1
217000,330.4,248.0,1.0,1,1,1
221000,330.4,248.1,1.0,1,1,1
225000,331.3,248.1,1.0,1,1,1
229000,332.1,248.5,1.0,1,1,1
233000,333.7,252.6,1.0,1,1,1
234000,333.8,253.8,1.0,1,1,1
237000,334.3,256.8,1.0,1,1,1
241000,334.5,256.6,1.0,1,1,1
245000,334.9,257.4,1.0,1,1,1
249000,335.2,258.3,1.0,1,1,1
253000,335.8,260.2,1.0,1,1,1
257000,336.0,260.8,1.0,1,2,1
266000,336.2,261.2,1.0,1,2,1
270000,336.3,261.7,1.0,1,2,1
274000,337.9,264.3,1.0,1,2,1
278000,338.8,264.4,1.0,1,2,1
282000,341.2,266.7,1.0,2,2,2
286000,366.7,283.4,1.0,2,2,2
290000,412.8,313.7,1.0,2,2,2
300000,476.1,347.2,1.0,2,2,2
304000,537.3,353.9,1.0,2,2,2
308000,603.2,367.9,1.0,2,2,2
312000,670.2,385.0,1.0,2,2,2
316000,731.2,428.2,1.0,2,2,2
320000,762.2,485.1,1.0,2,2,2
324000,786.3,503.6,1.0,2,2,2
328000,805.8,515.5,1.0,2,2,2
333000,820.8,523.1,1.0,2,2,2
337000,824.6,527.8,1.0,2,2,2
