Index	Time	X_coord	Y_coord	Confidence
1	1000	660.3	428.3	1
2	4000	660.3	427.9	1
3	8000	659.9	427.8	1
4	12000	659.4	427.7	1
5	16000	658.6	427.5	1
6	20000	658.4	427.3	1
7	24000	658.3	427.3	1
8	28000	658.0	427.3	1
9	32000	657.8	427.3	1
10	36000	656.8	427.3	1
11	37000	656.2	427.1	1
12	39000	656.2	427.1	1
13	43000	656.2	427.0	1
14	47000	656.3	426.9	1
15	51000	656.4	426.9	1
16	55000	656.4	426.9	1
17	59000	656.5	427.1	1
18	69000	656.5	427.1	1
19	73000	656.1	427.1	1
20	77000	655.8	427.1	1
21	81000	655.4	427.1	1
22	85000	655.6	427.1	1
23	89000	655.6	427.1	1
24	101000	655.9	427.1	1
25	105000	656.2	427.1	1
26	109000	656.2	427.1	1
27	113000	656.3	426.6	1
28	117000	657.1	426.3	1
29	121000	657.3	426.1	1
30	125000	657.5	425.9	1
31	129000	657.6	425.7	1
32	133000	657.7	425.4	1
33	137000	657.6	425.2	1
34	138000	657.5	425.1	1
35	140000	657.4	425.0	1
36	144000	657.3	425.0	1
37	148000	657.3	425.0	1
38	152000	657.2	424.9	1
39	156000	656.6	424.8	1
40	160000	656.5	424.8	1
41	164000	656.4	424.7	1
42	168000	656.6	425.1	1
43	172000	656.5	425.3	1
44	176000	656.5	425.4	1
45	180000	656.5	425.6	1
46	184000	656.6	425.9	1
47	188000	656.8	426.0	1
48	192000	656.7	426.0	1
49	196000	656.7	426.0	1
50	201000	656.7	426.0	1
51	205000	656.4	426.0	1
52	209000	656.1	425.9	1
53	213000	656.2	426.0	1
54	217000	656.2	425.8	1
55	221000	655.7	425.8	1
56	225000	655.4	425.9	1
57	229000	654.7	426.0	1
58	233000	654.1	425.9	1
59	234000	654.0	426.1	1
60	237000	654.0	425.9	1
61	241000	654.1	425.7	1
62	245000	654.1	425.7	1
63	249000	654.2	425.7	1
64	253000	654.3	425.7	1
65	257000	655.2	425.7	1
66	261000	656.4	425.8	1
67	269000	656.4	425.8	1
68	273000	656.8	426.2	1
69	277000	657.3	426.6	1
70	281000	657.6	427.3	1
71	285000	657.8	428.1	1
72	289000	660.5	430.4	1
73	293000	667.5	440.9	1
74	302000	683.6	463.1	1
75	306000	706.1	489.2	1
76	310000	724.4	508.1	1
77	314000	738.8	529.0	1
78	318000	748.3	545.1	1
79	322000	758.3	560.2	1
80	326000	758.2	570.0	1
81	330000	758.2	579.0	1
82	335000	756.4	578.4	1
83	339000	750.6	577.7	1
84	343000	748.7	576.9	1
85	347000	748.2	576.1	1
86	351000	747.8	575.3	1
87	355000	747.9	575.1	1
88	359000	746.7	575.1	1
89	363000	746.4	575.0	1
90	370000	745.5	575.0	1
91	374000	745.2	574.9	1
92	378000	744.6	574.9	1
93	382000	744.1	574.9	1
94	386000	744.0	574.7	1
95	390000	744.2	574.5	1
96	394000	744.2	574.5	1
97	398000	744.2	574.5	1
98	403000	744.2	574.5	1
99	407000	744.3	574.4	1
100	411000	744.4	574.2	1
101	415000	744.8	573.9	1
102	419000	745.4	573.9	1
103	423000	745.7	573.9	1
104	427000	745.9	573.7	1
105	431000	746.1	573.5	1
106	435000	746.3	573.7	1
107	437000	746.5	573.9	1
108	441000	746.3	574.0	1
109	445000	746.4	574.1	1
110	449000	746.4	574.2	1
111	453000	746.3	574.2	1
112	457000	746.3	574.3	1
113	469000	746.2	573.9	1
114	473000	746.2	573.6	1
115	477000	746.4	573.6	1
116	481000	746.4	573.6	1
117	485000	746.4	573.6	1
118	489000	746.4	573.5	1
119	500000	746.4	573.3	1
120	504000	746.4	572.9	1
121	508000	746.5	572.9	1
122	512000	746.2	572.8	1
123	516000	745.9	572.9	1
124	520000	745.9	573.1	1
125	524000	745.9	572.9	1
126	528000	745.9	573.0	1
127	534000	746.0	572.9	1
128	538000	745.9	572.9	1
129	542000	745.9	572.6	1
130	546000	745.8	572.5	1
131	550000	745.5	572.3	1
132	554000	745.6	572.3	1
133	558000	745.4	572.2	1
134	562000	745.5	572.2	1
135	569000	745.5	572.2	1
136	573000	745.6	572.2	1
137	577000	745.5	572.1	1
138	581000	745.6	572.0	1
139	585000	745.7	571.7	1
140	589000	745.6	571.4	1
141	593000	745.6	571.5	1
142	601000	745.7	571.7	1
143	605000	745.8	571.8	1
144	609000	750.5	573.2	1
145	613000	761.7	577.5	1
146	617000	779.6	584.9	1
147	621000	798.4	590.7	1
148	625000	815.2	597.4	1
149	629000	832.8	600.2	1
150	633000	847.4	600.4	1
151	635000	863.2	602.0	1
152	639000	868.4	609.3	1
153	643000	870.7	608.4	1
154	647000	870.1	607.6	1
155	651000	869.4	607.0	1
156	655000	868.2	606.7	1
157	667000	867.6	606.4	1
158	671000	868.4	606.7	1
159	675000	868.5	606.4	1
160	679000	868.3	606.4	1
161	683000	868.4	606.5	1
162	687000	868.5	606.1	1
163	691000	868.3	606.0	1
164	701000	868.0	605.8	1
165	705000	867.8	605.6	1
166	709000	867.7	605.3	1
167	713000	867.8	605.2	1
168	717000	867.9	605.1	1
169	721000	867.8	605.3	1
170	725000	867.6	605.4	1
171	729000	867.4	607.7	1
172	735000	867.3	607.7	1
173	739000	867.1	607.7	1
174	743000	866.7	608.1	1
175	747000	866.3	608.2	1
176	751000	866.4	608.3	1
177	755000	866.5	608.4	1
178	759000	866.5	608.1	1
179	768000	866.7	607.9	1
180	772000	866.9	607.3	1
181	776000	867.0	607.1	1
182	780000	866.9	607.1	1
183	784000	866.8	607.1	1
184	788000	866.7	607.1	1
185	792000	866.7	607.1	1
186	800000	866.8	607.0	1
187	804000	866.7	607.0	1
188	808000	866.7	607.2	1
189	812000	866.7	607.1	1
190	816000	866.7	607.6	1
191	820000	866.8	608.0	1
192	824000	866.9	608.4	1
193	828000	867.0	608.8	1
194	832000	867.1	609.0	1
195	836000	867.4	609.4	1
196	840000	867.8	609.8	1
197	844000	867.9	610.0	1
198	848000	868.0	610.2	1
199	852000	868.0	610.9	1
200	856000	868.0	610.8	1
201	867000	868.0	610.9	1
202	871000	867.9	610.5	1
203	875000	867.7	610.1	1
204	879000	867.5	610.2	1
205	883000	867.0	610.2	1
206	887000	867.0	610.3	1
207	891000	866.9	610.4	1
208	901000	866.9	611.1	1
209	905000	866.5	611.1	1
210	909000	866.2	610.9	1
211	913000	865.9	610.9	1
212	917000	865.5	611.0	1
213	921000	865.3	611.3	1
214	925000	865.1	611.7	1
215	929000	865.2	612.5	1
216	935000	865.2	612.7	1
217	939000	865.2	612.7	1
218	943000	865.3	612.7	1
219	947000	865.6	612.7	1
220	951000	865.9	612.8	1
221	955000	865.9	612.8	1
222	959000	865.8	612.8	1
223	963000	865.9	613.1	1
224	970000	865.9	613.5	1
225	974000	866.3	613.7	1
226	978000	867.0	613.7	1
227	982000	867.0	613.4	1
228	986000	867.1	613.1	1
229	990000	867.0	612.9	1
230	994000	867.0	612.8	1
231	1002000	867.2	612.1	1
232	1006000	867.3	611.9	1
233	1010000	867.4	611.7	1
234	1014000	867.2	611.9	1
235	1018000	867.1	612.1	1
236	1022000	867.0	612.5	1
237	1026000	866.9	612.5	1
238	1030000	866.5	612.5	1
239	1034000	866.4	612.5	1
240	1037000	866.3	612.4	1
241	1041000	866.2	613.0	1
242	1045000	866.3	613.5	1
243	1049000	866.3	613.6	1
244	1053000	866.4	613.4	1
245	1057000	866.2	613.4	1
246	1068000	866.1	613.3	1
247	1072000	865.9	613.3	1
248	1076000	865.6	613.0	1
249	1080000	865.0	612.8	1
250	1084000	864.8	612.2	1
251	1088000	864.6	612.4	1
252	1092000	864.2	612.4	1
253	1103000	863.7	612.4	1
254	1107000	863.7	612.4	1
255	1111000	863.7	611.9	1
256	1115000	863.5	611.5	1
257	1119000	863.4	611.5	1
258	1123000	863.3	611.5	1
259	1127000	863.5	611.4	1
260	1134000	863.6	611.2	1
261	1138000	864.0	611.4	1
262	1142000	864.2	611.5	1
263	1146000	864.5	611.7	1
264	1150000	864.8	611.7	1
265	1154000	865.3	611.8	1
266	1158000	865.5	611.5	1
267	1162000	865.6	611.6	1
268	1169000	865.8	611.6	1
