% Handlabelling data is arranged in 3 columns: handlabeller1 and handlabeller2 indicate the first two experts, handlabeller_final column contains the final, tie-breaking labels.
% Labels in these columns are to be interpreted as follows:
%   - 0 is UNKNOWN
%   - 1 is FIX (fixation)
%   - 2 is SACCADE
%   - 3 is SP (smooth pursuit)
%   - 4 is NOISE
% 
%@METADATA width_px 1280.0
%@METADATA height_px 720.0
%@METADATA width_mm 400.0
%@METADATA height_mm 225.0
%@METADATA distance_mm 450.0
@RELATION gaze_labels

@ATTRIBUTE time INTEGER
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE confidence NUMERIC
@ATTRIBUTE handlabeller1 INTEGER
@ATTRIBUTE handlabeller2 INTEGER
@ATTRIBUTE handlabeller_final INTEGER

@DATA
3000,265.0,296.2,1.0,1,2,1
7000,265.1,296.1,1.0,1,2,1
11000,265.1,295.9,1.0,1,2,1
15000,265.8,295.9,1.0,1,2,1
19000,266.4,295.6,1.0,1,2,1
23000,267.9,295.2,1.0,1,2,1
27000,275.5,294.8,1.0,2,2,2
31000,295.6,292.8,1.0,2,2,2
35000,325.3,289.7,1.0,2,2,2
36000,354.7,285.7,1.0,2,2,2
38000,363.1,283.6,1.0,2,2,2
42000,365.0,283.1,1.0,2,2,2
46000,364.6,281.8,1.0,2,2,2
50000,364.3,281.7,1.0,1,1,1
54000,363.8,281.8,1.0,1,1,1
58000,363.5,281.9,1.0,1,1,1
69000,364.1,284.4,1.0,1,1,1
73000,364.4,285.5,1.0,1,1,1
77000,364.8,285.9,1.0,1,1,1
81000,365.2,286.3,1.0,1,1,1
85000,365.7,286.3,1.0,1,1,1
89000,366.3,286.0,1.0,1,1,1
93000,365.8,285.9,1.0,1,1,1
103000,366.2,285.7,1.0,1,1,1
107000,366.6,285.4,1.0,1,1,1
111000,366.6,284.6,1.0,1,1,1
115000,366.6,284.3,1.0,1,1,1
119000,366.8,284.1,1.0,1,1,1
123000,367.0,283.9,1.0,1,1,1
127000,366.7,283.8,1.0,1,1,1
131000,366.9,283.6,1.0,1,1,1
133000,367.2,283.6,1.0,1,1,1
137000,367.2,283.6,1.0,1,1,1
141000,367.0,283.3,1.0,1,1,1
145000,366.4,283.0,1.0,1,1,1
149000,366.5,283.1,1.0,1,1,1
153000,366.6,283.0,1.0,1,1,1
157000,366.2,282.9,1.0,1,1,1
161000,365.9,282.7,1.0,1,1,1
165000,365.9,283.1,1.0,1,1,1
169000,366.0,283.4,1.0,1,1,1
170000,366.1,284.5,1.0,1,1,1
171000,374.1,289.8,1.0,2,2,2
175000,390.7,312.9,1.0,2,2,2
179000,438.2,339.1,1.0,2,2,2
183000,497.6,368.7,1.0,2,2,2
187000,552.2,408.5,1.0,2,2,2
191000,592.3,439.2,1.0,2,2,2
195000,624.9,470.4,1.0,2,2,2
200000,643.2,494.9,1.0,2,2,2
204000,653.5,515.0,1.0,2,2,2
208000,659.9,521.0,1.0,2,2,2
212000,666.2,521.8,1.0,2,2,2
216000,666.5,517.9,1.0,2,2,2
220000,666.4,514.0,1.0,2,2,2
224000,666.9,516.3,1.0,2,2,2
228000,667.6,518.5,1.0,2,2,2
232000,668.7,523.8,1.0,2,2,2
236000,669.4,524.4,1.0,2,2,2
240000,669.8,524.0,1.0,1,1,1
241000,669.9,523.6,1.0,1,1,1
242000,670.0,523.5,1.0,1,1,1
245000,670.5,523.3,1.0,1,1,1
249000,670.9,521.3,1.0,1,1,1
253000,671.2,519.3,1.0,1,1,1
257000,671.2,517.8,1.0,1,1,1
261000,671.3,517.6,1.0,1,1,1
266000,671.7,517.4,1.0,1,1,1
270000,672.1,517.7,1.0,1,1,1
274000,672.2,518.0,1.0,1,1,1
278000,672.3,518.1,1.0,1,1,1
282000,673.2,518.1,1.0,1,1,1
286000,674.3,519.7,1.0,1,1,1
290000,674.3,520.2,1.0,1,1,1
301000,674.3,520.3,1.0,1,1,1
305000,674.4,521.5,1.0,1,1,1
309000,674.5,521.8,1.0,1,1,1
313000,674.3,521.8,1.0,1,1,1
317000,674.3,521.7,1.0,1,1,1
321000,674.2,520.9,1.0,1,1,1
325000,674.2,520.7,1.0,1,1,1
329000,674.5,521.1,1.0,1,1,1
334000,674.9,521.4,1.0,1,1,1
338000,675.3,522.3,1.0,1,1,1
342000,675.7,523.1,1.0,1,1,1
346000,675.8,522.8,1.0,1,1,1
350000,675.9,522.7,1.0,1,1,1
354000,676.1,522.5,1.0,1,1,1
358000,676.4,521.8,1.0,1,1,1
362000,676.4,521.2,1.0,1,1,1
369000,676.5,521.1,1.0,1,1,1
373000,676.5,521.2,1.0,1,1,1
377000,676.0,521.1,1.0,1,1,1
381000,675.6,521.3,1.0,1,1,1
385000,677.5,521.0,1.0,2,2,2
389000,679.4,520.9,1.0,2,2,2
393000,683.6,523.0,1.0,2,2,2
397000,700.9,528.7,1.0,2,2,2
403000,741.4,540.1,1.0,2,2,2
407000,782.0,558.2,1.0,2,2,2
411000,814.6,566.5,1.0,2,2,2
415000,815.8,566.4,1.0,2,2,2
419000,815.3,565.4,1.0,1,1,1
423000,814.8,564.4,1.0,1,1,1
427000,814.1,560.9,1.0,1,1,1
431000,814.7,558.9,1.0,1,1,1
434000,815.7,559.7,1.0,1,1,1
438000,816.4,561.0,1.0,1,1,1
442000,820.0,562.6,1.0,1,1,1
446000,820.2,564.1,1.0,1,1,1
450000,820.2,564.7,1.0,1,1,1
454000,820.2,565.2,1.0,1,1,1
458000,820.1,564.9,1.0,1,1,1
469000,820.0,565.0,1.0,1,1,1
473000,819.5,565.1,1.0,1,1,1
477000,818.9,565.2,1.0,1,1,1
481000,818.3,565.5,1.0,1,1,1
485000,818.4,565.7,1.0,1,1,1
489000,818.4,566.1,1.0,1,1,1
500000,818.5,566.2,1.0,1,1,1
504000,818.3,566.2,1.0,1,1,1
508000,818.0,565.6,1.0,1,1,1
512000,817.6,565.1,1.0,1,1,1
516000,817.5,565.1,1.0,1,1,1
520000,817.6,565.2,1.0,1,1,1
524000,817.3,565.4,1.0,1,1,1
528000,817.3,565.4,1.0,1,1,1
533000,817.2,565.3,1.0,1,1,1
537000,817.2,565.6,1.0,1,1,1
541000,817.2,565.3,1.0,1,1,1
545000,817.3,564.9,1.0,1,1,1
549000,817.3,565.6,1.0,1,1,1
553000,817.2,565.4,1.0,1,1,1
557000,817.3,565.9,1.0,1,1,1
561000,817.4,565.8,1.0,1,1,1
570000,817.4,565.8,1.0,1,1,1
574000,817.4,565.1,1.0,1,1,1
578000,817.4,565.2,1.0,1,1,1
582000,817.5,565.2,1.0,1,1,1
586000,817.6,565.2,1.0,1,1,1
590000,817.5,565.2,1.0,1,1,1
594000,817.6,565.2,1.0,1,1,1
602000,817.5,565.0,1.0,1,1,1
606000,817.5,564.9,1.0,1,1,1
610000,817.4,564.8,1.0,1,1,1
614000,816.6,565.0,1.0,1,1,1
618000,816.1,565.1,1.0,1,1,1
622000,816.7,565.0,1.0,1,1,1
626000,816.3,564.8,1.0,1,1,1
630000,816.0,565.0,1.0,1,1,1
634000,815.8,565.1,1.0,1,1,1
635000,816.1,565.2,1.0,1,1,1
639000,816.3,565.3,1.0,1,1,1
643000,816.4,565.1,1.0,1,1,1
647000,816.5,564.9,1.0,1,1,1
651000,816.6,564.9,1.0,1,1,1
655000,816.3,564.9,1.0,1,1,1
667000,816.4,565.0,1.0,1,1,1
671000,816.5,564.8,1.0,1,1,1
675000,816.3,564.9,1.0,1,1,1
679000,816.3,564.7,1.0,1,1,1
683000,816.3,564.4,1.0,1,1,1
687000,816.1,564.5,1.0,1,1,1
691000,815.9,564.3,1.0,1,1,1
702000,815.6,564.3,1.0,1,1,1
706000,815.7,564.3,1.0,1,1,1
710000,815.3,564.5,1.0,1,1,1
714000,814.9,564.3,1.0,1,1,1
718000,815.1,564.2,1.0,1,1,1
722000,815.3,564.1,1.0,1,1,1
726000,815.3,564.1,1.0,1,1,1
730000,815.1,564.4,1.0,1,1,1
737000,815.2,564.9,1.0,1,1,1
741000,815.1,565.1,1.0,1,1,1
745000,815.0,565.2,1.0,1,1,1
749000,815.1,565.8,1.0,1,1,1
753000,815.0,565.9,1.0,1,1,1
757000,815.3,565.7,1.0,1,1,1
761000,815.7,565.3,1.0,1,1,1
768000,816.5,564.7,1.0,1,1,1
772000,816.5,563.3,1.0,1,1,1
776000,816.1,561.6,1.0,1,1,1
780000,815.8,561.0,1.0,1,1,1
784000,816.3,561.6,1.0,1,1,1
788000,816.3,562.3,1.0,1,1,1
792000,816.4,561.9,1.0,1,1,1
800000,816.4,561.4,1.0,1,1,1
804000,816.6,561.0,1.0,1,1,1
808000,817.6,560.5,1.0,1,1,2
812000,821.4,559.1,1.0,2,2,2
816000,829.4,556.8,1.0,2,2,2
820000,844.6,546.2,1.0,2,2,2
824000,854.3,539.7,1.0,2,2,2
828000,856.4,530.0,1.0,2,2,2
832000,857.4,521.6,1.0,2,2,2
837000,857.6,518.1,1.0,2,2,2
841000,857.1,518.3,1.0,2,2,2
845000,856.6,518.4,1.0,1,1,1
849000,856.3,518.8,1.0,1,1,1
853000,855.8,519.9,1.0,1,1,1
857000,855.3,521.0,1.0,1,1,1
868000,854.2,522.4,1.0,1,1,1
872000,854.5,522.9,1.0,1,1,1
876000,854.9,523.4,1.0,1,1,1
880000,855.0,523.4,1.0,1,1,1
884000,855.1,523.5,1.0,1,1,1
888000,855.1,523.7,1.0,1,1,1
892000,855.1,523.9,1.0,1,1,1
902000,855.2,523.5,1.0,1,1,1
906000,855.3,523.8,1.0,1,1,1
910000,855.6,524.0,1.0,1,1,1
914000,855.4,524.1,1.0,1,1,1
918000,856.0,524.1,1.0,1,1,1
922000,856.5,522.6,1.0,1,1,1
926000,856.5,521.2,1.0,1,1,1
930000,856.6,520.5,1.0,1,1,1
936000,856.1,521.1,1.0,1,1,1
940000,856.3,520.7,1.0,1,1,1
944000,856.1,521.4,1.0,1,1,1
