% Handlabelling data is arranged in 3 columns: handlabeller1 and handlabeller2 indicate the first two experts, handlabeller_final column contains the final, tie-breaking labels.
% Labels in these columns are to be interpreted as follows:
%   - 0 is UNKNOWN
%   - 1 is FIX (fixation)
%   - 2 is SACCADE
%   - 3 is SP (smooth pursuit)
%   - 4 is NOISE
% 
%@METADATA width_px 1280.0
%@METADATA height_px 720.0
%@METADATA width_mm 400.0
%@METADATA height_mm 225.0
%@METADATA distance_mm 450.0
@RELATION gaze_labels

@ATTRIBUTE time INTEGER
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE confidence NUMERIC
@ATTRIBUTE handlabeller1 INTEGER
@ATTRIBUTE handlabeller2 INTEGER
@ATTRIBUTE handlabeller_final INTEGER

@DATA
1000,564.0,348.5,1.0,1,0,1
4000,564.1,348.7,1.0,1,1,1
8000,564.0,348.6,1.0,1,1,1
12000,564.0,348.5,1.0,1,1,1
16000,564.0,348.5,1.0,1,1,1
20000,564.2,348.4,1.0,1,1,1
24000,564.1,348.5,1.0,1,1,1
28000,564.0,348.4,1.0,1,1,1
32000,564.1,348.4,1.0,1,1,1
36000,564.2,348.5,1.0,1,1,1
40000,564.3,348.3,1.0,1,1,1
44000,564.2,348.1,1.0,1,1,1
48000,564.1,347.7,1.0,1,1,1
52000,564.2,347.5,1.0,1,1,1
53000,564.2,347.4,1.0,1,1,1
54000,564.1,347.5,1.0,1,1,1
55000,564.3,347.4,1.0,1,1,1
56000,564.2,347.4,1.0,1,1,1
57000,564.4,347.3,1.0,1,1,1
58000,564.5,347.1,1.0,1,1,1
59000,564.6,346.9,1.0,1,1,1
63000,564.6,346.7,1.0,1,1,1
68000,564.6,346.8,1.0,1,1,1
72000,564.7,346.9,1.0,1,1,1
76000,564.7,346.6,1.0,1,1,1
80000,564.8,346.3,1.0,1,1,1
84000,564.7,346.0,1.0,1,1,1
88000,564.7,345.7,1.0,1,1,1
92000,564.7,345.7,1.0,1,1,1
101000,564.7,345.6,1.0,1,1,1
105000,564.8,345.6,1.0,1,1,1
109000,564.8,345.5,1.0,1,1,1
113000,564.9,345.7,1.0,1,1,1
117000,564.8,345.9,1.0,1,1,1
121000,564.8,346.3,1.0,1,1,1
125000,564.6,346.4,1.0,1,1,1
129000,564.7,346.4,1.0,1,1,1
133000,564.7,346.3,1.0,1,1,1
134000,564.7,346.2,1.0,1,1,1
138000,564.8,346.3,1.0,1,1,1
