% Handlabelling data is arranged in 3 columns: handlabeller1 and handlabeller2 indicate the first two experts, handlabeller_final column contains the final, tie-breaking labels.
% Labels in these columns are to be interpreted as follows:
%   - 0 is UNKNOWN
%   - 1 is FIX (fixation)
%   - 2 is SACCADE
%   - 3 is SP (smooth pursuit)
%   - 4 is NOISE
% 
%@METADATA width_px 1280.0
%@METADATA height_px 720.0
%@METADATA width_mm 400.0
%@METADATA height_mm 225.0
%@METADATA distance_mm 450.0
@RELATION gaze_labels

@ATTRIBUTE time INTEGER
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE confidence NUMERIC
@ATTRIBUTE handlabeller1 INTEGER
@ATTRIBUTE handlabeller2 INTEGER
@ATTRIBUTE handlabeller_final INTEGER

@DATA
1000,605.5,349.5,1.0,4,4,4
5000,608.2,349.7,1.0,4,4,4
9000,609.3,349.9,1.0,4,4,4
13000,599.4,351.2,1.0,4,4,4
17000,589.4,349.6,1.0,4,4,4
21000,581.4,347.8,1.0,4,4,4
25000,577.2,329.1,1.0,4,4,4
29000,575.1,319.7,1.0,4,4,4
33000,574.0,315.0,1.0,4,4,4
37000,572.9,310.3,1.0,4,4,4
38000,580.4,313.6,1.0,4,4,4
40000,584.8,346.4,1.0,4,4,4
44000,590.6,394.3,1.0,4,4,4
48000,592.5,416.6,1.0,4,4,4
52000,593.0,422.2,1.0,4,4,4
56000,593.4,427.8,1.0,4,4,4
60000,593.9,433.3,1.0,4,4,4
70000,594.2,438.9,1.0,4,4,4
74000,594.2,438.9,1.0,4,4,4
78000,0.0,0.0,0.0,4,4,4
82000,0.0,0.0,0.0,4,4,4
86000,0.0,0.0,0.0,4,4,4
90000,0.0,0.0,0.0,4,4,4
102000,0.0,0.0,0.0,4,4,4
106000,0.0,0.0,0.0,4,4,4
110000,0.0,0.0,0.0,4,4,4
114000,0.0,0.0,0.0,4,4,4
118000,0.0,0.0,0.0,4,4,4
122000,0.0,0.0,0.0,4,4,4
126000,0.0,0.0,0.0,4,4,4
130000,0.0,0.0,0.0,4,4,4
134000,0.0,0.0,0.0,4,4,4
138000,0.0,0.0,0.0,4,4,4
142000,0.0,0.0,0.0,4,4,4
146000,0.0,0.0,0.0,4,4,4
150000,0.0,0.0,0.0,4,4,4
154000,0.0,0.0,0.0,4,4,4
158000,0.0,0.0,0.0,4,4,4
162000,0.0,0.0,0.0,4,4,4
169000,0.0,0.0,0.0,4,4,4
173000,584.1,483.3,1.0,4,4,4
177000,583.9,483.3,1.0,4,4,4
181000,583.4,479.3,1.0,4,4,4
185000,582.9,475.4,1.0,4,4,4
189000,581.8,467.5,1.0,4,4,4
193000,579.8,451.7,1.0,4,4,4
201000,578.2,437.7,1.0,4,4,4
205000,577.6,423.9,1.0,4,4,4
209000,577.2,405.5,1.0,4,4,4
213000,576.9,389.8,1.0,4,4,4
217000,576.5,376.6,1.0,4,4,4
221000,576.0,364.3,1.0,4,4,4
225000,575.7,358.3,1.0,4,4,4
229000,575.3,346.2,1.0,4,4,4
233000,574.6,336.4,1.0,4,4,4
234000,575.9,337.4,1.0,4,4,4
237000,577.3,338.4,1.0,4,4,4
241000,581.4,340.1,1.0,4,4,4
245000,582.3,340.7,1.0,4,4,4
249000,583.2,340.0,1.0,4,4,4
253000,583.6,339.3,1.0,4,4,4
257000,584.1,339.3,1.0,4,4,4
267000,584.6,339.4,1.0,4,4,4
271000,584.8,339.3,1.0,4,4,4
275000,584.8,339.3,1.0,4,4,4
279000,584.9,339.9,1.0,4,4,4
283000,589.1,315.5,1.0,4,4,4
287000,592.5,320.8,1.0,4,4,4
291000,599.3,331.4,1.0,4,4,4
301000,603.2,345.7,1.0,4,4,4
305000,608.0,354.5,1.0,4,4,4
309000,609.6,363.4,1.0,4,4,4
313000,614.0,371.2,1.0,4,4,4
317000,617.5,374.6,1.0,4,4,4
321000,619.4,376.8,1.0,4,4,4
325000,623.3,378.8,1.0,4,4,4
329000,624.3,381.6,1.0,4,4,4
334000,625.8,385.8,1.0,4,4,4
338000,627.0,387.8,1.0,4,4,4
342000,631.1,390.9,1.0,4,4,4
346000,643.2,391.4,1.0,4,4,4
350000,669.5,399.1,1.0,4,4,4
354000,702.9,430.6,1.0,4,4,4
358000,738.2,471.5,1.0,4,4,4
362000,770.2,509.6,1.0,4,4,4
370000,789.7,538.3,1.0,4,4,4
374000,806.6,557.2,1.0,4,4,4
378000,823.8,562.4,1.0,4,4,4
382000,827.7,560.3,1.0,4,4,4
386000,828.9,558.4,1.0,4,4,4
390000,826.6,555.0,1.0,4,4,4
394000,824.3,554.0,1.0,4,4,4
400000,824.0,553.9,1.0,4,4,4
404000,824.1,554.2,1.0,4,1,4
408000,824.1,554.5,1.0,4,1,4
412000,825.1,557.4,1.0,4,1,4
416000,826.0,558.3,1.0,4,1,4
420000,826.7,559.3,1.0,4,1,4
424000,827.3,559.4,1.0,4,1,4
428000,828.5,559.4,1.0,1,1,1
432000,828.8,560.5,1.0,1,1,1
434000,829.0,560.7,1.0,1,1,1
438000,829.4,560.9,1.0,1,1,1
442000,829.8,561.5,1.0,1,1,1
446000,829.8,562.6,1.0,1,1,1
450000,829.8,563.0,1.0,1,1,1
454000,829.9,563.5,1.0,1,1,1
458000,829.8,563.3,1.0,1,1,1
470000,830.1,563.6,1.0,1,1,1
474000,830.1,563.8,1.0,1,1,1
478000,830.2,563.4,1.0,1,1,1
482000,830.0,563.5,1.0,1,1,1
486000,829.6,563.7,1.0,1,1,1
490000,829.5,564.3,1.0,1,1,1
501000,829.4,564.6,1.0,1,1,1
505000,829.3,564.8,1.0,1,1,1
509000,829.4,565.3,1.0,1,1,1
513000,829.5,565.8,1.0,1,1,1
517000,829.0,566.1,1.0,1,1,1
521000,828.6,566.4,1.0,1,1,1
525000,828.3,566.6,1.0,1,1,1
529000,828.1,566.7,1.0,1,1,1
535000,828.0,566.7,1.0,1,1,1
539000,828.2,566.9,1.0,1,1,1
543000,828.3,566.8,1.0,1,1,1
547000,828.8,567.1,1.0,1,1,1
551000,828.8,567.2,1.0,1,1,1
555000,828.5,567.2,1.0,1,1,1
559000,828.2,567.2,1.0,1,1,1
563000,828.0,567.5,1.0,1,1,1
570000,828.0,567.8,1.0,1,1,1
574000,827.9,567.8,1.0,1,1,1
578000,828.0,567.9,1.0,1,1,1
582000,828.0,567.8,1.0,1,1,1
586000,828.1,569.6,1.0,1,1,1
590000,827.5,569.6,1.0,1,1,1
594000,827.3,569.6,1.0,1,1,1
602000,827.3,570.0,1.0,1,1,1
606000,827.3,570.4,1.0,1,1,1
610000,826.9,570.5,1.0,1,1,1
614000,826.5,570.5,1.0,1,1,1
618000,826.7,570.9,1.0,1,1,1
622000,826.7,571.7,1.0,1,1,1
626000,826.9,572.1,1.0,1,1,1
630000,827.1,572.4,1.0,1,1,1
634000,827.0,572.4,1.0,1,1,1
636000,827.1,572.3,1.0,1,1,1
640000,827.3,572.2,1.0,1,1,1
644000,827.1,571.4,1.0,1,1,1
648000,826.9,571.3,1.0,1,1,1
652000,826.5,571.1,1.0,1,1,1
656000,826.4,571.1,1.0,1,1,1
668000,826.3,570.9,1.0,1,1,1
672000,826.4,570.7,1.0,1,1,1
