% Handlabelling data is arranged in 3 columns: handlabeller1 and handlabeller2 indicate the first two experts, handlabeller_final column contains the final, tie-breaking labels.
% Labels in these columns are to be interpreted as follows:
%   - 0 is UNKNOWN
%   - 1 is FIX (fixation)
%   - 2 is SACCADE
%   - 3 is SP (smooth pursuit)
%   - 4 is NOISE
% 
%@METADATA width_px 1280.0
%@METADATA height_px 720.0
%@METADATA width_mm 400.0
%@METADATA height_mm 225.0
%@METADATA distance_mm 450.0
@RELATION gaze_labels

@ATTRIBUTE time INTEGER
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE confidence NUMERIC
@ATTRIBUTE handlabeller1 INTEGER
@ATTRIBUTE handlabeller2 INTEGER
@ATTRIBUTE handlabeller_final INTEGER

@DATA
1000,640.3,363.3,1.0,1,0,1
4000,640.2,363.1,1.0,1,1,1
8000,640.3,363.0,1.0,1,1,1
12000,640.4,362.6,1.0,1,1,1
16000,640.6,362.5,1.0,1,1,1
20000,641.1,362.4,1.0,1,1,1
24000,641.1,362.4,1.0,1,1,1
28000,641.2,362.5,1.0,1,1,1
32000,641.3,362.5,1.0,1,1,1
36000,641.3,362.6,1.0,1,1,1
37000,641.3,362.6,1.0,1,1,1
39000,641.3,362.4,1.0,1,1,1
43000,641.4,362.4,1.0,1,1,1
47000,641.5,362.3,1.0,1,1,1
51000,641.5,362.4,1.0,1,1,1
55000,641.5,362.5,1.0,1,1,1
59000,641.5,362.3,1.0,1,1,1
69000,641.1,362.4,1.0,1,1,1
73000,641.1,362.5,1.0,1,1,1
77000,641.2,362.2,1.0,1,1,1
81000,641.2,361.9,1.0,1,1,1
85000,641.3,362.1,1.0,1,1,1
89000,641.4,362.3,1.0,1,1,1
101000,641.6,362.5,1.0,1,1,1
105000,642.0,362.7,1.0,1,1,1
109000,642.3,362.5,1.0,1,1,1
113000,642.5,362.4,1.0,1,1,1
117000,642.7,362.2,1.0,1,1,1
121000,642.8,362.2,1.0,1,1,1
125000,642.8,362.2,1.0,1,1,1
129000,642.8,362.2,1.0,1,1,1
133000,642.8,362.3,1.0,1,1,1
136000,642.6,362.8,1.0,1,1,1
140000,642.5,363.2,1.0,1,1,1
144000,642.5,363.4,1.0,1,1,1
148000,642.5,363.4,1.0,1,1,1
152000,642.5,363.5,1.0,1,1,1
156000,642.5,364.0,1.0,1,1,1
160000,642.3,363.8,1.0,1,1,1
166000,642.0,363.6,1.0,1,1,1
170000,642.1,363.2,1.0,1,1,1
174000,642.1,363.4,1.0,1,1,1
178000,642.0,363.3,1.0,1,1,1
182000,642.0,363.3,1.0,1,1,1
186000,642.0,363.3,1.0,1,1,1
190000,642.0,363.3,1.0,1,1,1
194000,642.2,363.5,1.0,1,1,1
198000,642.3,363.6,1.0,1,1,1
202000,642.4,363.6,1.0,1,1,1
203000,643.2,363.7,1.0,1,1,1
206000,643.6,364.1,1.0,1,1,1
210000,643.5,364.4,1.0,1,1,1
214000,643.4,365.0,1.0,1,1,1
218000,643.3,364.9,1.0,1,1,1
222000,643.2,365.1,1.0,1,1,1
226000,642.7,365.1,1.0,1,1,1
230000,642.7,365.4,1.0,1,1,1
234000,642.6,365.7,1.0,1,1,1
238000,642.6,365.8,1.0,1,1,1
239000,642.6,365.9,1.0,1,1,1
240000,642.5,366.1,1.0,1,1,1
241000,642.4,365.6,1.0,1,1,1
245000,642.0,365.3,1.0,1,1,1
249000,642.0,365.1,1.0,1,1,1
253000,642.1,364.8,1.0,1,1,1
257000,641.8,364.5,1.0,1,1,1
261000,641.8,364.1,1.0,1,1,1
267000,641.7,363.7,1.0,1,1,1
271000,641.9,363.3,1.0,1,1,1
275000,642.1,363.5,1.0,1,1,1
279000,642.6,363.7,1.0,1,1,1
283000,642.7,363.8,1.0,1,1,1
287000,642.8,363.9,1.0,1,1,1
291000,643.9,364.6,1.0,1,1,1
295000,645.0,365.3,1.0,1,1,1
303000,653.0,367.3,1.0,2,2,2
307000,675.7,380.0,1.0,2,2,2
311000,701.4,398.7,1.0,2,2,2
315000,726.6,423.0,1.0,2,2,2
319000,754.1,448.8,1.0,2,2,2
323000,777.0,477.0,1.0,2,2,2
327000,795.4,495.1,1.0,2,2,2
331000,801.0,520.8,1.0,2,2,2
335000,803.8,536.4,1.0,2,2,2
339000,804.4,540.0,1.0,2,2,2
343000,804.7,541.5,1.0,2,2,2
347000,805.0,541.6,1.0,1,1,1
351000,806.4,542.5,1.0,1,1,1
355000,806.9,545.9,1.0,1,1,1
359000,807.2,545.9,1.0,1,1,1
363000,807.0,546.0,1.0,1,1,1
369000,806.8,546.4,1.0,1,1,1
373000,806.8,546.5,1.0,1,1,1
377000,806.9,546.7,1.0,1,1,1
381000,807.0,546.8,1.0,1,1,1
385000,807.5,546.9,1.0,1,1,1
389000,807.4,547.3,1.0,1,1,1
393000,807.4,547.3,1.0,1,1,1
400000,807.0,547.4,1.0,1,1,1
404000,806.9,547.2,1.0,1,1,1
408000,807.1,547.1,1.0,1,1,1
412000,807.2,546.7,1.0,1,1,1
416000,807.5,546.4,1.0,1,1,1
420000,807.8,546.1,1.0,1,1,1
424000,809.2,545.9,1.0,1,1,1
428000,809.7,545.6,1.0,1,1,1
432000,810.2,544.2,1.0,1,1,1
435000,810.2,542.8,1.0,1,1,1
439000,810.2,542.8,1.0,1,1,1
443000,810.7,542.8,1.0,1,1,1
447000,811.2,542.5,1.0,1,1,1
451000,811.8,542.2,1.0,1,1,1
455000,811.7,542.0,1.0,1,1,1
467000,811.7,542.0,1.0,1,1,1
471000,811.8,541.7,1.0,1,1,1
475000,812.0,541.4,1.0,1,1,1
479000,812.2,541.1,1.0,1,1,1
483000,812.4,540.7,1.0,1,1,1
487000,811.9,540.0,1.0,1,1,1
491000,811.4,539.2,1.0,1,1,1
501000,811.1,538.6,1.0,1,1,1
505000,811.2,538.2,1.0,1,1,1
509000,811.4,537.9,1.0,1,1,1
513000,812.9,537.2,1.0,1,1,1
517000,812.8,537.1,1.0,1,1,1
521000,812.6,537.1,1.0,1,1,1
525000,812.4,537.7,1.0,1,1,1
529000,812.2,537.8,1.0,1,1,1
535000,812.7,538.0,1.0,1,1,1
539000,813.1,540.0,1.0,1,1,1
543000,813.4,540.5,1.0,1,1,1
547000,813.8,540.5,1.0,1,1,1
551000,813.6,540.5,1.0,1,1,1
555000,813.5,540.1,1.0,1,1,1
559000,813.7,539.9,1.0,1,1,1
567000,813.8,539.9,1.0,1,1,1
571000,813.8,539.7,1.0,1,1,1
575000,813.9,539.4,1.0,1,1,1
579000,814.8,539.1,1.0,1,1,1
583000,814.7,538.8,1.0,1,1,1
587000,815.1,538.6,1.0,1,1,1
591000,814.8,538.2,1.0,1,1,1
595000,814.5,537.9,1.0,1,1,1
603000,814.2,537.4,1.0,1,1,1
607000,813.9,537.0,1.0,1,1,1
611000,813.7,536.6,1.0,1,1,1
615000,813.6,536.4,1.0,1,1,1
619000,814.0,536.2,1.0,1,1,1
623000,813.9,535.9,1.0,1,1,1
627000,814.0,535.8,1.0,1,1,1
631000,814.0,535.4,1.0,1,1,1
635000,814.0,535.0,1.0,1,1,1
636000,815.1,535.0,1.0,1,1,1
640000,815.6,535.0,1.0,1,1,1
644000,816.1,535.4,1.0,1,1,1
648000,816.2,535.2,1.0,1,1,1
652000,816.3,535.0,1.0,1,1,1
656000,816.2,535.1,1.0,1,1,1
668000,816.2,535.2,1.0,1,1,1
672000,816.4,535.6,1.0,1,1,1
676000,816.7,535.4,1.0,1,1,1
680000,817.1,535.5,1.0,1,1,1
684000,817.7,535.6,1.0,1,1,1
688000,817.9,535.5,1.0,1,1,1
692000,818.0,535.4,1.0,1,1,1
703000,817.3,535.1,1.0,1,1,1
707000,817.0,534.5,1.0,1,1,1
711000,816.6,534.0,1.0,1,1,1
715000,816.4,534.0,1.0,1,1,1
719000,816.3,533.9,1.0,1,1,1
723000,816.2,534.1,1.0,1,1,1
727000,816.1,533.9,1.0,1,1,1
734000,816.0,533.9,1.0,1,1,1
738000,816.0,533.8,1.0,1,1,1
742000,816.0,534.1,1.0,1,1,1
746000,816.8,534.1,1.0,1,1,1
750000,817.1,534.2,1.0,1,1,1
754000,817.6,534.2,1.0,1,1,1
758000,817.5,534.1,1.0,1,1,1
762000,817.5,534.1,1.0,1,1,1
769000,817.3,534.0,1.0,1,1,1
773000,817.0,534.0,1.0,1,1,1
777000,817.0,534.0,1.0,1,1,1
781000,816.9,533.8,1.0,1,1,1
785000,817.0,533.7,1.0,1,1,1
789000,817.0,533.6,1.0,1,1,1
793000,816.8,533.6,1.0,1,1,1
802000,816.7,533.7,1.0,1,1,1
806000,816.7,534.1,1.0,1,1,1
810000,816.7,534.1,1.0,1,1,1
814000,816.7,534.2,1.0,1,1,1
818000,816.0,534.2,1.0,1,1,1
822000,816.0,534.5,1.0,1,1,1
826000,815.9,534.7,1.0,1,1,1
830000,815.5,535.2,1.0,1,1,1
834000,815.5,535.6,1.0,1,1,1
838000,815.5,536.1,1.0,1,1,1
842000,815.6,535.7,1.0,1,1,1
846000,815.9,535.3,1.0,1,1,1
850000,816.5,535.0,1.0,1,1,1
854000,816.6,535.2,1.0,1,1,1
858000,816.6,535.3,1.0,1,1,1
869000,816.5,535.4,1.0,1,1,1
873000,816.4,535.6,1.0,1,1,1
877000,816.4,536.2,1.0,1,1,1
881000,816.8,536.7,1.0,1,1,1
885000,817.0,537.1,1.0,1,1,1
889000,817.1,537.4,1.0,1,1,1
893000,817.0,537.5,1.0,1,1,1
903000,817.1,537.7,1.0,1,1,1
907000,817.3,537.9,1.0,1,1,1
911000,817.4,538.0,1.0,1,1,1
915000,817.4,538.0,1.0,1,1,1
