% Handlabelling data is arranged in 3 columns: handlabeller1 and handlabeller2 indicate the first two experts, handlabeller_final column contains the final, tie-breaking labels.
% Labels in these columns are to be interpreted as follows:
%   - 0 is UNKNOWN
%   - 1 is FIX (fixation)
%   - 2 is SACCADE
%   - 3 is SP (smooth pursuit)
%   - 4 is NOISE
% 
%@METADATA width_px 1280.0
%@METADATA height_px 720.0
%@METADATA width_mm 400.0
%@METADATA height_mm 225.0
%@METADATA distance_mm 450.0
@RELATION gaze_labels

@ATTRIBUTE time INTEGER
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE confidence NUMERIC
@ATTRIBUTE handlabeller1 INTEGER
@ATTRIBUTE handlabeller2 INTEGER
@ATTRIBUTE handlabeller_final INTEGER

@DATA
3000,630.6,217.5,1.0,1,0,1
7000,630.3,217.8,1.0,1,1,1
11000,630.1,217.8,1.0,1,1,1
15000,630.0,217.8,1.0,1,1,1
19000,630.1,217.6,1.0,1,1,1
23000,629.7,217.5,1.0,1,1,1
27000,629.7,217.5,1.0,1,1,1
31000,630.0,218.4,1.0,1,1,1
35000,630.2,218.8,1.0,1,1,1
36000,630.0,219.2,1.0,1,1,1
39000,629.7,218.0,1.0,1,1,1
43000,629.5,218.1,1.0,1,1,1
47000,629.3,218.3,1.0,1,1,1
51000,628.4,218.1,1.0,1,1,1
55000,628.1,217.9,1.0,1,1,1
59000,628.0,217.9,1.0,1,1,1
69000,627.9,217.9,1.0,1,1,1
73000,628.0,217.8,1.0,1,1,1
77000,628.1,217.6,1.0,1,1,1
81000,628.3,215.1,1.0,1,1,1
85000,628.5,212.6,1.0,1,1,1
89000,628.8,211.2,1.0,1,1,1
101000,628.8,209.8,1.0,1,1,1
105000,628.9,209.7,1.0,1,1,1
109000,629.0,209.6,1.0,1,1,1
113000,628.9,209.4,1.0,1,1,1
117000,628.9,209.1,1.0,1,1,1
121000,629.0,208.9,1.0,1,1,1
125000,628.7,210.8,1.0,2,2,2
129000,628.7,212.7,1.0,2,2,2
133000,628.7,216.9,1.0,2,2,2
136000,630.4,225.3,1.0,2,2,2
140000,632.2,235.8,1.0,2,2,2
144000,636.3,272.3,1.0,2,2,2
148000,647.0,330.7,1.0,2,2,2
152000,654.5,388.7,1.0,2,2,2
156000,656.7,420.3,1.0,2,2,2
160000,656.7,419.9,1.0,2,2,2
164000,654.0,419.4,1.0,2,2,2
168000,651.1,411.4,1.0,2,2,2
170000,651.4,404.7,1.0,2,2,2
174000,651.9,401.7,1.0,2,2,2
178000,653.1,413.7,1.0,2,2,2
182000,655.8,425.8,1.0,2,2,2
186000,657.5,440.3,1.0,2,1,2
190000,657.8,448.6,1.0,2,1,2
194000,657.7,449.5,1.0,2,1,2
198000,657.6,449.4,1.0,1,1,1
203000,657.3,449.4,1.0,1,1,1
207000,657.2,445.4,1.0,1,1,1
211000,657.2,442.8,1.0,1,1,1
215000,657.3,442.6,1.0,1,1,1
219000,657.9,442.8,1.0,1,1,1
223000,657.9,442.8,1.0,1,1,1
227000,657.9,444.4,1.0,1,1,1
231000,658.6,446.0,1.0,1,1,1
235000,658.7,447.2,1.0,1,1,1
239000,658.9,448.5,1.0,1,1,1
240000,659.2,448.3,1.0,1,1,1
241000,659.1,448.6,1.0,1,1,1
243000,659.0,448.9,1.0,1,1,1
247000,658.9,448.7,1.0,1,1,1
