Index	Time	X_coord	Y_coord	Confidence
1	1000	424.1	327.8	1
2	5000	424.0	327.8	1
3	9000	423.9	327.7	1
4	13000	423.8	327.0	1
5	17000	423.9	326.9	1
6	21000	423.7	326.8	1
7	25000	423.6	326.7	1
8	29000	423.6	326.6	1
9	33000	423.5	326.2	1
10	37000	423.5	325.8	1
11	38000	423.6	325.5	1
12	40000	423.4	325.3	1
13	44000	423.3	324.4	1
14	48000	423.2	324.0	1
15	52000	423.4	323.7	1
16	56000	423.4	323.4	1
17	60000	423.3	323.3	1
18	67000	423.3	323.3	1
19	71000	423.8	323.4	1
20	75000	424.2	322.5	1
21	79000	425.5	323.0	1
22	83000	433.9	322.4	1
23	87000	453.5	322.9	1
24	91000	481.3	322.0	1
25	100000	502.2	322.8	1
26	104000	508.0	322.3	1
27	108000	510.6	322.2	1
28	112000	513.2	322.1	1
29	116000	513.1	321.5	1
30	120000	513.1	321.3	1
31	124000	515.7	321.5	1
32	128000	518.0	321.7	1
33	132000	518.4	323.3	1
34	136000	518.5	324.0	1
35	137000	518.1	324.6	1
36	139000	518.0	325.9	1
37	143000	517.8	325.8	1
38	147000	517.5	326.2	1
39	151000	517.9	326.3	1
40	155000	518.2	326.5	1
41	159000	518.7	326.8	1
42	163000	518.9	326.9	1
43	167000	519.1	327.0	1
44	171000	519.0	327.2	1
45	172000	518.9	327.4	1
46	173000	519.1	327.7	1
47	177000	519.1	327.7	1
48	181000	519.1	327.8	1
49	185000	519.2	328.3	1
50	189000	519.1	328.7	1
51	193000	519.0	328.8	1
52	200000	519.0	328.7	1
53	204000	519.0	328.7	1
54	208000	518.8	328.7	1
55	212000	518.5	328.8	1
56	216000	518.5	329.5	1
57	220000	521.6	330.4	1
58	224000	524.8	333.0	1
59	228000	531.9	348.1	1
60	232000	553.8	375.1	1
61	236000	589.7	408.8	1
62	237000	634.8	444.0	1
63	238000	672.3	467.3	1
64	242000	705.2	484.6	1
65	246000	732.7	505.3	1
66	250000	749.1	525.1	1
67	254000	760.6	541.9	1
68	258000	763.0	545.0	1
69	262000	766.2	548.1	1
70	266000	767.0	548.3	1
71	268000	768.9	548.5	1
72	272000	771.3	550.8	1
73	276000	771.7	554.2	1
74	280000	771.9	555.4	1
75	284000	772.1	556.4	1
76	288000	772.1	556.6	1
77	292000	772.6	557.5	1
78	296000	772.7	558.2	1
79	303000	772.7	558.3	1
80	307000	773.5	558.4	1
81	311000	773.7	558.7	1
82	315000	774.0	558.9	1
83	319000	774.4	558.9	1
84	323000	774.5	559.1	1
85	327000	774.4	559.1	1
86	331000	774.5	559.1	1
87	335000	774.6	558.8	1
88	339000	774.8	559.0	1
89	340000	774.9	559.1	1
90	341000	775.3	559.4	1
91	344000	775.6	559.4	1
92	348000	776.1	559.6	1
93	352000	776.6	559.8	1
94	356000	776.7	559.9	1
95	360000	776.8	559.9	1
96	364000	777.7	559.9	1
97	367000	777.9	560.0	1
98	371000	778.0	559.8	1
99	375000	778.0	559.8	1
100	379000	778.0	559.8	1
101	383000	778.6	559.8	1
102	387000	778.6	559.7	1
103	391000	778.6	559.9	1
104	395000	778.9	559.9	1
105	399000	779.2	559.9	1
106	402000	779.1	559.9	1
107	406000	778.9	559.9	1
108	410000	778.6	560.9	1
109	414000	775.5	567.9	1
110	418000	766.7	589.9	1
111	422000	757.6	611.8	1
112	426000	755.6	615.0	1
113	430000	755.5	616.2	1
114	433000	755.3	616.3	1
115	437000	755.2	615.8	1
116	441000	754.5	616.4	1
117	445000	753.8	617.0	1
118	449000	753.9	618.6	1
119	453000	753.9	619.2	1
120	457000	754.1	619.3	1
121	468000	754.3	619.4	1
122	472000	754.2	619.5	1
123	476000	754.1	619.5	1
124	480000	754.1	619.4	1
125	484000	754.2	619.5	1
126	488000	754.3	619.5	1
127	492000	754.3	619.4	1
128	503000	754.3	619.1	1
129	507000	754.3	619.2	1
130	511000	754.4	619.1	1
131	515000	754.6	618.9	1
132	519000	754.9	619.0	1
133	523000	755.0	619.0	1
134	527000	755.0	618.9	1
135	531000	755.1	618.7	1
136	536000	755.3	618.7	1
137	540000	755.6	618.4	1
138	544000	755.7	618.2	1
139	548000	755.7	618.0	1
140	552000	755.8	617.4	1
141	556000	755.7	616.8	1
142	560000	755.8	615.9	1
143	569000	755.9	616.0	1
144	573000	756.0	615.9	1
145	577000	756.1	616.0	1
146	581000	756.4	616.0	1
147	585000	756.5	616.1	1
148	589000	756.6	616.4	1
149	593000	756.6	616.6	1
150	600000	756.6	616.7	1
151	604000	756.4	616.9	1
152	608000	756.4	617.0	1
153	612000	756.5	617.1	1
154	616000	756.6	617.0	1
155	620000	757.0	616.9	1
156	624000	757.1	616.9	1
157	628000	757.2	616.6	1
158	632000	757.4	616.3	1
159	634000	757.6	616.6	1
160	638000	757.5	616.6	1
161	642000	757.4	616.7	1
162	646000	757.3	616.5	1
163	650000	757.2	616.3	1
164	654000	757.3	615.8	1
165	658000	757.4	615.6	1
166	669000	757.6	615.6	1
167	673000	757.6	615.6	1
168	677000	757.6	615.2	1
169	681000	758.0	614.9	1
170	685000	758.2	614.3	1
171	689000	758.3	614.2	1
172	700000	758.0	614.1	1
173	704000	757.8	613.1	1
174	708000	757.8	613.3	1
175	712000	757.9	613.3	1
176	716000	757.9	613.3	1
177	720000	758.0	613.4	1
178	724000	757.8	613.4	1
179	728000	757.6	613.5	1
180	735000	757.5	613.2	1
181	739000	757.6	612.9	1
182	743000	757.6	612.3	1
183	747000	757.5	610.7	1
184	751000	757.4	610.2	1
185	755000	758.1	610.1	1
186	759000	758.3	609.9	1
187	767000	758.3	609.8	1
188	771000	758.2	609.8	1
189	775000	759.3	609.8	1
190	779000	760.5	609.8	1
191	783000	763.0	611.9	1
192	787000	774.0	619.1	1
