Index	Time	X_coord	Y_coord	Confidence
1	3000	704.3	279.6	1
2	7000	704.3	280.2	1
3	11000	704.0	280.6	1
4	15000	703.8	281.1	1
5	19000	691.9	282.3	1
6	23000	666.5	284.6	1
7	27000	630.3	288.8	1
8	31000	587.6	293.0	1
9	33000	538.1	295.1	1
10	37000	498.6	297.8	1
11	41000	454.6	301.5	1
12	45000	410.8	313.2	1
13	49000	364.3	325.1	1
14	53000	332.0	329.6	1
15	57000	320.3	331.0	1
16	68000	314.6	333.4	1
17	72000	311.9	335.5	1
18	76000	309.2	337.9	1
19	80000	308.2	339.7	1
20	84000	307.3	340.0	1
21	88000	307.4	340.2	1
22	100000	307.6	340.9	1
23	104000	307.7	341.0	1
24	108000	307.8	341.0	1
25	112000	308.2	341.7	1
26	116000	308.5	341.4	1
27	120000	308.4	341.7	1
28	124000	308.9	341.8	1
29	128000	309.0	341.7	1
30	132000	309.0	341.6	1
31	136000	308.7	341.8	1
32	140000	308.3	342.0	1
33	144000	308.2	341.7	1
34	148000	308.1	341.4	1
35	152000	308.0	342.1	1
36	156000	308.1	341.7	1
37	160000	307.9	341.4	1
38	167000	308.1	340.8	1
39	171000	308.3	340.3	1
40	175000	308.4	340.1	1
41	179000	308.5	340.1	1
42	183000	309.1	339.9	1
43	187000	309.4	339.8	1
44	191000	309.6	339.7	1
45	200000	309.7	339.7	1
46	204000	309.7	339.8	1
47	208000	309.7	339.7	1
48	212000	309.7	339.5	1
49	216000	309.8	340.2	1
50	220000	309.3	340.4	1
51	224000	309.4	340.5	1
52	228000	309.3	341.1	1
53	232000	309.5	341.2	1
54	236000	309.6	341.3	1
55	237000	309.9	344.4	1
56	240000	315.9	347.0	1
57	244000	344.2	358.7	1
58	248000	388.5	368.7	1
59	252000	444.9	388.7	1
60	256000	502.5	403.6	1
61	260000	551.1	425.9	1
62	270000	593.2	443.1	1
63	274000	637.8	458.4	1
64	278000	678.7	471.4	1
65	282000	687.7	472.4	1
66	286000	691.3	471.9	1
67	290000	692.1	472.1	1
68	301000	692.9	472.2	1
69	305000	694.8	472.6	1
70	309000	697.1	475.8	1
71	313000	698.7	477.3	1
72	317000	698.8	478.9	1
73	321000	698.7	479.7	1
74	325000	698.4	480.1	1
75	329000	698.3	480.5	1
76	333000	698.4	480.7	1
77	336000	698.5	480.6	1
78	340000	698.7	480.5	1
79	344000	699.0	481.9	1
80	348000	699.0	482.0	1
81	352000	699.0	482.2	1
82	356000	698.9	481.8	1
83	360000	698.8	481.4	1
84	364000	698.7	480.3	1
85	370000	698.8	480.5	1
86	374000	698.9	480.6	1
87	378000	699.2	481.1	1
88	382000	699.3	481.2	1
89	386000	699.3	481.3	1
90	390000	699.5	481.7	1
91	394000	699.5	482.0	1
92	398000	699.4	482.2	1
93	402000	698.9	482.2	1
94	406000	698.7	482.5	1
95	410000	698.4	482.7	1
96	414000	698.3	482.8	1
97	418000	698.0	484.1	1
98	422000	697.7	483.8	1
99	426000	698.2	484.0	1
100	430000	698.7	484.3	1
101	434000	702.0	484.8	1
102	438000	716.5	484.7	1
103	442000	745.1	482.4	1
104	446000	786.2	479.1	1
105	450000	814.5	476.1	1
106	454000	833.7	474.9	1
107	458000	845.2	474.3	1
108	459000	849.2	474.6	1
109	460000	850.4	475.1	1
110	461000	850.7	475.8	1
111	462000	850.9	476.5	1
112	463000	853.3	480.1	1
113	464000	854.5	481.9	1
114	465000	855.6	482.9	1
115	466000	856.2	482.9	1
116	467000	856.6	482.9	1
117	468000	856.6	483.3	1
118	469000	856.6	483.7	1
119	470000	856.7	484.3	1
120	471000	856.4	484.5	1
121	472000	856.3	484.5	1
122	473000	856.4	487.0	1
123	474000	856.6	488.0	1
124	475000	856.6	489.5	1
125	476000	856.6	490.5	1
126	477000	856.2	490.6	1
127	478000	855.6	490.8	1
128	479000	855.4	492.2	1
129	482000	855.6	492.4	1
130	486000	855.5	492.7	1
131	490000	855.3	493.0	1
132	494000	855.3	493.1	1
133	503000	855.1	493.0	1
134	507000	855.3	493.3	1
135	511000	855.5	493.5	1
136	515000	855.4	493.6	1
137	519000	855.4	493.6	1
138	523000	855.3	494.1	1
139	527000	855.1	494.3	1
140	531000	854.9	494.5	1
141	536000	855.0	496.1	1
142	540000	855.1	497.1	1
143	544000	855.2	497.8	1
144	548000	854.9	498.3	1
145	552000	854.6	498.8	1
146	556000	854.9	499.1	1
147	560000	854.9	499.4	1
148	564000	855.0	500.0	1
149	570000	855.2	500.5	1
150	574000	855.0	500.4	1
151	578000	854.9	500.5	1
152	582000	854.7	500.5	1
153	586000	854.4	500.3	1
154	590000	854.2	500.2	1
155	594000	854.0	500.2	1
156	600000	852.8	500.2	1
157	604000	849.5	502.7	1
158	608000	842.0	510.4	1
159	612000	841.8	521.0	1
160	616000	842.4	525.7	1
161	620000	842.6	527.7	1
162	624000	842.3	527.1	1
163	628000	842.1	526.9	1
164	632000	841.5	526.9	1
165	636000	840.9	526.7	1
166	637000	840.5	527.3	1
167	640000	840.0	527.8	1
168	644000	840.4	527.9	1
169	648000	840.8	528.0	1
170	652000	841.4	528.2	1
171	656000	841.8	528.4	1
172	660000	842.2	528.9	1
173	671000	842.4	529.1	1
174	675000	842.4	529.4	1
175	679000	842.3	529.5	1
176	683000	842.3	529.6	1
177	687000	842.2	529.9	1
178	691000	841.9	530.0	1
179	701000	841.8	529.6	1
180	705000	841.7	529.4	1
181	709000	841.5	529.3	1
182	713000	841.4	529.2	1
183	717000	841.4	529.3	1
184	721000	841.0	529.5	1
185	725000	840.9	530.0	1
186	729000	840.8	530.1	1
187	736000	840.5	530.1	1
188	740000	841.1	530.1	1
189	744000	841.7	530.3	1
190	748000	841.8	530.6	1
191	752000	842.0	530.8	1
192	756000	842.4	530.8	1
193	760000	842.8	530.8	1
194	768000	842.8	531.4	1
195	772000	842.9	531.6	1
196	776000	842.9	531.2	1
197	780000	842.8	531.3	1
198	784000	842.6	531.0	1
199	788000	842.9	530.8	1
200	792000	843.1	530.7	1
201	801000	843.4	530.8	1
202	805000	843.8	530.9	1
203	809000	843.7	530.9	1
204	813000	843.7	531.2	1
205	817000	843.6	531.5	1
206	821000	843.7	532.9	1
207	825000	843.4	533.0	1
208	829000	843.6	533.2	1
209	833000	843.5	533.3	1
210	837000	843.5	534.4	1
211	841000	843.6	534.5	1
212	845000	843.3	534.6	1
213	849000	843.0	534.5	1
214	853000	843.0	534.9	1
215	857000	843.0	535.3	1
216	868000	843.3	536.4	1
217	872000	843.2	536.3	1
218	876000	843.4	536.6	1
219	880000	843.3	536.8	1
220	884000	843.4	537.0	1
221	888000	843.5	537.1	1
222	892000	843.8	537.1	1
223	902000	844.4	537.6	1
224	906000	844.7	537.7	1
225	910000	845.0	537.8	1
226	914000	845.3	538.2	1
227	918000	844.9	538.6	1
228	922000	844.5	539.1	1
229	926000	844.5	539.6	1
230	930000	845.1	539.8	1
231	937000	845.8	540.1	1
232	941000	845.9	540.2	1
233	945000	845.9	540.3	1
234	949000	845.7	540.2	1
235	953000	845.8	540.1	1
236	957000	845.6	540.1	1
237	961000	845.5	540.0	1
238	968000	845.1	539.7	1
239	972000	845.1	539.3	1
240	976000	845.2	539.2	1
241	980000	845.3	539.7	1
242	984000	845.4	540.2	1
243	988000	845.4	540.4	1
244	992000	845.3	540.6	1
245	996000	845.1	541.0	1
246	1004000	844.8	541.3	1
247	1008000	844.5	541.9	1
248	1012000	844.6	542.0	1
249	1016000	844.8	542.2	1
250	1020000	844.8	541.8	1
251	1024000	845.0	541.7	1
252	1028000	845.1	541.8	1
253	1032000	845.2	541.8	1
254	1035000	845.1	541.8	1
255	1039000	845.8	542.0	1
256	1043000	846.4	542.3	1
257	1047000	847.9	542.2	1
258	1051000	847.5	542.3	1
259	1055000	847.4	542.3	1
260	1059000	847.3	542.5	1
261	1069000	846.9	542.4	1
262	1073000	846.6	542.4	1
263	1077000	846.7	542.2	1
264	1081000	846.9	542.1	1
265	1085000	846.6	541.1	1
266	1089000	846.6	540.9	1
267	1093000	846.5	540.6	1
268	1105000	846.5	540.0	1
269	1109000	846.6	540.3	1
270	1113000	846.6	540.3	1
271	1117000	846.6	540.3	1
272	1121000	846.6	540.6	1
273	1125000	846.8	540.9	1
274	1129000	846.7	541.9	1
275	1136000	846.6	542.3	1
276	1140000	846.2	542.3	1
277	1144000	845.8	542.4	1
278	1148000	845.5	542.4	1
279	1152000	845.5	542.3	1
280	1156000	845.5	542.1	1
281	1160000	845.7	541.9	1
282	1168000	845.4	541.8	1
283	1172000	845.5	541.5	1
284	1176000	845.7	541.3	1
285	1180000	845.7	541.2	1
286	1184000	845.8	541.3	1
287	1188000	845.6	541.3	1
288	1192000	845.5	541.3	1
289	1201000	845.4	541.1	1
290	1205000	845.6	540.5	1
291	1209000	845.7	540.5	1
292	1213000	845.8	540.4	1
293	1217000	845.9	540.4	1
294	1221000	846.0	540.4	1
295	1225000	846.0	540.5	1
296	1229000	846.0	540.3	1
297	1233000	846.2	540.1	1
298	1235000	846.1	540.0	1
299	1239000	846.1	540.0	1
300	1243000	845.9	540.0	1
301	1247000	845.1	540.0	1
302	1251000	844.5	540.4	1
303	1255000	844.6	540.7	1
304	1259000	844.7	540.9	1
305	1270000	844.9	540.9	1
306	1274000	845.1	541.0	1
307	1278000	845.4	540.9	1
308	1282000	845.4	540.7	1
309	1286000	845.4	540.7	1
310	1290000	845.4	540.6	1
311	1294000	845.4	540.4	1
312	1305000	844.9	540.2	1
313	1309000	844.9	539.8	1
314	1313000	844.8	540.0	1
315	1317000	844.9	539.6	1
316	1321000	845.0	539.7	1
317	1325000	845.3	539.7	1
318	1329000	845.9	540.3	1
319	1336000	846.1	540.2	1
320	1340000	846.0	540.6	1
321	1344000	845.8	540.8	1
322	1348000	846.2	540.9	1
323	1352000	846.2	541.0	1
324	1356000	846.2	541.0	1
325	1360000	846.1	541.0	1
326	1368000	846.1	541.1	1
327	1372000	846.3	541.1	1
328	1376000	846.5	541.2	1
