Index	Time	X_coord	Y_coord	Confidence
1	2000	380.1	173.0	1
2	6000	380.2	174.3	1
3	10000	379.6	174.6	1
4	14000	379.6	174.8	1
5	18000	379.7	174.9	1
6	22000	379.2	174.8	1
7	26000	378.7	174.7	1
8	30000	378.7	174.6	1
9	34000	378.3	173.1	1
10	38000	377.6	171.7	1
11	39000	377.5	170.1	1
12	40000	377.2	169.2	1
13	42000	377.0	168.7	1
14	46000	377.0	169.0	1
15	50000	377.2	168.8	1
16	54000	377.4	168.7	1
17	69000	377.2	168.0	1
18	73000	375.4	161.9	1
19	77000	374.9	143.0	1
20	81000	371.8	121.4	1
21	85000	367.2	108.7	1
22	102000	364.8	102.8	1
23	106000	361.5	94.0	1
24	110000	358.6	86.1	1
25	114000	357.8	83.8	1
26	118000	357.1	82.9	1
27	122000	356.4	82.0	1
28	126000	356.1	80.4	1
29	136000	356.0	79.7	1
30	140000	355.7	79.0	1
31	144000	355.8	79.0	1
32	148000	355.7	78.7	1
33	152000	355.4	79.2	1
34	156000	355.1	79.3	1
35	167000	354.9	79.3	1
36	171000	355.0	79.4	1
37	175000	354.6	79.3	1
38	179000	354.2	79.5	1
39	183000	354.6	79.7	1
40	187000	355.1	80.1	1
41	191000	355.5	80.9	1
42	203000	356.0	81.6	1
43	207000	356.5	82.2	1
44	211000	356.5	82.8	1
45	215000	356.5	82.9	1
46	219000	356.5	83.0	1
47	223000	356.9	83.0	1
48	227000	356.9	83.1	1
49	231000	357.2	83.2	1
50	235000	356.7	82.9	1
51	239000	356.2	82.7	1
52	240000	356.6	83.1	1
53	241000	356.8	83.1	1
54	244000	357.1	83.1	1
55	248000	357.2	84.0	1
56	252000	357.1	84.1	1
57	268000	356.9	84.1	1
58	272000	356.9	84.2	1
59	276000	357.5	84.3	1
60	280000	358.2	84.7	1
61	284000	358.2	85.1	1
62	288000	359.3	88.3	1
63	302000	359.9	90.1	1
64	306000	361.4	93.7	1
65	310000	369.0	111.2	1
66	314000	380.9	138.6	1
67	318000	391.7	169.4	1
68	322000	399.2	197.1	1
69	326000	406.4	226.5	1
70	335000	414.4	260.8	1
71	339000	421.7	292.0	1
72	343000	427.4	321.8	1
73	347000	433.1	353.8	1
74	351000	438.5	383.9	1
75	355000	441.5	399.3	1
76	368000	444.3	400.3	1
77	372000	446.2	400.2	1
78	376000	447.2	400.8	1
79	380000	449.2	401.5	1
80	384000	449.8	403.0	1
81	388000	450.2	403.7	1
82	401000	450.4	404.5	1
83	405000	450.5	404.5	1
84	409000	450.5	404.5	1
85	413000	450.6	404.6	1
86	417000	450.8	404.6	1
87	421000	451.1	405.0	1
88	425000	451.4	405.3	1
89	429000	451.5	405.4	1
90	433000	451.3	406.8	1
91	437000	450.9	407.0	1
92	438000	451.4	407.3	1
93	439000	451.9	407.8	1
94	442000	452.2	408.4	1
95	446000	452.4	408.6	1
96	450000	453.6	410.5	1
97	468000	454.1	411.0	1
98	472000	454.2	411.1	1
99	476000	454.3	411.0	1
100	480000	455.1	411.4	1
101	484000	455.8	411.8	1
102	500000	455.9	412.7	1
103	504000	455.9	412.9	1
104	508000	455.6	413.4	1
105	512000	455.8	413.9	1
106	516000	456.0	414.4	1
107	520000	456.0	415.2	1
108	524000	456.0	415.3	1
109	536000	456.0	415.3	1
110	540000	456.0	415.2	1
111	544000	456.6	415.1	1
112	548000	458.0	414.8	1
113	552000	458.0	414.5	1
114	556000	457.8	412.3	1
115	560000	458.8	409.2	1
116	570000	457.5	402.1	1
117	574000	457.4	402.1	1
118	578000	457.2	402.1	1
119	582000	457.6	400.4	1
120	586000	458.0	398.6	1
121	590000	468.6	400.2	1
122	594000	472.8	401.8	1
123	598000	475.1	403.7	1
124	603000	476.2	404.6	0
125	607000	477.2	405.5	0
126	611000	473.8	456.4	0
127	615000	472.9	469.0	0
128	619000	472.0	481.6	0
129	623000	471.0	494.2	0
130	627000	469.9	506.7	0
131	631000	469.9	506.7	0
132	634000	0.0	0.0	0
133	638000	0.0	0.0	0
134	642000	0.0	0.0	0
135	646000	587.6	471.5	0
136	650000	587.5	471.5	0
137	654000	588.5	463.5	0
138	658000	589.4	455.5	0
139	662000	591.2	439.4	0
140	666000	594.8	407.1	0
141	671000	597.7	375.6	0
142	675000	600.8	350.1	0
143	679000	599.4	324.3	0
144	683000	598.7	301.6	0
145	687000	596.5	279.8	0
146	691000	595.4	271.2	0
147	695000	594.9	270.0	0
148	699000	593.4	268.8	0
149	702000	592.5	266.8	0
150	706000	592.1	264.8	0
151	710000	571.8	362.2	0
152	714000	570.5	371.6	0
153	718000	567.9	390.2	0
154	722000	563.5	403.7	0
155	726000	557.3	405.1	0
156	730000	551.1	405.8	0
157	735000	545.5	406.5	0
158	739000	540.5	407.4	0
159	743000	538.1	407.7	0
160	747000	535.3	407.9	0
161	751000	532.4	407.3	0
162	755000	532.2	406.7	1
163	759000	532.4	406.6	1
164	763000	532.6	406.5	1
165	767000	533.5	406.4	1
166	770000	534.1	406.6	1
167	774000	534.8	406.8	1
168	778000	536.8	408.1	1
169	782000	537.5	408.2	1
170	786000	540.2	409.5	1
171	790000	542.2	411.4	1
172	794000	546.7	412.3	1
173	798000	550.1	412.3	1
174	802000	555.5	412.3	1
175	806000	560.8	412.2	1
176	810000	566.4	411.6	1
177	814000	572.1	410.9	1
178	818000	578.2	410.6	1
179	822000	582.1	410.4	1
180	826000	586.0	408.3	1
181	830000	588.5	407.8	1
182	835000	590.4	407.5	1
