Index	Time	X_coord	Y_coord	Confidence
1	2000	490.4	292.2	1
2	6000	490.4	292.1	1
3	10000	490.3	291.8	1
4	14000	490.1	292.1	1
5	18000	490.2	292.1	1
6	22000	490.3	292.0	1
7	26000	490.3	291.9	1
8	30000	490.2	291.6	1
9	34000	490.2	291.7	1
10	35000	490.1	291.6	1
11	37000	490.0	291.5	1
12	41000	490.0	291.3	1
13	45000	490.1	291.6	1
14	49000	490.2	291.8	1
15	53000	490.2	291.9	1
16	69000	490.2	291.8	1
17	73000	490.3	291.8	1
18	77000	490.3	291.7	1
19	81000	490.4	291.6	1
20	85000	490.5	291.7	1
21	101000	490.8	291.3	1
22	105000	490.8	290.9	1
23	109000	490.8	290.9	1
24	113000	490.8	291.0	1
25	117000	490.6	291.2	1
26	121000	490.5	291.2	1
27	125000	490.6	291.3	1
28	135000	490.3	291.3	1
29	139000	490.5	291.4	1
30	143000	490.6	291.3	1
31	147000	490.8	291.3	1
32	151000	491.0	291.4	1
33	155000	491.0	291.5	1
34	167000	490.9	291.0	1
35	171000	491.2	290.9	1
36	175000	491.4	290.9	1
37	179000	491.5	290.9	1
38	183000	491.5	290.9	1
39	187000	491.4	290.3	1
40	191000	491.6	290.5	1
41	203000	491.8	290.8	1
42	207000	491.9	290.7	1
43	211000	492.0	291.2	1
44	215000	492.1	291.6	1
45	219000	492.0	291.3	1
46	223000	491.9	291.2	1
47	227000	491.9	291.3	1
48	231000	492.0	291.2	1
49	235000	492.0	291.0	1
50	239000	491.7	290.8	1
51	240000	492.2	291.1	1
52	241000	492.7	291.3	1
53	243000	492.7	291.3	1
54	247000	492.7	291.3	1
55	251000	492.7	291.2	1
56	266000	492.7	291.2	1
57	270000	492.7	291.2	1
58	274000	492.8	291.2	1
59	278000	493.0	291.2	1
60	282000	493.2	291.4	1
61	286000	493.3	291.5	1
62	302000	493.5	291.6	1
63	306000	493.7	291.8	1
64	310000	493.9	292.0	1
65	314000	494.1	293.2	1
66	318000	494.0	292.7	1
67	322000	493.9	292.7	1
68	326000	493.9	292.9	1
69	335000	493.9	292.6	1
70	339000	494.1	292.9	1
71	343000	494.4	293.2	1
72	347000	494.2	292.7	1
73	351000	494.1	292.6	1
74	355000	494.0	292.6	1
75	367000	494.0	292.7	1
76	371000	494.0	292.7	1
77	375000	494.0	292.7	1
78	379000	494.1	293.3	1
79	383000	494.1	293.5	1
80	387000	494.2	293.4	1
81	391000	494.2	293.3	1
82	404000	494.3	293.0	1
83	408000	494.3	293.2	1
84	412000	494.2	293.1	1
85	416000	494.2	293.0	1
86	420000	494.3	292.6	1
87	424000	494.2	292.8	1
88	428000	494.1	292.8	1
89	432000	494.1	292.8	1
90	436000	494.8	294.1	1
91	437000	495.4	295.2	1
92	438000	503.9	305.4	1
93	442000	525.1	316.9	1
94	446000	555.4	328.3	1
95	450000	587.3	347.0	1
96	468000	610.5	359.1	1
97	472000	628.5	371.3	1
98	476000	638.1	379.8	1
99	480000	648.2	380.4	1
100	484000	648.6	381.4	1
101	488000	648.8	382.4	1
102	504000	649.1	384.4	1
103	508000	650.6	384.7	1
104	512000	651.8	385.9	1
105	516000	651.5	386.1	1
106	520000	651.6	386.3	1
107	524000	651.8	386.6	1
108	535000	651.8	386.8	1
109	539000	652.1	386.9	1
110	543000	652.2	387.0	1
111	547000	652.2	387.1	1
112	551000	652.2	387.2	1
113	555000	652.3	387.2	1
114	559000	652.5	387.3	1
115	570000	652.4	387.4	1
116	574000	652.5	387.5	1
117	578000	652.7	387.5	1
118	582000	653.0	387.5	1
119	586000	653.3	387.5	1
120	590000	654.6	387.4	1
121	594000	654.6	387.5	1
122	598000	654.6	387.7	1
123	601000	654.5	387.9	1
124	605000	654.5	388.0	1
125	609000	654.5	388.1	1
126	613000	654.5	388.4	1
127	617000	654.4	388.4	1
128	621000	654.6	388.4	1
129	625000	654.8	388.3	1
130	629000	655.1	388.0	1
131	633000	655.2	387.6	1
132	637000	655.4	387.6	1
133	641000	655.9	387.6	1
134	645000	655.8	387.5	1
135	649000	655.9	387.4	1
136	653000	656.2	387.4	1
137	657000	656.5	387.5	1
138	661000	656.1	387.8	1
139	665000	655.8	388.2	1
140	669000	655.6	388.2	1
141	673000	655.4	388.5	1
142	677000	655.3	388.7	1
143	681000	653.9	389.4	1
144	685000	649.8	394.1	1
145	689000	639.4	410.3	1
146	693000	626.0	437.9	1
147	697000	616.0	460.7	1
148	701000	617.4	483.0	1
149	705000	617.6	489.6	1
150	709000	618.0	491.3	1
151	713000	618.1	491.9	1
152	717000	618.9	491.7	1
153	721000	619.3	491.6	1
154	725000	618.9	491.6	1
155	729000	618.6	491.7	1
156	733000	619.2	496.1	1
157	738000	619.5	498.4	1
158	742000	619.6	499.3	1
159	746000	619.6	499.5	1
160	750000	619.5	499.5	1
161	754000	619.3	499.5	1
162	758000	619.4	499.6	1
163	762000	619.4	498.9	1
164	766000	619.3	498.2	1
165	769000	619.2	498.0	1
166	773000	619.1	497.8	1
