% Handlabelling data is arranged in 3 columns: handlabeller1 and handlabeller2 indicate the first two experts, handlabeller_final column contains the final, tie-breaking labels.
% Labels in these columns are to be interpreted as follows:
%   - 0 is UNKNOWN
%   - 1 is FIX (fixation)
%   - 2 is SACCADE
%   - 3 is SP (smooth pursuit)
%   - 4 is NOISE
% 
%@METADATA width_px 1280.0
%@METADATA height_px 720.0
%@METADATA width_mm 400.0
%@METADATA height_mm 225.0
%@METADATA distance_mm 450.0
@RELATION gaze_labels

@ATTRIBUTE time INTEGER
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE confidence NUMERIC
@ATTRIBUTE handlabeller1 INTEGER
@ATTRIBUTE handlabeller2 INTEGER
@ATTRIBUTE handlabeller_final INTEGER

@DATA
3000,650.9,356.9,1.0,0,1,1
7000,650.8,356.8,1.0,1,1,1
11000,650.7,356.7,1.0,1,1,1
15000,651.0,356.7,1.0,1,1,1
19000,651.3,356.6,1.0,1,1,1
23000,651.6,356.5,1.0,1,1,1
27000,651.7,356.4,1.0,1,1,1
31000,651.3,355.5,1.0,1,1,1
35000,651.3,354.8,1.0,1,1,1
39000,651.2,354.8,1.0,1,1,1
40000,651.2,354.7,1.0,1,1,1
41000,651.3,354.3,1.0,1,1,1
44000,651.4,353.9,1.0,1,1,1
48000,651.5,353.7,1.0,1,1,1
52000,651.4,353.7,1.0,1,1,1
67000,651.6,353.6,1.0,1,1,1
71000,651.3,353.0,1.0,1,1,1
75000,651.4,353.2,1.0,1,1,1
79000,651.4,353.1,1.0,1,1,1
83000,651.5,353.0,1.0,1,1,1
87000,651.4,352.6,1.0,1,1,1
104000,651.6,352.6,1.0,1,1,1
108000,651.4,352.6,1.0,1,1,1
112000,651.2,352.8,1.0,1,1,1
116000,651.1,352.7,1.0,1,1,1
120000,651.4,352.7,1.0,1,1,1
124000,651.2,352.4,1.0,1,1,1
134000,651.0,352.3,1.0,1,1,1
138000,651.0,352.2,1.0,1,1,1
142000,651.1,352.2,1.0,1,1,1
146000,651.1,352.0,1.0,1,1,1
150000,651.2,352.2,1.0,1,1,1
154000,651.4,352.2,1.0,1,1,1
166000,651.5,352.3,1.0,1,1,1
170000,651.8,352.4,1.0,1,1,1
174000,651.8,352.5,1.0,1,1,1
178000,651.8,352.4,1.0,1,1,1
182000,650.6,352.5,1.0,1,1,1
186000,650.9,352.7,1.0,1,1,1
