% Handlabelling data is arranged in 3 columns: handlabeller1 and handlabeller2 indicate the first two experts, handlabeller_final column contains the final, tie-breaking labels.
% Labels in these columns are to be interpreted as follows:
%   - 0 is UNKNOWN
%   - 1 is FIX (fixation)
%   - 2 is SACCADE
%   - 3 is SP (smooth pursuit)
%   - 4 is NOISE
% 
%@METADATA width_px 1280.0
%@METADATA height_px 720.0
%@METADATA width_mm 400.0
%@METADATA height_mm 225.0
%@METADATA distance_mm 450.0
@RELATION gaze_labels

@ATTRIBUTE time INTEGER
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE confidence NUMERIC
@ATTRIBUTE handlabeller1 INTEGER
@ATTRIBUTE handlabeller2 INTEGER
@ATTRIBUTE handlabeller_final INTEGER

@DATA
3000,622.0,181.2,1.0,1,1,1
7000,622.2,180.7,1.0,1,1,1
11000,622.8,180.4,1.0,1,1,1
15000,622.9,180.3,1.0,1,1,1
19000,629.2,181.0,1.0,1,1,1
23000,632.6,184.2,1.0,1,1,1
27000,639.6,187.9,1.0,1,1,1
31000,640.1,188.5,1.0,1,1,1
35000,640.1,189.1,1.0,1,1,1
39000,639.9,189.2,1.0,1,1,1
40000,640.4,189.4,1.0,1,1,1
41000,640.3,189.3,1.0,1,1,1
44000,640.9,189.5,1.0,1,1,1
48000,641.4,189.2,1.0,1,1,1
52000,642.5,189.9,1.0,1,1,1
68000,641.9,190.4,1.0,1,1,1
72000,641.7,190.3,1.0,1,1,1
76000,641.7,190.2,1.0,1,1,1
80000,642.1,189.6,1.0,1,1,1
84000,642.5,190.1,1.0,1,1,1
88000,642.6,190.3,1.0,1,1,1
104000,642.7,190.3,1.0,1,1,1
108000,642.5,191.0,1.0,1,1,1
112000,642.4,190.4,1.0,1,1,1
116000,641.9,189.8,1.0,1,1,1
120000,641.8,189.2,1.0,1,1,1
124000,641.7,189.1,1.0,1,1,1
135000,641.4,189.7,1.0,1,1,1
139000,641.6,190.3,1.0,1,1,1
143000,641.0,190.5,1.0,1,1,1
147000,641.2,190.6,1.0,1,1,1
151000,640.9,190.6,1.0,1,1,1
155000,641.1,190.7,1.0,1,1,1
166000,641.4,190.5,1.0,1,1,1
170000,642.1,190.9,1.0,1,1,1
174000,642.1,190.5,1.0,1,1,1
178000,642.0,190.4,1.0,1,1,1
182000,642.7,190.7,1.0,1,1,1
186000,643.3,190.7,1.0,1,1,1
190000,643.0,191.2,1.0,1,1,1
203000,642.7,190.7,1.0,1,1,1
207000,642.5,190.8,1.0,1,1,1
211000,642.2,190.9,1.0,1,1,1
215000,641.9,190.7,1.0,1,1,1
219000,641.6,190.9,1.0,1,1,1
223000,642.0,191.3,1.0,1,1,1
227000,642.4,191.1,1.0,1,1,1
231000,643.4,191.0,1.0,1,1,1
235000,643.4,190.7,1.0,1,1,1
239000,643.4,190.7,1.0,1,1,1
240000,643.4,190.6,1.0,1,1,1
241000,643.2,190.5,1.0,1,1,1
244000,643.1,191.0,1.0,1,1,1
248000,642.9,191.0,1.0,1,1,1
252000,642.6,191.0,1.0,1,1,1
268000,641.2,190.8,1.0,1,1,1
272000,641.4,190.7,1.0,1,1,1
276000,640.7,190.6,1.0,1,1,1
280000,640.6,190.7,1.0,1,1,1
284000,640.9,191.1,1.0,1,1,1
300000,640.4,192.9,1.0,1,1,1
304000,640.2,192.9,1.0,1,1,1
308000,640.1,192.9,1.0,1,1,1
312000,639.4,192.9,1.0,1,1,1
316000,639.3,192.8,1.0,1,1,1
320000,639.2,192.8,1.0,1,1,1
324000,639.2,192.8,1.0,1,1,1
333000,639.1,192.8,1.0,1,1,1
337000,639.0,192.8,1.0,1,1,1
341000,638.7,193.5,1.0,1,1,1
345000,639.1,194.0,1.0,1,1,1
349000,639.0,194.4,1.0,1,1,1
353000,639.4,194.1,1.0,1,1,1
367000,639.5,194.1,1.0,1,1,1
371000,639.4,194.0,1.0,1,1,1
375000,639.4,193.6,1.0,1,1,1
379000,639.2,193.2,1.0,1,1,1
383000,639.6,193.3,1.0,1,1,1
387000,639.6,193.2,1.0,1,1,1
400000,639.4,193.1,1.0,1,1,1
404000,639.1,197.1,1.0,2,2,2
408000,633.6,200.5,1.0,2,2,2
412000,612.1,206.0,1.0,2,2,2
416000,592.3,221.6,1.0,2,2,2
420000,569.9,233.3,1.0,2,2,2
424000,568.8,240.5,1.0,2,2,2
428000,568.7,240.9,1.0,2,2,2
432000,567.8,268.2,1.0,1,1,2
436000,567.2,268.5,1.0,1,1,2
437000,566.5,270.9,1.0,1,1,1
438000,566.2,270.3,1.0,1,1,1
442000,564.7,269.5,1.0,1,1,1
446000,564.2,269.2,1.0,1,1,1
450000,563.7,268.8,1.0,1,1,1
467000,563.0,269.1,1.0,1,1,1
471000,562.3,269.3,1.0,1,1,1
475000,562.6,270.3,1.0,1,1,1
479000,563.0,271.1,1.0,1,1,1
483000,562.3,271.0,1.0,1,1,1
487000,562.4,271.1,1.0,1,1,1
504000,562.6,271.1,1.0,1,1,1
508000,562.9,271.4,1.0,1,1,1
512000,562.9,272.3,1.0,1,1,1
516000,562.6,272.6,1.0,1,1,1
520000,563.1,272.9,1.0,1,1,1
524000,563.6,273.1,1.0,1,1,1
534000,563.4,273.0,1.0,1,1,1
538000,564.0,273.4,1.0,1,1,1
542000,564.3,273.6,1.0,1,1,1
546000,564.4,273.7,1.0,1,1,1
550000,564.3,273.8,1.0,1,1,1
554000,564.1,274.8,1.0,1,1,1
558000,563.6,274.7,1.0,1,1,1
562000,563.9,274.6,1.0,1,1,1
567000,563.5,274.2,1.0,1,1,1
571000,563.2,274.0,1.0,1,1,1
575000,563.3,273.9,1.0,1,1,1
579000,563.0,272.9,1.0,1,1,1
583000,562.6,273.0,1.0,1,1,1
587000,561.8,273.0,1.0,1,1,1
591000,561.7,273.0,1.0,1,1,1
595000,561.6,272.8,1.0,1,1,1
599000,561.6,273.4,1.0,1,1,1
602000,562.0,274.1,1.0,1,1,1
606000,562.0,274.2,1.0,1,1,1
610000,562.3,274.3,1.0,1,1,1
614000,562.3,274.0,1.0,1,1,1
618000,562.5,273.8,1.0,1,1,1
622000,562.6,273.9,1.0,1,1,1
626000,563.1,273.9,1.0,1,1,1
630000,563.8,274.5,1.0,1,1,1
634000,564.9,281.0,1.0,2,2,2
637000,571.2,290.7,1.0,2,2,2
641000,587.2,297.1,1.0,2,2,2
645000,606.9,325.5,1.0,2,2,2
649000,610.8,336.9,1.0,2,2,2
653000,609.8,338.8,1.0,2,2,2
657000,608.8,339.5,1.0,2,2,2
661000,607.9,338.9,1.0,1,1,1
665000,607.0,338.4,1.0,1,1,1
669000,607.1,336.6,1.0,1,1,1
673000,607.2,334.7,1.0,1,1,1
677000,607.9,335.9,1.0,1,1,1
681000,611.6,337.5,1.0,1,1,1
685000,612.0,340.1,1.0,1,1,1
689000,612.2,340.6,1.0,1,1,1
693000,612.4,341.2,1.0,1,1,1
697000,612.4,341.0,1.0,1,1,1
702000,612.1,340.7,1.0,1,1,1
706000,611.7,340.5,1.0,1,1,1
710000,611.7,340.7,1.0,1,1,1
714000,611.8,341.0,1.0,1,1,1
718000,611.8,340.6,1.0,1,1,1
722000,611.8,341.0,1.0,1,1,1
726000,611.8,341.4,1.0,1,1,1
730000,611.7,341.7,1.0,1,1,1
734000,611.7,342.1,1.0,1,1,1
738000,611.7,342.4,1.0,1,1,1
742000,611.7,342.5,1.0,1,1,1
746000,612.0,342.5,1.0,1,1,1
750000,612.3,345.4,1.0,1,1,1
754000,611.5,346.6,1.0,1,1,1
758000,611.1,347.2,1.0,1,1,1
762000,610.7,347.8,1.0,1,1,1
766000,610.7,349.5,1.0,1,1,1
770000,610.7,350.3,1.0,1,1,1
774000,610.7,349.9,1.0,1,1,1
778000,610.8,350.1,1.0,1,1,1
782000,610.9,350.3,1.0,1,1,1
786000,610.6,350.3,1.0,1,1,1
790000,610.8,350.4,1.0,1,1,1
794000,610.8,350.3,1.0,1,1,1
798000,611.6,350.9,1.0,1,1,1
802000,611.7,351.4,1.0,1,1,1
806000,611.8,352.5,1.0,1,1,1
810000,611.6,352.6,1.0,1,1,1
814000,611.3,351.7,1.0,1,1,1
818000,611.2,351.6,1.0,1,1,1
822000,611.2,352.0,1.0,1,1,1
826000,610.8,351.8,1.0,1,1,1
830000,610.5,351.7,1.0,1,1,1
835000,610.3,351.8,1.0,1,1,1
839000,611.1,351.8,1.0,1,1,1
843000,611.8,352.3,1.0,1,1,1
847000,611.9,352.6,1.0,1,1,1
851000,611.7,352.2,1.0,1,1,1
855000,611.5,352.5,1.0,1,1,1
859000,612.4,353.0,1.0,1,1,1
863000,613.2,353.2,1.0,1,1,1
867000,613.7,353.4,1.0,1,1,1
870000,614.0,353.4,1.0,1,1,1
874000,615.4,353.6,1.0,1,1,1
878000,615.6,353.5,1.0,1,1,1
882000,615.6,353.7,1.0,1,1,1
886000,615.6,353.4,1.0,1,1,1
890000,615.9,353.7,1.0,1,1,1
894000,615.4,352.9,1.0,1,1,1
898000,614.9,352.6,1.0,1,1,1
901000,614.8,352.6,1.0,1,1,1
905000,614.8,352.6,1.0,1,1,1
909000,614.4,352.8,1.0,1,1,1
913000,614.1,352.7,1.0,1,1,1
917000,613.0,353.0,1.0,1,1,1
921000,612.8,352.7,1.0,1,1,1
925000,612.8,352.9,1.0,1,1,1
929000,612.6,352.6,1.0,1,1,1
933000,612.8,353.3,1.0,1,1,1
937000,613.1,354.0,1.0,1,1,1
941000,613.4,353.4,1.0,1,1,1
945000,613.1,353.8,1.0,1,1,1
949000,613.7,354.2,1.0,1,1,1
953000,614.3,354.8,1.0,1,1,1
957000,615.6,355.4,1.0,1,1,2
961000,627.6,368.9,1.0,2,2,2
965000,646.4,383.4,1.0,2,2,2
970000,668.5,412.1,1.0,2,2,2
974000,674.5,421.2,1.0,2,2,2
978000,673.9,434.4,1.0,2,2,2
982000,673.4,437.4,1.0,2,2,2
986000,672.7,441.3,1.0,2,2,2
990000,672.1,446.1,1.0,2,2,2
994000,672.7,449.7,1.0,2,2,2
998000,673.3,454.0,1.0,2,2,2
1002000,674.8,454.1,1.0,2,2,2
1006000,676.1,454.5,1.0,1,1,1
1010000,676.6,454.2,1.0,1,1,1
1014000,676.7,454.4,1.0,1,1,1
1018000,676.6,454.6,1.0,1,1,1
1022000,677.1,455.1,1.0,1,1,1
1026000,676.6,455.4,1.0,1,1,1
1030000,676.1,457.4,1.0,1,1,1
1034000,676.6,457.5,1.0,1,1,1
1038000,676.7,457.6,1.0,1,1,1
1042000,676.9,458.6,1.0,1,1,1
1046000,677.0,458.1,1.0,1,1,1
1050000,677.1,458.9,1.0,1,1,1
1054000,677.0,458.9,1.0,1,1,1
1058000,677.0,459.0,1.0,1,1,1
1062000,676.6,462.3,1.0,1,1,1
1066000,675.6,463.2,1.0,1,1,1
1070000,675.4,463.1,1.0,1,1,1
1074000,675.3,463.2,1.0,1,1,1
1078000,674.9,462.7,1.0,1,1,1
1082000,674.8,463.3,1.0,1,1,1
1086000,674.7,463.4,1.0,1,1,1
1090000,675.1,463.7,1.0,1,1,1
1094000,675.1,464.1,1.0,1,1,1
1098000,675.6,464.1,1.0,1,1,1
1103000,675.8,464.7,1.0,1,1,1
1107000,675.8,465.2,1.0,1,1,1
1111000,675.7,466.4,1.0,1,1,1
1115000,675.6,466.1,1.0,1,1,1
1119000,675.2,465.8,1.0,1,1,1
1123000,674.8,464.8,1.0,1,1,1
1127000,674.7,465.4,1.0,1,1,1
1131000,674.6,464.5,1.0,1,1,1
1135000,674.6,464.3,1.0,1,1,1
1138000,674.6,464.4,1.0,1,1,1
1142000,674.8,463.8,1.0,1,1,1
1146000,675.0,463.6,1.0,1,1,1
1150000,675.0,463.6,1.0,1,1,1
1154000,675.0,464.8,1.0,1,1,1
1158000,675.0,465.9,1.0,1,1,1
1162000,675.1,466.4,1.0,1,1,1
1166000,675.2,466.9,1.0,1,1,1
1170000,675.0,467.0,1.0,1,1,1
1174000,675.0,468.8,1.0,1,1,1
1178000,675.1,469.0,1.0,1,1,1
1182000,674.9,469.2,1.0,1,1,1
1186000,675.5,469.2,1.0,1,1,1
1190000,675.5,469.2,1.0,1,1,1
1194000,675.8,469.6,1.0,1,1,1
1198000,675.9,469.5,1.0,1,1,1
1202000,675.9,469.9,1.0,1,1,1
1206000,676.0,470.0,1.0,1,1,1
1210000,676.0,470.2,1.0,1,1,1
1214000,676.0,470.3,1.0,1,1,1
1218000,676.0,470.3,1.0,1,1,1
1222000,675.7,470.2,1.0,1,1,1
1226000,676.1,470.2,1.0,1,1,1
1230000,675.5,470.0,1.0,1,1,1
1234000,675.4,468.7,1.0,1,1,1
1238000,675.4,468.4,1.0,1,1,1
1242000,675.4,468.3,1.0,1,1,1
1246000,675.5,468.4,1.0,1,1,1
1250000,675.8,467.3,1.0,1,1,1
1254000,675.9,467.0,1.0,1,1,1
1258000,676.0,467.3,1.0,1,1,1
1262000,675.9,467.6,1.0,1,1,1
1266000,675.8,467.8,1.0,1,1,1
1270000,675.9,467.8,1.0,1,1,1
1274000,676.1,467.9,1.0,1,1,1
1278000,675.6,468.7,1.0,1,1,1
1282000,675.5,468.4,1.0,1,1,1
1286000,675.5,468.2,1.0,1,1,1
1290000,675.4,466.8,1.0,1,1,1
1294000,675.6,467.7,1.0,1,1,1
1298000,675.7,468.5,1.0,1,1,1
1302000,675.7,469.2,1.0,1,1,1
1306000,675.9,469.8,1.0,1,1,1
1310000,675.3,471.0,1.0,1,1,1
1314000,674.8,471.7,1.0,1,1,1
1318000,673.6,472.2,1.0,1,1,1
1322000,665.6,473.8,1.0,1,1,1
1326000,662.9,475.6,1.0,1,1,1
1330000,663.4,481.4,1.0,1,1,1
1334000,663.9,481.5,1.0,1,1,1
1338000,666.5,481.2,1.0,1,1,1
1342000,666.9,481.3,1.0,1,1,1
1346000,666.9,481.0,1.0,1,1,1
1350000,666.8,480.8,1.0,1,1,1
1354000,666.7,481.3,1.0,1,1,1
1358000,666.7,481.9,1.0,1,1,1
1362000,666.0,480.8,1.0,1,1,1
1366000,665.3,480.2,1.0,1,1,1
1371000,663.8,479.7,1.0,1,1,1
