Index	Time	X_coord	Y_coord	Confidence
1	3000	323.5	302.8	1
2	7000	332.8	296.5	1
3	11000	347.6	296.1	1
4	15000	364.9	293.8	1
5	19000	374.2	293.3	1
6	23000	380.7	293.6	1
7	27000	383.1	293.7	1
8	31000	383.9	294.1	1
9	35000	384.6	294.4	1
10	39000	385.2	294.8	1
11	40000	385.0	296.8	1
12	41000	384.7	296.9	1
13	44000	385.0	297.0	1
14	48000	384.9	297.4	1
15	52000	384.8	297.9	1
16	68000	384.8	298.3	1
17	72000	384.8	298.2	1
18	76000	384.7	298.1	1
19	80000	384.6	298.5	1
20	84000	384.6	299.0	1
21	100000	384.4	299.0	1
22	104000	384.7	299.1	1
23	108000	384.7	300.3	1
24	112000	384.6	300.5	1
25	116000	385.0	300.4	1
26	120000	385.2	300.4	1
27	124000	385.4	300.0	1
28	134000	385.5	299.7	1
29	138000	385.4	300.9	1
30	142000	385.3	301.0	1
31	146000	385.3	301.2	1
32	150000	385.3	301.3	1
33	154000	385.5	301.4	1
34	166000	385.6	301.4	1
35	170000	386.1	301.3	1
36	174000	386.1	301.2	1
37	178000	386.1	301.9	1
38	182000	386.1	301.5	1
39	186000	386.1	301.2	1
40	190000	386.2	301.3	1
41	202000	386.3	300.4	1
42	206000	386.3	300.2	1
43	210000	386.3	300.3	1
44	214000	386.6	300.4	1
45	218000	386.7	303.6	1
46	222000	386.9	305.8	1
47	226000	389.0	310.2	1
48	230000	392.7	313.3	1
49	234000	401.7	316.5	1
50	238000	428.3	342.2	1
51	239000	465.3	370.8	1
52	240000	496.9	402.4	1
53	243000	526.2	432.8	1
54	247000	546.5	458.0	1
55	251000	554.6	466.4	1
56	267000	555.5	482.0	1
57	271000	555.4	483.3	1
58	275000	555.3	484.5	1
59	279000	554.6	483.9	1
60	283000	554.6	484.4	1
61	287000	555.9	484.9	1
62	303000	557.3	486.6	1
63	307000	557.6	487.4	1
64	311000	557.8	488.2	1
65	315000	557.9	489.3	1
66	319000	557.8	490.5	1
67	323000	557.8	490.4	1
68	327000	557.8	490.7	1
69	335000	557.3	490.9	1
70	339000	557.3	491.1	1
71	343000	557.3	491.0	1
72	347000	556.9	491.8	1
73	351000	556.8	492.5	1
74	355000	556.9	492.9	1
75	369000	557.0	493.2	1
76	373000	556.8	493.4	1
77	377000	557.1	493.6	1
78	381000	557.1	493.9	1
79	385000	557.0	494.0	1
80	389000	557.0	494.1	1
81	402000	556.7	493.7	1
82	406000	556.5	493.2	1
83	410000	556.6	492.1	1
84	414000	556.1	491.6	1
85	418000	556.2	491.9	1
86	422000	556.3	492.2	1
87	426000	555.9	492.2	1
88	430000	556.0	492.3	1
89	434000	556.2	492.4	1
90	438000	556.4	492.4	1
91	439000	556.4	492.2	1
92	440000	556.4	492.4	1
93	443000	556.7	492.6	1
94	447000	557.0	493.2	1
95	451000	556.6	495.0	1
96	469000	556.6	500.3	1
97	473000	556.6	500.3	1
98	477000	557.1	500.4	1
99	481000	557.7	500.3	1
100	485000	558.2	500.3	1
101	501000	558.8	500.1	1
102	505000	559.4	497.0	1
103	509000	559.9	481.0	1
104	513000	566.0	459.1	1
105	517000	579.2	420.6	1
106	521000	585.0	377.9	1
107	533000	585.8	357.7	1
108	537000	586.7	345.8	1
109	541000	587.4	346.7	1
110	545000	588.0	347.6	1
111	549000	589.1	351.0	1
112	553000	590.2	352.4	1
113	557000	590.8	352.4	1
114	561000	591.2	352.5	1
115	565000	591.3	350.9	1
116	570000	591.4	350.9	1
117	574000	591.4	350.9	1
118	578000	591.5	351.0	1
119	582000	591.3	351.1	1
120	586000	591.1	351.9	1
121	590000	591.2	352.2	1
122	594000	591.1	352.2	1
123	598000	591.3	352.3	1
124	603000	591.5	352.3	1
125	607000	591.5	352.4	1
126	611000	591.5	352.4	1
127	615000	592.1	352.4	1
128	619000	592.7	352.2	1
129	623000	592.5	352.0	1
130	627000	592.6	352.5	1
131	631000	592.6	352.2	1
132	633000	592.9	352.0	1
133	637000	592.8	352.0	1
134	641000	592.6	352.1	1
135	645000	592.6	352.2	1
136	649000	592.6	352.3	1
137	653000	592.4	352.4	1
138	657000	592.6	352.5	1
139	661000	592.7	352.5	1
140	665000	593.3	352.3	1
141	670000	594.0	352.2	1
142	674000	593.9	351.4	1
143	678000	593.8	351.4	1
144	682000	593.0	352.5	1
145	686000	592.7	352.3	1
146	690000	592.7	352.1	1
147	694000	592.6	351.7	1
148	698000	592.3	351.4	1
149	702000	592.8	350.1	1
150	706000	592.9	351.1	1
151	710000	592.9	351.3	1
152	714000	593.4	351.6	1
153	718000	594.0	351.8	1
154	722000	594.3	352.1	1
155	726000	594.4	352.7	1
156	730000	594.6	352.7	1
157	735000	594.9	352.7	1
158	739000	595.2	353.5	1
159	743000	595.2	353.6	1
160	747000	595.1	353.7	1
161	751000	595.1	354.0	1
162	755000	595.1	353.6	1
