% Handlabelling data is arranged in 3 columns: handlabeller1 and handlabeller2 indicate the first two experts, handlabeller_final column contains the final, tie-breaking labels.
% Labels in these columns are to be interpreted as follows:
%   - 0 is UNKNOWN
%   - 1 is FIX (fixation)
%   - 2 is SACCADE
%   - 3 is SP (smooth pursuit)
%   - 4 is NOISE
% 
%@METADATA width_px 1280.0
%@METADATA height_px 720.0
%@METADATA width_mm 400.0
%@METADATA height_mm 225.0
%@METADATA distance_mm 450.0
@RELATION gaze_labels

@ATTRIBUTE time INTEGER
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE confidence NUMERIC
@ATTRIBUTE handlabeller1 INTEGER
@ATTRIBUTE handlabeller2 INTEGER
@ATTRIBUTE handlabeller_final INTEGER

@DATA
3000,323.5,302.8,1.0,2,2,2
7000,332.8,296.5,1.0,2,2,2
11000,347.6,296.1,1.0,2,2,2
15000,364.9,293.8,1.0,2,2,2
19000,374.2,293.3,1.0,2,2,2
23000,380.7,293.6,1.0,2,2,2
27000,383.1,293.7,1.0,2,2,2
31000,383.9,294.1,1.0,2,2,2
35000,384.6,294.4,1.0,1,1,1
39000,385.2,294.8,1.0,1,1,1
40000,385.0,296.8,1.0,1,1,1
41000,384.7,296.9,1.0,1,1,1
44000,385.0,297.0,1.0,1,1,1
48000,384.9,297.4,1.0,1,1,1
52000,384.8,297.9,1.0,1,1,1
68000,384.8,298.3,1.0,1,1,1
72000,384.8,298.2,1.0,1,1,1
76000,384.7,298.1,1.0,1,1,1
80000,384.6,298.5,1.0,1,1,1
84000,384.6,299.0,1.0,1,1,1
100000,384.4,299.0,1.0,1,1,1
104000,384.7,299.1,1.0,1,1,1
108000,384.7,300.3,1.0,1,1,1
112000,384.6,300.5,1.0,1,1,1
116000,385.0,300.4,1.0,1,1,1
120000,385.2,300.4,1.0,1,1,1
124000,385.4,300.0,1.0,1,1,1
134000,385.5,299.7,1.0,1,1,1
138000,385.4,300.9,1.0,1,1,1
142000,385.3,301.0,1.0,1,1,1
146000,385.3,301.2,1.0,1,1,1
150000,385.3,301.3,1.0,1,1,1
154000,385.5,301.4,1.0,1,1,1
