Index	Time	X_coord	Y_coord	Confidence
1	2000	481.1	177.8	1
2	6000	481.2	179.2	1
3	10000	481.0	179.3	1
4	14000	480.9	180.7	1
5	18000	480.4	180.5	1
6	22000	480.5	180.6	1
7	26000	479.6	180.2	1
8	30000	479.4	180.0	1
9	34000	479.4	179.8	1
10	38000	479.2	178.3	1
11	39000	479.0	178.4	1
12	40000	478.9	178.6	1
13	43000	478.8	178.7	1
14	47000	478.5	178.6	1
15	51000	478.3	178.5	1
16	67000	478.1	178.8	1
17	71000	478.0	178.5	1
18	75000	477.4	178.1	1
19	79000	476.4	177.8	1
20	83000	476.2	177.8	1
21	87000	476.3	177.8	1
22	103000	476.2	178.7	1
23	107000	476.0	179.5	1
24	111000	476.7	179.8	1
25	115000	477.4	180.0	1
26	119000	477.4	179.8	1
27	123000	477.3	179.6	1
28	127000	477.0	179.3	1
29	137000	477.0	179.0	1
30	141000	477.1	178.0	1
31	145000	476.8	177.8	1
32	149000	476.6	177.7	1
33	153000	475.2	177.6	1
34	157000	474.8	176.1	1
35	169000	474.3	176.4	0
36	173000	473.4	174.4	0
37	177000	472.4	172.4	0
38	181000	466.3	167.5	0
39	185000	450.9	154.2	0
40	189000	443.1	144.6	0
41	201000	439.1	139.7	0
42	205000	437.2	137.2	0
43	209000	435.2	134.8	0
44	213000	435.3	134.9	0
45	217000	435.8	134.7	0
46	221000	436.9	138.1	0
47	225000	440.2	141.7	0
48	229000	441.3	148.7	0
49	233000	448.2	185.5	0
50	237000	454.3	199.1	0
51	238000	455.9	202.5	0
52	239000	457.4	205.8	0
53	242000	459.0	209.2	0
54	246000	460.5	212.4	0
55	250000	460.5	212.4	0
56	254000	0.0	0.0	0
57	269000	0.0	0.0	0
58	273000	0.0	0.0	0
59	277000	0.0	0.0	0
60	281000	0.0	0.0	0
61	285000	0.0	0.0	0
62	301000	0.0	0.0	0
63	305000	0.0	0.0	0
64	309000	0.0	0.0	0
65	313000	538.6	251.6	0
66	317000	538.6	251.5	0
67	321000	538.2	246.2	0
68	325000	537.8	240.8	0
69	334000	538.3	230.1	0
70	338000	538.0	208.0	0
71	342000	538.3	206.1	0
72	346000	538.4	206.2	0
73	350000	538.5	206.4	0
74	354000	538.6	206.9	0
75	367000	538.5	211.2	1
76	371000	538.4	211.6	1
77	375000	537.9	213.0	1
78	379000	536.9	214.9	1
79	383000	536.8	215.0	1
80	387000	536.8	215.6	1
81	400000	536.7	216.1	1
82	404000	536.3	216.3	1
83	408000	535.9	216.5	1
84	412000	535.7	216.6	1
85	416000	535.9	216.7	1
86	420000	536.0	217.0	1
87	424000	536.0	217.1	1
88	428000	536.0	218.3	1
89	432000	535.8	218.8	1
90	436000	535.9	218.6	1
91	437000	535.5	226.7	1
92	438000	536.0	229.2	1
93	442000	537.0	234.3	1
94	446000	537.4	235.7	1
95	450000	537.4	237.2	1
96	454000	538.5	238.4	1
97	471000	539.5	238.7	1
98	475000	540.0	238.9	1
99	479000	539.8	239.7	1
100	483000	540.7	240.6	1
101	487000	541.6	241.9	1
102	503000	541.9	242.5	1
103	507000	542.2	243.1	1
104	511000	541.9	245.4	1
105	515000	543.2	245.9	1
106	519000	543.0	246.3	1
107	523000	543.9	247.0	1
108	535000	544.7	247.4	1
109	539000	545.8	247.7	1
110	543000	546.0	249.0	1
111	547000	546.2	250.3	1
112	551000	546.6	253.2	1
113	555000	547.0	253.6	1
114	559000	548.1	253.8	1
115	567000	548.4	253.9	1
116	571000	548.3	254.7	1
117	575000	548.1	254.9	1
118	579000	547.5	255.0	1
119	583000	547.3	255.5	1
120	587000	547.1	255.5	1
121	591000	546.5	255.3	1
122	595000	546.2	255.1	1
123	599000	545.9	254.8	1
124	602000	545.7	254.9	1
125	606000	545.9	253.7	1
126	610000	545.7	252.6	1
127	614000	547.5	252.9	1
128	618000	549.3	253.3	1
129	622000	553.0	254.0	1
130	626000	569.3	275.1	1
131	630000	606.8	303.9	1
132	634000	653.6	327.4	1
133	638000	701.7	388.6	1
134	642000	725.0	417.3	1
135	646000	747.7	444.6	1
136	650000	752.6	465.2	1
137	654000	747.3	464.7	1
138	658000	742.0	462.8	1
139	662000	729.3	460.8	1
140	667000	728.8	460.4	1
141	671000	728.8	463.2	1
142	675000	728.9	464.6	1
143	679000	728.7	465.3	1
144	683000	728.5	465.3	1
145	687000	728.0	465.2	1
146	691000	727.3	465.0	1
147	695000	726.1	464.8	1
148	699000	725.9	465.2	1
149	702000	725.7	465.0	1
150	706000	724.6	465.4	1
151	710000	723.9	465.8	1
152	714000	723.2	465.9	1
153	718000	722.4	465.8	1
154	722000	722.2	465.7	1
155	726000	721.6	465.2	1
156	730000	720.9	464.7	1
157	735000	719.7	464.2	1
158	739000	719.5	464.0	1
159	743000	718.6	463.7	1
160	747000	718.6	463.2	1
161	751000	717.9	463.0	1
162	755000	717.2	462.2	1
163	759000	716.4	461.5	1
164	763000	715.6	461.4	1
165	767000	715.7	461.3	1
166	770000	715.7	460.8	1
167	774000	715.8	460.3	1
168	778000	715.9	460.2	1
169	782000	715.6	460.7	1
170	786000	715.7	461.1	1
171	790000	715.8	462.1	1
172	794000	715.5	462.4	1
173	798000	715.6	462.8	1
174	802000	715.5	462.8	1
175	806000	715.5	462.9	1
176	810000	715.5	462.7	1
177	814000	715.3	462.7	1
178	818000	715.0	462.7	1
179	822000	714.9	462.8	1
180	826000	714.8	463.4	1
181	830000	714.1	463.4	1
182	835000	713.4	463.1	1
183	839000	713.3	463.0	1
184	843000	713.3	462.9	1
185	847000	713.2	462.8	1
186	851000	713.1	462.7	1
187	855000	713.0	462.6	1
188	859000	712.6	461.6	1
189	863000	712.4	460.7	1
190	867000	712.2	460.0	1
191	870000	711.9	460.1	1
192	874000	711.6	460.2	1
193	878000	711.7	460.5	1
194	882000	711.7	460.7	1
195	886000	711.7	461.2	1
196	890000	711.4	461.3	1
197	894000	711.3	461.3	1
198	898000	711.3	461.4	1
199	902000	711.3	461.4	1
200	906000	711.4	461.4	1
201	910000	711.2	461.3	1
202	914000	711.2	461.3	1
203	918000	711.1	461.4	1
204	922000	711.3	461.2	1
205	926000	710.9	460.9	1
206	930000	710.5	460.4	1
207	935000	709.2	448.9	1
208	939000	704.6	430.4	1
209	943000	694.8	394.5	1
210	947000	688.1	364.8	1
211	951000	683.4	345.0	1
212	955000	680.0	323.7	1
213	959000	679.7	316.0	1
214	963000	679.7	313.8	1
215	967000	679.2	312.7	1
216	970000	678.7	311.6	1
217	974000	677.7	311.1	1
218	978000	676.0	310.5	1
219	982000	674.6	310.1	1
220	986000	673.9	309.8	1
221	990000	673.1	309.4	1
222	994000	672.4	309.0	1
223	998000	671.8	307.7	1
224	1002000	671.3	306.9	1
225	1006000	670.5	305.8	1
226	1010000	669.8	305.3	1
227	1014000	669.5	304.9	1
228	1018000	668.9	304.8	1
229	1022000	668.4	303.8	1
230	1026000	667.3	302.8	1
231	1030000	667.3	302.0	1
232	1034000	666.7	301.1	1
233	1038000	666.1	300.9	1
234	1042000	665.6	300.6	1
235	1046000	665.4	299.5	1
236	1050000	665.1	298.4	1
237	1054000	664.7	298.4	1
238	1058000	664.6	298.5	1
239	1062000	664.5	298.2	1
240	1066000	664.2	298.4	1
241	1070000	663.9	298.6	1
242	1074000	663.8	299.2	1
243	1078000	663.7	300.3	1
244	1082000	663.4	300.9	1
245	1086000	663.1	300.9	1
246	1090000	662.2	300.8	1
247	1094000	661.0	300.8	1
248	1098000	659.8	300.6	1
249	1103000	659.5	300.5	1
250	1107000	659.2	300.3	1
251	1111000	659.1	300.4	1
252	1115000	659.1	300.5	1
253	1119000	657.9	300.5	1
254	1123000	657.8	300.4	1
255	1127000	657.9	299.6	1
256	1131000	657.9	298.8	1
257	1135000	657.7	298.8	1
258	1138000	657.8	298.8	1
259	1142000	657.6	298.8	1
260	1146000	657.9	298.9	1
261	1150000	658.0	298.7	1
262	1154000	657.9	298.4	1
263	1158000	658.0	298.4	1
264	1162000	658.1	298.7	1
265	1166000	658.3	299.1	1
266	1170000	658.6	299.3	1
267	1174000	659.0	299.5	1
268	1178000	659.0	300.8	1
269	1182000	658.9	300.9	1
270	1186000	659.2	301.4	1
271	1190000	659.2	302.0	1
272	1194000	659.3	302.1	1
273	1198000	659.3	302.1	1
