Index	Time	X_coord	Y_coord	Confidence
1	2000	383.7	273.9	1
2	6000	383.8	274.7	1
3	10000	384.0	277.3	1
4	14000	384.0	277.9	1
5	18000	384.2	278.2	1
6	22000	384.5	278.8	1
7	26000	385.2	279.9	1
8	30000	385.4	280.0	1
9	34000	386.1	280.6	1
10	38000	386.7	281.3	1
11	39000	387.2	281.5	1
12	40000	387.3	281.5	1
13	42000	387.4	281.5	1
14	46000	387.4	281.8	1
15	50000	387.5	282.2	1
16	54000	387.8	282.4	1
17	69000	387.8	282.3	1
18	73000	387.9	282.3	1
19	77000	387.8	282.4	1
20	81000	387.7	282.4	1
21	85000	387.1	282.3	1
22	102000	386.6	282.2	1
23	106000	385.9	281.8	1
24	110000	385.7	281.7	1
25	114000	385.6	281.7	1
26	118000	385.0	281.5	1
27	122000	384.5	281.4	1
28	126000	384.1	281.4	1
29	136000	384.1	281.3	1
30	140000	384.1	280.2	1
31	144000	384.0	279.9	1
32	148000	384.1	279.7	1
33	152000	384.1	279.8	1
34	156000	384.2	279.8	1
35	167000	384.2	279.8	1
36	171000	384.2	279.7	1
37	175000	384.7	279.7	1
38	179000	385.2	279.6	1
39	183000	385.5	278.3	1
40	187000	386.1	278.2	1
41	191000	386.1	278.3	1
42	203000	386.2	278.4	1
43	207000	386.1	278.7	1
44	211000	386.2	278.8	1
45	215000	386.3	278.9	1
46	219000	386.5	279.2	1
47	223000	386.9	279.4	1
48	227000	387.4	279.4	1
49	231000	387.5	279.5	1
50	235000	388.0	279.5	1
51	239000	388.5	279.6	1
52	240000	388.5	280.1	1
53	241000	388.7	280.7	1
54	244000	388.8	282.0	1
55	248000	388.8	282.4	1
56	252000	388.6	282.7	1
57	266000	388.5	283.0	1
58	270000	388.2	283.2	1
59	274000	387.8	283.5	1
60	278000	387.1	283.7	1
61	282000	387.0	283.9	1
62	286000	386.9	284.0	1
63	302000	386.6	284.1	1
64	306000	386.7	284.4	1
65	310000	387.0	284.4	1
66	314000	387.3	284.7	1
67	318000	387.7	285.0	1
68	322000	395.9	286.0	1
69	326000	413.2	287.3	1
70	335000	437.6	291.0	1
71	339000	459.3	295.4	1
72	343000	473.3	299.5	1
73	347000	475.1	301.3	1
74	351000	475.3	302.0	1
75	355000	475.4	302.2	1
76	367000	475.6	302.4	1
77	371000	475.8	302.9	1
78	375000	475.9	303.4	1
79	379000	476.0	304.0	1
80	383000	477.1	304.8	1
81	387000	477.4	304.8	1
82	400000	477.5	304.9	1
83	404000	477.4	305.0	1
84	408000	477.4	305.6	1
85	412000	477.4	305.7	1
86	416000	477.4	305.8	1
87	420000	477.5	306.1	1
88	424000	477.5	306.2	1
89	428000	477.6	306.2	1
90	432000	477.7	306.4	1
91	436000	477.7	306.5	1
92	437000	477.8	306.5	1
93	438000	477.9	306.7	1
94	442000	478.1	306.9	1
95	446000	478.7	307.2	1
96	450000	478.9	307.2	1
97	454000	478.9	307.3	1
98	471000	479.2	307.3	1
99	475000	479.3	307.4	1
100	479000	480.3	307.7	1
101	483000	480.6	307.8	1
