% Handlabelling data is arranged in 3 columns: handlabeller1 and handlabeller2 indicate the first two experts, handlabeller_final column contains the final, tie-breaking labels.
% Labels in these columns are to be interpreted as follows:
%   - 0 is UNKNOWN
%   - 1 is FIX (fixation)
%   - 2 is SACCADE
%   - 3 is SP (smooth pursuit)
%   - 4 is NOISE
% 
%@METADATA width_px 1280.0
%@METADATA height_px 720.0
%@METADATA width_mm 400.0
%@METADATA height_mm 225.0
%@METADATA distance_mm 450.0
@RELATION gaze_labels

@ATTRIBUTE time INTEGER
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE confidence NUMERIC
@ATTRIBUTE handlabeller1 INTEGER
@ATTRIBUTE handlabeller2 INTEGER
@ATTRIBUTE handlabeller_final INTEGER

@DATA
2000,619.6,381.2,1.0,1,0,1
6000,619.6,381.4,1.0,1,1,1
10000,619.6,381.5,1.0,1,1,1
14000,619.7,381.6,1.0,1,1,1
18000,619.8,381.5,1.0,1,1,1
22000,620.1,381.5,1.0,1,1,1
26000,620.1,381.6,1.0,1,1,1
30000,620.1,381.6,1.0,1,1,1
34000,620.2,381.9,1.0,1,1,1
38000,620.3,382.0,1.0,1,1,1
39000,620.2,382.0,1.0,1,1,1
40000,620.5,382.5,1.0,1,1,1
42000,620.8,382.5,1.0,1,1,1
46000,620.6,382.4,1.0,1,1,1
50000,621.1,382.5,1.0,1,1,1
54000,620.9,382.2,1.0,1,1,1
70000,620.6,382.1,1.0,1,1,1
74000,620.7,382.0,1.0,1,1,1
78000,620.4,381.8,1.0,1,1,1
82000,620.2,381.6,1.0,1,1,1
86000,620.3,381.6,1.0,1,1,1
103000,620.3,381.6,1.0,1,1,1
107000,620.4,381.1,1.0,1,1,1
111000,619.9,380.6,1.0,1,1,1
115000,619.5,379.4,1.0,1,1,1
119000,618.9,379.4,1.0,1,1,1
123000,618.2,379.4,1.0,1,1,1
127000,617.2,379.3,1.0,1,1,1
137000,617.1,379.3,1.0,1,1,1
141000,617.0,379.3,1.0,1,1,1
145000,616.5,379.2,1.0,1,1,1
149000,616.5,379.8,1.0,1,1,1
153000,616.6,380.2,1.0,1,1,1
157000,617.2,380.4,1.0,1,1,1
169000,617.7,380.2,1.0,1,1,1
173000,617.9,380.2,1.0,1,1,1
177000,618.7,380.2,1.0,1,1,1
181000,619.1,379.7,1.0,1,1,1
185000,620.6,380.0,1.0,1,1,1
189000,621.0,379.9,1.0,1,1,1
201000,621.4,379.8,1.0,1,1,1
205000,621.4,379.5,1.0,1,1,1
209000,621.3,379.4,1.0,1,1,1
213000,621.5,379.0,1.0,1,1,1
217000,621.7,378.9,1.0,1,1,1
221000,621.9,378.8,1.0,1,1,1
225000,621.9,378.8,1.0,1,1,1
229000,621.5,378.7,1.0,1,1,1
233000,621.2,378.7,1.0,1,1,1
237000,620.8,378.6,1.0,1,1,1
238000,620.5,378.6,1.0,1,1,1
239000,620.1,378.5,1.0,1,1,1
242000,619.8,378.6,1.0,1,1,1
246000,619.3,378.7,1.0,1,1,1
250000,619.2,379.9,1.0,1,1,1
266000,619.1,381.3,1.0,1,1,1
270000,619.0,382.6,1.0,1,1,1
274000,619.2,382.9,1.0,1,1,1
278000,619.3,382.9,1.0,1,1,1
282000,619.5,383.1,1.0,1,1,1
286000,619.4,383.2,1.0,1,1,1
302000,619.4,383.3,1.0,1,1,1
306000,619.1,383.3,1.0,1,1,1
310000,619.4,383.2,1.0,1,1,1
314000,619.3,383.1,1.0,1,1,1
318000,619.2,382.9,1.0,1,1,1
322000,619.1,382.8,1.0,1,1,1
326000,619.1,382.7,1.0,1,1,1
335000,619.4,383.1,1.0,1,1,1
339000,619.8,383.5,1.0,1,1,1
343000,620.1,383.9,1.0,1,1,1
347000,620.1,384.1,1.0,1,1,1
351000,620.1,384.0,1.0,1,1,1
355000,620.1,384.2,1.0,1,1,1
369000,620.0,384.3,1.0,1,1,1
373000,619.8,384.4,1.0,1,1,1
377000,619.9,384.5,1.0,1,1,1
381000,619.8,384.5,1.0,1,1,1
385000,620.0,384.8,1.0,1,1,1
389000,619.9,385.2,1.0,1,1,1
402000,619.8,385.2,1.0,1,1,1
406000,619.9,385.2,1.0,1,1,1
410000,619.9,385.5,1.0,1,1,1
414000,620.1,385.4,1.0,1,1,1
418000,620.2,385.3,1.0,1,1,1
422000,620.3,384.7,1.0,1,1,1
426000,620.4,384.9,1.0,1,1,1
430000,620.3,384.9,1.0,1,1,1
434000,620.4,384.9,1.0,1,1,1
438000,620.5,384.8,1.0,1,1,1
439000,620.7,384.9,1.0,1,1,1
440000,620.7,384.7,1.0,1,1,1
444000,620.7,384.9,1.0,1,1,1
448000,621.0,385.1,1.0,1,1,1
452000,621.2,385.4,1.0,1,1,1
470000,621.4,385.6,1.0,1,1,1
474000,621.5,385.5,1.0,1,1,1
478000,622.1,385.8,1.0,1,1,1
482000,622.2,386.1,1.0,1,1,1
486000,622.3,386.3,1.0,1,1,1
501000,622.4,386.4,1.0,2,1,1
505000,622.5,386.4,1.0,2,1,1
509000,622.7,385.9,1.0,2,1,1
513000,623.0,385.3,1.0,2,1,2
517000,624.3,384.1,1.0,2,1,2
521000,638.3,379.9,1.0,2,2,2
533000,647.9,375.8,1.0,2,2,2
537000,652.1,375.5,1.0,2,2,2
541000,656.7,370.5,1.0,2,1,2
545000,659.1,369.0,1.0,2,1,2
549000,663.1,368.0,1.0,2,1,2
553000,664.1,367.8,1.0,2,1,2
557000,664.5,367.6,1.0,2,1,1
561000,664.5,367.2,1.0,2,1,1
565000,664.5,367.0,1.0,2,1,1
570000,663.9,367.2,1.0,2,1,1
574000,663.8,367.0,1.0,2,1,1
578000,663.7,366.9,1.0,1,1,1
582000,663.6,366.7,1.0,1,1,1
586000,663.6,366.6,1.0,1,1,1
590000,663.3,366.6,1.0,1,1,1
594000,663.3,366.3,1.0,1,1,1
598000,663.3,366.3,1.0,1,1,1
