Index	Time	X_coord	Y_coord	Confidence
1	3000	453.0	251.9	1
2	7000	452.8	251.2	1
3	11000	452.7	251.2	1
4	15000	452.8	251.5	1
5	19000	452.9	251.8	1
6	23000	452.4	250.7	1
7	27000	452.0	250.4	1
8	31000	451.1	250.3	1
9	35000	450.4	250.5	1
10	39000	450.4	250.6	1
11	40000	450.7	249.7	1
12	41000	451.1	249.4	1
13	44000	451.7	249.0	1
14	48000	452.0	249.2	1
15	52000	452.0	248.9	1
16	67000	452.2	249.2	1
17	71000	451.5	249.3	1
18	75000	451.0	249.9	1
19	79000	450.9	250.0	1
20	83000	450.8	249.9	1
21	87000	450.7	250.5	1
22	103000	450.5	251.1	1
23	107000	450.4	251.1	1
24	111000	450.5	251.0	1
25	115000	450.5	251.0	1
26	119000	450.7	250.9	1
27	123000	450.4	250.8	1
28	133000	450.2	250.8	1
29	137000	450.1	251.1	1
30	141000	450.0	251.3	1
31	145000	449.0	251.8	1
32	149000	449.1	251.8	1
33	153000	449.1	251.9	1
34	157000	449.2	252.7	1
35	168000	449.5	252.3	1
36	172000	449.9	252.0	1
37	176000	450.1	253.2	1
38	180000	450.3	254.3	1
39	184000	454.3	256.0	1
40	188000	465.9	270.7	1
41	200000	487.7	271.7	1
42	204000	514.5	288.3	1
43	208000	522.7	297.6	1
44	212000	533.9	310.9	1
45	216000	545.6	318.4	1
46	220000	551.5	335.9	1
47	224000	551.4	335.2	1
48	228000	551.0	334.5	1
49	232000	550.8	332.0	1
50	236000	549.9	325.9	1
51	237000	550.8	324.9	1
52	238000	551.6	325.3	1
53	241000	552.4	325.7	1
54	245000	555.1	329.6	1
55	249000	556.4	331.7	1
56	253000	558.0	334.7	1
57	268000	558.9	335.4	1
58	272000	559.7	335.8	1
59	276000	560.3	336.2	1
60	280000	561.1	337.5	1
61	284000	562.0	337.8	1
62	300000	562.1	338.3	1
63	304000	562.3	338.8	1
64	308000	562.0	338.9	1
65	312000	562.0	338.9	1
66	316000	562.1	339.0	1
67	320000	562.2	339.1	1
68	324000	562.6	339.2	1
69	328000	563.0	338.8	1
70	336000	563.2	339.3	1
71	340000	563.4	339.9	1
72	344000	563.6	339.3	1
73	348000	563.7	339.4	1
74	352000	563.8	339.5	1
75	356000	564.0	340.3	1
76	370000	564.6	340.2	1
77	374000	565.4	340.6	1
78	378000	565.8	340.8	1
79	382000	565.7	340.9	1
80	386000	565.6	340.5	1
81	390000	558.2	341.9	1
82	403000	533.2	335.0	1
83	407000	501.7	323.2	1
84	411000	472.4	305.5	1
85	415000	444.3	293.4	1
86	419000	436.0	279.8	1
87	423000	423.0	280.3	1
88	427000	419.2	279.7	1
89	431000	416.9	280.1	1
90	435000	415.2	280.3	1
91	439000	415.9	279.8	1
92	440000	415.7	279.7	1
93	441000	415.5	279.7	1
94	444000	414.5	279.9	1
95	448000	412.4	279.8	1
96	452000	408.5	280.1	1
97	470000	407.3	280.2	1
98	474000	405.8	280.5	1
99	478000	405.4	280.2	1
100	482000	404.9	279.9	1
101	486000	403.2	280.0	1
102	502000	401.4	280.1	1
103	506000	401.3	280.6	1
104	510000	401.2	281.1	1
105	514000	398.4	282.7	1
106	518000	398.5	283.3	1
107	522000	398.6	284.1	1
108	534000	398.7	285.0	1
109	538000	398.6	285.1	1
110	542000	398.0	285.2	1
111	546000	398.0	285.5	1
112	550000	398.0	285.7	1
113	554000	397.4	285.8	1
114	558000	396.8	285.9	1
115	567000	396.5	285.8	1
116	571000	396.4	285.6	1
117	575000	396.6	285.7	1
118	579000	396.8	285.7	1
119	583000	397.2	286.2	1
120	587000	397.3	286.7	1
121	591000	397.3	286.8	1
122	595000	397.3	286.8	1
123	599000	396.8	286.9	1
124	603000	396.6	286.4	1
125	607000	396.4	286.3	1
126	611000	395.8	286.3	1
127	615000	395.4	284.1	1
128	619000	395.4	283.0	1
129	623000	394.8	282.5	1
130	627000	394.3	282.1	1
131	631000	394.1	281.6	1
132	635000	394.2	282.1	1
133	639000	394.2	282.6	1
134	643000	394.2	282.8	1
135	647000	394.4	282.8	1
136	651000	394.5	283.0	1
137	655000	394.6	283.2	1
138	659000	394.1	282.8	1
139	663000	393.8	283.1	1
140	668000	393.6	282.9	1
141	672000	393.4	282.9	1
142	676000	393.8	282.7	1
143	680000	393.7	282.2	1
144	684000	394.0	282.8	1
145	688000	394.2	283.3	1
146	692000	394.0	283.4	1
147	696000	394.9	283.1	1
148	700000	394.9	283.4	1
149	703000	395.2	283.5	1
150	707000	394.5	285.5	1
151	711000	393.8	287.5	1
152	715000	391.4	288.5	1
153	719000	383.8	292.0	1
154	723000	367.2	299.6	1
155	727000	363.2	301.5	1
156	731000	364.5	302.3	1
157	736000	366.1	304.8	1
158	740000	369.3	306.9	1
159	744000	371.0	308.8	1
160	748000	371.9	310.9	1
161	752000	372.1	310.8	1
162	756000	371.6	310.9	1
163	760000	371.5	310.7	1
164	764000	370.4	310.5	1
165	767000	370.0	310.1	1
166	771000	369.6	310.7	1
167	775000	369.7	310.3	1
168	779000	369.9	310.8	1
169	783000	369.4	311.1	1
170	787000	369.0	311.4	1
171	791000	368.1	312.8	1
172	795000	368.2	312.1	1
173	799000	367.8	312.0	1
174	803000	368.1	311.7	1
175	807000	367.8	311.5	1
176	811000	368.6	311.2	1
177	815000	369.5	311.1	1
178	819000	369.3	310.9	1
179	823000	370.1	311.2	1
180	827000	370.9	311.5	1
181	831000	370.6	311.4	1
182	835000	370.3	311.3	1
183	839000	370.3	310.6	1
184	843000	369.7	310.7	1
185	847000	369.1	310.9	1
186	851000	369.2	311.0	1
187	855000	369.3	311.2	1
188	859000	368.7	311.7	1
189	863000	368.8	312.4	1
190	867000	368.6	313.1	1
191	871000	369.4	313.8	1
192	875000	370.0	313.9	1
193	879000	371.7	313.9	1
194	883000	383.1	315.7	1
195	887000	402.0	313.4	1
196	891000	430.0	308.2	1
197	895000	456.9	318.3	1
198	899000	478.3	312.7	1
199	903000	498.2	310.9	1
200	907000	521.4	308.2	1
201	911000	531.7	312.2	1
202	915000	536.4	314.9	1
203	919000	533.7	316.4	1
204	923000	532.5	316.1	1
205	927000	532.1	315.6	1
206	931000	533.9	313.6	1
207	935000	536.0	312.3	1
208	939000	540.8	311.9	1
209	943000	542.4	312.4	1
210	947000	545.5	314.3	1
211	951000	547.3	314.6	1
212	955000	547.4	315.3	1
213	959000	547.9	316.0	1
214	963000	548.3	316.8	1
215	967000	548.9	317.0	1
216	971000	548.9	317.3	1
217	975000	549.1	317.3	1
218	979000	549.5	317.9	1
219	983000	550.2	318.5	1
220	987000	550.5	318.5	1
221	991000	550.6	318.7	1
222	995000	550.8	319.2	1
223	999000	551.2	319.4	1
224	1003000	551.6	319.7	1
225	1007000	552.3	320.5	1
226	1011000	552.8	320.5	1
227	1015000	553.3	320.5	1
228	1019000	553.9	320.4	1
229	1023000	554.2	320.3	1
230	1027000	554.4	319.8	1
231	1031000	555.2	319.6	1
232	1035000	555.7	319.5	1
233	1039000	556.3	320.1	1
234	1043000	557.0	320.7	1
235	1047000	557.9	322.2	1
236	1051000	573.0	327.3	1
237	1055000	598.3	331.9	1
238	1059000	620.3	328.5	1
239	1063000	634.1	327.0	1
240	1067000	634.6	329.0	1
241	1071000	634.6	329.1	1
242	1075000	633.8	329.8	1
243	1079000	630.8	330.8	1
244	1083000	631.3	330.1	1
245	1087000	631.7	329.5	1
246	1091000	632.8	329.2	1
247	1095000	633.8	328.8	1
248	1099000	634.7	329.5	1
249	1104000	635.2	330.4	1
250	1108000	635.7	331.2	1
251	1112000	636.5	331.8	1
252	1116000	637.2	332.1	1
253	1120000	637.6	332.4	1
254	1124000	638.1	332.7	1
255	1128000	639.1	332.9	1
256	1132000	640.4	332.0	1
257	1135000	640.3	332.0	1
258	1139000	640.2	332.2	1
259	1143000	640.1	332.4	1
260	1147000	639.9	331.7	1
261	1151000	640.0	332.2	1
262	1155000	639.9	332.7	1
263	1159000	640.2	334.5	1
264	1163000	640.2	335.4	1
265	1167000	640.3	335.5	1
266	1171000	640.4	335.6	1
267	1175000	640.7	336.4	1
268	1179000	641.0	336.7	1
269	1183000	641.4	337.0	1
270	1187000	642.1	338.7	1
271	1191000	642.6	340.5	1
272	1195000	646.9	344.8	1
273	1199000	665.1	355.2	1
274	1203000	702.0	379.9	1
275	1207000	737.8	404.5	1
276	1211000	781.7	425.1	1
277	1215000	807.8	439.4	1
278	1219000	833.5	451.7	1
279	1223000	847.9	461.7	1
280	1227000	853.5	471.1	1
281	1231000	862.8	497.9	1
282	1235000	864.6	500.4	1
283	1239000	866.1	501.0	1
284	1243000	866.7	498.5	1
285	1247000	867.4	496.0	1
286	1251000	868.2	492.6	1
287	1255000	869.9	494.1	1
288	1259000	872.5	495.2	1
289	1263000	874.5	498.8	1
290	1267000	875.2	501.2	1
291	1271000	876.2	505.0	1
292	1275000	876.2	505.2	1
293	1279000	876.7	506.6	1
294	1283000	877.3	507.9	1
295	1287000	877.3	508.9	1
