% Handlabelling data is arranged in 3 columns: handlabeller1 and handlabeller2 indicate the first two experts, handlabeller_final column contains the final, tie-breaking labels.
% Labels in these columns are to be interpreted as follows:
%   - 0 is UNKNOWN
%   - 1 is FIX (fixation)
%   - 2 is SACCADE
%   - 3 is SP (smooth pursuit)
%   - 4 is NOISE
% 
%@METADATA width_px 1280.0
%@METADATA height_px 720.0
%@METADATA width_mm 400.0
%@METADATA height_mm 225.0
%@METADATA distance_mm 450.0
@RELATION gaze_labels

@ATTRIBUTE time INTEGER
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE confidence NUMERIC
@ATTRIBUTE handlabeller1 INTEGER
@ATTRIBUTE handlabeller2 INTEGER
@ATTRIBUTE handlabeller_final INTEGER

@DATA
3000,453.0,251.9,1.0,1,0,1
7000,452.8,251.2,1.0,1,1,1
11000,452.7,251.2,1.0,1,1,1
15000,452.8,251.5,1.0,1,1,1
19000,452.9,251.8,1.0,1,1,1
23000,452.4,250.7,1.0,1,1,1
27000,452.0,250.4,1.0,1,1,1
31000,451.1,250.3,1.0,1,1,1
35000,450.4,250.5,1.0,1,1,1
39000,450.4,250.6,1.0,1,1,1
40000,450.7,249.7,1.0,1,1,1
41000,451.1,249.4,1.0,1,1,1
44000,451.7,249.0,1.0,1,1,1
48000,452.0,249.2,1.0,1,1,1
52000,452.0,248.9,1.0,1,1,1
67000,452.2,249.2,1.0,1,1,1
71000,451.5,249.3,1.0,1,1,1
75000,451.0,249.9,1.0,1,1,1
79000,450.9,250.0,1.0,1,1,1
83000,450.8,249.9,1.0,1,1,1
87000,450.7,250.5,1.0,1,1,1
103000,450.5,251.1,1.0,1,1,1
107000,450.4,251.1,1.0,1,1,1
111000,450.5,251.0,1.0,1,1,1
115000,450.5,251.0,1.0,1,1,1
119000,450.7,250.9,1.0,1,1,1
123000,450.4,250.8,1.0,1,1,1
133000,450.2,250.8,1.0,1,1,1
137000,450.1,251.1,1.0,1,1,1
141000,450.0,251.3,1.0,1,1,1
145000,449.0,251.8,1.0,1,1,1
149000,449.1,251.8,1.0,1,1,1
153000,449.1,251.9,1.0,1,1,1
157000,449.2,252.7,1.0,1,1,1
168000,449.5,252.3,1.0,1,1,1
172000,449.9,252.0,1.0,1,1,1
176000,450.1,253.2,1.0,1,1,1
180000,450.3,254.3,1.0,1,1,1
184000,454.3,256.0,1.0,2,2,2
188000,465.9,270.7,1.0,2,2,2
200000,487.7,271.7,1.0,2,2,2
204000,514.5,288.3,1.0,2,2,2
208000,522.7,297.6,1.0,2,2,2
212000,533.9,310.9,1.0,2,2,2
216000,545.6,318.4,1.0,2,2,2
220000,551.5,335.9,1.0,2,2,2
224000,551.4,335.2,1.0,2,2,2
228000,551.0,334.5,1.0,2,2,2
232000,550.8,332.0,1.0,2,2,2
236000,549.9,325.9,1.0,2,2,2
237000,550.8,324.9,1.0,2,2,2
238000,551.6,325.3,1.0,2,2,2
241000,552.4,325.7,1.0,2,2,2
245000,555.1,329.6,1.0,2,1,1
249000,556.4,331.7,1.0,2,1,1
253000,558.0,334.7,1.0,1,1,1
268000,558.9,335.4,1.0,1,1,1
272000,559.7,335.8,1.0,1,1,1
276000,560.3,336.2,1.0,1,1,1
280000,561.1,337.5,1.0,1,1,1
284000,562.0,337.8,1.0,1,1,1
300000,562.1,338.3,1.0,1,1,1
304000,562.3,338.8,1.0,1,1,1
308000,562.0,338.9,1.0,1,1,1
312000,562.0,338.9,1.0,1,1,1
316000,562.1,339.0,1.0,1,1,1
320000,562.2,339.1,1.0,1,1,1
324000,562.6,339.2,1.0,1,1,1
328000,563.0,338.8,1.0,1,1,1
336000,563.2,339.3,1.0,1,1,1
340000,563.4,339.9,1.0,1,1,1
344000,563.6,339.3,1.0,1,1,1
348000,563.7,339.4,1.0,1,1,1
352000,563.8,339.5,1.0,1,1,1
356000,564.0,340.3,1.0,1,1,1
370000,564.6,340.2,1.0,1,1,1
374000,565.4,340.6,1.0,1,1,1
378000,565.8,340.8,1.0,1,1,1
382000,565.7,340.9,1.0,1,1,1
386000,565.6,340.5,1.0,1,1,1
390000,558.2,341.9,1.0,2,2,2
403000,533.2,335.0,1.0,2,2,2
407000,501.7,323.2,1.0,2,2,2
411000,472.4,305.5,1.0,2,2,2
415000,444.3,293.4,1.0,2,2,2
419000,436.0,279.8,1.0,2,2,2
423000,423.0,280.3,1.0,2,2,2
427000,419.2,279.7,1.0,2,2,2
431000,416.9,280.1,1.0,2,2,2
435000,415.2,280.3,1.0,2,2,2
439000,415.9,279.8,1.0,1,2,1
440000,415.7,279.7,1.0,1,2,1
441000,415.5,279.7,1.0,1,2,1
444000,414.5,279.9,1.0,1,2,1
448000,412.4,279.8,1.0,1,2,1
452000,408.5,280.1,1.0,1,1,1
470000,407.3,280.2,1.0,1,1,1
474000,405.8,280.5,1.0,1,1,1
478000,405.4,280.2,1.0,1,1,1
482000,404.9,279.9,1.0,1,1,1
486000,403.2,280.0,1.0,1,1,1
502000,401.4,280.1,1.0,1,1,1
506000,401.3,280.6,1.0,1,1,1
510000,401.2,281.1,1.0,1,1,1
514000,398.4,282.7,1.0,1,1,1
518000,398.5,283.3,1.0,1,1,1
522000,398.6,284.1,1.0,1,1,1
534000,398.7,285.0,1.0,1,1,1
538000,398.6,285.1,1.0,1,1,1
542000,398.0,285.2,1.0,1,1,1
546000,398.0,285.5,1.0,1,1,1
550000,398.0,285.7,1.0,1,1,1
554000,397.4,285.8,1.0,1,1,1
558000,396.8,285.9,1.0,1,1,1
567000,396.5,285.8,1.0,1,1,1
571000,396.4,285.6,1.0,1,1,1
575000,396.6,285.7,1.0,1,1,1
579000,396.8,285.7,1.0,1,1,1
583000,397.2,286.2,1.0,1,1,1
587000,397.3,286.7,1.0,1,1,1
