% Handlabelling data is arranged in 3 columns: handlabeller1 and handlabeller2 indicate the first two experts, handlabeller_final column contains the final, tie-breaking labels.
% Labels in these columns are to be interpreted as follows:
%   - 0 is UNKNOWN
%   - 1 is FIX (fixation)
%   - 2 is SACCADE
%   - 3 is SP (smooth pursuit)
%   - 4 is NOISE
% 
%@METADATA width_px 1280.0
%@METADATA height_px 720.0
%@METADATA width_mm 400.0
%@METADATA height_mm 225.0
%@METADATA distance_mm 450.0
@RELATION gaze_labels

@ATTRIBUTE time INTEGER
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE confidence NUMERIC
@ATTRIBUTE handlabeller1 INTEGER
@ATTRIBUTE handlabeller2 INTEGER
@ATTRIBUTE handlabeller_final INTEGER

@DATA
3000,320.4,210.0,1.0,1,0,1
7000,320.4,209.6,1.0,1,1,1
11000,320.5,209.2,1.0,1,1,1
15000,321.6,209.3,1.0,1,1,1
19000,321.8,209.3,1.0,1,1,1
23000,322.0,209.7,1.0,1,1,1
27000,322.2,209.9,1.0,1,1,1
31000,321.9,210.0,1.0,1,1,1
35000,321.9,210.1,1.0,1,1,1
36000,321.9,210.0,1.0,1,1,1
38000,321.9,209.9,1.0,1,1,1
42000,321.7,209.8,1.0,1,1,1
46000,321.7,209.6,1.0,1,1,1
50000,321.8,209.6,1.0,1,1,1
54000,321.6,209.2,1.0,1,1,1
67000,321.8,209.1,1.0,1,1,1
71000,321.7,209.1,1.0,1,1,1
75000,321.6,208.9,1.0,1,1,1
79000,321.4,208.9,1.0,1,1,1
83000,320.7,209.0,1.0,1,1,1
87000,320.9,208.9,1.0,1,1,1
100000,321.1,208.8,1.0,1,1,1
104000,321.3,208.9,1.0,1,1,1
108000,321.5,208.9,1.0,1,1,1
112000,321.6,208.9,1.0,1,1,1
116000,321.7,208.8,1.0,1,1,1
120000,322.0,209.0,1.0,1,1,1
124000,322.7,209.3,1.0,1,1,1
128000,322.7,209.1,1.0,1,1,1
135000,323.0,209.3,1.0,1,1,1
139000,323.0,208.8,1.0,1,1,1
143000,323.1,208.4,1.0,1,1,1
147000,323.0,208.1,1.0,1,1,1
151000,322.9,207.7,1.0,1,1,1
155000,323.0,208.0,1.0,1,1,1
159000,323.0,208.2,1.0,1,1,1
167000,323.1,209.0,1.0,1,2,1
171000,323.1,209.4,1.0,1,2,1
175000,322.7,209.9,1.0,1,2,1
179000,322.3,210.2,1.0,1,2,1
183000,322.4,210.5,1.0,1,2,1
187000,322.7,211.2,1.0,1,2,1
191000,323.0,212.0,1.0,1,2,1
201000,328.7,217.7,1.0,2,2,2
205000,347.8,223.8,1.0,2,2,2
209000,391.5,256.9,1.0,2,2,2
213000,441.5,292.9,1.0,2,2,2
217000,486.0,331.2,1.0,2,2,2
221000,523.9,349.0,1.0,2,2,2
225000,553.9,366.0,1.0,2,2,2
229000,577.0,386.1,1.0,2,2,2
233000,599.0,413.1,1.0,2,2,2
237000,609.0,440.8,1.0,2,2,2
