Index	Time	X_coord	Y_coord	Confidence
1	3000	362.9	365.1	1
2	7000	362.9	364.9	1
3	11000	363.0	364.8	1
4	15000	363.2	365.1	1
5	19000	363.3	365.2	1
6	23000	363.4	365.3	1
7	27000	363.4	365.4	1
8	31000	364.4	365.1	1
9	35000	364.7	365.4	1
10	36000	364.7	365.6	1
11	40000	364.6	365.5	1
12	44000	364.5	365.6	1
13	48000	364.6	365.4	1
14	52000	364.3	365.2	1
15	56000	364.4	365.1	1
16	69000	364.3	365.0	1
17	73000	364.3	365.0	1
18	77000	364.3	365.0	1
19	81000	364.1	364.9	1
20	85000	364.1	364.8	1
21	89000	364.1	364.5	1
22	103000	364.3	364.5	1
23	107000	364.3	364.5	1
24	111000	364.4	364.6	1
25	115000	364.4	364.7	1
26	119000	364.4	364.8	1
27	123000	364.4	364.8	1
28	127000	364.5	364.8	1
29	135000	364.9	365.1	1
30	139000	365.3	365.1	1
31	143000	365.4	365.1	1
32	147000	365.4	365.1	1
33	151000	365.5	364.7	1
34	155000	365.6	364.7	1
35	159000	365.6	364.5	1
36	169000	365.6	364.4	1
37	173000	365.7	364.3	1
38	177000	365.9	364.2	1
39	181000	366.5	364.4	1
40	185000	367.1	364.5	1
41	189000	369.9	367.9	1
42	193000	387.6	381.2	1
43	202000	417.8	400.4	1
44	206000	455.1	421.3	1
45	210000	490.6	437.0	1
46	214000	523.3	450.2	1
47	218000	555.1	458.9	1
48	222000	578.1	464.7	1
49	226000	593.5	469.5	1
50	230000	612.5	475.5	1
51	234000	616.5	479.0	1
52	238000	618.1	477.8	1
53	239000	619.7	476.6	1
54	240000	621.1	477.2	1
55	244000	622.5	477.7	1
56	248000	625.9	479.3	1
57	252000	626.3	480.9	1
58	266000	626.5	481.4	1
59	270000	626.6	481.9	1
60	274000	626.6	482.2	1
61	278000	626.5	482.3	1
62	282000	626.3	482.3	1
63	286000	626.2	482.9	1
64	302000	626.2	482.8	1
65	306000	626.1	482.8	1
66	310000	626.4	482.6	1
67	314000	626.8	482.6	1
68	318000	627.3	482.5	1
69	322000	627.8	482.6	1
70	326000	628.2	482.5	1
71	334000	628.7	482.2	1
72	338000	628.9	482.6	1
73	342000	628.8	483.1	1
74	346000	628.9	484.0	1
75	350000	629.1	484.1	1
76	354000	629.4	483.7	1
77	367000	629.5	483.3	1
78	371000	629.5	482.9	1
79	375000	629.6	482.4	1
80	379000	629.6	482.4	1
81	383000	629.7	482.4	1
82	387000	629.4	482.6	1
83	391000	629.8	482.5	1
84	401000	630.4	485.6	1
85	405000	631.6	489.0	1
86	409000	638.0	493.0	1
87	413000	658.3	509.8	1
88	417000	684.2	527.8	1
89	421000	710.6	532.6	1
90	425000	717.1	534.7	1
91	429000	715.4	531.7	1
92	433000	713.5	528.6	1
93	437000	713.7	526.3	1
94	438000	714.0	525.6	1
95	440000	715.2	526.6	1
96	444000	717.4	527.6	1
97	448000	718.4	528.3	1
98	452000	718.8	529.0	1
99	469000	719.2	529.5	1
100	473000	719.6	529.5	1
101	477000	719.6	529.5	1
102	481000	719.7	529.3	1
103	485000	719.8	529.2	1
104	500000	719.8	528.9	1
105	504000	719.8	528.9	1
106	508000	719.7	528.9	1
107	512000	719.7	529.0	1
108	516000	719.5	529.4	1
109	520000	719.6	529.7	1
110	524000	719.7	529.9	1
111	534000	720.1	529.8	1
112	538000	720.5	529.8	1
113	542000	721.2	529.9	1
114	546000	720.9	529.7	1
115	550000	720.8	529.7	1
116	554000	720.8	529.7	1
117	568000	720.8	529.5	1
118	572000	720.6	529.3	1
119	576000	720.5	529.3	1
120	580000	720.4	529.3	1
121	584000	720.7	528.4	1
122	588000	720.9	527.6	1
123	602000	721.0	527.3	1
124	606000	721.4	527.0	1
125	610000	721.8	526.3	1
126	614000	721.8	525.7	1
127	618000	721.9	525.2	1
128	622000	721.8	524.8	1
129	626000	721.9	524.5	1
130	630000	722.0	524.1	1
131	634000	722.3	523.7	1
132	638000	722.8	523.2	1
133	639000	723.3	523.1	1
134	641000	724.5	522.9	1
135	645000	724.6	522.4	1
136	649000	724.6	521.9	1
137	653000	724.5	521.6	1
138	657000	724.4	521.6	1
139	668000	724.1	521.6	1
140	672000	724.2	521.4	1
141	676000	724.1	521.3	1
142	680000	724.0	521.2	1
143	684000	724.1	521.2	1
144	688000	724.1	521.2	1
145	692000	724.3	521.0	1
146	696000	724.4	520.9	1
147	700000	724.3	520.7	1
148	704000	724.5	520.8	1
149	708000	724.4	520.7	1
150	712000	724.2	520.7	1
151	716000	723.9	520.7	1
152	720000	723.7	520.7	1
153	724000	723.4	520.6	1
154	728000	723.7	520.5	1
155	732000	723.8	520.3	1
156	737000	723.9	520.3	1
157	741000	724.6	520.3	1
158	745000	724.8	520.3	1
159	749000	725.0	520.3	1
160	753000	725.3	520.2	1
161	757000	725.5	520.0	1
162	761000	725.5	519.9	1
163	765000	725.6	519.6	1
164	768000	725.6	519.5	1
165	772000	725.5	519.3	1
166	776000	725.6	518.8	1
167	780000	725.5	518.8	1
168	784000	725.4	518.5	1
169	788000	725.3	518.2	1
170	792000	725.3	518.1	1
171	796000	725.2	518.0	1
172	800000	725.3	517.9	1
173	804000	725.4	517.9	1
174	808000	725.8	517.9	1
175	812000	726.1	517.4	1
176	816000	726.3	517.4	1
177	820000	727.0	517.3	1
178	824000	727.0	516.0	1
179	828000	726.8	514.7	1
180	832000	726.9	514.7	1
181	837000	727.2	514.6	1
182	841000	727.7	514.7	1
183	845000	727.8	514.8	1
184	849000	729.5	514.5	1
185	853000	730.0	514.2	1
186	857000	730.0	513.9	1
187	861000	732.7	513.7	1
188	865000	735.4	514.3	1
189	868000	740.8	514.9	1
190	872000	769.1	518.5	1
191	876000	804.6	526.0	1
192	880000	840.1	540.1	1
193	884000	857.8	546.9	1
194	888000	875.5	553.4	1
195	892000	890.3	557.0	1
196	896000	892.2	559.0	1
197	900000	892.7	559.5	1
198	904000	893.0	559.5	1
199	908000	894.6	559.5	1
200	912000	897.9	559.3	1
201	916000	899.1	559.3	1
202	920000	899.7	560.2	1
203	924000	899.9	560.8	1
204	928000	900.9	560.7	1
205	932000	901.0	560.7	1
206	936000	901.7	560.5	1
207	940000	901.8	560.4	1
208	944000	901.9	560.3	1
209	948000	902.7	560.2	1
210	952000	903.5	560.0	0
211	956000	903.5	559.9	0
212	960000	894.1	540.5	0
213	964000	893.8	540.8	0
214	968000	894.0	541.4	1
215	972000	894.3	541.5	1
216	976000	894.2	541.6	1
217	980000	894.7	541.5	1
218	984000	895.1	541.4	1
219	988000	895.1	540.9	1
220	992000	894.9	540.4	1
221	996000	895.1	540.7	1
222	1000000	895.3	540.6	1
223	1004000	895.8	540.5	1
224	1008000	895.9	540.1	1
225	1012000	896.1	539.8	1
226	1016000	896.2	539.6	1
227	1020000	896.4	539.5	1
228	1024000	896.3	539.4	1
229	1028000	896.2	539.4	1
230	1032000	896.2	539.4	1
231	1036000	896.2	539.3	1
232	1040000	896.2	539.3	1
233	1044000	896.3	539.2	1
234	1048000	896.4	539.2	1
235	1052000	896.6	539.3	1
236	1056000	896.9	539.3	1
237	1060000	897.7	539.4	1
238	1064000	898.2	539.7	1
