Index	Time	X_coord	Y_coord	Confidence
1	2000	380.7	244.5	1
2	6000	380.4	244.8	1
3	10000	380.3	245.2	1
4	14000	380.3	244.8	1
5	18000	380.3	244.6	1
6	22000	380.8	244.5	1
7	26000	381.1	245.3	1
8	30000	381.1	246.1	1
9	34000	381.3	245.9	1
10	35000	381.5	246.3	1
11	37000	381.6	246.7	1
12	41000	381.6	246.7	1
13	45000	381.6	246.9	1
14	49000	381.7	247.1	1
15	53000	381.8	247.5	1
16	57000	381.8	247.8	1
17	70000	381.9	248.0	1
18	74000	391.6	248.7	1
19	78000	411.1	246.6	1
20	82000	435.1	244.6	1
21	86000	451.4	239.7	1
22	100000	451.6	237.3	1
23	104000	450.2	236.8	1
24	108000	449.0	237.4	1
25	112000	439.5	237.5	1
26	116000	439.6	241.0	1
27	120000	439.8	240.5	1
28	124000	440.0	240.7	1
29	128000	443.5	241.1	1
30	136000	443.9	242.1	1
31	140000	446.2	243.4	1
32	144000	446.3	243.5	1
33	148000	447.3	245.5	1
34	152000	448.1	245.1	1
35	156000	448.5	245.2	1
36	166000	448.6	244.5	1
37	170000	448.7	243.9	1
38	174000	448.7	243.8	1
39	178000	448.7	243.7	1
40	182000	449.6	242.1	1
41	186000	449.7	241.5	1
42	190000	449.4	241.3	1
43	194000	450.0	241.2	1
44	203000	450.6	240.3	1
45	207000	450.7	240.8	1
46	211000	450.6	240.6	1
47	215000	450.7	240.8	1
48	219000	450.8	239.9	1
49	223000	450.1	240.7	1
50	227000	450.3	240.6	1
51	231000	450.4	240.5	1
52	235000	450.5	240.5	1
53	236000	450.5	240.5	1
54	237000	451.1	240.3	1
55	241000	451.3	240.6	1
56	245000	450.9	240.9	1
57	249000	450.8	240.1	1
58	253000	450.9	240.2	1
59	268000	451.0	240.1	1
60	272000	451.2	240.1	1
61	276000	451.4	239.7	1
62	280000	451.3	239.5	1
63	284000	451.3	240.4	1
64	288000	451.0	240.5	1
65	303000	450.7	240.5	1
66	307000	450.5	240.5	1
67	311000	450.9	240.4	1
68	315000	451.3	240.4	1
69	319000	451.7	239.7	1
70	323000	452.2	239.6	1
71	327000	452.3	239.4	1
72	336000	451.8	239.1	1
73	340000	451.7	238.8	1
74	344000	451.8	238.7	1
75	348000	451.5	238.8	1
76	352000	451.9	238.9	1
77	356000	452.1	239.2	1
78	369000	452.1	238.4	1
79	373000	452.1	237.6	1
80	377000	452.3	236.8	1
81	381000	452.2	235.9	1
82	385000	452.2	234.5	1
83	389000	452.5	235.3	1
84	393000	452.8	236.0	1
85	403000	453.9	237.6	1
86	407000	455.0	239.4	1
87	411000	466.1	253.5	1
88	415000	492.8	288.3	1
89	419000	525.9	329.5	1
90	423000	560.1	384.7	1
91	427000	589.3	435.6	1
92	431000	595.9	483.3	1
93	435000	596.4	484.5	1
94	436000	589.2	480.8	1
95	439000	582.0	477.1	1
96	443000	580.7	452.5	1
97	447000	581.1	443.1	1
98	451000	582.3	446.2	1
99	467000	585.0	449.2	1
100	471000	590.6	457.9	1
101	475000	597.1	471.5	1
102	479000	601.2	492.5	1
103	483000	603.8	502.5	1
104	487000	605.8	500.3	1
105	503000	605.6	498.3	1
106	507000	605.3	493.1	1
107	511000	605.0	491.2	1
108	515000	601.9	487.7	1
109	519000	600.3	485.9	1
110	523000	598.7	483.9	1
111	533000	598.9	484.1	1
112	537000	599.0	484.0	1
113	541000	599.1	484.4	1
114	545000	599.1	484.6	1
115	549000	599.2	485.2	1
116	553000	599.3	485.3	1
117	568000	600.5	485.4	1
118	572000	601.6	485.4	1
119	576000	601.8	487.0	1
120	580000	602.1	487.7	1
121	584000	602.0	488.5	1
122	588000	601.9	489.2	1
123	601000	601.9	489.4	1
124	605000	601.7	489.6	1
125	609000	601.8	490.6	1
126	613000	601.7	490.9	1
127	617000	601.7	491.2	1
128	621000	601.7	492.6	1
129	625000	601.7	492.5	1
130	629000	601.9	492.6	1
131	633000	602.2	492.5	1
132	637000	602.3	492.6	1
133	638000	602.4	492.6	1
134	640000	602.5	492.8	1
135	644000	602.8	493.1	1
136	648000	603.2	493.1	1
137	652000	603.9	492.1	1
138	656000	604.4	491.6	1
139	660000	605.0	491.0	1
140	670000	605.1	491.2	1
141	674000	605.3	491.3	1
142	678000	605.4	492.5	1
143	682000	605.4	492.6	1
144	686000	605.6	492.6	1
145	690000	605.9	492.6	1
146	694000	606.2	492.5	1
147	698000	606.7	492.7	1
148	701000	606.6	492.8	1
149	705000	606.6	493.2	1
150	709000	606.3	493.4	1
151	713000	605.8	493.6	1
152	717000	607.0	493.3	1
153	721000	608.3	494.6	1
154	725000	610.8	495.8	1
155	729000	618.0	496.8	1
156	733000	646.3	496.5	1
157	737000	681.8	511.5	1
158	741000	716.0	524.4	1
159	745000	721.6	525.9	1
160	749000	722.1	525.9	1
161	753000	713.2	525.0	1
162	757000	703.7	512.9	1
163	761000	695.5	508.0	1
164	765000	692.1	508.7	1
165	769000	693.5	509.7	1
166	773000	695.0	512.1	1
167	777000	703.5	515.5	1
168	781000	706.0	518.4	1
169	785000	708.8	519.9	1
170	789000	709.4	522.4	1
171	793000	710.2	524.9	1
172	797000	710.4	525.5	1
173	801000	710.7	526.0	1
174	805000	711.2	526.5	1
175	809000	711.1	526.6	1
176	813000	711.0	526.7	1
177	817000	711.0	526.7	1
178	821000	710.7	526.8	1
179	825000	710.9	526.9	1
180	829000	710.8	526.9	1
181	833000	710.7	527.4	1
182	838000	710.6	527.1	1
183	842000	710.5	527.2	1
184	846000	710.2	527.1	1
185	850000	710.0	527.0	1
186	854000	710.1	526.8	1
187	858000	710.2	526.9	1
188	862000	710.6	527.2	1
189	866000	710.6	527.4	1
190	869000	710.5	527.5	1
191	873000	710.4	527.7	1
192	877000	709.9	527.9	1
193	881000	709.7	528.0	1
194	885000	709.4	528.1	1
195	889000	709.7	528.5	1
196	893000	709.6	528.8	1
197	897000	709.4	529.7	1
198	901000	709.8	530.5	1
199	905000	709.8	531.8	1
200	909000	709.8	532.3	1
201	913000	709.8	533.9	1
202	917000	709.8	534.0	1
203	921000	709.9	534.0	1
204	925000	710.5	535.2	1
205	929000	710.6	535.3	1
206	933000	710.7	535.2	1
207	937000	710.7	535.0	1
208	941000	710.5	534.6	1
209	945000	710.9	534.3	1
210	949000	711.2	534.1	1
211	953000	711.3	533.9	1
212	957000	711.4	533.4	1
213	961000	712.0	532.9	1
214	965000	712.6	532.1	1
215	969000	712.9	532.5	1
216	973000	712.9	532.9	1
217	977000	712.8	532.6	1
218	981000	712.6	532.4	1
219	985000	712.4	532.1	1
220	989000	712.4	531.8	1
221	993000	712.0	531.6	1
222	997000	711.6	531.5	1
223	1001000	711.4	532.4	1
224	1005000	711.5	533.4	1
225	1009000	711.5	535.7	1
226	1013000	711.6	536.0	1
227	1017000	711.7	536.1	1
228	1021000	711.8	536.1	1
229	1025000	712.4	535.9	1
230	1029000	712.5	535.6	1
231	1033000	712.6	535.3	1
232	1037000	713.4	535.3	1
233	1041000	714.2	535.2	1
234	1045000	714.1	535.0	1
235	1049000	714.0	534.7	1
236	1053000	713.9	534.6	1
237	1057000	713.8	534.7	1
238	1061000	713.4	534.8	1
239	1065000	712.9	535.5	1
240	1069000	712.9	535.7	1
241	1073000	712.8	536.6	1
242	1077000	712.7	535.9	1
243	1081000	712.7	535.2	1
244	1085000	712.7	534.8	1
245	1089000	712.8	534.3	1
246	1093000	712.8	533.2	1
247	1097000	712.7	532.6	1
248	1102000	712.8	532.1	1
249	1106000	712.9	531.1	1
250	1110000	713.0	530.8	1
251	1114000	712.9	530.5	1
252	1118000	712.8	530.5	1
253	1122000	712.3	530.5	1
254	1126000	711.9	531.1	1
255	1130000	711.7	536.2	1
256	1134000	708.7	535.8	1
257	1137000	706.9	535.4	1
258	1141000	705.9	535.1	1
259	1145000	715.6	535.7	0
260	1149000	725.2	534.4	0
261	1153000	764.1	530.5	0
262	1157000	824.3	511.4	0
263	1161000	899.4	512.7	0
264	1165000	939.1	512.8	0
265	1169000	958.9	512.5	0
266	1173000	978.7	512.2	0
267	1177000	981.6	509.6	0
268	1181000	978.6	506.9	0
269	1185000	975.5	501.7	0
270	1189000	968.6	497.2	0
271	1193000	965.0	492.3	0
272	1197000	960.4	490.9	0
273	1201000	954.0	490.3	0
274	1205000	948.3	492.3	0
275	1209000	945.2	494.4	0
276	1213000	941.5	499.2	0
277	1217000	938.4	503.2	0
278	1221000	936.4	502.9	0
279	1225000	936.8	502.3	0
280	1229000	937.2	501.8	0
281	1233000	938.2	500.7	0
282	1237000	877.3	510.8	0
283	1241000	875.2	511.7	0
284	1245000	871.2	513.9	0
285	1249000	863.1	520.9	0
286	1253000	859.3	524.4	0
287	1257000	854.9	530.2	0
288	1261000	854.7	533.8	0
289	1265000	855.0	537.8	0
290	1269000	855.5	543.9	0
291	1273000	855.6	545.2	0
292	1277000	855.8	547.5	0
293	1281000	857.2	552.1	0
294	1285000	858.7	556.7	0
295	1289000	860.4	560.3	0
296	1293000	861.5	562.0	0
