% Handlabelling data is arranged in 3 columns: handlabeller1 and handlabeller2 indicate the first two experts, handlabeller_final column contains the final, tie-breaking labels.
% Labels in these columns are to be interpreted as follows:
%   - 0 is UNKNOWN
%   - 1 is FIX (fixation)
%   - 2 is SACCADE
%   - 3 is SP (smooth pursuit)
%   - 4 is NOISE
% 
%@METADATA width_px 1280.0
%@METADATA height_px 720.0
%@METADATA width_mm 400.0
%@METADATA height_mm 225.0
%@METADATA distance_mm 450.0
@RELATION gaze_labels

@ATTRIBUTE time INTEGER
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE confidence NUMERIC
@ATTRIBUTE handlabeller1 INTEGER
@ATTRIBUTE handlabeller2 INTEGER
@ATTRIBUTE handlabeller_final INTEGER

@DATA
3000,568.4,199.7,1.0,1,0,1
7000,568.6,199.8,1.0,1,1,1
11000,568.7,199.9,1.0,1,1,1
15000,568.9,200.2,1.0,1,1,1
19000,569.6,200.6,1.0,1,1,1
23000,569.5,200.7,1.0,1,1,1
27000,569.4,200.6,1.0,1,1,1
31000,569.5,201.0,1.0,1,1,1
35000,569.7,201.1,1.0,1,1,1
36000,570.4,201.3,1.0,1,1,1
37000,570.6,201.4,1.0,1,1,1
41000,570.8,201.4,1.0,1,1,1
45000,570.9,202.2,1.0,1,1,1
49000,570.7,203.0,1.0,1,1,1
53000,570.6,203.0,1.0,1,1,1
66000,570.4,202.4,1.0,1,1,1
70000,570.2,201.8,1.0,1,1,1
74000,570.2,201.6,1.0,1,1,1
78000,570.1,201.3,1.0,1,1,1
82000,570.2,201.4,1.0,1,1,1
86000,570.3,201.6,1.0,1,1,1
90000,570.8,202.0,1.0,1,1,1
104000,571.4,203.0,1.0,1,1,1
108000,571.1,203.3,1.0,1,1,1
112000,571.0,203.4,1.0,1,1,1
116000,571.0,203.3,1.0,1,1,1
120000,570.9,203.2,1.0,1,1,1
124000,570.9,202.5,1.0,1,1,1
128000,570.7,201.8,1.0,1,1,1
136000,570.6,202.1,1.0,1,1,1
140000,570.9,201.9,1.0,1,1,1
144000,571.2,202.1,1.0,1,1,1
148000,571.0,201.8,1.0,1,1,1
152000,570.8,201.9,1.0,1,1,1
156000,570.5,202.1,1.0,1,1,1
160000,571.1,201.2,1.0,1,1,1
169000,570.4,200.8,1.0,1,1,1
173000,569.8,200.7,1.0,1,1,1
177000,569.7,200.7,1.0,1,1,1
181000,569.5,201.0,1.0,1,1,1
185000,570.1,200.6,1.0,1,1,1
189000,569.5,200.8,1.0,1,1,1
193000,568.9,201.1,1.0,1,1,1
203000,568.1,201.1,1.0,1,1,1
207000,567.7,200.8,1.0,1,1,1
211000,567.6,201.0,1.0,1,1,1
215000,567.5,200.7,1.0,1,1,1
219000,567.1,200.4,1.0,1,1,1
223000,566.9,200.5,1.0,1,1,1
227000,566.8,199.9,1.0,1,1,1
231000,566.4,200.0,1.0,1,1,1
235000,566.4,200.0,1.0,1,1,1
236000,566.4,199.9,1.0,1,1,1
237000,565.2,199.7,1.0,1,1,1
241000,564.9,198.9,1.0,1,1,1
245000,564.8,198.9,1.0,1,1,1
249000,564.9,198.9,1.0,1,1,1
253000,564.7,198.4,1.0,1,1,1
267000,564.7,198.5,1.0,1,1,1
271000,564.8,198.6,1.0,1,1,1
275000,564.3,198.9,1.0,1,1,1
279000,564.1,199.0,1.0,1,1,1
283000,564.0,199.1,1.0,1,1,1
287000,566.2,199.0,1.0,1,1,1
303000,568.3,199.7,1.0,1,1,1
307000,576.9,201.2,1.0,2,2,2
311000,596.9,205.0,1.0,2,2,2
315000,614.3,229.5,1.0,2,2,2
319000,634.5,252.5,1.0,2,2,2
323000,640.6,263.4,1.0,2,2,2
327000,643.2,278.5,1.0,2,2,2
336000,646.1,280.5,1.0,2,2,2
340000,647.8,294.9,1.0,1,1,1
344000,648.5,297.1,1.0,1,1,1
348000,649.3,299.5,1.0,1,1,1
352000,650.3,304.4,1.0,1,1,1
356000,654.3,305.9,1.0,1,1,1
368000,654.7,306.0,1.0,1,1,1
372000,655.5,306.1,1.0,1,1,1
376000,656.4,307.3,1.0,1,1,1
380000,656.5,308.3,1.0,1,1,1
384000,656.2,311.3,1.0,1,1,1
388000,656.0,314.3,1.0,1,1,1
392000,655.8,318.2,1.0,1,1,1
402000,656.0,319.3,1.0,1,1,1
406000,656.0,320.4,1.0,1,1,1
410000,656.1,318.9,1.0,1,1,1
414000,655.4,319.5,1.0,1,1,1
418000,654.8,320.1,1.0,1,1,1
422000,655.0,319.5,1.0,1,1,1
426000,655.2,319.7,1.0,1,1,1
430000,655.2,320.0,1.0,1,1,1
434000,655.1,320.9,1.0,1,1,1
435000,655.0,321.1,1.0,1,1,1
438000,654.8,321.3,1.0,1,1,1
442000,654.7,323.6,1.0,1,1,1
446000,653.8,323.4,1.0,1,1,1
450000,653.9,323.3,1.0,1,1,1
454000,654.0,324.5,1.0,1,1,1
470000,653.8,325.6,1.0,1,1,1
474000,653.5,328.5,1.0,2,2,2
478000,652.7,340.5,1.0,2,2,2
482000,646.5,346.2,1.0,2,2,2
486000,634.8,367.0,1.0,2,2,2
502000,634.6,391.9,1.0,2,2,2
506000,634.6,396.7,1.0,2,2,2
510000,634.6,397.4,1.0,2,2,2
514000,634.4,397.5,1.0,1,1,1
518000,634.1,397.4,1.0,1,1,1
522000,632.5,397.1,1.0,1,1,1
526000,632.4,395.1,1.0,1,1,1
535000,632.1,396.5,1.0,1,1,1
