Index	Time	X_coord	Y_coord	Confidence
1	4000	640.2	213.8	1
2	8000	641.1	213.7	1
3	12000	641.0	214.0	1
4	16000	640.8	214.3	1
5	20000	640.7	213.9	1
6	24000	640.8	213.5	1
7	28000	640.8	213.6	1
8	32000	641.1	213.6	1
9	34000	641.4	213.4	1
10	38000	642.1	213.3	1
11	42000	641.9	212.3	1
12	46000	641.7	212.4	1
13	50000	641.3	212.4	1
14	54000	641.3	212.8	1
15	67000	641.3	212.9	1
16	71000	641.0	213.0	1
17	75000	640.9	212.9	1
18	79000	640.8	213.1	1
19	83000	640.4	213.2	1
20	87000	640.0	213.3	1
21	91000	639.2	213.5	1
22	104000	639.6	213.7	1
23	108000	639.9	213.1	1
24	112000	639.8	213.8	1
25	116000	639.7	213.8	1
26	120000	639.7	213.7	1
27	124000	639.7	213.5	1
28	128000	640.1	213.6	1
29	133000	640.3	213.5	1
30	137000	640.3	213.5	1
31	141000	640.4	213.5	1
32	145000	641.0	213.3	1
33	149000	641.7	213.1	1
34	153000	641.5	212.6	1
35	157000	641.4	212.5	1
36	169000	641.1	212.4	1
37	173000	640.8	211.9	1
38	177000	640.2	212.0	1
39	181000	639.9	212.1	1
40	185000	640.0	212.1	1
41	189000	639.7	212.1	1
42	193000	639.9	212.1	1
43	201000	640.0	212.1	1
44	205000	640.1	212.1	1
45	209000	639.8	212.0	1
46	213000	639.4	211.2	1
47	217000	639.6	211.0	1
48	221000	639.7	211.2	1
49	225000	639.9	211.4	1
50	229000	640.1	212.0	1
51	233000	640.7	213.0	1
52	237000	641.3	213.1	1
53	238000	641.0	212.8	1
54	239000	640.8	212.6	1
55	243000	640.7	212.5	1
56	247000	640.9	213.5	1
57	251000	641.1	214.5	1
58	255000	640.9	215.4	1
59	269000	640.8	216.4	1
60	273000	641.3	231.9	1
61	277000	642.0	247.4	1
62	281000	640.7	285.1	1
63	285000	642.2	331.0	1
64	300000	645.1	362.9	1
65	304000	648.2	396.4	1
66	308000	652.7	416.5	1
67	312000	654.6	430.2	1
68	316000	656.2	445.7	1
69	320000	655.7	446.1	1
70	324000	655.1	446.2	1
71	333000	653.6	446.3	1
72	337000	653.6	454.1	1
73	341000	653.1	456.7	1
74	345000	653.2	459.2	1
75	349000	653.3	460.9	1
76	353000	651.6	460.8	1
77	357000	651.7	460.7	1
78	369000	651.8	462.5	1
79	373000	651.7	462.7	1
80	377000	651.5	463.6	1
81	381000	651.4	463.0	1
82	385000	651.4	462.4	1
83	389000	651.1	462.4	1
84	393000	650.8	462.4	1
85	402000	650.8	462.6	1
86	406000	651.0	463.7	1
87	410000	651.2	463.8	1
88	414000	651.0	463.8	1
89	418000	650.9	466.3	1
90	422000	650.9	466.4	1
91	426000	650.8	466.3	1
92	430000	649.9	466.1	1
93	434000	649.8	466.3	1
94	435000	649.6	465.9	1
95	438000	649.5	466.2	1
96	442000	649.4	466.6	1
97	446000	649.6	466.8	1
98	450000	649.5	466.6	1
99	454000	649.5	466.3	1
100	470000	649.5	466.4	1
101	474000	649.3	466.3	1
102	478000	649.1	466.3	1
103	482000	649.0	466.7	1
104	486000	648.9	467.1	1
105	501000	648.2	467.0	1
106	505000	647.9	467.4	1
107	509000	648.2	467.8	1
108	513000	648.5	467.4	1
109	517000	648.6	467.7	1
110	521000	648.7	467.5	1
111	525000	648.8	467.5	1
112	535000	648.9	467.6	1
113	539000	648.6	467.4	1
114	543000	648.5	467.5	1
115	547000	648.4	467.5	1
116	551000	648.5	468.2	1
117	555000	648.6	468.6	1
118	570000	648.8	468.9	1
119	574000	649.0	469.1	1
120	578000	649.4	470.1	1
121	582000	649.7	471.0	1
122	586000	651.9	473.3	1
123	590000	668.9	493.4	1
124	603000	690.7	501.0	1
125	607000	714.4	523.8	1
126	611000	732.9	536.7	1
127	615000	732.5	542.6	1
128	619000	732.1	548.6	1
129	623000	732.7	550.2	1
130	627000	733.2	550.6	1
131	631000	734.6	550.9	1
132	635000	735.6	552.6	1
133	636000	735.8	552.8	1
134	639000	735.7	553.0	1
135	643000	735.6	554.2	1
136	647000	734.9	554.6	1
137	651000	734.8	554.9	1
138	655000	734.4	555.1	1
139	670000	734.2	555.2	1
140	674000	734.1	555.1	1
141	678000	734.1	555.3	1
142	682000	734.1	555.5	1
143	686000	734.0	555.9	1
144	690000	733.5	556.4	1
145	694000	733.6	556.6	1
146	698000	733.6	556.6	1
147	702000	733.9	556.5	1
148	706000	733.5	556.4	1
149	710000	733.1	556.9	1
150	714000	732.9	557.3	1
151	718000	732.7	557.4	1
152	722000	732.6	557.4	1
153	726000	732.6	557.1	1
154	730000	732.1	557.0	1
155	734000	731.7	557.1	1
156	738000	731.4	557.1	1
157	742000	731.2	557.2	1
158	746000	731.0	557.3	1
159	750000	730.7	557.2	1
160	754000	730.3	558.2	1
161	758000	729.7	557.7	1
162	762000	729.7	558.4	1
163	767000	729.8	558.8	1
164	771000	729.6	559.0	1
165	775000	729.4	557.9	1
166	779000	729.4	558.7	1
167	783000	729.5	559.5	1
168	787000	728.4	560.3	1
169	791000	727.3	561.2	1
170	795000	720.3	564.1	1
171	799000	709.0	564.9	1
172	802000	702.6	565.5	1
173	806000	702.4	566.1	1
174	810000	703.3	565.8	1
175	814000	703.1	565.5	1
176	818000	703.0	565.0	1
177	822000	701.9	564.7	1
178	826000	701.5	564.4	1
179	830000	701.2	564.2	1
180	835000	701.1	563.7	1
181	839000	701.1	563.7	1
182	843000	701.0	563.6	1
183	847000	700.9	563.6	1
184	851000	700.8	563.6	1
185	855000	700.3	563.1	1
186	859000	700.4	563.6	1
187	863000	700.3	562.9	1
188	867000	700.1	562.1	1
189	870000	700.4	562.4	1
190	874000	700.1	562.4	1
191	878000	700.2	562.4	1
192	882000	700.3	562.4	1
193	886000	700.2	562.4	1
194	890000	700.2	562.3	1
195	894000	700.2	562.3	1
196	898000	700.2	562.3	1
197	902000	700.2	562.4	1
