% Handlabelling data is arranged in 3 columns: handlabeller1 and handlabeller2 indicate the first two experts, handlabeller_final column contains the final, tie-breaking labels.
% Labels in these columns are to be interpreted as follows:
%   - 0 is UNKNOWN
%   - 1 is FIX (fixation)
%   - 2 is SACCADE
%   - 3 is SP (smooth pursuit)
%   - 4 is NOISE
% 
%@METADATA width_px 1280.0
%@METADATA height_px 720.0
%@METADATA width_mm 400.0
%@METADATA height_mm 225.0
%@METADATA distance_mm 450.0
@RELATION gaze_labels

@ATTRIBUTE time INTEGER
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE confidence NUMERIC
@ATTRIBUTE handlabeller1 INTEGER
@ATTRIBUTE handlabeller2 INTEGER
@ATTRIBUTE handlabeller_final INTEGER

@DATA
1000,531.1,233.8,1.0,1,1,1
4000,531.4,232.2,1.0,1,1,1
8000,531.1,233.0,1.0,1,1,1
12000,531.0,233.0,1.0,1,1,1
16000,530.8,232.7,1.0,1,1,1
20000,531.6,232.3,1.0,1,1,1
24000,532.3,231.6,1.0,1,1,1
28000,534.2,233.0,1.0,2,2,2
32000,551.0,232.6,1.0,2,2,2
36000,577.8,231.8,1.0,2,2,2
40000,591.3,231.2,1.0,2,2,2
41000,604.7,230.6,1.0,2,2,2
42000,605.8,231.4,1.0,2,2,2
45000,606.2,232.3,1.0,2,2,2
49000,605.7,232.9,1.0,2,2,2
53000,605.3,233.5,1.0,1,1,1
67000,604.6,234.4,1.0,1,1,1
71000,604.5,235.1,1.0,1,1,1
75000,604.6,236.5,1.0,1,1,1
79000,604.5,237.6,1.0,1,1,1
83000,604.4,238.2,1.0,1,1,1
87000,604.3,238.4,1.0,1,1,1
102000,604.2,238.4,1.0,1,1,1
106000,603.7,238.7,1.0,1,1,1
110000,603.6,238.8,1.0,1,1,1
114000,603.5,238.9,1.0,1,1,1
118000,603.3,239.3,1.0,1,1,1
122000,603.0,239.4,1.0,1,1,1
126000,602.6,239.6,1.0,1,1,1
134000,602.4,239.6,1.0,1,1,1
138000,602.3,239.7,1.0,1,1,1
142000,602.1,239.2,1.0,1,1,1
146000,602.1,239.3,1.0,1,1,1
150000,601.8,239.5,1.0,1,1,1
154000,601.8,239.6,1.0,1,1,1
158000,602.0,239.5,1.0,1,1,1
167000,602.2,239.5,1.0,1,1,1
171000,602.3,240.9,1.0,1,1,1
175000,602.2,240.9,1.0,1,1,1
179000,602.2,240.9,1.0,1,1,1
183000,602.2,240.8,1.0,1,1,1
187000,601.7,240.9,1.0,1,1,1
191000,601.7,240.6,1.0,1,1,1
202000,601.7,240.5,1.0,1,1,1
206000,601.6,240.5,1.0,1,1,1
210000,601.5,240.5,1.0,1,1,1
214000,601.6,240.5,1.0,2,1,1
218000,601.7,240.6,1.0,2,1,1
222000,601.9,276.5,1.0,2,2,2
226000,602.1,277.8,1.0,2,2,2
230000,601.9,280.6,1.0,2,2,2
234000,603.9,293.5,1.0,2,2,2
238000,608.0,330.5,1.0,2,2,2
239000,612.3,354.9,1.0,2,2,2
240000,616.7,389.0,1.0,2,2,2
244000,626.0,415.6,1.0,2,2,2
248000,628.2,427.6,1.0,2,2,2
252000,629.1,432.9,1.0,2,2,2
256000,629.4,434.8,1.0,2,2,2
260000,629.5,435.7,1.0,2,2,2
266000,629.6,436.7,1.0,1,1,2
270000,631.7,445.4,1.0,1,1,2
274000,631.2,443.8,1.0,1,1,1
