Index	Time	X_coord	Y_coord	Confidence
1	3000	615.9	242.6	1
2	7000	616.0	242.5	1
3	11000	616.1	242.1	1
4	15000	615.9	241.9	1
5	19000	616.0	242.0	1
6	23000	616.2	242.1	1
7	27000	616.2	241.8	1
8	31000	616.3	242.0	1
9	33000	615.9	242.3	1
10	37000	616.0	242.2	1
11	41000	616.0	242.2	1
12	45000	616.0	242.8	1
13	49000	615.8	243.0	1
14	53000	615.8	243.0	1
15	66000	616.0	243.6	1
16	70000	616.1	243.3	1
17	74000	616.0	243.5	1
18	78000	615.9	243.8	1
19	82000	616.2	243.0	1
20	86000	616.8	243.5	1
21	100000	616.6	243.7	1
22	104000	616.4	243.8	1
23	108000	616.3	243.8	1
24	112000	616.1	243.4	1
25	116000	616.4	242.9	1
26	120000	616.3	243.0	1
27	124000	616.1	242.7	1
28	128000	616.0	242.6	1
29	135000	616.0	242.5	1
30	139000	616.5	242.8	1
31	143000	616.9	242.6	1
32	147000	617.4	242.3	1
33	151000	617.9	242.3	1
34	155000	618.5	242.3	1
35	159000	619.2	242.4	1
36	169000	620.3	242.2	1
37	173000	619.9	241.9	1
38	177000	619.8	241.5	1
39	181000	619.9	241.7	1
40	185000	620.2	241.3	1
41	189000	620.3	244.4	1
42	193000	620.4	247.5	1
43	202000	619.8	254.3	1
44	206000	615.9	272.4	1
45	210000	605.9	303.8	1
46	214000	602.7	343.6	1
47	218000	598.0	369.8	1
48	222000	598.0	388.0	1
49	226000	590.8	406.2	1
50	230000	589.8	421.2	1
51	234000	591.6	433.7	1
52	238000	591.4	434.0	1
53	239000	591.3	433.5	1
54	240000	591.3	433.0	1
55	243000	589.5	423.6	1
56	247000	589.2	423.9	1
57	251000	589.8	424.1	1
58	255000	590.5	425.1	1
59	270000	592.7	428.6	1
60	274000	593.1	430.5	1
61	278000	593.5	432.3	1
62	282000	594.5	434.0	1
63	286000	595.0	435.2	1
64	301000	595.1	436.5	1
65	305000	595.4	437.5	1
66	309000	595.5	437.5	1
67	313000	596.0	437.5	1
68	317000	596.4	438.6	1
69	321000	596.8	439.1	1
70	325000	597.6	439.5	1
71	334000	597.6	439.9	1
72	338000	597.7	440.2	1
73	342000	597.7	441.6	1
74	346000	597.8	442.9	1
75	350000	597.5	442.6	1
76	354000	597.5	443.2	1
77	358000	597.5	443.8	1
78	369000	597.2	444.1	1
79	373000	597.5	444.2	1
80	377000	597.8	444.4	1
81	381000	597.9	444.5	1
82	385000	598.1	444.9	1
83	389000	598.1	445.3	1
84	393000	599.8	447.9	1
85	403000	601.1	448.7	1
86	407000	604.2	451.5	1
87	411000	627.3	472.1	1
88	415000	648.4	491.8	1
89	419000	663.7	495.3	1
90	423000	676.4	494.0	1
91	427000	679.6	494.4	1
92	431000	680.2	494.9	1
93	435000	680.2	495.2	1
94	436000	679.8	493.3	1
95	439000	678.3	491.8	1
96	443000	678.0	491.8	1
97	447000	678.2	491.7	1
98	451000	678.5	492.0	1
99	455000	681.4	491.2	1
100	471000	683.9	496.8	1
101	475000	684.8	499.9	1
102	479000	685.4	501.2	1
103	483000	686.4	500.9	1
104	487000	686.7	501.8	1
105	502000	687.0	502.7	1
106	506000	687.1	503.2	1
107	510000	687.2	503.8	1
108	514000	687.4	504.3	1
109	518000	687.6	504.9	1
110	522000	687.5	505.1	1
111	533000	687.5	505.2	1
112	537000	687.0	505.5	1
113	541000	687.2	506.0	1
114	545000	687.4	506.6	1
115	549000	687.8	508.1	1
116	553000	688.0	508.8	1
117	567000	688.3	509.5	1
118	571000	688.5	509.2	1
119	575000	688.4	509.2	1
120	579000	688.4	509.4	1
121	583000	688.3	509.6	1
122	587000	687.1	510.3	1
123	600000	687.2	510.3	1
124	604000	687.2	510.2	1
125	608000	687.3	510.1	1
126	612000	687.3	510.3	1
127	616000	688.3	509.7	1
128	620000	688.6	509.8	1
129	624000	688.6	510.0	1
130	628000	688.6	510.3	1
131	632000	688.8	510.4	1
132	636000	688.9	510.6	1
133	637000	689.3	510.3	1
134	640000	690.2	509.7	1
135	644000	690.0	509.8	1
136	648000	689.8	509.5	1
137	652000	689.4	509.3	1
138	656000	689.3	509.1	1
139	670000	689.4	509.1	1
140	674000	689.2	508.8	1
141	678000	689.2	508.5	1
142	682000	689.0	508.9	1
143	686000	688.9	508.0	1
144	690000	688.9	507.2	1
145	694000	689.2	506.3	1
146	698000	689.9	505.3	1
147	701000	688.5	497.3	0
148	705000	687.2	490.2	0
149	709000	686.5	486.7	0
150	713000	686.2	484.9	0
151	717000	685.8	483.2	0
152	721000	685.9	483.6	0
153	725000	683.3	485.0	0
154	729000	681.7	491.6	0
155	733000	685.5	537.2	0
156	737000	683.1	588.9	0
157	741000	682.9	617.9	0
158	745000	682.8	625.2	0
159	749000	682.7	632.4	0
160	753000	682.7	639.8	0
161	757000	682.5	647.0	0
162	761000	682.5	647.0	0
163	765000	0.0	0.0	0
164	769000	698.4	684.0	0
165	773000	698.4	683.9	0
166	777000	698.8	676.6	0
167	781000	699.2	669.3	0
168	785000	700.1	654.7	0
169	789000	701.8	625.9	0
170	793000	705.0	605.4	0
171	797000	706.2	583.0	0
172	801000	709.1	566.3	0
173	805000	709.1	547.3	0
174	809000	707.6	527.6	0
175	813000	708.8	511.9	0
176	817000	708.9	493.9	0
177	821000	708.9	485.7	0
178	825000	708.8	472.8	0
179	829000	707.0	462.1	0
180	834000	706.5	458.6	0
181	838000	705.8	454.4	0
