% Handlabelling data is arranged in 3 columns: handlabeller1 and handlabeller2 indicate the first two experts, handlabeller_final column contains the final, tie-breaking labels.
% Labels in these columns are to be interpreted as follows:
%   - 0 is UNKNOWN
%   - 1 is FIX (fixation)
%   - 2 is SACCADE
%   - 3 is SP (smooth pursuit)
%   - 4 is NOISE
% 
%@METADATA width_px 1280.0
%@METADATA height_px 720.0
%@METADATA width_mm 400.0
%@METADATA height_mm 225.0
%@METADATA distance_mm 450.0
@RELATION gaze_labels

@ATTRIBUTE time INTEGER
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE confidence NUMERIC
@ATTRIBUTE handlabeller1 INTEGER
@ATTRIBUTE handlabeller2 INTEGER
@ATTRIBUTE handlabeller_final INTEGER

@DATA
3000,615.9,242.6,1.0,1,0,1
7000,616.0,242.5,1.0,1,1,1
11000,616.1,242.1,1.0,1,1,1
15000,615.9,241.9,1.0,1,1,1
19000,616.0,242.0,1.0,1,1,1
23000,616.2,242.1,1.0,1,1,1
27000,616.2,241.8,1.0,1,1,1
31000,616.3,242.0,1.0,1,1,1
33000,615.9,242.3,1.0,1,1,1
37000,616.0,242.2,1.0,1,1,1
41000,616.0,242.2,1.0,1,1,1
45000,616.0,242.8,1.0,1,1,1
49000,615.8,243.0,1.0,1,1,1
53000,615.8,243.0,1.0,1,1,1
66000,616.0,243.6,1.0,1,1,1
70000,616.1,243.3,1.0,1,1,1
74000,616.0,243.5,1.0,1,1,1
78000,615.9,243.8,1.0,1,1,1
82000,616.2,243.0,1.0,1,1,1
86000,616.8,243.5,1.0,1,1,1
100000,616.6,243.7,1.0,1,1,1
104000,616.4,243.8,1.0,1,1,1
108000,616.3,243.8,1.0,1,1,1
112000,616.1,243.4,1.0,1,1,1
116000,616.4,242.9,1.0,1,1,1
120000,616.3,243.0,1.0,1,1,1
124000,616.1,242.7,1.0,1,1,1
128000,616.0,242.6,1.0,1,1,1
135000,616.0,242.5,1.0,1,1,1
139000,616.5,242.8,1.0,1,1,1
143000,616.9,242.6,1.0,1,1,1
147000,617.4,242.3,1.0,1,1,1
151000,617.9,242.3,1.0,1,1,1
155000,618.5,242.3,1.0,1,1,1
159000,619.2,242.4,1.0,1,1,1
169000,620.3,242.2,1.0,1,1,1
173000,619.9,241.9,1.0,1,1,1
177000,619.8,241.5,1.0,1,1,1
181000,619.9,241.7,1.0,1,1,1
185000,620.2,241.3,1.0,1,1,1
189000,620.3,244.4,1.0,2,2,2
193000,620.4,247.5,1.0,2,2,2
202000,619.8,254.3,1.0,2,2,2
206000,615.9,272.4,1.0,2,2,2
210000,605.9,303.8,1.0,2,2,2
214000,602.7,343.6,1.0,2,2,2
218000,598.0,369.8,1.0,2,2,2
222000,598.0,388.0,1.0,2,2,2
226000,590.8,406.2,1.0,2,2,2
230000,589.8,421.2,1.0,2,2,2
234000,591.6,433.7,1.0,2,2,2
238000,591.4,434.0,1.0,2,2,2
239000,591.3,433.5,1.0,1,1,1
240000,591.3,433.0,1.0,1,1,1
243000,589.5,423.6,1.0,1,1,1
247000,589.2,423.9,1.0,1,1,1
251000,589.8,424.1,1.0,1,1,1
255000,590.5,425.1,1.0,1,1,1
270000,592.7,428.6,1.0,1,1,1
274000,593.1,430.5,1.0,1,1,1
278000,593.5,432.3,1.0,1,1,1
282000,594.5,434.0,1.0,1,1,1
286000,595.0,435.2,1.0,1,1,1
301000,595.1,436.5,1.0,1,1,1
305000,595.4,437.5,1.0,1,1,1
309000,595.5,437.5,1.0,1,1,1
313000,596.0,437.5,1.0,1,1,1
317000,596.4,438.6,1.0,1,1,1
321000,596.8,439.1,1.0,1,1,1
325000,597.6,439.5,1.0,1,1,1
334000,597.6,439.9,1.0,1,1,1
338000,597.7,440.2,1.0,1,1,1
342000,597.7,441.6,1.0,1,1,1
346000,597.8,442.9,1.0,1,1,1
350000,597.5,442.6,1.0,1,1,1
354000,597.5,443.2,1.0,1,1,1
358000,597.5,443.8,1.0,1,1,1
369000,597.2,444.1,1.0,1,1,1
373000,597.5,444.2,1.0,1,1,1
377000,597.8,444.4,1.0,1,1,1
381000,597.9,444.5,1.0,1,1,1
385000,598.1,444.9,1.0,1,1,1
389000,598.1,445.3,1.0,1,1,1
393000,599.8,447.9,1.0,1,2,1
403000,601.1,448.7,1.0,1,2,2
407000,604.2,451.5,1.0,2,2,2
411000,627.3,472.1,1.0,2,2,2
415000,648.4,491.8,1.0,2,2,2
419000,663.7,495.3,1.0,2,2,2
423000,676.4,494.0,1.0,2,2,2
427000,679.6,494.4,1.0,2,2,2
431000,680.2,494.9,1.0,2,2,2
435000,680.2,495.2,1.0,1,1,1
436000,679.8,493.3,1.0,1,1,1
439000,678.3,491.8,1.0,1,1,1
443000,678.0,491.8,1.0,1,1,1
447000,678.2,491.7,1.0,1,1,1
451000,678.5,492.0,1.0,1,1,1
455000,681.4,491.2,1.0,1,1,1
471000,683.9,496.8,1.0,1,1,1
475000,684.8,499.9,1.0,1,1,1
479000,685.4,501.2,1.0,1,1,1
483000,686.4,500.9,1.0,1,1,1
487000,686.7,501.8,1.0,1,1,1
502000,687.0,502.7,1.0,1,1,1
506000,687.1,503.2,1.0,1,1,1
510000,687.2,503.8,1.0,1,1,1
514000,687.4,504.3,1.0,1,1,1
518000,687.6,504.9,1.0,1,1,1
522000,687.5,505.1,1.0,1,1,1
533000,687.5,505.2,1.0,1,1,1
537000,687.0,505.5,1.0,1,1,1
541000,687.2,506.0,1.0,1,1,1
545000,687.4,506.6,1.0,1,1,1
549000,687.8,508.1,1.0,1,1,1
553000,688.0,508.8,1.0,1,1,1
567000,688.3,509.5,1.0,1,1,1
571000,688.5,509.2,1.0,1,1,1
575000,688.4,509.2,1.0,1,1,1
579000,688.4,509.4,1.0,1,1,1
583000,688.3,509.6,1.0,1,1,1
587000,687.1,510.3,1.0,1,1,1
600000,687.2,510.3,1.0,1,1,1
604000,687.2,510.2,1.0,1,1,1
608000,687.3,510.1,1.0,1,1,1
612000,687.3,510.3,1.0,1,1,1
616000,688.3,509.7,1.0,1,1,1
620000,688.6,509.8,1.0,1,1,1
624000,688.6,510.0,1.0,1,1,1
628000,688.6,510.3,1.0,1,1,1
632000,688.8,510.4,1.0,1,1,1
636000,688.9,510.6,1.0,1,1,1
637000,689.3,510.3,1.0,1,1,1
640000,690.2,509.7,1.0,1,1,1
644000,690.0,509.8,1.0,1,1,1
648000,689.8,509.5,1.0,1,1,1
652000,689.4,509.3,1.0,1,1,1
656000,689.3,509.1,1.0,1,1,1
