% Handlabelling data is arranged in 3 columns: handlabeller1 and handlabeller2 indicate the first two experts, handlabeller_final column contains the final, tie-breaking labels.
% Labels in these columns are to be interpreted as follows:
%   - 0 is UNKNOWN
%   - 1 is FIX (fixation)
%   - 2 is SACCADE
%   - 3 is SP (smooth pursuit)
%   - 4 is NOISE
% 
%@METADATA width_px 1280.0
%@METADATA height_px 720.0
%@METADATA width_mm 400.0
%@METADATA height_mm 225.0
%@METADATA distance_mm 450.0
@RELATION gaze_labels

@ATTRIBUTE time INTEGER
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE confidence NUMERIC
@ATTRIBUTE handlabeller1 INTEGER
@ATTRIBUTE handlabeller2 INTEGER
@ATTRIBUTE handlabeller_final INTEGER

@DATA
1000,568.6,256.0,1.0,1,0,1
4000,568.8,256.0,1.0,1,1,1
8000,569.0,256.0,1.0,1,1,1
12000,569.6,256.0,1.0,1,1,1
16000,569.4,255.8,1.0,1,1,1
20000,569.8,255.7,1.0,1,1,1
24000,570.2,255.7,1.0,1,1,1
28000,570.1,255.4,1.0,1,1,1
32000,570.0,255.0,1.0,1,1,1
36000,570.1,255.2,1.0,1,1,1
37000,570.0,254.7,1.0,1,1,1
39000,570.0,254.5,1.0,1,1,1
43000,570.0,254.3,1.0,1,1,1
47000,570.0,254.2,1.0,1,1,1
51000,570.1,254.4,1.0,1,1,1
55000,570.1,254.5,1.0,1,1,1
69000,569.9,254.6,1.0,1,1,1
73000,569.7,254.5,1.0,1,1,1
77000,569.3,254.4,1.0,1,1,1
81000,569.1,254.1,1.0,1,1,1
85000,569.1,253.8,1.0,1,1,1
101000,569.0,253.6,1.0,1,1,1
105000,569.1,253.7,1.0,1,1,1
109000,569.0,253.5,1.0,1,1,1
113000,569.4,253.5,1.0,1,1,1
117000,569.3,253.2,1.0,1,1,1
121000,569.2,252.9,1.0,1,1,1
125000,569.5,252.3,1.0,1,1,1
134000,569.4,252.2,1.0,1,1,1
138000,569.7,252.1,1.0,1,1,1
142000,569.8,251.7,1.0,1,1,1
146000,569.9,250.9,1.0,1,1,1
150000,570.1,250.8,1.0,1,1,1
154000,570.2,250.7,1.0,1,1,1
158000,570.1,249.2,1.0,1,1,1
169000,570.0,249.1,1.0,1,1,1
173000,570.3,249.1,1.0,1,1,1
177000,570.3,249.2,1.0,1,1,1
181000,570.3,249.4,1.0,1,1,1
185000,570.4,249.6,1.0,1,1,1
189000,570.5,249.6,1.0,1,1,1
193000,570.4,249.2,1.0,1,1,1
203000,570.6,251.1,1.0,1,1,1
207000,570.3,252.9,1.0,1,1,1
211000,566.2,256.9,1.0,2,2,2
215000,555.3,275.4,1.0,2,2,2
219000,532.8,307.7,1.0,2,2,2
223000,508.1,335.5,1.0,2,2,2
227000,485.1,377.4,1.0,2,2,2
231000,463.2,410.4,1.0,2,2,2
235000,459.7,437.0,1.0,2,2,2
236000,459.3,457.0,1.0,2,2,2
237000,462.8,475.3,1.0,2,2,2
241000,464.9,476.0,1.0,2,2,2
245000,468.5,475.7,1.0,2,2,2
249000,469.6,475.3,1.0,2,2,2
253000,469.6,475.1,1.0,1,1,1
266000,469.7,476.0,1.0,1,1,1
270000,472.1,476.9,1.0,1,1,1
274000,473.6,477.9,1.0,1,1,1
