Index	Time	X_coord	Y_coord	Confidence
1	2000	255.1	306.0	1
2	6000	254.9	306.1	1
3	10000	255.3	306.5	1
4	14000	255.3	306.9	1
5	18000	255.5	306.7	1
6	22000	255.8	306.6	1
7	26000	255.8	306.7	1
8	30000	255.7	306.8	1
9	34000	255.9	306.7	1
10	38000	255.9	306.5	1
11	42000	256.0	307.2	1
12	46000	255.8	307.5	1
13	47000	255.7	307.6	1
14	48000	255.7	307.7	1
15	49000	255.2	307.7	1
16	50000	255.7	307.6	1
17	51000	255.3	308.0	1
18	53000	255.0	308.3	1
19	57000	255.2	308.0	1
20	70000	255.0	308.2	1
21	74000	255.4	308.3	1
22	78000	255.7	308.2	1
23	82000	255.7	308.2	1
24	86000	255.8	308.4	1
25	102000	255.9	308.6	1
26	106000	255.9	308.7	1
27	110000	256.0	308.7	1
28	114000	256.4	309.1	1
29	118000	256.8	309.5	1
30	122000	256.9	309.1	1
31	126000	257.1	308.7	1
32	130000	257.2	309.1	1
33	136000	257.3	309.5	1
34	140000	257.8	309.3	1
35	144000	258.0	309.8	1
36	148000	258.2	309.9	1
37	152000	258.7	309.9	1
38	156000	258.9	310.0	1
39	166000	259.0	310.1	1
40	170000	259.0	310.2	1
41	174000	259.0	310.5	1
42	178000	259.2	310.8	1
43	182000	259.4	310.6	1
44	186000	259.1	310.7	1
45	190000	258.9	310.9	1
46	200000	258.8	311.2	1
47	204000	259.0	311.1	1
48	208000	259.0	311.1	1
49	212000	259.1	311.1	1
50	216000	259.0	311.1	1
51	220000	259.4	311.5	1
52	224000	259.3	312.0	1
53	228000	259.3	313.0	1
54	232000	258.8	313.7	1
55	236000	250.5	324.9	1
56	240000	236.4	352.6	1
57	244000	241.0	388.5	1
58	245000	242.3	397.3	1
59	246000	245.3	400.6	1
60	247000	244.3	400.5	1
61	248000	243.3	400.8	1
62	250000	239.1	401.2	1
63	254000	238.6	401.9	1
64	267000	238.9	404.5	1
65	271000	239.5	407.1	1
66	275000	239.6	408.1	1
67	279000	240.0	409.0	1
68	283000	240.0	408.9	1
69	287000	239.9	408.7	1
70	291000	240.3	409.0	1
