Index	Time	X_coord	Y_coord	Confidence
1	1000	643.3	349.9	1
2	2000	643.7	350.0	1
3	4000	643.7	349.9	1
4	6000	643.9	350.1	1
5	8000	644.1	350.3	1
6	10000	644.2	350.6	1
7	12000	643.9	350.7	1
8	14000	644.2	350.7	1
9	16000	644.1	350.8	1
10	18000	644.2	350.8	1
11	20000	644.2	350.8	1
12	22000	644.1	350.9	1
13	24000	644.1	351.0	1
14	26000	644.1	351.2	1
15	28000	643.9	351.1	1
16	30000	643.6	351.1	1
17	32000	643.8	351.2	1
18	34000	643.8	351.0	1
19	36000	643.8	350.8	1
20	38000	643.7	351.0	1
21	40000	643.7	351.2	1
22	41000	643.6	351.3	1
23	42000	643.6	351.2	1
24	43000	643.4	351.1	1
25	44000	643.2	351.2	1
26	45000	643.1	351.3	1
27	46000	643.1	351.1	1
28	47000	642.7	350.9	1
29	48000	642.9	351.0	1
30	50000	643.0	351.1	1
31	52000	643.2	350.9	1
32	54000	643.3	350.9	1
33	67000	643.4	350.8	1
34	69000	643.1	350.6	1
35	71000	642.9	350.4	1
36	73000	642.8	349.9	1
37	75000	642.9	349.8	1
38	77000	643.1	349.8	1
39	79000	643.1	348.8	1
40	81000	643.0	348.9	1
41	83000	643.3	348.6	1
42	85000	643.3	348.4	1
43	87000	643.4	347.8	1
44	101000	643.4	347.9	1
45	103000	643.6	348.1	1
46	105000	643.6	348.1	1
47	107000	643.5	348.0	1
48	109000	643.6	348.1	1
49	111000	643.5	348.0	1
50	113000	643.4	348.7	1
51	115000	643.1	348.7	1
52	117000	643.1	348.8	1
53	119000	643.0	348.7	1
54	121000	643.1	348.5	1
55	123000	643.1	347.8	1
56	125000	643.3	348.4	1
57	133000	643.1	348.4	1
58	135000	643.3	348.5	1
59	137000	643.5	348.3	1
60	139000	643.7	348.1	1
61	141000	643.6	347.9	1
62	143000	643.6	347.8	1
63	145000	643.3	347.5	1
64	147000	642.9	347.3	1
65	149000	642.6	347.3	1
66	151000	642.2	347.3	1
67	153000	642.3	347.3	1
68	155000	642.1	347.3	1
69	157000	641.9	347.3	1
70	167000	641.8	347.2	1
71	169000	642.1	347.4	1
72	171000	642.3	347.5	1
73	173000	642.4	347.5	1
74	175000	642.5	347.5	1
75	177000	642.5	347.5	1
76	179000	642.7	347.5	1
77	181000	642.5	347.1	1
78	183000	642.4	347.1	1
