% Handlabelling data is arranged in 3 columns: handlabeller1 and handlabeller2 indicate the first two experts, handlabeller_final column contains the final, tie-breaking labels.
% Labels in these columns are to be interpreted as follows:
%   - 0 is UNKNOWN
%   - 1 is FIX (fixation)
%   - 2 is SACCADE
%   - 3 is SP (smooth pursuit)
%   - 4 is NOISE
% 
%@METADATA width_px 1280.0
%@METADATA height_px 720.0
%@METADATA width_mm 400.0
%@METADATA height_mm 225.0
%@METADATA distance_mm 450.0
@RELATION gaze_labels

@ATTRIBUTE time INTEGER
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE confidence NUMERIC
@ATTRIBUTE handlabeller1 INTEGER
@ATTRIBUTE handlabeller2 INTEGER
@ATTRIBUTE handlabeller_final INTEGER

@DATA
1000,416.9,188.0,1.0,1,1,1
5000,417.0,188.1,1.0,1,1,1
9000,417.0,189.2,1.0,1,1,1
13000,417.1,190.3,1.0,1,1,1
17000,418.7,191.8,1.0,1,1,1
21000,418.4,192.0,1.0,1,1,1
25000,418.1,192.1,1.0,1,1,1
29000,418.5,195.2,1.0,1,1,1
33000,418.6,195.1,1.0,1,1,1
37000,418.7,194.9,1.0,1,1,1
38000,419.8,197.1,1.0,1,1,1
39000,419.8,196.8,1.0,1,1,1
42000,419.3,196.6,1.0,1,1,1
46000,419.3,196.4,1.0,1,1,1
50000,418.9,196.5,1.0,2,1,2
54000,418.6,196.5,1.0,2,1,2
68000,417.6,195.5,1.0,2,1,2
72000,414.1,194.7,1.0,2,1,2
76000,400.1,193.4,1.0,2,1,2
80000,394.2,191.7,1.0,2,1,2
84000,391.6,192.2,1.0,2,1,2
88000,390.3,192.7,1.0,2,1,2
101000,389.1,193.5,1.0,2,1,2
105000,387.9,194.3,1.0,1,1,1
109000,386.7,195.0,1.0,1,1,1
113000,386.2,195.2,1.0,1,1,1
117000,386.1,195.5,1.0,1,1,1
121000,386.0,196.2,1.0,1,1,1
125000,386.1,196.9,1.0,1,1,1
129000,385.5,197.1,1.0,1,1,1
136000,385.0,197.3,1.0,1,1,1
140000,384.9,197.5,1.0,1,1,1
144000,384.9,197.7,1.0,1,1,1
148000,385.1,198.4,1.0,1,1,1
152000,385.0,198.0,1.0,1,1,1
156000,385.9,197.5,1.0,1,1,1
160000,387.3,197.9,1.0,1,1,1
