Index	Time	X_coord	Y_coord	Confidence
1	3000	655.9	401.6	1
2	7000	655.3	401.7	1
3	11000	655.6	401.7	1
4	15000	655.6	401.4	1
5	19000	655.7	401.6	1
6	23000	655.3	401.8	1
7	27000	655.6	401.5	1
8	31000	655.4	401.5	1
9	35000	655.2	401.5	1
10	39000	654.8	401.1	1
11	40000	654.9	400.8	1
12	41000	654.9	400.9	1
13	43000	655.0	401.0	1
14	47000	654.9	400.7	1
15	51000	654.9	400.9	1
16	55000	654.8	400.5	1
17	66000	654.6	400.5	1
18	70000	654.3	400.4	1
19	74000	653.7	400.9	1
20	78000	653.6	400.1	1
21	82000	653.6	401.0	1
22	86000	652.5	400.5	1
23	90000	652.2	400.7	1
24	103000	651.9	400.9	1
25	107000	651.4	401.6	1
26	111000	650.8	403.5	1
27	115000	650.6	404.9	1
28	119000	650.3	404.9	1
29	123000	650.2	404.8	1
30	127000	650.0	405.3	1
31	133000	649.7	404.8	1
32	137000	649.4	404.4	1
33	141000	649.6	404.4	1
34	145000	649.4	404.3	1
35	149000	649.3	404.2	1
36	153000	649.2	404.2	1
37	157000	649.2	404.2	1
38	166000	649.0	403.7	1
39	170000	648.9	402.9	1
40	174000	648.9	403.0	1
41	178000	648.7	403.0	1
42	182000	648.5	403.3	1
43	186000	648.5	403.6	1
44	190000	648.6	403.5	1
45	200000	648.8	403.8	1
46	204000	648.8	403.7	1
47	208000	648.6	403.8	1
48	212000	649.1	404.0	1
49	216000	649.0	404.2	1
50	220000	649.1	404.4	1
51	224000	649.3	404.9	1
52	228000	649.4	404.9	1
53	232000	649.2	405.5	1
54	236000	649.4	405.3	1
55	240000	649.3	405.9	1
56	244000	649.2	406.4	1
57	245000	648.7	406.3	1
58	246000	649.0	406.3	1
59	247000	648.7	406.2	1
60	248000	649.4	406.4	1
61	252000	650.2	406.0	1
62	256000	650.9	405.5	1
63	267000	651.7	405.6	1
64	271000	651.6	405.2	1
65	275000	652.1	405.5	1
66	279000	652.7	405.8	1
67	283000	654.0	406.0	1
68	287000	655.4	406.2	1
69	300000	656.0	406.7	1
70	304000	656.1	406.9	1
71	308000	656.6	407.1	1
72	312000	657.1	407.5	1
73	316000	661.7	407.9	1
74	320000	675.2	409.2	1
75	324000	700.7	413.6	1
76	328000	725.3	414.5	1
77	336000	735.2	415.5	1
78	340000	740.2	415.7	1
79	344000	742.0	415.6	1
80	348000	742.0	415.5	1
81	352000	742.0	415.6	1
82	356000	742.5	415.8	1
83	367000	743.1	416.3	1
84	371000	744.6	417.0	1
85	375000	747.1	417.8	1
86	379000	749.1	418.4	1
87	383000	753.6	418.7	1
88	387000	754.1	418.9	1
89	391000	754.4	419.1	1
90	395000	754.8	419.7	1
91	403000	755.0	420.0	1
92	407000	755.2	420.2	1
93	411000	756.8	420.3	1
94	415000	757.3	420.1	1
95	419000	757.8	421.0	1
96	423000	759.6	421.9	1
97	427000	761.3	422.7	1
98	431000	762.4	423.6	1
99	435000	763.1	423.6	1
100	436000	763.1	423.7	1
101	439000	766.0	425.6	1
102	443000	766.1	427.6	1
103	447000	766.2	427.9	1
104	451000	769.1	428.4	1
105	455000	769.9	428.4	1
106	459000	770.8	428.5	1
107	463000	774.2	428.5	1
108	467000	775.0	429.6	1
109	471000	775.7	429.9	1
110	475000	776.3	430.3	1
111	479000	777.3	430.4	1
112	483000	778.3	430.3	1
113	487000	778.7	430.2	1
114	491000	779.0	430.2	1
115	495000	779.4	430.2	1
116	499000	779.8	428.8	1
117	503000	780.8	428.3	1
118	507000	782.0	428.1	1
119	511000	783.2	427.9	1
120	515000	783.3	427.9	1
121	519000	785.2	428.0	1
122	523000	786.1	428.2	1
123	527000	786.9	428.4	1
124	531000	788.1	428.5	1
125	535000	788.7	428.8	1
126	539000	788.9	429.0	1
127	543000	789.0	429.5	1
128	547000	791.8	430.6	1
129	551000	791.8	429.6	1
130	555000	791.9	429.3	1
131	559000	792.1	429.0	1
132	563000	792.3	429.9	1
133	567000	792.5	430.7	1
134	571000	793.7	431.3	1
135	575000	794.3	431.9	1
136	579000	794.6	431.4	1
137	583000	794.8	431.3	1
138	587000	795.8	431.4	1
139	591000	796.1	431.0	1
140	595000	796.0	430.5	1
141	599000	796.0	430.4	1
142	603000	796.0	430.2	1
143	607000	795.6	429.5	1
144	611000	795.9	428.8	1
145	615000	796.3	428.7	1
146	619000	796.4	428.7	1
147	623000	796.5	428.4	1
148	627000	796.9	427.2	1
149	631000	797.2	426.1	1
150	635000	796.3	426.1	1
151	639000	796.4	426.1	1
152	643000	796.5	425.9	1
153	647000	796.9	426.3	1
154	651000	797.4	426.8	1
155	655000	797.9	427.2	1
156	659000	797.3	427.2	1
157	663000	797.4	427.3	1
158	667000	797.5	427.5	1
159	671000	797.6	427.7	1
160	675000	797.7	427.9	1
161	679000	798.3	427.9	1
162	683000	798.9	428.0	1
163	687000	799.1	426.6	1
164	691000	799.0	425.1	1
165	695000	799.0	423.8	1
166	699000	798.6	422.5	1
167	703000	798.6	421.9	1
168	707000	798.5	422.7	1
169	711000	798.7	423.0	1
170	715000	798.4	423.2	1
171	719000	798.2	423.1	1
172	723000	797.9	423.5	1
173	724000	797.8	423.8	1
174	725000	797.8	423.9	1
175	726000	798.0	423.1	1
176	727000	798.0	423.2	1
177	728000	798.0	422.9	1
178	729000	797.8	422.6	1
179	730000	795.6	422.0	1
180	731000	788.5	413.9	1
181	732000	778.6	406.1	1
