% Handlabelling data is arranged in 3 columns: handlabeller1 and handlabeller2 indicate the first two experts, handlabeller_final column contains the final, tie-breaking labels.
% Labels in these columns are to be interpreted as follows:
%   - 0 is UNKNOWN
%   - 1 is FIX (fixation)
%   - 2 is SACCADE
%   - 3 is SP (smooth pursuit)
%   - 4 is NOISE
% 
%@METADATA width_px 1280.0
%@METADATA height_px 720.0
%@METADATA width_mm 400.0
%@METADATA height_mm 225.0
%@METADATA distance_mm 450.0
@RELATION gaze_labels

@ATTRIBUTE time INTEGER
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE confidence NUMERIC
@ATTRIBUTE handlabeller1 INTEGER
@ATTRIBUTE handlabeller2 INTEGER
@ATTRIBUTE handlabeller_final INTEGER

@DATA
2000,362.7,278.3,1.0,1,0,1
6000,362.7,278.3,1.0,1,1,1
10000,362.8,278.4,1.0,1,1,1
14000,362.9,278.6,1.0,1,1,1
18000,363.1,278.7,1.0,1,1,1
22000,362.9,278.7,1.0,1,1,1
26000,362.8,278.7,1.0,1,1,1
30000,362.8,278.8,1.0,1,1,1
34000,362.5,278.7,1.0,1,1,1
35000,362.4,278.9,1.0,1,1,1
38000,362.3,278.8,1.0,1,1,1
42000,362.4,278.9,1.0,1,1,1
46000,362.5,279.0,1.0,1,1,1
50000,362.5,279.1,1.0,1,1,1
54000,362.7,279.5,1.0,1,1,1
67000,362.6,279.6,1.0,1,1,1
71000,362.5,279.5,1.0,1,1,1
75000,362.5,279.5,1.0,1,1,1
79000,362.6,279.4,1.0,1,1,1
83000,362.6,279.3,1.0,1,1,1
87000,362.7,279.3,1.0,1,1,1
101000,362.9,279.3,1.0,1,1,1
105000,363.0,279.4,1.0,1,1,1
109000,363.1,279.4,1.0,1,1,1
113000,362.9,279.3,1.0,1,1,1
117000,362.9,278.7,1.0,1,1,1
121000,362.7,278.0,1.0,1,1,1
125000,362.7,278.0,1.0,1,1,1
129000,363.0,278.1,1.0,1,1,1
134000,363.4,276.9,1.0,1,1,1
138000,363.7,276.4,1.0,1,1,1
142000,363.7,275.8,1.0,1,1,1
146000,363.7,275.7,1.0,1,1,1
150000,363.7,275.6,1.0,1,1,1
154000,363.8,276.3,1.0,1,1,1
167000,367.2,277.5,1.0,1,1,1
171000,370.7,279.3,1.0,2,2,2
175000,389.7,285.9,1.0,2,2,2
179000,433.4,294.4,1.0,2,2,2
183000,479.2,309.3,1.0,2,2,2
187000,520.9,315.5,1.0,2,2,2
191000,557.4,320.5,1.0,2,2,2
201000,596.9,327.1,1.0,2,2,2
205000,630.9,332.9,1.0,2,2,2
209000,643.6,336.8,1.0,2,2,2
213000,649.7,338.6,1.0,2,2,2
217000,646.6,338.3,1.0,2,2,2
221000,668.9,339.0,1.0,2,2,2
225000,673.5,339.9,1.0,2,2,2
229000,674.5,340.4,1.0,2,2,2
233000,675.5,341.6,1.0,2,2,2
237000,674.0,342.4,1.0,2,2,2
238000,672.6,344.1,1.0,2,2,2
239000,667.1,343.6,1.0,2,2,2
241000,652.6,348.8,1.0,2,2,2
245000,651.5,350.4,1.0,2,3,3
249000,650.7,351.3,1.0,2,3,3
253000,650.3,351.8,1.0,1,3,3
266000,650.1,352.1,1.0,1,3,3
270000,649.9,352.5,1.0,1,3,3
274000,650.4,352.6,1.0,1,3,3
278000,651.3,352.8,1.0,1,3,3
282000,652.4,353.0,1.0,1,3,3
286000,653.9,353.3,1.0,1,3,3
301000,654.3,353.3,1.0,1,3,3
305000,654.6,353.4,1.0,1,3,4
309000,655.4,353.5,1.0,1,3,4
313000,656.1,353.5,1.0,2,3,4
317000,656.7,353.6,1.0,2,3,4
321000,656.7,353.5,1.0,2,3,4
325000,584.7,351.0,1.0,2,3,4
329000,584.7,352.3,1.0,2,3,4
336000,584.7,355.0,1.0,3,3,4
340000,587.7,356.5,1.0,3,3,4
344000,587.7,356.8,1.0,3,3,4
348000,587.8,357.2,1.0,3,3,4
352000,588.2,357.8,1.0,3,3,4
356000,588.7,357.9,1.0,3,3,4
369000,589.1,358.1,1.0,3,3,4
373000,589.5,357.5,1.0,3,3,4
377000,592.5,357.2,1.0,3,3,3
381000,596.0,356.1,1.0,3,3,3
385000,597.3,355.6,1.0,3,3,3
389000,601.6,355.6,1.0,3,3,3
393000,603.5,355.6,1.0,3,3,3
402000,605.4,355.7,1.0,3,3,3
406000,607.3,356.0,1.0,3,3,3
410000,611.2,356.3,1.0,3,3,3
414000,611.5,356.3,1.0,3,3,3
418000,614.2,356.5,1.0,3,3,3
422000,616.5,356.1,1.0,3,3,3
426000,618.4,355.8,1.0,3,3,3
430000,619.6,355.5,1.0,3,3,3
434000,621.7,354.8,1.0,3,3,3
435000,625.2,353.8,1.0,3,3,3
439000,627.8,353.1,1.0,3,3,3
443000,630.6,353.1,1.0,3,3,3
447000,633.6,350.9,1.0,3,3,3
451000,636.3,350.7,1.0,3,3,3
467000,641.9,350.8,1.0,3,3,3
471000,643.8,350.6,1.0,3,3,3
475000,644.4,350.3,1.0,3,3,3
479000,644.9,350.3,1.0,2,3,2
483000,645.0,350.2,1.0,2,3,2
487000,645.0,350.1,1.0,2,3,2
500000,645.0,350.2,1.0,2,3,2
504000,644.7,350.3,1.0,2,3,2
508000,644.4,350.3,1.0,2,3,2
512000,643.6,351.6,1.0,2,3,2
516000,640.6,353.4,1.0,2,3,2
520000,637.6,353.5,1.0,2,3,2
524000,638.0,353.3,1.0,2,3,2
528000,638.3,353.2,1.0,2,3,2
536000,639.5,353.2,1.0,2,3,2
540000,640.8,353.3,1.0,2,3,2
544000,642.2,351.8,1.0,2,3,2
548000,648.9,351.0,1.0,2,3,2
552000,649.3,350.9,1.0,2,3,2
556000,650.8,351.1,1.0,2,3,2
568000,653.7,351.1,1.0,2,3,2
572000,657.5,351.2,1.0,3,3,3
576000,658.9,351.5,1.0,3,3,3
580000,659.2,351.6,1.0,3,3,3
584000,661.2,352.7,1.0,3,3,3
588000,662.8,353.5,1.0,3,3,3
592000,664.5,354.3,1.0,3,3,3
603000,664.5,355.1,1.0,3,3,3
607000,664.5,354.8,1.0,3,3,3
611000,665.7,354.9,1.0,3,3,3
615000,666.0,355.0,1.0,3,3,3
619000,666.4,355.1,1.0,3,3,3
623000,667.2,355.5,1.0,3,3,3
627000,667.0,355.9,1.0,3,3,3
631000,667.2,356.0,1.0,3,3,3
635000,667.2,356.0,1.0,3,3,3
636000,667.6,356.9,1.0,3,3,3
637000,667.9,357.0,1.0,3,3,3
641000,668.2,357.1,1.0,3,3,3
645000,668.5,357.5,1.0,3,3,3
649000,668.8,357.9,1.0,3,3,3
653000,668.5,357.9,1.0,3,3,3
668000,668.8,358.0,1.0,3,3,3
672000,669.2,358.1,1.0,3,3,3
676000,670.0,358.2,1.0,3,3,3
680000,670.8,358.2,1.0,3,3,3
684000,671.5,358.3,1.0,3,3,3
688000,671.3,358.3,1.0,3,3,3
703000,671.2,358.1,1.0,3,3,3
707000,671.2,358.0,1.0,3,3,3
711000,671.3,357.9,1.0,3,3,3
715000,671.7,357.9,1.0,3,3,3
719000,672.4,357.9,1.0,3,3,3
723000,673.1,358.0,1.0,3,3,3
727000,674.9,358.3,1.0,3,3,3
731000,675.2,358.1,1.0,3,3,3
736000,675.4,358.2,1.0,3,3,3
740000,677.3,358.4,1.0,3,3,3
744000,677.3,358.2,1.0,3,3,3
748000,677.3,358.4,1.0,3,3,3
752000,677.6,358.6,1.0,3,3,3
756000,678.0,358.6,1.0,3,3,3
760000,678.7,358.9,1.0,3,3,3
764000,679.5,359.0,1.0,3,3,3
768000,680.6,359.1,1.0,3,3,3
772000,681.0,359.1,1.0,3,3,3
776000,681.3,359.2,1.0,3,3,3
780000,681.6,359.5,1.0,3,3,3
784000,681.9,359.6,1.0,3,3,3
788000,682.2,359.7,1.0,3,3,3
792000,682.3,359.7,1.0,2,3,2
796000,682.0,361.1,1.0,2,3,2
800000,681.8,362.5,1.0,2,3,2
803000,668.8,361.1,1.0,2,3,2
807000,662.6,360.5,1.0,2,3,2
811000,659.7,360.3,1.0,2,3,2
815000,658.4,360.1,1.0,2,3,2
819000,657.8,360.2,1.0,2,3,2
823000,657.6,360.2,1.0,1,3,2
827000,658.7,360.3,1.0,1,3,2
831000,659.7,360.4,1.0,1,1,1
835000,659.7,360.2,1.0,1,1,1
839000,660.4,360.1,1.0,1,1,1
843000,660.5,360.0,1.0,1,1,1
847000,660.6,359.4,1.0,1,1,1
851000,661.0,358.8,1.0,1,1,1
855000,661.3,358.9,1.0,1,1,1
859000,661.5,359.0,1.0,1,1,1
863000,662.7,359.1,1.0,1,1,1
867000,663.4,359.2,1.0,1,1,1
871000,663.3,359.1,1.0,1,1,1
875000,663.4,359.1,1.0,1,1,1
879000,663.4,359.1,1.0,1,1,1
883000,663.6,358.8,1.0,1,1,1
887000,663.7,358.8,1.0,1,1,1
891000,663.9,358.8,1.0,1,1,1
895000,664.8,358.8,1.0,1,1,1
899000,665.2,358.8,1.0,1,1,1
903000,665.6,358.8,1.0,1,1,1
907000,666.6,359.0,1.0,1,1,1
911000,667.2,359.2,1.0,1,1,1
915000,667.8,359.0,1.0,1,1,1
919000,668.2,358.7,1.0,1,1,1
923000,668.5,358.2,1.0,1,1,1
927000,668.7,358.1,1.0,1,1,1
931000,668.7,357.9,1.0,1,1,1
935000,668.6,357.8,1.0,1,1,1
939000,668.7,357.8,1.0,1,1,1
943000,668.8,357.9,1.0,1,1,1
947000,669.2,357.7,1.0,1,1,1
951000,669.6,359.1,1.0,1,1,1
955000,686.0,362.1,1.0,2,2,2
959000,709.5,367.3,1.0,2,2,2
963000,732.4,378.4,1.0,2,2,2
967000,773.6,390.4,1.0,2,2,2
971000,810.5,394.0,1.0,2,2,2
975000,845.5,396.8,1.0,2,2,2
979000,877.6,399.1,1.0,2,2,2
983000,896.3,399.8,1.0,2,2,2
987000,904.7,399.8,1.0,2,2,2
991000,906.3,398.3,1.0,2,2,2
995000,908.0,398.0,1.0,2,2,2
999000,908.5,397.9,1.0,1,1,1
1003000,909.0,397.9,1.0,1,1,1
1007000,912.5,399.6,1.0,1,1,1
1011000,912.7,400.8,1.0,1,1,1
1015000,912.7,400.8,1.0,1,1,1
1019000,912.7,401.0,1.0,1,1,1
1023000,912.7,401.3,1.0,1,1,1
1027000,912.8,401.0,1.0,1,1,1
1031000,912.9,400.8,1.0,1,1,1
1035000,913.0,400.8,1.0,1,1,1
1039000,913.1,401.3,1.0,1,1,1
1043000,913.2,401.8,1.0,1,1,1
1047000,913.4,402.1,1.0,1,1,1
1051000,913.5,402.4,1.0,1,1,1
1055000,913.4,402.9,1.0,1,1,1
1059000,913.3,402.9,1.0,1,1,1
1063000,913.3,403.0,1.0,1,1,1
1067000,913.4,403.0,1.0,1,1,1
1071000,913.5,403.1,1.0,1,1,1
1075000,913.6,403.3,1.0,1,1,1
1079000,914.0,403.7,1.0,1,1,1
1083000,914.0,404.5,1.0,1,1,1
1087000,913.9,404.6,1.0,1,1,1
1091000,913.7,404.6,1.0,1,1,1
1095000,913.5,404.7,1.0,1,1,1
1099000,913.4,404.8,1.0,1,1,1
1104000,913.2,405.1,1.0,1,1,1
1108000,912.9,405.1,1.0,1,1,1
1112000,912.7,405.0,1.0,1,1,1
1116000,912.4,404.8,1.0,1,1,1
1120000,912.4,404.6,1.0,1,1,1
1124000,912.5,404.3,1.0,1,1,1
1128000,912.6,404.2,1.0,1,1,1
1132000,912.6,404.1,1.0,1,1,1
1135000,912.7,404.7,1.0,1,1,1
1139000,912.8,405.3,1.0,1,1,1
1143000,913.0,405.5,1.0,1,1,1
1147000,912.8,405.6,1.0,1,1,1
1151000,912.7,405.7,1.0,1,1,1
1155000,912.5,405.9,1.0,1,1,1
1159000,912.3,406.1,1.0,1,1,1
1163000,912.2,406.0,1.0,1,1,1
1167000,912.4,406.6,1.0,1,1,1
1171000,912.4,407.2,1.0,1,1,1
1175000,912.4,408.4,1.0,1,1,1
1179000,913.1,408.7,1.0,1,1,1
1183000,913.8,408.9,1.0,1,1,1
1187000,921.2,408.3,1.0,2,2,2
1191000,947.1,408.6,1.0,2,2,2
1195000,982.8,408.1,1.0,2,2,2
1199000,1015.0,402.6,1.0,2,2,2
1203000,1031.9,394.9,1.0,2,2,2
1207000,1047.4,392.9,1.0,2,2,2
