% Handlabelling data is arranged in 3 columns: handlabeller1 and handlabeller2 indicate the first two experts, handlabeller_final column contains the final, tie-breaking labels.
% Labels in these columns are to be interpreted as follows:
%   - 0 is UNKNOWN
%   - 1 is FIX (fixation)
%   - 2 is SACCADE
%   - 3 is SP (smooth pursuit)
%   - 4 is NOISE
% 
%@METADATA width_px 1280.0
%@METADATA height_px 720.0
%@METADATA width_mm 400.0
%@METADATA height_mm 225.0
%@METADATA distance_mm 450.0
@RELATION gaze_labels

@ATTRIBUTE time INTEGER
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE confidence NUMERIC
@ATTRIBUTE handlabeller1 INTEGER
@ATTRIBUTE handlabeller2 INTEGER
@ATTRIBUTE handlabeller_final INTEGER

@DATA
2000,355.1,393.3,1.0,1,0,1
6000,357.4,393.0,1.0,1,1,1
10000,362.1,392.9,1.0,1,1,1
14000,362.4,393.0,1.0,1,1,1
18000,362.5,393.1,1.0,1,1,1
22000,362.9,393.2,1.0,1,1,1
26000,362.8,393.4,1.0,1,1,1
30000,362.8,393.8,1.0,1,1,1
34000,363.6,394.1,1.0,1,1,1
38000,364.7,394.5,1.0,1,1,1
39000,365.0,394.4,1.0,1,1,1
40000,364.9,394.7,1.0,1,1,1
43000,364.9,394.2,1.0,1,1,1
47000,365.4,393.8,1.0,1,1,1
51000,365.8,393.9,1.0,1,1,1
55000,366.5,393.1,1.0,1,1,1
69000,366.5,392.4,1.0,1,1,1
73000,366.6,391.9,1.0,1,1,1
77000,366.6,391.5,1.0,1,1,1
81000,366.9,391.0,1.0,1,1,1
85000,366.8,390.6,1.0,1,1,1
89000,366.5,390.3,1.0,1,1,1
103000,366.1,390.3,1.0,1,1,1
107000,365.9,390.3,1.0,1,1,1
111000,365.7,389.7,1.0,1,1,1
115000,365.7,389.7,1.0,1,1,1
119000,365.8,389.6,1.0,1,1,1
123000,366.1,389.7,1.0,1,1,1
127000,366.5,389.4,1.0,1,1,1
134000,366.5,389.4,1.0,1,1,1
138000,366.6,389.4,1.0,1,1,1
142000,367.3,389.4,1.0,1,1,1
146000,366.9,389.4,1.0,1,1,1
150000,366.6,389.6,1.0,1,1,1
154000,366.6,389.5,1.0,1,1,1
158000,366.5,389.4,1.0,1,1,1
169000,366.9,389.7,1.0,1,1,1
173000,367.2,390.1,1.0,1,1,1
177000,367.0,391.0,1.0,1,1,1
181000,367.0,390.9,1.0,1,1,1
185000,367.0,390.7,1.0,1,1,1
189000,367.2,391.0,1.0,1,1,1
193000,368.8,390.8,1.0,1,1,1
203000,370.3,390.6,1.0,1,1,1
207000,379.2,390.4,1.0,2,2,2
211000,411.8,389.7,1.0,2,2,2
215000,469.4,387.6,1.0,2,2,2
219000,534.5,384.2,1.0,2,2,2
223000,587.7,386.0,1.0,2,2,2
227000,628.6,391.9,1.0,2,2,2
231000,659.4,397.1,1.0,2,2,2
235000,683.7,398.2,1.0,2,2,2
239000,704.0,407.9,1.0,2,2,2
240000,717.7,409.6,1.0,2,2,2
241000,719.0,409.6,1.0,2,2,2
244000,714.6,409.5,1.0,2,2,2
248000,710.3,409.4,1.0,2,2,2
252000,686.9,406.9,1.0,2,2,2
266000,690.3,404.5,1.0,2,2,2
270000,693.8,404.5,1.0,2,2,2
274000,700.8,404.2,1.0,2,2,2
278000,708.1,404.4,1.0,2,3,3
282000,710.0,404.3,1.0,3,3,3
286000,710.5,405.0,1.0,3,3,3
301000,712.2,405.3,1.0,3,3,3
305000,712.4,405.9,1.0,3,3,3
309000,712.5,406.0,1.0,3,3,3
313000,713.5,406.1,1.0,3,3,3
317000,714.6,406.2,1.0,3,3,3
321000,714.9,406.3,1.0,3,3,3
325000,715.3,406.9,1.0,3,3,3
333000,716.0,407.1,1.0,3,3,3
337000,716.1,407.3,1.0,3,3,3
341000,716.2,408.0,1.0,3,3,3
345000,716.3,408.2,1.0,3,3,3
349000,716.5,408.2,1.0,3,3,3
353000,716.7,408.3,1.0,3,3,3
357000,717.0,408.7,1.0,3,3,3
370000,717.2,409.2,1.0,3,3,3
374000,717.5,409.9,1.0,3,3,3
378000,718.0,410.7,1.0,3,3,3
