Index	Time	X_coord	Y_coord	Confidence
1	1000	658.2	304.0	1
2	5000	658.2	303.7	1
3	9000	658.2	303.3	1
4	13000	658.2	303.3	1
5	17000	658.2	303.2	1
6	21000	658.2	303.1	1
7	25000	658.3	303.0	1
8	29000	658.2	302.6	1
9	33000	658.5	302.2	1
10	37000	658.9	301.9	1
11	38000	658.9	301.7	1
12	39000	658.9	301.4	1
13	42000	659.0	301.3	1
14	46000	659.1	301.2	1
15	50000	659.7	300.9	1
16	54000	659.8	300.9	1
17	68000	660.0	300.9	1
18	72000	659.6	300.7	1
19	76000	659.6	300.9	1
20	80000	659.6	300.8	1
21	84000	659.7	300.7	1
22	88000	659.5	300.5	1
23	102000	659.5	300.9	1
24	106000	659.4	300.8	1
25	110000	659.4	300.7	1
26	114000	659.5	300.8	1
27	118000	659.6	300.8	1
28	122000	660.4	300.6	1
29	126000	660.8	300.5	1
30	133000	661.4	300.7	1
31	137000	661.6	300.7	1
32	141000	661.8	300.6	1
33	145000	662.4	300.6	1
34	149000	662.9	300.5	1
35	153000	663.0	300.4	1
36	157000	663.0	300.3	1
37	161000	663.1	299.9	1
38	169000	663.0	300.0	1
39	173000	663.1	299.6	1
40	177000	663.2	299.7	1
41	181000	663.2	299.9	1
42	185000	663.5	299.5	1
43	189000	664.0	299.7	1
44	193000	664.1	300.0	1
45	202000	664.1	300.2	1
46	206000	664.1	300.5	1
47	210000	664.8	300.5	1
48	214000	665.2	300.5	1
49	218000	665.4	300.5	1
50	222000	665.6	300.6	1
51	226000	666.1	301.5	1
52	230000	666.5	302.1	1
53	234000	666.7	302.5	1
54	238000	666.9	302.9	1
55	239000	666.9	303.0	1
56	240000	666.9	303.8	1
57	243000	667.3	304.5	1
58	247000	667.3	305.3	1
59	251000	667.4	306.1	1
60	255000	667.5	306.4	1
61	269000	667.5	306.7	1
62	273000	667.7	307.5	1
63	277000	667.8	307.8	1
64	281000	668.0	308.1	1
65	285000	668.7	308.3	1
66	289000	668.9	308.6	1
67	302000	669.0	308.9	1
68	306000	669.3	308.9	1
69	310000	669.5	309.5	1
70	314000	669.0	310.0	1
71	318000	669.1	313.4	1
72	322000	675.3	340.0	1
73	326000	684.5	381.8	1
74	334000	691.9	415.7	1
75	338000	692.8	420.9	1
76	342000	692.3	420.3	1
77	346000	691.8	419.7	1
78	350000	691.7	419.8	1
79	354000	691.6	419.9	1
80	367000	691.9	421.8	1
81	371000	692.9	425.9	1
82	375000	693.0	426.5	1
83	379000	692.9	426.9	1
84	383000	693.6	429.5	1
85	387000	693.6	429.2	1
86	391000	693.9	428.9	1
87	400000	693.9	429.1	1
88	404000	694.0	429.3	1
89	408000	694.3	429.8	1
90	412000	694.4	430.4	1
91	416000	694.6	431.0	1
92	420000	695.6	431.2	1
93	424000	696.1	431.3	1
94	428000	696.5	431.3	1
95	432000	697.0	431.7	1
96	436000	697.3	432.2	1
97	440000	698.6	431.8	1
98	444000	699.3	431.8	1
99	448000	699.9	431.7	1
100	452000	700.9	431.8	1
101	456000	701.1	431.8	1
102	460000	701.7	431.6	1
103	464000	702.4	431.7	1
104	468000	702.9	431.9	1
105	472000	703.5	431.9	1
106	476000	703.9	431.9	1
107	477000	704.3	432.0	1
108	478000	704.8	431.8	1
109	479000	706.5	431.5	1
110	480000	707.4	431.3	1
111	481000	708.1	431.3	1
112	482000	708.7	431.3	1
113	483000	709.9	430.6	1
114	484000	710.2	430.2	1
115	485000	711.2	430.0	1
116	486000	711.4	430.1	1
117	487000	711.6	429.8	1
118	488000	711.7	429.9	1
119	489000	711.8	429.9	1
120	490000	712.1	430.2	1
121	491000	712.6	430.7	1
122	493000	713.1	430.9	1
123	497000	713.3	431.1	1
124	500000	713.4	431.1	1
125	504000	713.9	431.1	1
126	508000	714.4	431.1	1
127	512000	715.1	431.1	1
128	516000	715.7	431.5	1
129	520000	716.0	431.7	1
130	524000	716.4	432.0	1
131	528000	716.4	432.0	1
132	536000	716.5	432.0	1
133	540000	716.5	432.1	1
134	544000	716.6	432.1	1
135	548000	717.8	431.7	1
136	552000	718.3	431.4	1
137	556000	718.5	430.9	1
138	567000	718.9	430.8	1
139	571000	718.9	430.8	1
140	575000	719.0	430.8	1
141	579000	719.3	430.5	1
142	583000	719.6	430.4	1
143	587000	719.9	430.3	1
144	591000	720.2	430.0	1
145	602000	720.4	430.3	1
146	606000	720.5	430.5	1
147	610000	721.2	430.5	1
148	614000	721.6	430.4	1
149	618000	722.0	430.2	1
150	622000	722.4	430.5	1
151	626000	722.6	430.3	1
152	630000	723.0	430.1	1
153	634000	723.5	429.9	1
154	635000	723.7	429.7	1
155	637000	723.9	429.7	1
156	641000	724.5	429.4	1
157	645000	724.6	429.4	1
158	649000	724.8	429.3	1
159	653000	725.3	429.3	1
160	669000	726.1	430.3	1
161	673000	726.6	430.2	1
162	677000	726.8	430.3	1
163	681000	727.1	430.5	1
164	685000	727.8	431.6	1
165	700000	728.4	432.1	1
166	704000	728.4	432.6	1
167	708000	728.6	433.1	1
168	712000	729.3	433.3	1
169	716000	729.9	433.6	1
170	720000	730.7	434.7	1
171	724000	731.4	434.9	1
172	728000	732.1	435.1	1
173	737000	732.2	434.8	1
174	741000	732.2	434.6	1
175	745000	735.1	433.9	1
176	749000	735.7	433.9	1
177	753000	736.6	433.8	1
178	757000	736.8	433.8	1
179	770000	737.3	433.8	1
180	774000	737.9	433.6	1
181	778000	738.5	433.7	1
182	782000	738.6	433.7	1
183	786000	738.6	433.7	1
184	790000	738.6	433.7	1
185	803000	739.2	433.6	1
186	807000	739.3	433.4	1
187	811000	739.6	433.7	1
188	815000	740.4	433.9	1
189	819000	740.7	433.5	1
190	823000	741.1	433.5	1
191	827000	741.6	433.4	1
192	831000	741.9	433.4	1
193	835000	742.0	433.5	1
194	836000	742.2	433.7	1
195	840000	742.6	434.0	1
196	844000	742.9	434.0	1
197	848000	743.0	434.0	1
198	852000	742.9	434.0	1
199	867000	742.8	434.0	1
200	871000	742.7	433.9	1
201	875000	742.6	433.6	1
202	879000	742.6	433.2	1
203	883000	742.7	432.8	1
204	887000	742.7	432.6	1
205	902000	742.7	432.6	1
206	906000	743.5	432.5	1
207	910000	744.0	432.3	1
208	914000	744.0	432.5	1
209	918000	744.1	432.7	1
210	922000	743.7	432.5	1
