% Handlabelling data is arranged in 3 columns: handlabeller1 and handlabeller2 indicate the first two experts, handlabeller_final column contains the final, tie-breaking labels.
% Labels in these columns are to be interpreted as follows:
%   - 0 is UNKNOWN
%   - 1 is FIX (fixation)
%   - 2 is SACCADE
%   - 3 is SP (smooth pursuit)
%   - 4 is NOISE
% 
%@METADATA width_px 1280.0
%@METADATA height_px 720.0
%@METADATA width_mm 400.0
%@METADATA height_mm 225.0
%@METADATA distance_mm 450.0
@RELATION gaze_labels

@ATTRIBUTE time INTEGER
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE confidence NUMERIC
@ATTRIBUTE handlabeller1 INTEGER
@ATTRIBUTE handlabeller2 INTEGER
@ATTRIBUTE handlabeller_final INTEGER

@DATA
1000,431.2,320.2,1.0,2,2,2
4000,431.3,319.9,1.0,2,2,2
8000,431.8,322.1,1.0,2,2,2
12000,440.4,323.5,1.0,2,2,2
16000,451.2,327.0,1.0,2,2,2
20000,468.2,325.8,1.0,2,2,2
24000,488.5,328.5,1.0,2,2,2
28000,497.7,328.5,1.0,2,2,2
32000,503.0,332.1,1.0,2,2,2
36000,505.2,331.9,1.0,2,2,2
37000,506.2,330.8,1.0,2,2,2
38000,504.1,330.9,1.0,2,2,2
41000,503.9,330.8,1.0,1,1,1
45000,504.6,330.3,1.0,1,1,1
49000,504.4,330.4,1.0,1,1,1
53000,504.2,330.5,1.0,1,1,1
67000,503.9,330.6,1.0,1,1,1
71000,503.6,330.6,1.0,1,1,1
75000,502.3,330.7,1.0,1,1,1
79000,500.9,330.7,1.0,1,1,1
83000,500.2,330.6,1.0,1,1,1
87000,499.9,330.1,1.0,1,1,1
101000,500.0,329.5,1.0,1,1,1
105000,499.6,329.0,1.0,1,1,1
109000,501.2,329.4,1.0,1,1,1
113000,500.0,328.6,1.0,1,1,1
117000,498.8,327.8,1.0,1,1,1
121000,498.6,326.9,1.0,1,1,1
125000,498.5,326.5,1.0,1,1,1
129000,498.4,326.2,1.0,1,1,1
136000,498.4,326.0,1.0,1,1,1
140000,498.3,325.8,1.0,1,1,1
144000,498.3,325.8,1.0,1,1,1
148000,498.2,325.9,1.0,1,1,1
152000,498.1,326.0,1.0,1,1,1
156000,497.2,326.4,1.0,1,1,1
167000,497.1,326.3,1.0,1,1,1
171000,497.1,326.5,1.0,1,1,1
175000,497.2,326.7,1.0,1,1,1
179000,496.9,326.6,1.0,1,1,1
183000,496.9,326.6,1.0,1,1,1
187000,496.9,326.6,1.0,2,1,1
191000,497.0,326.7,1.0,2,1,1
195000,525.1,355.7,1.0,2,2,2
201000,529.8,358.1,1.0,2,2,2
205000,539.0,362.9,1.0,2,2,2
209000,582.3,390.1,1.0,2,2,2
213000,613.0,408.4,1.0,2,2,2
