Index	Time	X_coord	Y_coord	Confidence
1	1000	288.1	290.5	1
2	4000	287.9	290.8	1
3	8000	287.8	291.1	1
4	12000	287.8	291.1	1
5	16000	287.4	290.8	1
6	20000	287.4	290.5	1
7	24000	287.3	289.8	1
8	28000	287.0	289.6	1
9	32000	287.2	289.2	1
10	36000	287.5	289.1	1
11	37000	288.0	289.1	1
12	40000	288.2	289.0	1
13	44000	288.4	289.0	1
14	48000	288.1	289.3	1
15	52000	288.1	289.4	1
16	56000	288.3	289.3	1
17	69000	288.4	289.3	1
18	73000	299.7	287.7	1
19	77000	301.5	286.4	1
20	81000	305.2	285.2	1
21	85000	313.3	284.1	1
22	89000	316.3	284.2	1
23	104000	317.6	286.2	1
24	108000	319.1	288.4	1
25	112000	319.2	288.2	1
26	116000	318.9	288.0	1
27	120000	318.7	287.5	1
28	124000	319.0	287.2	1
29	128000	319.3	287.6	1
30	136000	319.5	287.4	1
31	140000	319.5	287.9	1
32	144000	320.0	288.3	1
33	148000	320.2	288.3	1
34	152000	320.3	288.3	1
35	156000	320.4	288.6	1
36	166000	320.8	288.5	1
37	170000	321.2	288.5	1
38	174000	326.8	292.6	1
39	178000	356.5	295.4	1
40	182000	395.7	294.2	1
41	186000	461.3	296.8	1
42	190000	494.7	301.3	1
43	201000	526.2	299.4	1
44	205000	578.6	311.7	1
45	209000	606.7	315.2	1
46	213000	627.8	331.7	1
47	217000	647.1	328.5	1
48	221000	649.2	328.9	1
49	225000	650.5	326.3	1
50	229000	650.4	324.3	1
51	233000	653.0	324.2	1
52	237000	661.3	322.3	1
53	238000	662.2	323.6	1
54	239000	666.6	329.4	1
55	241000	670.8	333.8	1
56	245000	672.2	334.2	1
57	249000	673.1	335.9	1
58	253000	673.9	338.8	1
59	267000	673.7	338.2	1
60	271000	673.7	337.9	1
61	275000	674.6	337.5	1
62	279000	675.5	337.2	1
63	283000	675.9	338.0	1
64	287000	676.0	337.9	1
65	302000	677.4	338.0	1
66	306000	678.0	338.4	1
67	310000	678.2	338.5	1
68	314000	678.3	338.4	1
69	318000	678.4	338.3	1
70	322000	678.6	338.9	1
71	326000	678.8	339.4	1
72	334000	680.0	339.4	1
73	338000	681.2	339.4	1
74	342000	681.3	340.8	1
75	346000	681.4	341.3	1
76	350000	681.7	341.6	1
77	354000	682.0	342.2	1
78	358000	682.1	342.8	1
79	369000	682.4	342.9	1
80	373000	682.7	343.1	1
81	377000	683.3	343.1	1
82	381000	683.7	343.2	1
83	385000	684.4	344.9	1
84	389000	685.9	345.0	1
85	393000	686.0	345.5	1
86	403000	686.0	345.7	1
87	407000	686.1	345.5	1
88	411000	686.1	345.4	1
89	415000	686.2	344.9	1
90	419000	686.3	345.4	1
91	423000	687.9	345.0	1
92	427000	688.5	344.8	1
93	431000	689.0	344.7	1
94	433000	689.1	344.6	1
95	437000	689.4	345.2	1
96	441000	689.5	345.1	1
97	445000	689.6	344.7	1
98	449000	690.7	344.4	1
99	453000	691.9	344.0	1
100	468000	691.6	344.2	1
101	472000	691.6	344.3	1
102	476000	691.8	345.5	1
103	480000	691.9	346.1	1
104	484000	692.1	346.6	1
105	488000	692.6	347.9	1
106	502000	693.2	349.1	1
107	506000	695.4	352.8	1
108	510000	697.7	352.8	1
109	514000	706.2	372.9	1
110	518000	715.7	383.5	1
111	522000	721.3	405.0	1
112	526000	721.8	405.0	1
113	530000	720.9	404.4	1
114	537000	721.0	403.5	1
115	541000	721.0	402.1	1
116	545000	722.0	400.7	1
117	549000	722.1	400.0	1
118	553000	722.2	399.4	1
119	557000	722.8	399.9	1
120	569000	723.4	400.0	1
121	573000	725.1	399.7	1
122	577000	725.5	400.7	1
123	581000	725.1	402.0	1
124	585000	725.5	403.5	1
125	589000	725.8	404.4	1
126	600000	726.6	404.9	1
127	604000	727.4	404.8	1
128	608000	727.7	404.8	1
129	612000	728.0	404.8	1
130	616000	729.3	404.4	1
131	620000	730.8	404.6	1
132	624000	732.7	404.7	1
133	628000	733.1	404.9	1
134	632000	733.5	405.0	1
135	636000	733.7	405.2	1
136	637000	733.9	406.2	1
137	639000	734.4	407.2	1
138	643000	735.2	409.2	1
139	647000	735.9	409.4	1
140	651000	737.1	409.1	1
141	667000	737.4	408.9	1
142	671000	738.7	409.5	1
143	675000	740.1	410.0	1
144	679000	740.6	412.0	1
145	683000	740.6	411.7	1
146	687000	740.5	411.3	1
147	691000	740.4	410.5	1
148	701000	741.1	409.8	1
149	705000	741.9	409.3	1
150	709000	743.0	408.8	1
151	713000	743.0	408.4	1
152	717000	743.2	408.6	1
153	721000	743.4	408.8	1
154	725000	745.8	407.9	1
155	729000	745.9	407.9	1
156	734000	746.0	408.3	1
157	738000	746.1	408.7	1
158	742000	746.2	409.2	1
159	746000	746.9	408.9	1
160	750000	748.0	408.9	1
161	754000	749.0	408.8	1
162	758000	750.1	408.0	1
163	762000	751.2	407.1	1
164	766000	751.7	405.1	1
165	769000	751.8	405.0	1
166	773000	751.8	404.8	1
167	777000	752.4	404.3	1
168	781000	752.9	403.8	1
169	785000	752.8	403.2	1
170	789000	752.8	403.1	1
171	793000	753.7	403.0	1
172	797000	754.7	402.9	1
173	801000	754.7	403.1	1
